idx,year,suite,ext,filename,full_path,out_txt,char_count,evidence_level_hypothesis,excluded,ocr_used,pdf_pages,status,error,upgrade_reason
11,2024,西城一模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城一模/西城一模__细则__细则.docx.txt,3176,L1,N,N,,ok,,name+content
12,2024,西城一模,.docx,2024.4高三统一测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/补充材料/2024.4高三统一测试思想政治答案.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城一模/西城一模__细则__补充材料__2024.4高三统一测试思想政治答案.docx.txt,1659,L1,N,N,,ok,,name+content
14,2024,西城一模,.docx,试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城一模/西城一模__试卷__试卷.docx.txt,7192,SOURCE_PAPER,N,N,,ok,,name
15,2024,顺义思政二模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/顺义思政二模/顺义思政二模__细则__细则.docx.txt,2109,L1,N,N,,ok,,name+content
16,2024,顺义思政二模,.docx,试卷.docx,/Users/wanglifei/Desktop/2024模拟题/顺义思政二模/试卷/试卷.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/顺义思政二模/顺义思政二模__试卷__试卷.docx.txt,8099,SOURCE_PAPER,N,N,,ok,,name
17,2024,东城二模,.pdf,细则.pdf,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/补充材料/细则.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__补充材料__细则.pdf.txt,1972,L1,N,Y,1,ok,,name+content
18,2024,东城二模,.docx,18（2）.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18（2）.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__18题__18_2_.docx.txt,1956,L1,N,N,,ok,,name+content
19,2024,东城二模,.docx,18(1).docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/18题/18(1).docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__18题__18(1).docx.txt,1146,L1,N,N,,ok,,name+content
20,2024,东城二模,.pptx,16题评分细则.pptx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题评分细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__16题__16题评分细则.pptx.txt,1587,L1,N,N,,ok,,name+content
21,2024,东城二模,.docx,16题二模阅卷总结.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/16题/16题二模阅卷总结.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__16题__16题二模阅卷总结.docx.txt,1643,L1,N,N,,ok,,name+content
22,2024,东城二模,.docx,20小题二模阅卷总结.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/20小题二模阅卷总结.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__21题__20小题二模阅卷总结.docx.txt,746,L1,N,N,,ok,,name+content
23,2024,东城二模,.docx,21.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__21题__21.docx.txt,1280,L1,N,N,,ok,,name+content
24,2024,东城二模,.pptx,21题(1).pptx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/21题/21题(1).pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__21题__21题(1).pptx.txt,2067,L1,N,N,,ok,,name+content
25,2024,东城二模,.docx,17(1).docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17(1).docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__17题__17(1).docx.txt,811,L1,N,N,,ok,,name+content
26,2024,东城二模,.docx,17-2.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__17题__17-2.docx.txt,1155,L1,N,N,,ok,,name+content
27,2024,东城二模,.docx,19（2）.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（2）.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__19题__19_2_.docx.txt,596,L1,N,N,,ok,,name+content
28,2024,东城二模,.docx,19（1）.docx,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/19题/19（1）.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__细则__分题细则__阅卷总结__19题__19_1_.docx.txt,1550,L1,N,N,,ok,,name+content
29,2024,东城二模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/东城二模/东城二模__试卷__试卷.pdf.txt,7302,SOURCE_PAPER,N,Y,12,ok,,name
30,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编必修1.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修1.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编必修1.docx.txt,3902,SOURCE_INDEX,N,N,,ok,,index_locked
31,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编选必1.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编选必1.docx.txt,11688,SOURCE_INDEX,N,N,,ok,,index_locked
32,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编必修2 .docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修2 .docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编必修2_.docx.txt,10217,SOURCE_INDEX,N,N,,ok,,index_locked
33,2024,202404各区一模试题分类（按模块）,.doc,2024届各区一模试题分类汇编选必3.doc,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必3.doc,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编选必3.doc.txt,9257,SOURCE_INDEX,N,N,,ok,,index_locked
34,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编必修4.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修4.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编必修4.docx.txt,11240,SOURCE_INDEX,N,N,,ok,,index_locked
35,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编选必2.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必2.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编选必2.docx.txt,12801,SOURCE_INDEX,N,N,,ok,,index_locked
36,2024,202404各区一模试题分类（按模块）,.docx,2024届各区一模试题分类汇编必修3.docx,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编必修3.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/202404各区一模试题分类_按模块_/202404各区一模试题分类_按模块___2024届各区一模试题分类汇编必修3.docx.txt,12433,SOURCE_INDEX,N,N,,ok,,index_locked
37,2024,2024海淀一模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024海淀一模/2024海淀一模__细则__细则.docx.txt,3099,L1,N,N,,ok,,name+content
38,2024,2024海淀一模,.docx,一模政治-答案.docx,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/补充材料/一模政治-答案.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024海淀一模/2024海淀一模__细则__补充材料__一模政治-答案.docx.txt,1600,L1,N,N,,ok,,name+content
39,2024,2024海淀一模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024海淀一模/2024海淀一模__试卷__试卷.pdf.txt,9047,SOURCE_PAPER,N,N,8,ok,,name
40,2024,丰台二模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/丰台二模/丰台二模__细则__细则.docx.txt,3778,L1,N,N,,ok,,name+content
41,2024,丰台二模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/丰台二模/丰台二模__试卷__试卷.pdf.txt,7171,SOURCE_PAPER,N,Y,8,ok,,name
42,2024,2024朝阳期中,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳期中/2024朝阳期中__细则__细则.docx.txt,5091,L1,N,N,,ok,,name+content
43,2024,2024朝阳期中,.docx,2024.11期中政治朝阳评标2.docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳期中/2024朝阳期中__细则__补充材料__2024.11期中政治朝阳评标2.docx.txt,14732,L1,N,N,,ok,,name+content
44,2024,2024朝阳期中,.rtf,细则.rtf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/细则.rtf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳期中/2024朝阳期中__细则__补充材料__细则.rtf.txt,3515,L1,N,N,,ok,,name+content
45,2024,2024朝阳期中,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳期中/2024朝阳期中__试卷__试卷.pdf.txt,9323,SOURCE_PAPER,N,N,8,ok,,name
46,2024,2024朝阳期中,.pdf,202411朝阳高三政治 期中1试题(1).pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/补充材料/202411朝阳高三政治 期中1试题(1).pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳期中/2024朝阳期中__试卷__补充材料__202411朝阳高三政治_期中1试题(1).pdf.txt,9323,SOURCE_PAPER,N,N,8,ok,,name
47,2024,2024朝阳一模,.pptx,细则.pptx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳一模/2024朝阳一模__细则__细则.pptx.txt,12049,L1,N,N,,ok,,name+content
48,2024,2024朝阳一模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/补充材料/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳一模/2024朝阳一模__细则__补充材料__细则.docx.txt,2003,L1,N,N,,ok,,name+content
49,2024,2024朝阳一模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳一模/2024朝阳一模__试卷__试卷.pdf.txt,7301,SOURCE_PAPER,N,N,8,ok,,name
50,2024,2024朝阳一模,.pptx,202404朝阳高三政治一模试卷讲评.pptx,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/其他材料/202404朝阳高三政治一模试卷讲评.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024朝阳一模/2024朝阳一模__其他材料__202404朝阳高三政治一模试卷讲评.pptx.txt,12049,L1,N,N,,ok,,name+content
51,2024,海淀二模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/海淀二模/海淀二模__细则__细则.docx.txt,2687,L1,N,N,,ok,,name+content
52,2024,海淀二模,.docx,高三二模：政治答案(2).docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/补充材料/高三二模：政治答案(2).docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/海淀二模/海淀二模__细则__补充材料__高三二模_政治答案(2).docx.txt,1677,L1,N,N,,ok,,name+content
53,2024,海淀二模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/海淀二模/海淀二模__试卷__试卷.pdf.txt,8256,SOURCE_PAPER,N,N,8,ok,,name
54,2024,海淀二模,.docx,高三二模：政治试题（以PDF为准）(1).docx,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/补充材料/高三二模：政治试题（以PDF为准）(1).docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/海淀二模/海淀二模__试卷__补充材料__高三二模_政治试题_以PDF为准_(1).docx.txt,7759,SOURCE_PAPER,N,N,,ok,,name
55,2024,2024海淀期中,.pdf,细则.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024海淀期中/2024海淀期中__细则__细则.pdf.txt,18528,L1,N,N,71,ok,,name+content
56,2024,2024海淀期中,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024海淀期中/2024海淀期中__试卷__试卷.pdf.txt,1533,SOURCE_PAPER,N,N,8,ok,,name
57,2024,2024东城一模,.pptx,细则.pptx,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024东城一模/2024东城一模__细则__细则.pptx.txt,10835,L1,N,N,,ok,,name+content
58,2024,2024东城一模,.pdf,北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024东城一模/2024东城一模__细则__补充材料__北京市东城区2023-2024学年度第二学期高三综合练习_一_思想政治答案(1).pdf.txt,1690,L1,N,Y,1,ok,,name+content
59,2024,2024东城一模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/2024东城一模/2024东城一模__试卷__试卷.pdf.txt,6945,SOURCE_PAPER,N,Y,12,ok,,name
60,2024,西城二模,.docx,细则.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城二模/西城二模__细则__细则.docx.txt,3616,L1,N,N,,ok,,name+content
61,2024,西城二模,.docx,高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/补充材料/高三模拟测试思想政治答案.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城二模/西城二模__细则__补充材料__高三模拟测试思想政治答案.docx.txt,1917,L1,N,N,,ok,,name+content
62,2024,西城二模,.docx,试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城二模/西城二模__试卷__试卷.docx.txt,6869,SOURCE_PAPER,N,N,,ok,,name
64,2024,西城二模,.pdf,西城东城二模选择题讲评.pdf,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城二模/西城二模__其他材料__西城东城二模选择题讲评.pdf.txt,2398,L1,N,Y,11,ok,,name
65,2024,西城二模,.pptx,西城东城二模选择题讲评.pptx,/Users/wanglifei/Desktop/2024模拟题/西城二模/其他材料/西城东城二模选择题讲评.pptx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2024/西城二模/西城二模__其他材料__西城东城二模选择题讲评.pptx.txt,730,L1,N,N,,ok,,name
66,2025,2025西城二模,.docx,细则.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025西城二模/2025各区二模__2025西城二模__细则__细则.docx.txt,4235,L1,N,N,,ok,,name+content
67,2025,2025西城二模,.pdf,试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025西城二模/2025各区二模__2025西城二模__试卷__试卷.pdf.txt,10867,L1,N,N,10,ok,,name+content
68,2025,2025海淀二模,.docx,细则.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025海淀二模/2025各区二模__2025海淀二模__细则__细则.docx.txt,2572,L1,N,N,,ok,,name
69,2025,2025海淀二模,.docx,2025年海淀二模评标实录.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/补充材料/2025年海淀二模评标实录.docx,/Users/wanglifei/Desktop/北京高考政治/选必二重做_2026-04-30/claudecode_lane_B_full_rerun_2026-05-04/source_inventory/extracted/2025/2025海淀二模/2025各区二模__2025海淀二模__细则__补充材料__2025年海淀二模评标实录.docx.txt,2100,L1,N,N,,ok,,name+content
