entry_index,method_category,method_node,title,设问,答题提醒,同题说明,has_claim_terms
19,一、科学思维,追求认识的客观性,2026顺义一模 第19题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,,本题6分，围绕科学思维三特征组织：客观性（蹲点观察、立足实际）、预见性（依趋势预判方向）、可检验性（多轮测试迭代检验）各约2分；本条只训练其一，完整作答须三特征合答。,True
20,一、科学思维,追求认识的客观性,2025丰台一模 第18题第（1）问,（1）结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,,本题5分，细则中“客观性+预见性+可检验性”三特征名称共2分须同时点出，再各配材料1分；三特征须都答，本条只训练其一，须三条合答方得满分。,True
21,一、科学思维,追求认识的客观性,2025石景山一模 第19题,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,,本题5分，细则三点：①客观性与可检验性合计2分（二者共用同一采分点、合并只得2分、不叠加）②归纳推理可靠程度2分③创新思维1分。本条只训练其一，作答须注意客观性与可检验性共用2分。,True
22,一、科学思维,追求认识的客观性,2026海淀二模 第18题第（1）问,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,,本题6分，细则按三个材料维度给分：市场调研、“减配”实验、上市前测试，每个维度2分（可选知识1分＋结合材料分析1分），共3个点。可选知识包括分析与综合、整体性／联系发展全面观点、矛盾分析法、量变质变、联想／逆向／超前、科学思维客观性／可检验性／预见性、不完全归纳推理等。本条只训练其一，完整作答须扣住三个材料维度分别选知识并结合材料分析，单条不等于满分答案。,True
23,一、科学思维,追求认识的客观性,2026海淀一模 第17题（建议部分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,,本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。,True
24,二、辩证思维,整体性,2025海淀二模 第20题,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,,本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
25,二、辩证思维,整体性,2025东城一模 第18题第（1）问,（1）结合材料一，说明“两重”实施是如何体现辩证思维的。（4分）,,,False
26,二、辩证思维,整体性,2026东城一模 第19题第（4）问,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,,本题5分，细则“系统观念知识1分＋创新思维知识1分”两维度并列；整体性（系统观念）与发散聚合／超前（创新思维）须两维度合答，本条只训练其一，单条不等于满分答案。,True
27,二、辩证思维,整体性,2026房山一模 第18题第（1）问,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,,本题6分，细则为三组各2分：①整体性／分析与综合／联系／系统优化②矛盾分析法／具体问题具体分析／两点论与重点论③动态性／质量互变／发展；每组“知识1分＋材料1分”，三组合答共6分（立足实践可补充但总分不超6分）。本条只训练其一，单条不等于满分答案。,True
28,二、辩证思维,整体性,2026门头沟一模 第18题第（2）问,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,,本题7分（“科学思维”为宽口径），细则两大要点：辩证思维（含整体性，约3分）＋创新思维（含三新，约2—3分）＋条理1分；须两维度合答，本条只训练其一，单条不等于满分答案。,True
29,二、辩证思维,整体性,2025西城一模 第17题,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,,本题7分，细则要求客观性／整体性／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。,True
30,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,"本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
动态性",True
31,二、辩证思维,整体性,2025海淀二模 第20题,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,,本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
32,二、辩证思维,整体性,2024朝阳二模 第19题第（1）问,（1）生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。（4分）,,,False
33,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。,True
34,二、辩证思维,整体性,2026西城期末 第21题,“科学制定和接续实施五年规划，是我们党治国理政一条重要经验，也是中国特色社会主义一个重要政治优势。”结合材料，综合运用所学，谈谈你对这句话的理解。（10分）,,,False
35,二、辩证思维,整体性,2026房山一模 第18题第（1）问,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,,本题6分，细则为三组各2分：①整体性／分析与综合／联系／系统优化②矛盾分析法／具体问题具体分析／两点论与重点论③动态性／质量互变／发展；每组“知识1分＋材料1分”，三组合答共6分（立足实践可补充但总分不超6分）。本条只训练其一，单条不等于满分答案。,True
36,二、辩证思维,整体性,2026朝阳期中(2025-11) 第20题,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,,"本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
分析与综合",True
37,二、辩证思维,整体性,2025海淀二模 第20题,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,,本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
38,二、辩证思维,整体性,2024石景山一模 第19题第（3）问,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）,本题设问允许任用一种辩证思维方法，除分析与综合外，也可从辩证否定观作答：企业既不能全盘照搬国内经验，也不能否定自身优势，应在保留优势的基础上克服与投资国制度、文化、市场不适配之处。,本题4分，设问开放“任用一种辩证思维方法”提建议；分析与综合、辩证否定观等均可作为作答路径，选一种充分展开即可，不必都答。,False
39,二、辩证思维,整体性,2024海淀一模 第17题第（2）问,结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,,,False
40,二、辩证思维,整体性,2026海淀二模 第18题第（1）问,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,,本题6分，细则按三个材料维度给分：市场调研、“减配”实验、上市前测试，每个维度2分（可选知识1分＋结合材料分析1分），共3个点。可选知识包括分析与综合、整体性／联系发展全面观点、矛盾分析法、量变质变、联想／逆向／超前、科学思维客观性／可检验性／预见性、不完全归纳推理等。本条只训练其一，完整作答须扣住三个材料维度分别选知识并结合材料分析，单条不等于满分答案。,True
41,二、辩证思维,整体性,2026石景山二模 第17题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，分析如何以辩证思维方法应对养老立法的最大难点。（6分）,,,False
42,二、辩证思维,整体性,2026海淀一模 第17题（建议部分）,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,,本题建议部分4分，共2条建议（每条“建议1分＋知识1分”），知识角度可选科学思维（客观性／可检验性）、辩证思维（分析综合／矛盾分析法）、创新思维（发散聚合）等；两条建议各选一种不同角度，本条只训练其一（另：前半问为形式逻辑考点，本条只训练建议部分）。,True
43,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。,True
44,二、辩证思维,整体性,2024门头沟一模 第20题,结合材料，运用《逻辑与思维》知识，说明模拟提案的完成过程是如何体现科学思维的。（7分）,,本题7分，设问要求说明模拟提案的完成过程如何体现科学思维，可从科学思维客观性、分析与综合、发散思维与聚合思维等角度，围绕“发现问题—研究论证—形成提案”展开；本条只训练其一，完整作答须多角度合答，单条不等于满分答案。,False
45,二、辩证思维,整体性,2026朝阳期中(2025-11) 第20题,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,,"本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
矛盾分析法",True
46,二、辩证思维,整体性,2026西城二模 第18题第（4）问,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,,本题7分，细则按三角度等级赋分：追求认识的客观性、辩证思维（全面／发展）、创新思维（三新或逆向思维）均按“观点1分＋对应展开1分＋扣材料解释1分”评价；三角度且至少一点深入可达6—7分。本条只训练其一，须三维度合答。,True
47,二、辩证思维,整体性,2026朝阳期中(2025-11) 第20题,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,,本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
48,二、辩证思维,整体性,2025延庆一模 第18题,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,,本题7分，须答出两个辩证思维知识角度（量变质变＋矛盾分析法或分析与综合）各结合材料，另含特征分；本条只训练其一，须合答方达满分。,True
49,二、辩证思维,整体性,2026延庆一模 第18题第（2）问,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,,本题7分，四选三结构：矛盾分析法／适度原则／三新（辩证否定可替三新）各2分，任答三角度得6分＋条理1分；本条只训练其一，须三角度合答方得满分。,True
50,二、辩证思维,整体性,2024丰台二模 第18题第（2）问,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,,本题6分（评析题），细则踩点：观点片面1分、合理性1分、逻辑不足1—2分、其他角度≤2分。“预见性”与“超前思维”对应同一“合理性”采分点、二者择一即可（不可叠加）；“矛盾分析法”属“其他角度”层。本条只训练一个角度，单条不等于满分答案。,True
51,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。,True
52,二、辩证思维,整体性,2025丰台期末“界”迁移题,在社会生活中，无处不见“界”的存在，请你运用辩证思维谈谈对“界”的理解。,,,False
53,二、辩证思维,整体性,2026房山一模 第18题第（1）问,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,,"本题6分，细则为三组各2分：①整体性／分析与综合／联系／系统优化②矛盾分析法／具体问题具体分析／两点论与重点论③动态性／质量互变／发展；每组“知识1分＋材料1分”，三组合答共6分（立足实践可补充但总分不超6分）。本条只训练其一，单条不等于满分答案。
量变与质变",True
54,二、辩证思维,整体性,2025海淀二模 第20题,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,,本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
55,二、辩证思维,整体性,2025延庆一模 第18题,结合材料，运用《逻辑与思维》知识，谈谈如何运用辩证思维应对低空经济面临的挑战。（7分）,,本题7分，须答出两个辩证思维知识角度（量变质变＋矛盾分析法或分析与综合）各结合材料，另含特征分；本条只训练其一，须合答方达满分。,True
56,二、辩证思维,整体性,2026朝阳期中(2025-11) 第20题,结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的“机遇”与“挑战”。（8分）,,"本题8分；细则列矛盾分析法、分析与综合（可换整体性）、量变质变、动态性四角度，选三角度各2分共6分，另有条理2分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。
适度原则",True
57,二、辩证思维,整体性,2026延庆一模 第18题第（2）问,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,,本题7分，四选三结构：矛盾分析法／适度原则／三新（辩证否定可替三新）各2分，任答三角度得6分＋条理1分；本条只训练其一，须三角度合答方得满分。,True
58,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,"本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。
辩证否定",True
59,二、辩证思维,整体性,2025海淀二模 第20题,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,,本题6分，细则三组各2分：整体性与分析与综合同组，动态性与量变质变同组，辩证否定为第三组；同组择一计分。本条只训练该题的一个可选思维角度，需按评分细则择路径/合答，单条不等于该题满分答案。,True
60,二、辩证思维,整体性,2024东城一模 第18题第（3）问,（3）发展新质生产力，要正确认识传统产业和未来产业的关系。结合材料，运用《逻辑与思维》知识，谈谈你的看法。（6分）,,本题6分，开放等级赋分，须把“辩证否定（扬弃传统产业、既保留又改造）”与“超前思维（布局建设未来产业）”两个角度融入对“传统产业与未来产业关系”的整体论述；本条只训练其一，需两角度综合方达高档，单条不等于满分答案。,False
61,二、辩证思维,整体性,2026房山二模 第18题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》辩证否定观知识，分析OPC的出现和发展。（5分）,,,False
62,二、辩证思维,整体性,2025门头沟一模 第21题第（1）问,运用科学思维知识，说明门头沟区从“千年煤城”向“京西智谷”转型的智慧。,,本题9分，分三组：辩证思维（辩证否定／整体性／动态性／分析综合，四选一）、科学思维（客观性／预见性，二选一）、创新思维（联想＋超前等，须选二合用）；各组择路径，本条只训练其一，单条不等于满分答案。,True
63,二、辩证思维,整体性,2026通州一模 第17题第（2）问,（2）结合材料一和材料二，运用《逻辑与思维》知识，谈谈如何运用辩证思维看待人工智能的应用与发展。（6分）,,本题6分，细则2+2+2三采分点：①整体性或动态性②分析与综合或矛盾／对立统一③适度原则（辩证否定亦在可选范围）；每点组内择一、三点合答共6分；本条只训练其一，单条不等于满分答案。,True
64,二、辩证思维,整体性,2024石景山一模 第19题第（3）问,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）,,"本题4分，设问开放“任用一种辩证思维方法”提建议；分析与综合、辩证否定观等均可作为作答路径，选一种充分展开即可，不必都答。
认识发展历程",False
65,二、辩证思维,整体性,2024海淀二模 第17题第（2）问,（2）调查研究过程一般可分为准备阶段、调查了解阶段、分析研究阶段、总结阶段。从认识发展的历程角度，说明“调查了解阶段”与“分析研究阶段”的关联。（4分）,,,False
66,三、创新思维,特点与三新,2025昌平二模 第19题,结合材料，分析沉浸式演艺是如何体现创新思维的。（8分）,,本题8分，采意赋分，可从逆向思维、发散思维与聚合思维、创新思维“三新”等层次融合论述；本条只训练其一，须综合多层有机论述方得满分。,False
67,三、创新思维,特点与三新,2026朝阳期中(2025-11) 第21题第（2）问,（2）结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。（6分）,,本题6分，细则认可超前／联想／逆向／三新／发散聚合五种创新思维方法，任选三种各2分；本条只训练其一，按细则任选三路径作答，单条不等于满分答案。,True
68,三、创新思维,特点与三新,2026门头沟一模 第18题第（2）问,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,,本题7分（“科学思维”为宽口径），细则两大要点：辩证思维（含整体性，约3分）＋创新思维（含三新，约2—3分）＋条理1分；须两维度合答，本条只训练其一，单条不等于满分答案。,True
69,三、创新思维,特点与三新,2026延庆一模 第18题第（2）问,（2）结合材料二，运用《逻辑与思维》的相关知识，谈谈你对虚拟数字人直播的思考。（7分）,,本题7分，四选三结构：矛盾分析法／适度原则／三新（辩证否定可替三新）各2分，任答三角度得6分＋条理1分；本条只训练其一，须三角度合答方得满分。,True
70,三、创新思维,特点与三新,2026石景山一模 第17题第（2）问,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,,本题6分，提两条建议（每条3分），细则开放联想／发散／聚合／超前等创新思维方法、“其他角度亦可酌情给分”；每条建议任选一种方法，本条仅示范，须两条各选角度写满方得满分。,True
71,三、创新思维,特点与三新,2026丰台二模 第21题,结合材料，运用创新思维，分析该区是如何让公园成为乐学之地的。（6分）,“3+X”不是固定高考术语，可理解为3个基础模块加若干特色课程方向；作答时抓“多方向打开课程可能—多主体聚合成乐学生态圈”，不必背数字。,本题6分，创新思维方法分层给分，创新思维总述、联想思维、发散思维与聚合思维等为主要角度，超前思维、逆向思维等言之有理亦可酌情给分；本条只训练其一，须多角度组织方达高档。,False
72,三、创新思维,特点与三新,2026西城二模 第18题第（4）问,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,,本题7分，细则按三角度等级赋分：追求认识的客观性、辩证思维（全面／发展）、创新思维（三新或逆向思维）均按“观点1分＋对应展开1分＋扣材料解释1分”评价；三角度且至少一点深入可达6—7分。本条只训练其一，须三维度合答。,True
73,三、创新思维,特点与三新,2025西城一模 第17题,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,,本题7分，细则要求客观性／整体性／三新三维度（各约3分、至少一点深入才6—7分）；本条只训练其一，须三维度合答方得满分。,True
74,三、创新思维,特点与三新,2025石景山一模 第19题,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,,"本题5分，细则三点：①客观性与可检验性合计2分（二者共用同一采分点、合并只得2分、不叠加）②归纳推理可靠程度2分③创新思维1分。本条只训练其一，作答须注意客观性与可检验性共用2分。
联想思维",True
75,三、创新思维,特点与三新,2025海淀期末 第18题,结合材料，分析北京城市图书馆是如何运用创新思维建设新型公共文化空间的。（6分）,,本题6分，逆向思维、联想思维、超前思维等创新角度均可采分；按作答较好的两个不同角度给分，不重复计分。本条只训练其一，完整作答须选取两个不同创新思维角度并结合材料展开。,False
76,三、创新思维,特点与三新,2026石景山一模 第17题第（2）问,（2）结合材料二，运用创新思维的知识，为传承中医药文化提出两条建议。（6分）,,本题6分，提两条建议（每条3分），细则开放联想／发散／聚合／超前等创新思维方法、“其他角度亦可酌情给分”；每条建议任选一种方法，本条仅示范，须两条各选角度写满方得满分。,True
77,三、创新思维,特点与三新,2026朝阳一模 第17题第（1）问后半,（1）识别设计 AI 任务指令所运用的推理类型。运用联想思维的具体方法提出一份“中国铁路博物馆文创产品”的设计方案。（7分）,,,False
78,三、创新思维,特点与三新,2026海淀二模 第18题第（1）问,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,,本题6分，细则按三个材料维度给分：市场调研、“减配”实验、上市前测试，每个维度2分（可选知识1分＋结合材料分析1分），共3个点。可选知识包括分析与综合、整体性／联系发展全面观点、矛盾分析法、量变质变、联想／逆向／超前、科学思维客观性／可检验性／预见性、不完全归纳推理等。本条只训练其一，完整作答须扣住三个材料维度分别选知识并结合材料分析，单条不等于满分答案。,True
