"entry_id","question_id","reasoning_form","logical_structure","validity_or_fallacy","rule_kouling","answer_sentence","evidence_level","status","rubric_source"
"RF0027","Q0029","三段论/小项不当扩大","自媒体是思想政治教育的工具；自媒体也是娱乐的工具；所以娱乐工具都是思想政治教育的工具。小项“娱乐工具”在前提中不周延，在结论中周延。","无效：小项不当扩大","前提中不周延的项，在结论中不得周延；否则犯大项或小项不当扩大。","朝阳二模 Q7 A 项不合逻辑，因为小项“娱乐工具”在前提中不周延，却在结论中被周延，犯小项不当扩大；本题正确选 D。","A-formal","source_locked_pending_external_review","gpt_sources/9223488a4b5e6f80_003202405朝阳高三二模政治试题.md:96-114; gpt_sources/f7c4cc4ac52ecefd_004202405朝阳高三政治质量检测二参考答案_以PDF为准.md:24-44"
"RF0028","Q0031","概念外延关系","“上世纪20年代末北京城南风土人情”是《城南旧事》呈现的具体内容，落在北京题材的具体表现范围中；选项D却说二者外延交叉。","错误：把从属/包含式题材关系误判为交叉关系","先定概念范围，再判全同、属种、交叉或全异；具体内容与上位题材不能直接判交叉","顺义一模 Q2 D 项不能选：具体风土人情属于北京题材的具体内容或下位表现，不是与北京题材部分重合的交叉关系。","B-choice-signal","source_locked_pending_external_review","gpt_sources/8d19592ca0679f21_2026顺义一模.md:37-43; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30"
"RF0029","Q0033","类比推理","《论持久战》解决抗战中长期问题的思想经验，对当前科技创新、乡村振兴等中长期问题提供思想启迪。","正确：以中长期复杂问题之间的相似性作或然迁移；不是定义，也不是完全归纳","类比推理看对象之间是否存在可迁移的相似属性，结论是或然的启发，不是必然保真","顺义一模 Q4 A 项可选：重温《论持久战》用一个历史复杂问题的思维经验启发当前中长期问题，属于类比推理。","B-choice-signal","source_locked_pending_external_review","gpt_sources/8d19592ca0679f21_2026顺义一模.md:55-63; gpt_sources/de758e5e79500dd0_2026顺义一模细则.md:20-30"
"RF0030","Q0038","关系判断/非传递关系","1班赢2班；2班赢3班；不能推出1班与3班之间同向胜负结果","正确：比赛胜负关系不具有传递性","判断关系是否传递，要看aRb且bRc时是否必然aRc；比赛胜负不保证传递","朝阳一模 Q5 D 项可选：1班赢2班、2班赢3班，并不能保证1班赢3班，所以胜负关系属于非传递关系。","B-choice-signal","source_locked_pending_external_review","gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:67-72,320-325"
"RF0031","Q0042","三段论构造","大项=保护和传承人类文明的重要殿堂；小项=博物馆；中项=具有教育功能的场所。M are P; S are M; therefore S are P。","有效：前提真实且符合三段论基本规则","先定大项和小项，再找中项；中项至少周延一次，结论不得扩大前提中不周延的项","房山一模 Q16(2) 可写：具有教育功能的场所是保护和传承人类文明的重要殿堂；博物馆是具有教育功能的场所；所以博物馆是保护和传承人类文明的重要殿堂。","A-formal","source_locked_pending_external_review","gpt_sources/3227fd51f2020c04_2025北京房山高三一模政治_教师版.md:156-176; gpt_sources/17cdecfbd774ee79_2025房山一模细则.md:46-54"
"RF0032","Q0047","归纳推理可靠程度","通过文献查阅、问卷调研、访谈、实验数据等多种方法收集材料，运用定性分析和定量分析寻找因果联系。","有效增强：扩大样本和证据面，用多方法互证提高归纳结论可靠程度","归纳推理不是只看一个例子；样本越广、方法越多、因果分析越充分，结论越可靠","石景山一模 Q19 可写：获奖建议综合文献、问卷、访谈和实验数据，用定性与定量分析寻找因果联系，从而提高归纳推理的可靠程度。","A-formal","source_locked_pending_external_review","gpt_sources/fb8717be46dabe77_2025北京石景山高三一模政治_教师版.md:271-282,384-387; gpt_sources/0b97375f2f69e53d_2025石景山一模细则.md:86-100"
"RF0033","Q0049","排中律/两不可错误","甲同时否定“使用融雪剂”和“禁止使用融雪剂”这两个相互矛盾判断。","错误：A与非A不能同假，两个互相矛盾判断必有一真；同时否定犯两不可错误","排中律管不能都否定：A和非A不能同假，至少有一真","朝阳期末 Q19 甲可写：使用融雪剂和禁止使用融雪剂是相互矛盾判断，甲同时否定二者，犯两不可错误，违反排中律。","A-formal","source_locked_pending_external_review","gpt_sources/ec82917288aa8774_2025北京朝阳高三_上_期末政治_教师版.md:221-227,326-336; gpt_sources/195324f05d7e2fea_朝阳高三期末2025.md:215-240; gpt_sources/953eaee3f98d8598_2025朝阳期末细则.md:1-16; renders/953eaee3f98d8598/page_003.png,page_004.png"
"RF0034","Q0049","矛盾律/自相矛盾错误","乙同时肯定“快速完成扫雪”和“慢慢清扫积雪”这两个相互矛盾要求。","错误：A与非A不能同真，两个互相矛盾判断必有一假；同时肯定犯自相矛盾错误","矛盾律管不能都肯定：A和非A不能同真，至少有一假","朝阳期末 Q19 乙可写：快速完成扫雪和慢慢清扫积雪在本题中是相互矛盾要求，乙同时肯定二者，犯自相矛盾错误，违反矛盾律。","A-formal","source_locked_pending_external_review","gpt_sources/ec82917288aa8774_2025北京朝阳高三_上_期末政治_教师版.md:221-227,326-336; gpt_sources/195324f05d7e2fea_朝阳高三期末2025.md:215-240; gpt_sources/953eaee3f98d8598_2025朝阳期末细则.md:1-16; renders/953eaee3f98d8598/page_003.png,page_004.png"
"RF0035","Q0049","三段论有效结构","所有为维护小区美好环境付出辛勤劳动的行为都是值得赞扬的；居民在小区扫雪是为维护小区美好环境付出辛勤劳动的行为；所以居民在小区扫雪是值得赞扬的。","有效：前提真实，且符合三段论推理规则，结构为M are P; S are M; therefore S are P","三段论先找大项、小项、中项；前提真实且结构合规，结论才符合逻辑","朝阳期末 Q19 丙可写：丙的推理是三段论，前提真实，结构符合三段论推理规则，因此结论符合逻辑。","A-formal","source_locked_pending_external_review","gpt_sources/ec82917288aa8774_2025北京朝阳高三_上_期末政治_教师版.md:221-227,326-336; gpt_sources/195324f05d7e2fea_朝阳高三期末2025.md:215-240; gpt_sources/953eaee3f98d8598_2025朝阳期末细则.md:1-16; renders/953eaee3f98d8598/page_003.png,page_004.png"
"RF0036","Q0052","必要条件假言推理无效式","P=实现虚拟与现实深度融合；Q=人工智能拥有智能硬件载体。原判断为P->Q，或“只有Q才P”；推理把Q当作可推出P的充分条件。","错误：必要条件不能当充分条件；必要条件假言推理中，肯定前件不能肯定后件；充分条件形式中，肯定后件不能肯定前件。","必要条件只挡掉没有它的情况：没有Q就没有P；有Q不等于一定有P。","朝阳一模 Q17(1) 可写：该推理不正确。智能硬件载体是实现深度融合的必要条件而非充分条件；肯定必要条件前件不能推出后件，所以仅有智能载体不能推出一定实现虚拟与现实深度融合。","A-formal","source_locked_pending_external_review","gpt_sources/e051761a7fc68fef_2025北京朝阳高三一模政治_教师版.md:190-198,309-315; gpt_sources/f5f683a900508fd2_2025朝阳一模细则.md:1-16; renders/f5f683a900508fd2/page_001.png; gpt_sources/f0b3ab889aa0b17b_20250329高3阅卷总结17_1题_具身智能_任会波组_阐释论证.md:25-57,80-97"
"RF0037","Q0053","不完全归纳推理可靠程度","研究小组只考察部分客运量位居前列线路，发现这些线路沿线景点多，就推出沿线景点数量是影响北京地铁客运量的决定性因素。","或然：从部分对象推出一般结论，前提与结论之间不是必然联系；需要扩大样本并探究因果关系提高可靠性。","不完全归纳先看样本够不够，再看因果够不够；样本越广、因果越清楚，结论越可靠。","朝阳二模 Q17 可写：该组同学运用不完全归纳推理。要更好发挥该推理功能，应考察更多线路，探究客运量与景点数量、人口密度等因素的因果联系，提高前提与结论的相关程度，增强推理可靠性。","A-formal","source_locked_pending_external_review","gpt_sources/6009b3f19a33a729_2025北京朝阳高三二模政治_教师版.md:192-200,304-308; gpt_sources/73c36c3077dced72_2025朝阳二模细则.md:71-79,86-107"
"RF0038","Q0060","充分条件假言判断构造","如果/只要P，就能Q；P=能够在商品外包装上印上垃圾分类标识，Q=方便人们正确进行垃圾分类。","正确：补全前件后形成符合上下文的充分条件真判断。","看横线前后哪一端是条件、哪一端是结果；如果/只要引出充分条件，不能把“提高标识率”这种含混目标当作满分判断。","丰台一模 Q19(1) 可写：如果/只要能够在商品外包装上印上垃圾分类标识，就能方便人们正确进行垃圾分类；这是符合上下文的充分条件假言判断。","A-formal","source_locked_pending_external_review","gpt_sources/5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.md:235-252,332-337; gpt_sources/950d6b2d3cdda441_2024丰台一模细则.md:98-123"
"RF0039","Q0061","三段论构造","M=搭建对外交流合作平台；P=推动冰雪经济高质量发展；S=第七届雪博会。大前提 M->P，小前提 S->M，结论 S->P。","有效：三段论形式合规且内容真实；大小前提倒置会降分。","结论给出小项和大项时，先找中项；大前提写中项到大项，小前提写小项到中项。","丰台二模 Q18(1) 可写：搭建对外交流合作平台推动了冰雪经济高质量发展；第七届雪博会是对外交流合作平台；所以第七届雪博会可以推动冰雪经济高质量发展。","A-formal","source_locked_pending_external_review","paper rendered page preprocessed_corpus/renders/57ddd500c48eeec9/page_006.png; gpt_sources/71fcaa9e66afc5db_2024丰台二模细则.md:40-50"
"RF0040","Q0062","必要条件误当充分条件/只要句式评析","观点把“准确预测冰雪经济发展前景”说成推动高质量发展的充分条件；正式细则要求判断其是必要条件但不是唯一条件。","片面：必要条件不是充分条件；有准确预测不等于一定能推动高质量发展。","必要条件只说明缺了不行，不说明有了就够；推动发展还需要辩证分析优势短板、遵循规律、从实际出发。","丰台二模 Q18(2) 可写：准确预测冰雪经济发展前景是推动高质量发展的必要条件，但不是唯一条件，不能推出只要预测准确就必然推动高质量发展。","A-formal","source_locked_pending_external_review","paper rendered page preprocessed_corpus/renders/57ddd500c48eeec9/page_006.png; gpt_sources/71fcaa9e66afc5db_2024丰台二模细则.md:53-64"
"RF0041","Q0063","科学归纳推理/不完全归纳推理","由352种不同品系高粱的AT1基因与耐盐碱表现，推出缺失AT1基因的高粱更耐碱的一般性结论；再用AT1增加/剪切与耐盐碱能力变化探求因果联系。","或然但可靠性增强：样本广，并用共变法、求异法等探求因果联系。","看到多种样本到一般结论，先判不完全归纳；看到一个因素变化伴随结果变化，判共变法；看到有无某因素导致结果差异，判求异法。","西城二模 Q18(1) 可写：研究人员运用不完全归纳推理，考察352种不同品系高粱，推出缺失AT1基因的高粱更耐碱；并通过AT1基因增加时耐碱能力减弱、剪切后耐碱能力增强，运用共变法和求异法探求因果联系。","A-formal","source_locked_pending_external_review","gpt_sources/0dbd7271f7bf108d_高三模拟测试思想政治试卷.md:162-172; gpt_sources/85ebe0578ce81b18_高三模拟测试思想政治答案.md:43-47; gpt_sources/f2e1772f20ed2085_2024西城二模细则.md:62-75"
"RF0042","Q0064","不完全归纳推理可靠程度","由部分外国朋友遇到移动支付“不能用”“不好用”等问题，推出支付不便利会导致“不想用”的一般结论。","或然推理：从部分对象推出一般结论，结论可靠程度可通过扩大认识对象、增加样本和归纳角度，并探求因果联系来提高。","不完全归纳不保真；样本越多、角度越全、因果越清楚，结论越可靠。","海淀一模 Q18(2) 可写：材料中由部分外国朋友在支付中遇到“不能用”“不好用”等问题，推出支付不便利会导致“不想用”，运用了不完全归纳推理；要提高可靠性，应考察更多认识对象，扩大研究范围、增加样本数量和归纳角度，并分析支付不便利与“不想用”之间的因果关系，可运用求同法、求异法、共变法等方法。","A-formal","source_locked_pending_external_review","gpt_sources/4bc0edec2a08a90e_高三政治_一模试题.md:278-296; gpt_sources/98d1d762f302004f_一模政治-答案.md:45-48; gpt_sources/b692254ceb1b8174_2024海淀一模细则.md:69-86"
"RF0043","Q0067","定义构成/属加种差定义","定义结构为：被定义项=举国体制；定义联项=是；种差=利用国家力量动员规模性资源、实现国家目标；属概念=一种任务组织方式和体制机制安排。","有效：该定义用属概念加种差说明举国体制，能把定义项与被定义项对应起来。","定义题先拆四件：被定义项、定义联项、种差、属概念；不要把整个定义项只写成属概念。","西城一模 Q19(2) 可写：①举国体制，②是，③利用国家力量动员规模性资源、实现国家目标，④一种任务组织方式和体制机制安排。","A-formal","source_locked_pending_external_review","gpt_sources/2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.md:226-278; gpt_sources/91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.md:53-62; gpt_sources/f7bcf000f212cc69_2024西城一模细则.md:65-78"
"RF0044","Q0068","概念外延关系：相容/属种关系","新型举国体制是举国体制的一种新形态；二者外延不是全异，正式答案接受相容或属种。","有效：属种关系属于相容关系；不能写成全同或全异。","看到“新型X”和“X”，先判断新型是不是X的一种；若是，就是属种，也属于相容。","西城一模 Q19(3) 可写：“举国体制”与“新型举国体制”的外延是相容关系，也可写属种关系。","A-formal","source_locked_pending_external_review","gpt_sources/2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.md:226-278; gpt_sources/91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.md:53-62; gpt_sources/f7bcf000f212cc69_2024西城一模细则.md:65-78"
"RF0045","Q0071","逻辑规则综合选择","D项：选择必须比较，不加比较作选择包含逻辑矛盾；A/B/C分别误判定义、列举/划分、概念搭配问题。","正确选D","逐项判规：不要把定义过宽误判为同语反复，不要把列举误判为严格划分错误，不要把概念搭配不当误判为不表达判断；抓住自相矛盾。","东城一模 Q6 选 D：不加比较作选择与选择本身的要求冲突，违背矛盾律。","A-formal","source_locked_pending_external_review","paper render preprocessed_corpus/renders/74cdfac9253763bf/page_003.png; answer render preprocessed_corpus/renders/7b4eece2963205d8/page_001.png; gpt_sources/4b2073bcc9e26f62_2024东城一模细则.md:22-27"
"RF0046","Q0072","三段论有效性与前提真实性","所有鸟都是会飞的；鸵鸟是鸟；所以鸵鸟是会飞的。","形式有效但前提不真，结论不真；正确选A=①②","演绎推理形式有效不等于结论真实；前提真实和形式有效共同保证结论真实；三项清楚时不要误判四概念。","东城一模 Q7 选 A：该三段论推理形式有效，但大前提“所有鸟都是会飞的”为假，所以结论“鸵鸟会飞”不正确。","A-formal","source_locked_pending_external_review","paper render preprocessed_corpus/renders/74cdfac9253763bf/page_003.png; answer render preprocessed_corpus/renders/7b4eece2963205d8/page_001.png"
"RF0047","Q0073","复合假言/选言推理链","小徐未选物理 -> 小赵未选地理 -> 小王未选政治；或者小李选政治，或者小王选政治；所以小李选政治。","正确选D","先把“只有A才B”改写为B->A，再用逆否；再把“如果P那么Q”逆否为非Q->非P；最后用选言推理排除一支推出另一支。","东城一模 Q8 选 D：小徐未选物理可推出小赵未选地理，再推出小王未选政治；既然小李或小王选政治，排除小王后必然推出小李选政治。","A-formal","source_locked_pending_external_review","paper render preprocessed_corpus/renders/74cdfac9253763bf/page_003.png; answer render preprocessed_corpus/renders/7b4eece2963205d8/page_001.png"
"RF0048","Q0074","类比推理/联想迁移复合辨析","海草培育移植法模仿地上植物移植技术方法，同时把既有移植经验迁移到海草生态修复场景。","支持选择 A：①②正确；③超前思维与④发散思维不直接对应题中既定技术路线。","看到“模仿某类对象的方法”先判类比推理；看到“由此及彼的迁移”再判联想思维，不要把所有技术改进都挂到超前或发散。","海草培育移植法既体现联想思维的迁移，也体现由地上植物移植方法到海草移植技术的类比推理。","A-support","source_locked_pending_external_review","gpt_sources/f581620be44a4c2c_2024北京石景山高三一模政治_教师版带答案.md:53-56; answer key :188"
"RF0049","Q0075","概念外延关系图示辨析","①财产权与物权可按图甲描述；④领土包含领陆、领空等组成部分，可按图丁描述；②③不符合对应图示外延关系。","支持选择 B：①④正确。","先判断两个概念的外延是包含、交叉、全异还是并列，再把概念关系映射到图示；不要把相关关系误写成外延关系。","石景山一模 Q7 的正确组合是①④，核心是把概念外延关系从文字关系转换到图示关系。","A-support","source_locked_pending_external_review","gpt_sources/f581620be44a4c2c_2024北京石景山高三一模政治_教师版带答案.md:57-61; answer key :188"
"RF0050","Q0076","枚举概括与同一对象替换","①在题干已给出三舱段封闭集合的前提下，把问天/梦天/天和分别是舱段概括为三者都是舱段；③把“中国空间站的三个舱段”与“问天、梦天、天和”作同一对象替换。","正确选B=①③；②把三个对象过度概括为航天人走过的路的穷尽选言；④由个别对象是路不能推出三者连缀征程。","先看集合是否封闭，再决定能否由列举概括；涉及两个表达指向同一对象时，可以替换保真；不要把若干例子偷换成全部对象。","西城一模 Q11 选 B。①是在封闭集合内作概括，③是同一对象替换；②犯过度概括，④添加了前提没有保证的整体关系。","A-formal","source_locked_pending_external_review","gpt_sources/2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.md:105-143; gpt_sources/91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.md:20-25; render 09_logs/render_check_west_2024_q11/west2024_page_005_q11.png"
"RF0051","Q0080","性质判断谓项周延性","文段多次作出“法是……社会规范”的肯定判断，其中“社会规范”作为肯定判断的谓项。","支持选择C：肯定判断的谓项不周延；A/D判断类型错误，B表述对象和方向不够严格。","性质判断先看肯定还是否定：肯定判断谓项不周延，否定判断谓项周延；再看选项有没有偷换对象或倒置属种方向。","丰台一模 Q7 选 C。“社会规范”在文中作为肯定判断的谓项出现，肯定判断的谓项不周延。","A-support","source_locked_pending_external_review","gpt_sources/5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.md:80-92,287-293; render 09_logs/render_check_fengtai_2024_q7/fengtai2024_page_002_q7.png and page_008_answer_key.png"
