"entry_id","question_id","thinking_type","small_method","material_action","trigger_logic","answer_sentence","evidence_level","status","rubric_source"
"MT0015","Q0039","创新思维/辩证思维 choice signal","发散思维与聚合思维/水城新联系","坝河治理由排洪河道转为集防洪、生态、休闲、文化、经济于一体的复合空间，并从水是水、岸是岸转向水城共融。","多功能拓展体现发散打开治理可能，围绕水城共融形成统一方案体现聚合收束，建立水与城的新联系。","坝河治理在防洪、生态、休闲、文化、经济等多方向打开思路，又聚合成水城共融的复合空间，体现发散与聚合思维。","B-choice-signal","source_locked_pending_external_review","gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:73-79,320-325"
"MT0016","Q0040","科学思维 choice signal","证据互证/可信度增强","科学家重建月球背面原始岩浆化学组成并计算温度，又用卫星遥感数据验证样品分析结果。","样品分析、计算推断和遥感数据之间互相印证，体现科学思维依靠证据链提高结论可信度。","月壤样品分析与卫星遥感数据相互印证，增强了关于月球背面月幔温度结论的可信程度。","B-choice-signal","source_locked_pending_external_review","gpt_sources/585b15124610aff7_2026北京朝阳高三一模政治_教师版.md:80-87,320-325"
"MT0017","Q0041","科学思维总帽下复合思维","辩证否定/整体动态/联想发散超前/客观性预见性","门头沟从千年煤城向京西智谷转型，破除煤炭路径依赖，保留工业基础优势，联结山地资源、文旅农林商和人工智能等新动能，并立足资源约束布局绿色高质量发展。","从旧煤炭经济转向新质生产力触发辩证否定；把山地资源、文旅农林商和人工智能多向联结触发创新思维；从资源约束和产业趋势出发提前布局触发科学思维的客观性和预见性。","门头沟区立足资源约束和发展趋势，扬弃煤炭经济、联结山地文旅与人工智能等新动能，体现辩证思维、创新思维和科学思维协同推动转型。","A-formal","source_locked_pending_external_review","gpt_sources/1d8a23fe11f59810_2025北京门头沟高三一模政治_教师版.md:320-334,393-399; gpt_sources/26d9b228064053c1_2025门头沟一模细则.md:79-83"
"MT0018","Q0043","创新思维","发散思维/借用方法/逆向思维/三新","琉璃河遗址有青铜罍铭文、两重城垣和三千年建城史等考古资源，需要从静态遗址转化为可体验、可传播、能吸引年轻人的公共文化场景。","让遗址热起来要把同一文化资源打开成多种体验方案，触发发散思维；借用沉浸式研学、角色扮演和互动解谜触发借用方法与联想思维；把静态文物转成AI动态视频触发逆向和转换性思考。","让琉璃河遗址热起来，可以用发散思维设计沉浸式研学、角色扮演和互动解谜等多样体验，也可以运用逆向思维把静态文物转化为AI动态视频等新表达。","A-formal","source_locked_pending_external_review","gpt_sources/3227fd51f2020c04_2025北京房山高三一模政治_教师版.md:156-176; gpt_sources/17cdecfbd774ee79_2025房山一模细则.md:56-68"
"MT0019","Q0044","创新思维","三新/发散与聚合/联想思维/超前思维","登月服把飞天飘带、火箭尾焰和现代登月装备外观联系起来，同时围绕月面行走、攀爬、驾车、科考、防热、防尘、防眩光等任务需求设计功能细节。","历史传统、火箭形象和服装造型建立新联系，触发联想思维；月面任务需求多方向展开，触发发散思维；围绕完成登月任务核心问题收束方案，触发聚合思维；提前预判月面环境和航天员需求，触发超前思维。","登月服设计把飞天飘带、火箭尾焰和现代装备联系起来，体现联想思维；又围绕月面行走、防热防尘、防眩光等任务需求多向展开并聚焦登月任务核心问题，体现发散与聚合思维；提前预判月面环境和航天员需求，体现超前思维。","A-formal","source_locked_pending_external_review","gpt_sources/8eda36bd87dba194_2025北京东城高三_上_期末政治_教师版.md:181-194,659-676; gpt_sources/26b1173765262a2f_2025东城期末细则.md:140-151"
"MT0020","Q0045","创新思维","逆向思维/发散与聚合/联想思维/迁移和想象/三新","《大梦·红楼》把传统经典改造成全场域行进式近景沉浸体验项目，设置三大沉浸展区、4条观众动线和20个经典情节还原；观众没有固定座位，可以选择路径、跟随角色自由行走并近距离互动。","观众从坐着看转为行走互动，触发逆向思维；多展区、多动线、多情节开发传统经典，触发发散思维；围绕红楼梦体验项目组织多线内容，触发聚合思维；传统经典迁移到沉浸式场景，触发联想思维、迁移和想象；消费场景、观演方法和文化传播效果更新，触发三新。","沉浸式演艺把观众由固定座位观看转为自由行走互动，体现逆向思维；又从多展区、多动线、多情节开发《红楼梦》并聚合成统一体验场域，体现发散与聚合思维；把传统经典迁移到沉浸式场景，体现联想思维和思路新、方法新、结果新。","A-formal","source_locked_pending_external_review","gpt_sources/6e5080fb116ab8fc_2025北京昌平高三二模政治_教师版.md:229-231,254-259,378-383; gpt_sources/af3875177855a611_2025昌平二模细则.md:21-25"
"MT0021","Q0046","科学思维总帽下复合思维","客观性/辩证思维/创新思维/逆向思维","温榆生态心根据清河、温榆河交汇处水流、鱼、昆虫、水鸟等客观条件，取消常规游乐设施、园径和路灯，营建河心岛、深潭浅滩，部分粮田留给鸟兽，并封闭核心区让自然演替主导生态恢复。","从当地自然条件出发触发科学思维客观性；把水流、鱼虫鸟兽、粮田和封闭核心区作为整体生态系统规划，触发辩证思维的联系、发展、全面观点；不按一般公园建设逻辑，反向减少人工设施，让自然演替主导，触发创新思维和逆向思维。","温榆生态心从当地水系、生物和荒野条件出发，遵循自然规律，整体规划河心岛、深潭浅滩、粮田和封闭核心区，并用不同于普通公园的建设思路让自然演替主导生态恢复，体现科学思维的客观性、辩证思维和创新思维。","A-formal","source_locked_pending_external_review","gpt_sources/2542f29bb04e2ae0_2025北京西城高三一模政治_教师版.md:225-232,340-342; gpt_sources/af675a5d751f41db_2025西城一模细则.md:73-78"
"MT0022","Q0047","科学思维","客观性/可检验性/归纳推理可靠程度/创新思维","学生建议从社会生活问题出发，经过文献查阅、问卷调研、访谈、实验数据等多种方法形成建议，有些建议已经转化为惠及民生的措施，同时从亲身经历中捕捉灵感和创意，形成新颖独特方案。","实践中产生并接受实践检验，触发科学思维的客观性和可检验性；文献、问卷、访谈、实验数据等多方法扩大证据面，触发归纳推理可靠程度；亲身经历、奇思妙想和城市建设碰撞，触发创新思维。","获奖建议从真实社会问题出发并接受实践检验，体现科学思维的客观性和可检验性；又通过文献、问卷、访谈和实验数据寻找因果联系，提高归纳推理可靠程度；还把亲身经历和城市建设相联结，提出新颖独特建议，体现创新思维能力。","A-formal","source_locked_pending_external_review","gpt_sources/fb8717be46dabe77_2025北京石景山高三一模政治_教师版.md:271-282,384-387; gpt_sources/0b97375f2f69e53d_2025石景山一模细则.md:86-100"
"MT0023","Q0048","科学思维","客观性/预见性/可检验性","我国发布第一个人工智能规划，明确基本原则和三步走目标，从实际出发分析发展趋势；到2025年基础理论突破、2030年总体世界领先，随后从国家层面对AI教育进行战略布局，并在实践中检验发展成果、完善政策部署。","从人工智能发展实际出发布局，触发科学思维客观性；预判发展趋势、提前部署和分段规划，触发科学思维预见性；在实践中检验成果并完善政策，触发科学思维可检验性。","我国从人工智能发展实际出发，准确预判发展趋势，提前部署、分段规划，并在实践中检验成果、完善政策部署，体现科学思维追求认识客观性、结果预见性和可检验性。","A-formal","source_locked_pending_external_review","gpt_sources/e8823e6dc1a71cac_2025北京丰台高三一模政治_教师版.md:203-209,299-303; gpt_sources/c143f0d3215c3417_2025丰台一模细则.md:69-76"
"MT0024","Q0050","创新思维","逆向思维/联想思维/发散与聚合/超前思维","北京城市图书馆借助数字技术实现从“人找书”到“书找人”，把传统“赤印”意象迁移到新型公共空间设计，并整合京津冀三地与各部门行业数字文化资源，构建多层级、多门类公共文化数字服务网络群。","从人找书到书找人，反向改变服务结构和顺序，触发逆向思维；把赤印意象迁移到建筑设计，触发联想思维和同化性迁移；整合多地多部门多行业资源并构建网络群，触发发散与聚合；面向京津冀公共服务功能和未来文化资源共建共享提前布局，触发超前思维。","北京城市图书馆借助科技实现“人找书”向“书找人”转换，体现逆向思维；把传统“赤印”意象迁移到建筑设计，体现联想思维；整合京津冀和多部门文化资源并构建公共文化数字服务网络群，体现发散与聚合思维；围绕三地共建共享提前布局公共服务功能，体现超前思维。","A-formal","source_locked_pending_external_review","gpt_sources/b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.md:145-154,238-239; gpt_sources/4b22b6c78aaddb3e_2025海淀期末细则.md:211-236"
"MT0025","Q0051","辩证思维","整体性/动态性/实践观点/主要矛盾","“两重”实施既强化硬投资，聚焦新质生产力、城乡融合、区域协调等重点领域，又搞好软建设，完善政策、规划、体制机制和投入机制；既解决当前问题，又着眼长远目标，努力办成大事难事。","硬投资与软建设并举，触发辩证思维整体性、联系全面和系统优化；当前问题与长远目标统筹，触发动态性、发展观点和实践观点；聚焦新质生产力等核心领域推进重大战略和安全能力建设，触发抓主要矛盾、两点论与重点论统一。","“两重”实施既强化硬投资又搞好软建设，体现辩证思维的整体性；既解决当前问题又着眼长远目标，体现动态性和实践观点；聚焦新质生产力等核心领域推进重大战略和重点领域安全能力建设，体现抓主要矛盾、坚持两点论与重点论统一。","A-formal","source_locked_pending_external_review","gpt_sources/46c444a91d491a4f_2025北京东城高三一模政治_教师版.md:183-189,305-308; gpt_sources/c254bbee61da4abd_2025东城一模细则.md:81-97"
"MT0026","Q0054","辩证思维","分析与综合/整体性/动态性/质量互变/辩证否定/矛盾分析法","低空经济呈现高速增长态势，但面临整体产业规模小、基础设施和服务保障少、低空空域开放难、应用场景散等挑战，需要完善基础设施保障和监管体系，鼓励企业技术创新与多元应用场景开发。","小少难散等多重挑战先拆开诊断，触发分析；在分析基础上找系统解决方案，触发综合；基础设施、监管、空域、场景和产业链相互联系，触发整体性；探索推进和由小散到大优，触发动态性与质量互变；集中解决空域管理等关键问题，触发矛盾分析法；挖掘优势并补短板升级，触发辩证否定。","应运用辩证思维分析低空经济“小、少、难、散”等具体问题，并在分析基础上综合把握低空经济发展；坚持整体性和动态性，统筹基础设施、服务保障、空域开放、监管能力和应用场景建设；坚持联系、发展和矛盾观点，集中解决空域管理等关键问题，推动低空经济由“小、散”向“大、优”转变。","A-formal","source_locked_pending_external_review","gpt_sources/94785525e6452e6f_2025北京延庆高三一模政治_教师版.md:209-229,316-321; gpt_sources/c0a3990e95796ddd_2025延庆一模细则.md:71-87"
"MT0027","Q0055","辩证思维","分析与综合/系统优化/整体性/动态性/质量互变/辩证否定/矛盾分析法","共享发展理念要求全民共享、全面共享、共建共享和渐进共享，既统筹共享主体、建设领域、合法权益和人人参与，又强调从低级到高级、从不均衡到均衡的渐进过程，并继承发展传统文化中重视均衡互济的思想。","全民、全面、共建共享把主体、领域、权利和参与连成系统，触发分析与综合、系统优化和整体性；渐进共享和从不均衡到均衡触发动态性与质量互变；继承“不患寡而患不均”“损有余而补不足”并回应新时代现实问题，触发辩证否定；承认高水平后仍有差别，触发矛盾分析法。","坚持共享发展理念推进共同富裕，要把全民共享、全面共享、共建共享作为相互联系的整体来把握，统筹共享主体、建设领域、合法权益和人人参与；要坚持动态性和质量互变观点，看到共同富裕是从低级到高级、从不均衡到均衡的渐进过程；还要坚持辩证否定，继承传统文化中重视均衡互济的合理因素，并结合新时代现实问题加以发展。","A-formal","source_locked_pending_external_review","paper rendered page preprocessed_corpus/renders/7ff16fecb25f793f/page_007.png; gpt_sources/fc56fdd304fde118_2025海淀二模细则.md:80-94; gpt_sources/10b5fafe88245264_2025年海淀二模评标实录.md:49-52"
"MT0028","Q0056","创新思维","超前思维/逆向思维/联想思维/发散与聚合/三新","朝外样本提前布局智能产品等新兴消费领域并打造特色主题首发街区；邀请国际前沿品牌设首店并扶持本土创新品牌首发；以“策展型零售”把商业空间改造成艺术主题场景；综合商圈定位、客群消费水平和品牌生态等因素实现价值耦合。","提前布局新兴领域和主题街区触发超前思维；突破传统品牌引进模式触发逆向思维；把零售空间与展览、艺术、自然场景联结触发联想思维；先打开商圈、客群、品牌生态等多因素，再聚焦价值耦合，触发发散思维与聚合思维；从新业态、新模式、新场景中体现思路新、方法新、结果新。","朝外样本在业态规划上提前布局智能产品和特色主题首发街区，体现超前思维；在品牌引进中邀请国际前沿品牌设首店并扶持本土创新品牌，突破传统模式，体现逆向思维；以“策展型零售”把商业空间与艺术场景联结起来，体现联想思维；又综合商圈定位、客群消费水平和品牌生态等因素实现价值耦合，体现发散思维与聚合思维。","A-formal","source_locked_pending_external_review","gpt_sources/0a50f76fd1e1c50f_202411朝阳高三政治_期中1试题.md:208-234; raw rubric 2024朝阳期中细则.rtf extracted lines 67-77; gpt_sources/0f8ea3bbe2629d2f_2024.11期中政治朝阳评标docx.md:111-175; gpt_sources/92a268ce852f6944_2024.11期中政治朝阳评标2.md:785-789,810,837"
"MT0029","Q0057","超前思维","矛盾分析法/科学判断和预见/系统化科学化长效化","“无废城市”建设面临大拆大建加剧固废、公众分类意识和行动不足、低值再生资源回收成本高利润低、固废资源化无害化技术支撑不足等问题。","大拆大建等问题提示未来固废风险，触发超前思维的判断和预见；尊重城市建设发展规律触发科学化；公众行动、低值资源回收和技术短板等多重制约需要作为系统矛盾来分析，触发超前思维的矛盾分析法；资源化和清洁生产结合、经济效益与社会效益统一，触发系统化和长效化治理。","推进“无废城市”建设，要针对大拆大建、公众分类不足、低值资源回收难和技术支撑不足等问题，在尊重城市建设发展规律的基础上运用超前思维的矛盾分析法，作出科学判断和预见，把固体废物资源化与清洁生产结合起来，统筹经济效益和社会效益，推动“无废城市”建设系统化、科学化、长效化。","A-formal","source_locked_pending_external_review","gpt_sources/33010f3bed39e275_20240318顺义思政二模试题_定.md:156-172; gpt_sources/f986728ea555a6ed_2024顺义思政二模细则.md:44-46"
"MT0030","Q0058","辩证思维/超前思维复合","关系分析/辩证否定/超前思维","传统产业在制造业中占比高，是现代化产业体系基底，但存在低端产能过剩、高端供给不足、创新能力薄弱等问题；未来材料、未来网络等未来产业正在加速前进，并渗透传统产业链上下游，引领传统优势产业转型。","传统产业提供支撑和市场、未来产业反向赋能传统产业，触发双向关系分析；传统产业有基础也有问题，不能简单抛弃，触发辩证否定和扬弃式改造；未来产业代表科技新赛道和未来趋势，触发超前思维布局建设。","传统产业与未来产业密不可分、相互促进，传统产业为未来产业发展提供原材料、零部件和市场，未来产业又赋能传统产业转型升级。发展新质生产力不是忽视或放弃传统产业，而是要坚持辩证否定，改造提升传统产业；同时要运用超前思维布局建设未来产业，完善现代化产业体系。","A-formal","source_locked_pending_external_review","paper rendered page 09_logs/renders_2024_dongcheng_yimo/page_008.png; gpt_sources/4b2073bcc9e26f62_2024东城一模细则.md:147-153,156-161"
"MT0031","Q0059","科学思维/超前思维/研究方法","问卷调查法/访谈法/头脑风暴法/文献查找法/迁移/矛盾分析法","学生围绕商品包装垃圾分类标识撰写模拟政协提案，需要查找法律条文、城市分类标准、常见商品外包装标识情况，并补充两种具体研究方法收集数据和资料。","设问要求补全具体研究方法而非只写思维标签；了解真实情况和收集系统资料触发科学思维客观性，围绕提案效果作判断预测触发结果预见性，分析综合比较归纳调查资料触发科学思维方法化处理。","可以采用问卷调查法，面向消费者和商家收集商品包装分类标识识别、使用和误投情况的数据，再分析综合这些资料，增强提案对真实问题的把握和未来效果预判；也可以采用文献查找法或迁移方法，查找法律标准和外地经验，为包装分类标识方案提供客观依据。","A-formal","source_locked_pending_external_review","gpt_sources/5f5486bfc3baab2b_2024北京丰台高三一模政治试题及答案.md:235-252,332-337; gpt_sources/950d6b2d3cdda441_2024丰台一模细则.md:98-123"
"MT0032","Q0062","科学思维/超前思维/辩证思维复合","预见性/必要条件边界/分析与综合/矛盾分析/具体问题具体分析","冰雪经济有政策规划、游客和收入增长、雪博会交流平台等发展前景，同时存在地理气候差异、室外场地布局有限、产业链不健全、标准不完善、研发人才投入不足、核心技术欠缺、高端装备市场被国外品牌占据等短板。","准确预测发展前景触发科学思维预见性和超前思维；但预测只是必要条件不是唯一条件，不能当充分条件；优势机会与劣势不足并存，触发辩证思维、分析与综合、矛盾分析和从实际出发。","该观点是片面的。准确预测冰雪经济发展前景，体现科学思维的预见性和超前思维，对推动冰雪经济高质量发展有积极作用；但准确预测只是必要条件，不是唯一条件。还要坚持辩证思维，既看到冰雪经济发展的优势和机会，也看到场地、产业链、标准、人才、技术等短板，具体问题具体分析，遵循冰雪产业发展规律，从当地实际出发推动冰雪经济高质量发展。","A-formal","source_locked_pending_external_review","paper rendered page preprocessed_corpus/renders/57ddd500c48eeec9/page_006.png; gpt_sources/71fcaa9e66afc5db_2024丰台二模细则.md:53-64"
"MT0033","Q0065","辩证思维","分析与综合/辩证否定","中国企业走出去后，在投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面遇到冲突和问题。","多类冲突需要逐项分析并形成综合方案，触发分析与综合；国内经验与当地条件不能简单照搬，需要保留优势并调整不适应部分，触发辩证否定。","石景山一模 Q19(3) 可写：企业应分别分析投资国法律制度、技术标准、市场营销、人员管理和当地文化等差异，再综合形成本土化经营方案；也可坚持辩证否定，保留自身技术和产业链优势，克服照搬国内经验的做法，在扬弃中完善海外经营方式。","A-support","source_locked_pending_external_review","gpt_sources/f581620be44a4c2c_2024北京石景山高三一模政治_教师版带答案.md:157-168,217-220; gpt_sources/935b8ea1e01b3ba5_2024年石景山一模.md:679-680"
"MT0034","Q0066","超前思维/辩证思维/科学思维","调查研究/矛盾分析法/分析与综合/推理和想象","未来产业具有战略性、颠覆性和高度不确定性，技术路线、应用场景和产业化时间难以判断，中央和地方正在前瞻布局。","未来方向难判断触发超前思维和推理想象；技术路线、应用场景和产业化时间的不确定性触发调查研究和科学思维；产业内在矛盾和动力触发矛盾分析；全球与中国产业状况需要分析后综合研判。","西城一模 Q19(5) 可写：研判我国未来产业发展方向，应以实践中的问题为导向，注重调查研究，把握全球及中国产业发展的状况、因果关系和规律，在分析基础上综合研判方向；善用矛盾分析方法，研究内在矛盾、内在动力和外在条件；合理运用推理和想象，由过去和现在推知未来趋势，体现超前思维。","A-formal","source_locked_pending_external_review","gpt_sources/2aa2ee045f75ecd8_2024.4高三统一测试思想政治试卷.md:219-284; gpt_sources/91e28443e7a1bb0e_2024.4高三统一测试思想政治答案.md:53-69; gpt_sources/f7bcf000f212cc69_2024西城一模细则.md:65-103"
"MT0035","Q0069","科学思维总帽下复合思维","客观性/创新思维/发散思维/聚合思维/分析与综合/辩证思维","学生从现实垃圾分类问题出发，查找法律条文、城市分类标准和商品外包装标识，调查219件商品并收集覆盖12个省级行政单位的626个样本，从繁杂数据中找到关键信息完成模拟提案。","从真实问题出发和样本调查触发科学思维客观性；头脑风暴寻找包装标识方案触发创新思维；从繁杂数据找关键信息触发发散到聚合；分析大量样本并综合形成提案触发分析与综合和辩证思维。","门头沟一模 Q20 可写：模拟提案从现实垃圾分类问题出发，查找法规和标准并开展样本调查，体现科学思维追求客观性；通过头脑风暴和发散、聚合思维寻找方案；在分析大量样本的基础上综合把握内在联系，最终形成提案，体现辩证思维。","B-compilation","source_locked_pending_external_review","preprocessed_corpus/gpt_sources/4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.md:61-68"
"MT0036","Q0070","超前思维","矛盾分析方法/推理和想象/调查研究","未来产业由突破性关键技术驱动，具有战略性前瞻性；未来消费需求、技术进步和生态要求都存在不确定性，地方要在未来产业领域抢占先机、探索新路径新范式。","未来产业和抢占先机触发超前思维；消费需求、技术路线、生态要求等多因素不确定触发矛盾分析；由现实需求和技术生态变化推知未来趋势触发推理和想象；准确判断趋势需要调查研究和把握规律。","房山一模 Q20(1) 可写：在未来产业领域抢占先机，要立足现实情况，多角度分析未来消费需求、技术进步和生态要求等因素，运用矛盾分析把握趋势；通过调查研究掌握产业现状和规律；合理运用推理和想象，提出不同于传统路径的新范式、新路径。","B-compilation","source_locked_pending_external_review","preprocessed_corpus/gpt_sources/4b25cddd4dc2992d_2024届各区一模试题分类汇编选必3.md:290-300"
"MT0037","Q0083","辩证思维","分析与综合","京津冀三地分别承担北京非首都功能疏解、天津服务新两翼建设、河北承接创新资源和产业协作等不同功能，同时通过规划、政策、交通、产业、生态、创新等协同联动共同书写高质量发展新篇章。","分别把握三地功能定位和特色优势触发分析；在此基础上整体把握区域差异、共商合作大计、优势互补触发综合；服务协同发展战略大局触发分析与综合的对立统一。","海淀一模 Q17(2) 可写：京津冀三省市从协同发展的战略大局出发，科学分析各自功能定位和特色优势；在分析基础上综合把握区域差异，共商合作大计，推动优势互补；在分析与综合的对立统一中把握各自发展特质，服务协同发展战略大局，书写新篇章。","A-formal","source_locked_pending_external_review","gpt_sources/4bc0edec2a08a90e_高三政治_一模试题.md:227-259; gpt_sources/98d1d762f302004f_一模政治-答案.md:41-44; gpt_sources/b692254ceb1b8174_2024海淀一模细则.md:42-57"
