"queue_id","priority","part","suite","question","target","status"
"Q0054","gap005_p2","thinking","2025延庆一模","Q18","低空经济辩证思维题：分析综合/整体动态/质量互变/矛盾分析","source_locked_pending_external_review"
"Q0055","gap005_p2","thinking","2025海淀二模","Q20","共享发展理念辩证思维题：整体性/动态性/辩证否定","source_locked_pending_external_review"
"Q0056","gap006_p1","thinking","2024朝阳期中","Q19","首发经济朝外样本创新思维题：超前/逆向/联想/发散聚合","source_locked_pending_external_review"
"Q0057","gap006_p1","thinking","2024顺义二模","Q16(2)","无废城市超前思维题：矛盾分析法/科学判断预见/系统长效治理","source_locked_pending_external_review"
"Q0058","gap006_p1","thinking","2024东城一模","Q18(3)","传统产业与未来产业关系题：辩证否定/超前思维/关系分析","source_locked_pending_external_review"
"Q0059","gap006_p1","thinking","2024丰台一模","Q19(2)","垃圾分类标识提案研究方法题：具体方法+科学思维理由","source_locked_pending_external_review"
"Q0060","gap006_p1","reasoning","2024丰台一模","Q19(1)","充分条件假言判断补全：如果/只要能够在商品外包装上印上垃圾分类标识","source_locked_pending_external_review"
"Q0061","gap006_p1","reasoning","2024丰台二模","Q18(1)","三段论补全：雪博会-对外交流合作平台-推动冰雪经济高质量发展","source_locked_pending_external_review"
"Q0062","gap006_p1","thinking","2024丰台二模","Q18(2)","科学思维评析：预测是必要条件但不是唯一条件，需辩证分析","source_locked_pending_external_review"
"Q0063","gap006_p1","reasoning","2024西城二模","Q18(1)","科学归纳/不完全归纳推理：AT1基因与高粱耐盐碱能力因果探求","source_locked_pending_external_review"
"Q0064","gap006_p1","reasoning","2024海淀一模","Q18(2)","不完全归纳推理可靠程度：扩大认识对象+探求因果联系","source_locked_pending_external_review"
"Q0065","gap006_p1","thinking","2024石景山一模","Q19(3)","辩证思维方法建议题：分析与综合/辩证否定处理走出去冲突","source_locked_pending_external_review"
"Q0066","gap006_p1","thinking","2024西城一模","Q19(5)","未来产业方向研判：实践问题导向+调查研究+矛盾分析+推理想象+超前思维","source_locked_pending_external_review"
"Q0067","gap006_p1","reasoning","2024西城一模","Q19(2)","定义构成：被定义项+定义联项+种差+属概念","source_locked_pending_external_review"
"Q0068","gap006_p1","reasoning","2024西城一模","Q19(3)","概念外延关系：举国体制与新型举国体制为相容/属种","source_locked_pending_external_review"
"Q0069","gap006_p2","thinking","2024门头沟一模","Q20","模拟提案完成过程科学思维：客观性+发散聚合+分析综合","source_locked_pending_external_review"
"Q0070","gap006_p2","thinking","2024房山一模","Q20(1)","未来产业抢占先机：超前思维+矛盾分析+推理想象+调查研究","source_locked_pending_external_review"
"Q0071","gap006_p1","reasoning","2024东城一模","Q6","逻辑规则综合选择：矛盾律/定义过宽/划分边界/判断表达","source_locked_pending_external_review"
"Q0072","gap006_p1","reasoning","2024东城一模","Q7","三段论形式有效与前提真实性边界","source_locked_pending_external_review"
"Q0073","gap006_p1","reasoning","2024东城一模","Q8","复合假言与选言推理链：由小徐未选物理推出小李选政治","source_locked_pending_external_review"
"Q0074","gap006_p1","thinking","2024石景山一模","Q6","联想思维迁移与类比推理复合选择：海草培育移植法","source_locked_pending_external_review"
"Q0075","gap006_p1","reasoning","2024石景山一模","Q7","概念外延关系选择：财产权/物权与领土/领陆/领空","source_locked_pending_external_review"
"Q0076","gap006_p1","reasoning","2024西城一模","Q11","枚举概括/同一对象替换：问天梦天天和推理判断","source_locked_pending_external_review"
"Q0077","gap006_p1","thinking","2024西城一模","Q12","肯定与否定互为条件：辩证思维边界","source_locked_pending_external_review"
"Q0078","gap006_p1","thinking","2024西城一模","Q13","联想思维非逻辑制约的畅想性","source_locked_pending_external_review"
"Q0079","gap006_p1","thinking","2024朝阳一模","Q7","创新思维跨越性/逻辑推导/继承借鉴边界","source_locked_pending_external_review"
"Q0080","gap006_p1","reasoning","2024丰台一模","Q7","性质判断周延性：肯定判断谓项不周延","source_locked_pending_external_review"
"Q0081","gap006_p1","reasoning","2024海淀一模","Q6","围棋推理：选言推理与逆向思维复合辨析","source_locked_pending_external_review"
"Q0082","gap006_p1","reasoning","2024海淀一模","Q7","联言判断类型：不是P而是Q / P并且Q","source_locked_pending_external_review"
"Q0083","gap006_p1","thinking","2024海淀一模","Q17(2)","分析与综合：京津冀协同发展三层触发","source_locked_pending_external_review"
"Q0084","gap006_p1","thinking+reasoning","2024朝阳二模","Q19(1)","辩证思维动态性 + 类比推理：生生之宇宙观/人效法天地之德","source_locked_pending_external_review"
"Q0085","gap006_p1","reasoning","2024朝阳二模","Q19(2)","联言判断及真值条件：全真才真，一假即假","source_locked_pending_external_review"
"Q0086","gap006_p1","thinking","2024顺义二模","Q3","文旅名片：矛盾分析法信号与逆向思维误挂","source_locked_pending_external_review"
"Q0087","gap006_p1","thinking","2024顺义二模","Q5","短视频散点叙事：聚合思维误挂","source_locked_pending_external_review"
"Q0088","gap006_p1","reasoning","2024顺义二模","Q6","逻辑分析综合选择：复合判断识别","source_locked_pending_external_review"
"Q0089","gap006_p1","reasoning","2024顺义二模","Q7","必要条件假言判断：只有……才……","source_locked_pending_external_review"
"Q0090","gap006_p1","thinking","2024丰台一模","Q10","抽象思维与形象思维互补性：科学发现受音乐启发","source_locked_pending_external_review"
"Q0091","gap006_p1","reasoning","2024丰台一模","Q11","必要条件判断：河流与生命宜居","source_locked_pending_external_review"
"Q0092","gap006_p1","thinking","2024顺义二模","Q2","飞行器命名：抽象思维误挂","source_locked_pending_external_review"
"Q0093","gap006_p1","reasoning","2024海淀二模","Q5","探求因果联系：求异法","source_locked_pending_external_review"
"Q0094","gap006_p1","reasoning","2024海淀二模","Q6","概念属性与换位推理边界：超长期特别国债","source_locked_pending_external_review"
"Q0095","gap011_p1","thinking","2026门头沟一模","Q5","公交专线创新：扬弃与逆向思维信号","source_locked_pending_external_review"
"Q0096","gap011_p1","reasoning","2026门头沟一模","Q6","EAST人造太阳：类比推理与换位/换质","source_locked_pending_external_review"
"Q0097","gap011_p1","thinking","2026门头沟一模","Q18(2)","法院解决环境纠纷：辩证思维与创新思维复合触发","source_locked_pending_external_review"
"Q0098","gap006_p1","thinking","2024海淀二模","Q17(2)","认识发展历程：感性具体、思维抽象、思维具体","source_locked_pending_external_review"
"Q0099","gap011_p2","thinking","2026门头沟一模","Q7","学农实践：实践第一与辩证思维整体性混合选择题信号","source_locked_pending_external_review"
"Q0100","gap015_p1","thinking","2026延庆一模","Q18(2)","虚拟数字人直播治理：辩证思维、适度原则、创新思维与辩证否定","source_locked_pending_external_review"
"Q0101","gap016_p1","thinking","2026东城一模","Q19(4)","中关村把‘1’拉长推进：系统观念与创新思维","source_locked_pending_external_review"
"Q0102","gap017_p1","thinking","2026房山一模","Q18(1)","常态蓝天治理：系统治理、精准施策、久久为功的辩证思维方法","source_locked_pending_external_review"
"Q0103","gap018_p1","thinking","2026石景山一模","Q2","夏日山地旅游与工业遗址蝶变：辩证思维矛盾转化选择题信号","source_locked_pending_external_review"
"Q0104","gap018_p1","reasoning","2026石景山一模","Q5","非遗法定义项与换质位推理边界","source_locked_pending_external_review"
"Q0105","gap018_p1","reasoning","2026石景山一模","Q6","具身智能定义与必要条件判断","source_locked_pending_external_review"
"Q0106","gap018_p1","reasoning","2026石景山一模","Q7","茶道见微知著：不完全归纳推理","source_locked_pending_external_review"
"Q0107","gap018_p1","thinking","2026石景山一模","Q17(2)","中医药文化传承建议：发散聚合与超前思维","source_locked_pending_external_review"
"Q0108","gap019_p1","thinking","2025丰台二模","Q12","科技成果先使用后付费：逆向思维与动态性选择题信号","source_locked_pending_external_review"
"Q0109","gap019_p1","reasoning","2025丰台二模","Q13","同学关系非传递与概念判断推理陷阱","source_locked_pending_external_review"
"Q0110","gap019_p1","thinking","2025丰台二模","Q14","商品概念到资本矛盾：思维抽象与辩证思维选择题信号","source_locked_pending_external_review"
"Q0111","gap019_p1","reasoning","2025丰台二模","Q16(2)","大思政课结论三段论构建","source_locked_pending_external_review"
"Q0112","gap019_p1","thinking+reasoning","2025丰台二模","Q19(1)","AI版权雷达：充分条件判断与辩证思维综合治理","source_locked_pending_external_review"
"Q0113","gap020_p1","reasoning","2026丰台二模","Q8","脑机接口使用方：换位推理、三段论规则与矛盾关系选择题","source_locked_pending_external_review"
"Q0114","gap020_p1","reasoning","2026丰台二模","Q9","花茶真假话约束推理：必然推出乙喜欢珠兰与丁不喜欢白兰","source_locked_pending_external_review"
"Q0115","gap020_p1","thinking","2026丰台二模","Q21","乐学公园：创新思维、联想思维、发散与聚合思维","source_locked_pending_external_review"
"Q0116","gap020_p1","reasoning","2026东城二模","Q12","春日意象：否定论断矛盾关系与省略三段论前提边界","source_locked_pending_external_review"
"Q0117","gap020_p1","thinking+reasoning","2026东城二模","Q18","体检思维：类比推理价值与超前治理","source_locked_pending_external_review"
"Q0118","gap021_p1","thinking","2026朝阳二模","Q5","诗歌翻译：形象思维与意境表达选择题","source_locked_pending_external_review"
"Q0119","gap021_p1","reasoning","2026朝阳二模","Q6","未来产业：必要条件判断与双重否定选择题","source_locked_pending_external_review"
"Q0120","gap021_p1","thinking","2026朝阳二模","Q7","智能轮椅：创新思维思路多向性与跨越性选择题","source_locked_pending_external_review"
"Q0121","gap021_p1","reasoning","2026朝阳二模","Q19(1)","生产性服务业：种差加属概念定义方法主观题","source_locked_pending_external_review"
"Q0122","gap022_p1","thinking","2026海淀二模","Q3","墨梅美学符号：思维具体与类比推理误挂陷阱","source_locked_pending_external_review"
"Q0123","gap022_p1","reasoning","2026海淀二模","Q4","深圳湾公园灯光：矛盾律误挂陷阱","source_locked_pending_external_review"
"Q0124","gap022_p1","reasoning","2026海淀二模","Q5","词元：必要条件判断与概念关系选择题","source_locked_pending_external_review"
"Q0125","gap022_p1","reasoning","2026海淀二模","Q6","广交会：演绎推理与相容选言边界选择题","source_locked_pending_external_review"
"Q0126","gap022_p1","reasoning","2026海淀二模","Q7","桥下空间改造：不完全归纳推理选择题","source_locked_pending_external_review"
"Q0127","gap022_p1","thinking","2026海淀二模","Q18(1)","月季自主育种：分析综合、联想和科学思维主观题","source_locked_pending_external_review"
"Q0128","gap022_p1","reasoning","2026海淀二模","Q20(1)","全球发展倡议：三段论构建主观题","source_locked_pending_external_review"
"Q0129","gap023_p1","thinking","2026房山二模","Q18(2)","OPC：辩证否定观、联系发展和扬弃主观题","source_locked_pending_external_review"
"Q0130","gap024_p1","reasoning","2026西城二模","Q5","绿色宜居示范社区：相容选言和必要条件推理选择题","source_locked_pending_external_review"
"Q0131","gap024_p1","thinking","2026西城二模","Q6","脑机接口康复：联想与创新思维选择题","source_locked_pending_external_review"
"Q0132","gap024_p1","thinking","2026西城二模","Q18(4)","人机协同：科学、辩证、创新思维品质主观题","source_locked_pending_external_review"
"Q0133","gap025_p1","thinking","2026石景山二模","Q6","守岁诗意象：形象思维、联想想象和情感表达选择题","source_locked_pending_external_review"
"Q0134","gap025_p1","reasoning","2026石景山二模","Q7","食品标签易误导用语：同一律和概念确定性选择题","source_locked_pending_external_review"
"Q0135","gap025_p1","thinking","2026石景山二模","Q17(2)","养老立法最大难点：辩证分合、分析与综合主观题","source_locked_pending_external_review"
"Q0136","gap026_p1","thinking","2026顺义二模","Q5","登山裤面料：定性分析与定量分析选择题","source_locked_pending_external_review"
"Q0137","gap026_p1","reasoning","2026顺义二模","Q6","足球联赛预测：轻率概括误挂陷阱","source_locked_pending_external_review"
"Q0138","gap026_p1","reasoning","2026顺义二模","Q7","物业管理改物业服务：准确运用概念混合选择题信号","source_locked_pending_external_review"
"Q0139","gap026_p1","thinking+reasoning","2026顺义二模","Q18(1)","AI 车企事故点评：矛盾律与科学思维客观性主观题","source_locked_pending_external_review"
"Q0140","gap026_p1","thinking","2026顺义二模","Q21","先见远虑：科学思维、超前思维综合题","source_locked_pending_external_review"
"Q0141","gap006_v87","reasoning","2024东城二模","Q17(2)","作物耐碱密码：科学归纳推理求异法+类比推理主观题","source_locked_suite_identity_conflict_pending_external_review"
"Q0142","gap005_v87","reasoning","2025东城二模","Q18(2)","创新生态：充分条件假言推理前提真假辨析主观题","source_locked_pending_external_review"
"Q0143","gap005_v87","reasoning","2025西城期末","Q17(2)","工业固废：三段论构建主观题","source_locked_pending_external_review"
