"entry_id","question_id","book_part","correct_answer","correct_reason","wrong_option_traps","trap_type","evidence_level","status"
"CT0026","Q0080","reasoning","C","C项正确：“社会规范”在多个肯定判断中作为谓项出现，肯定判断的谓项不周延。","A把性质判断误判为假言判断；B把“法是社会规范的一种”表述成对象/方向不够严格的属种关系；D把“法者，治之端也”误判为特称肯定判断。","性质判断谓项周延/属种方向与判断类型陷阱","A-support","source_locked_pending_external_review"
"CT0027","Q0081","reasoning","B","B项①④正确：多种可选走法可用选言推理分析取舍，一步棋与双方局势相关时逆向思维有助于判断。","②把走法与结果的联系误挂必要条件假言判断；③把完全归纳推理说成落子取胜的必要手段，过度绝对化。","选言推理/逆向思维与必要条件、完全归纳误挂","A-formal","source_locked_pending_external_review"
"CT0028","Q0082","reasoning","C","C项正确：题干“不是P，而是Q”可表达为“非P并且Q”，与C项“前提真实，并且推理形式有效”同属联言判断。","A是充分必要条件判断；B/D是条件判断，尤其D用“除非”表达必要条件，不是联言判断。","联言判断类型识别：不是P而是Q","A-formal","source_locked_pending_external_review"
"CT0029","Q0086","thinking","C","C项②③正确：哈尔滨冰雪经济体现文化与经济交融；文旅局因地制宜打造名片，官方键认可为矛盾分析法科学履职。","①把文旅资源开发的作用绝对化为让各地人们过上美好生活；④把“抄作业”“亮家底”误判为逆向思维，缺少从相反方向或结果倒推的思维动作。","矛盾分析法信号/逆向思维误挂","B-choice-signal","source_locked_pending_external_review"
"CT0030","Q0087","thinking","B","B项从价值关系角度解释短视频塑造城市形象的积极意义，官方答案锁定为 B。","C把不同角度、不同方向、散点式叙事误写成聚合思维；这种动作更接近打开视角的发散，不是把多种信息集中到一个共同结论。A把短视频误说成直接现实性活动，D把内容来源误说成决定城市形象维度容量。","聚合思维误挂/发散与聚合边界","B-choice-signal","source_locked_pending_external_review"
"CT0031","Q0088","reasoning","C","C项正确：正当防卫条文由多个判断联结构成，属于复合判断。","A把列举子项的法律概念误判为“多出子项”的划分错误；B把“若a=b，则ac=bc”误判为充分必要条件；D把服务员答非所问误判为违反排中律。","复合判断识别/排中律与条件判断误判","A-formal","source_locked_pending_external_review"
"CT0032","Q0089","reasoning","C","C项正确：“只有……才……”表达必要条件关系，构建相关法律法规是保证数字经济稳定快速发展的必要条件。","A把“数字劳动是数字经济发展的重要因素”误判为定义；B把数字劳动和非物质劳动误判为交叉关系；D把假言判断真假条件说成取决于前后件本身真假，忽略假言判断的联结关系。","必要条件假言判断/定义与外延关系误判","A-formal","source_locked_pending_external_review"
"CT0033","Q0090","thinking","A","A项正确：科学发现受到音乐形象、节奏和结构启发，体现抽象思维与形象思维的互补性。","B把材料误读成科学思维客观性和逻辑性；C把艺术启发误说成批判性；D把创新思维与艺术关系绝对化为“必须关联”。","抽象思维与形象思维互补/科学思维误挂","A-support","source_locked_pending_external_review"
"CT0034","Q0091","reasoning","D","D项正确：河流是地球生命宜居的必要条件，没有河流就不会有生命产生。","A/B从可能证据过度推出火星遍布河流或存在生命；C把“很可能是远古河床遗迹”误判为非对称性关系判断。","必要条件判断/可能性证据过度推断","A-support","source_locked_pending_external_review"
"CT0035","Q0092","thinking","D","D项③④正确：命名体现意识活动的能动创造性，也具有鲜明中国文化特色。","①把飞行器命名的文化意象和浪漫表达误写成抽象思维；②把名称与飞行器之间的关系说成必然联系，也过度化。","抽象思维误挂/文化意象与逻辑抽象边界","B-choice-signal","source_locked_pending_external_review"
"CT0036","Q0093","reasoning","A","A项正确：三组毛巾实验只有阳光条件不同，且只有阳光下产生香气分子，体现求异法。","B求同法要求多个场合同有同一因素；C共变法要求因素量变与结果量变同步；D剩余法要求从已知原因中扣除剩余结果。","求异法/求同法/共变法/剩余法辨析","A-formal","source_locked_pending_external_review"
"CT0037","Q0094","reasoning","C","C项正确：“发行期限10年以上”反映超长期特别国债的属性。","A把并列分类中的专项国债和特别国债误判为矛盾关系；B概念外延关系表述不严；D把“特别国债是增量工具”不当换位为“增量工具是特别国债”。","概念属性与外延关系/不当换位","A-formal","source_locked_pending_external_review"
"CT0038","Q0095","thinking","C","C项②③正确：公交专线改造传统公交模式体现扬弃，打破站点设置惯性并反向围绕市场动线设计体现逆向思维。","①把系统优化和效益统一泛化成题干主旨；④把公交运营矛盾处理误写成联想和矛盾对立性转化为同一性，概念贴标签过重。","扬弃/逆向思维信号与联想误挂","B-choice-signal","source_locked_pending_external_review"
"CT0039","Q0096","reasoning","A","A项①③正确：EAST人造太阳体现类比推理，③可由特称肯定判断换位后换质得到。","②误判EAST装置与模拟太阳核聚变装置的外延关系；④把“托卡马克装置是开展核聚变研究的装置，EAST是托卡马克装置”不当地倒推成“开展核聚变研究的装置是EAST装置”。","类比推理/换位换质/不当换位","A-formal","source_locked_pending_external_review"
"CT0040","Q0099","thinking","B","B项①④正确：①对应必修四实践第一观点，④把农业技能培养与劳动价值观塑造综合把握，对应辩证思维整体性。","②错在把亲身劳作和农业知识学习说成思维具有直接性；思维具有间接性、概括性和能动性。③错在把从劳动实践中提炼劳动价值直接说成思维抽象到思维具体，缺少从抽象规定回到多方面统一整体的思维具体链条。","实践第一混入/思维直接性误挂/思维抽象到思维具体过度套用","B-choice-signal","source_locked_pending_external_review"
"CT0041","Q0103","thinking","D","D项②④正确：②把资源再利用、克服困难和新消费场景开发理解为创造条件推动矛盾双方转化，④体现发展观点和新视角新方法。","①错在把系统优化写成部分功能之和大于整体功能；系统优化强调整体功能大于部分功能之和。③错在把意识能动性的方向说成客观见之于主观。","系统优化误写/意识能动性方向错误/辩证思维选择题信号","B-choice-signal","source_locked_pending_external_review"
"CT0042","Q0104","reasoning","D","D项正确：特称肯定判断换质后成为特称否定判断，不能再换位，所以不能进行有效换质位推理。","A把传统口头文学与传统美术误判为矛盾关系；B把属加种差定义结构识别不严；C把列举部分外延误说成定义过窄。","换质位推理边界/概念外延与定义规则","A-formal","source_locked_pending_external_review"
"CT0043","Q0105","reasoning","D","D项②④正确：②由定义可推出有些具有身体的人工智能能像人一样感知学习，④正确表达必要条件关系。","①把所有具有身体的人工智能都排除为非具身智能之外，范围过度；③由不能称为具身智能反推不能感知学习，犯逆向误读。","必要条件判断/定义范围/逆向误读","A-formal","source_locked_pending_external_review"
"CT0044","Q0106","reasoning","C","C项正确：通过有限观察识别茶香持久与烘焙工艺之间的内在关联，属于不完全归纳推理。","A误挂必要条件假言判断；B把渐进变化和内在关联误写成求同法；D把见微知著泛化为辩证思维整体妙悟。","不完全归纳/求同法误挂/辩证思维泛化","A-formal","source_locked_pending_external_review"
"CT0045","Q0108","thinking","C","C项②③正确：科技成果先使用后付费，体现逆向思维，也把科技成果转化作为根据使用情况动态调整的创新模式。","①把先使用后付费误说成演绎推理；④把科技成果向现实生产力转化夸大为二者相互转化。","逆向思维/动态性/演绎推理误挂/相互转化泛化","A-support","source_locked_pending_external_review"
"CT0046","Q0109","reasoning","A","A项正确：同学关系在本题中是非传递关系，甲是乙的同学、乙是丙的同学，不能必然推出甲是丙的同学。","B把国际关系基本形式的不完整列举说成正确划分；C从特称否定判断出发误作换位推理；D把文学定义限定为文字表达，可能排除口头文学，定义过窄。","非传递关系/划分不全/特称否定换位/定义过窄","A-support","source_locked_pending_external_review"
"CT0047","Q0110","thinking","B","B项①④正确：形成商品概念体现从感性具体到思维抽象；分析资本主义社会基本矛盾把握社会发展规律体现辩证思维方法。","②把从商品到货币的局部推演说成完成思维抽象上升到思维具体的历程；③把分析和综合关系中的先导方向说反。","思维抽象/辩证思维/思维具体过度/分析综合关系误判","A-support","source_locked_pending_external_review"
"CT0048","Q0113","reasoning","C","C项②④正确：②是特称肯定判断有效换位；④在脑机接口使用方这一属概念下，终端使用者和试验操作者构成矛盾关系。","①把省略“或操作”后的定义错误说成定义过宽，方向错误；③给出的三段论中项在大前提中周延，不犯中项不周延。","换位推理/三段论中项周延/定义宽窄/概念外延关系","A-support","source_locked_pending_external_review"
"CT0049","Q0114","reasoning","D","D项②④正确：真假话和偏好约束共同推出乙喜欢珠兰花茶、丁不喜欢白兰花茶。","①甲不喜欢白兰花茶和③丙不喜欢珠兰花茶只在部分满足情形中成立，不能作为必然推断。","真假话约束推理/必然性与可能性混淆","A-support","source_locked_pending_external_review"
"CT0050","Q0116","reasoning","D","D项正确：一个判断与其否定论断不能同真，也不能同假，属于矛盾关系。","A把具体意象和春日意象简单说成种属关系；B把并列描述误判为关系判断；C把省略三段论的大前提误说成小前提。","矛盾关系/种属关系误判/关系判断误判/省略前提错位","A-support","source_locked_pending_external_review"
"CT0051","Q0118","thinking","C","C项②④正确：翻译是译者鉴赏感悟与原诗意境的融合；用和风、阵雨、慵懒、鸟鸣等自然意象表达情感意境，体现形象思维。","①把翻译效果夸大为完美再现创作者细微心境；③把翻译意境处理误挂为辩证否定。","形象思维/完美再现过度/辩证否定误挂","A-support","source_locked_pending_external_review"
"CT0052","Q0119","reasoning","D","D项正确：未来产业本身具有战略性、引领性、颠覆性和不确定性，所以有些具有这些特征的前瞻性产业不是非未来产业。","A把完全放任可能破坏市场秩序扩张成只要不适度监管就会破坏市场秩序；B把未来产业这一必要条件误推为充分条件；C把发展不佳原因限定为监管过严或放任自流，排除其他原因。","必要条件误推/双重否定/过强条件","A-support","source_locked_pending_external_review"
"CT0053","Q0120","thinking","D","D项正确：智能轮椅突破传统轮椅功能局限，实现脑电操控，体现创新思维的思路多向性与跨越性。","A把持续改进误说成创新思维动态性特征；B把技术组合误挂为辩证思维整体性与相对静态性；C把行动不便者生活难题误说成次要矛盾。","创新思维/动态性误挂/整体性误挂/主次矛盾误判","A-support","source_locked_pending_external_review"
"CT0054","Q0122","thinking","C","C项正确：墨梅这一艺术形象表明人们能够创造出自然界并不存在的艺术形象。","A把艺术形象创造误挂为思维具体中描摹整体表象；B把梅的特性隐喻人格之美误挂为类比推理；D把艺术审美误说成对梅花自然属性的真理性认识。","思维具体误挂/类比推理误挂/艺术形象边界","B-choice-signal","source_locked_pending_external_review"
"CT0055","Q0123","reasoning","A","A项正确：候鸟迁飞与公园照明之间的联系具有人化特点。","C把同一城市文明下的不同实践误挂为对同一事物作出相反论断、违反矛盾律；D把具体平衡误写为折中主义；B误判主要矛盾的主要方面。","矛盾律误挂/折中主义误挂/主次矛盾误判","B-choice-signal","source_locked_pending_external_review"
"CT0056","Q0124","reasoning","D","D项正确：只有数据被拆解成词元，人工智能才能分析运算；用户提问没有被拆解成词元，则人工智能无法分析运算。","A把全同关系误判成交叉关系；B把输入代码和词元误判为属种关系；C误判关系性质。","必要条件/概念外延误判/关系性质误判","A-support","source_locked_pending_external_review"
"CT0057","Q0125","reasoning","A","A项①②正确：①可由中小企业获得参展资格推出；②可由参加新品首发活动的必要条件推出。","③从未获批参加新品首发反推缺少自主知识产权；④把相容选言误作不相容选言，推出广交会首次发布就不是全球市场首次发布。","必要条件反推/相容选言误判/演绎保真","A-support","source_locked_pending_external_review"
"CT0058","Q0126","reasoning","A","A项①②正确：由多个城市项目推出一般结论，属于不完全归纳；增加考察对象数量可提高可靠程度。","③把不完全归纳结论误说成必然；④把研究结论形成过程误挂为分析是综合的先导。","不完全归纳/必然性误判/分析综合误挂","A-support","source_locked_pending_external_review"
"CT0059","Q0130","reasoning","B","B项正确：入选示范社区，同时未解决设备噪声扰民问题，可由必要条件中的相容选言推出已解决餐饮油烟扰民问题。","A只有解决设备噪声且未入选，不能推出油烟；C解决设备噪声且入选不能排除油烟未解决；D未解决设备噪声且未入选也不能推出油烟。","相容选言/必要条件/否定一支肯定另一支","A-support","source_locked_pending_external_review"
"CT0060","Q0131","thinking","A","A项①②正确：脑机接口康复跨界融合脑机技术与康复医疗，拓展治疗新方案；技术集成破解康复瓶颈，体现创新思维跨越性与独特性。","③把技术路径误说成通过想象重构神经传导机制；④把控制外骨骼误挂为完全仿照人体自然行走和类比方法。","联想思维/创新思维/想象误挂/类比误挂","A-support","source_locked_pending_external_review"
"CT0061","Q0133","thinking","D","D项正确：苏轼以赴壑之蛇为喻，运用联想、想象等反映事物，具有表达的情感性。","A把诗歌意象误挂为抽象思维的概念判断推理；B把情感表达误说成客观真实和严谨表达；C把形象化表达误说成揭示本质属性和间接性。","形象思维/抽象思维误挂/严谨性误挂/间接性误挂","A-support","source_locked_pending_external_review"
"CT0062","Q0134","reasoning","B","B项正确：禁止“零添加”等易误导用语，要求食品标签概念使用保持确定和同一，避免误导消费者。","A识别偷换概念方向但把同一律要求误写成一致性；C把问题误挂为矛盾律和明确性；D把问题误挂为排中律骑墙。","同一律/概念确定性/矛盾律误挂/排中律误挂","A-support","source_locked_pending_external_review"
"CT0063","Q0136","thinking","B","B项正确：登山裤面料材料既有重量、耐磨次数等数量指标，又有耐磨性、舒适度等性质描述，体现定性分析与定量分析结合。","A把材料误转为只有高密度面料才能确保耐磨；C把用户的选择困境误挂为相容选言判断；D由高密度面料推出笨重，反推笨重必用高密度面料，属于充分条件肯后误推。","定性定量分析/相容选言误挂/充分条件反推","A-support","source_locked_pending_external_review"
"CT0064","Q0137","reasoning","C","C项正确：甲省统筹各方因素办赛并带动消费增长，体现系统优化方法。","B把乙省对赛事热度和消费增长的预期误挂为轻率概括；本题不是典型由个别性前提推出一般性结论的不完全归纳题。A把多因素原因误说成未作确定判断，D把乙省预期误写为没有具体问题具体分析。","轻率概括误挂/不完全归纳误挂/系统优化边界","B-choice-signal","source_locked_pending_external_review"
"CT0065","Q0138","reasoning","B","B项①③正确：①准确运用概念，规范物业行业定位与权责关系；③从法治角度说明完善法治保障。","②把名称变化夸大为从管理到服务的根本性转变；④把概念规范和法治保障夸大为能直接化解业主与物业全部矛盾。","概念准确使用/混合选择题边界/法治角度混入","B-choice-signal","source_locked_pending_external_review"
"CT0066","Q0139","reasoning","结论一后半","结论一前半正确：企业前后判断不能同真，构成自相矛盾并违反矛盾律。","结论一后半把自相矛盾误写成违反思维的确定性要求；正式细则纠偏为违反思维的一致性要求。","矛盾律/一致性要求/确定性要求误挂/同一律混淆","A-formal","source_locked_pending_external_review"
