"seed_id","kind","entry_id","suite","question","prompt","topic","evidence_level","evidence_source","old_file","old_line","status"
"OLD0018","main_thinking","M001","2026顺义一模","Q19(2)","结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。","科学思维","A-formal","试卷+细则cache de758e5e79500dd0","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\main_thinking_entries.jsonl","1","old_index_only_needs_resourcing"
"OLD0019","main_thinking","M002","2025海淀二模","Q20","运用辩证思维方法，结合材料，谈谈如何在中国式现代化建设中扎实推进共同富裕（设问原文待Codex视觉补齐：试卷PDF文本层为空，仅渲染图page_001~008可见Q20主题为'中等收入群体扩容、共同富裕、共享发展'）","辩证思维","A-formal","细则cache fc56fdd304fde118 + 评标实录cache 10b5fafe88245264","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\main_thinking_entries.jsonl","2","old_index_only_needs_resourcing"
"OLD0020","main_thinking","M003","2026朝阳期中","Q21(2)","结合材料二，运用《逻辑与思维》知识，说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的。","创新思维","A-formal","试卷+细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\main_thinking_entries.jsonl","3","old_index_only_needs_resourcing"
"OLD0021","main_thinking","M004","2026朝阳期中","Q20","结合材料，运用辩证思维方法，谈谈应如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'。","辩证思维","A-formal","细则cache 885e694cf464c22b","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\main_thinking_entries.jsonl","4","old_index_only_needs_resourcing"
"OLD0022","reasoning","R001","2026顺义一模","Q19(1)","判断上述推理是否正确，并说明理由。（3分）","演绎推理>三段论","A-formal","试卷+细则cache de758e5e79500dd0 line 119-123","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\reasoning_entries.jsonl","1","old_index_only_needs_resourcing"
"OLD0023","reasoning","R002","2026通州期末","Q19(2)","根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。（6分）","假言推理>充分条件假言推理 + 必要条件假言推理","A-formal","试卷+细则cache 44537714bd68a7c1","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\reasoning_entries.jsonl","2","old_index_only_needs_resourcing"
"OLD0024","reasoning","R003","2026东城期末","Q17(2)","运用形式逻辑知识，论证三项主张是否符合逻辑。（6分）","形式逻辑应用复合：矛盾律 + 假言推理 + 三段论","A-formal","试卷+细则cache e4d67789c91d1b92 line 269-303","C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\entries\reasoning_entries.jsonl","3","old_index_only_needs_resourcing"
"OLD0025","choice_trap","FC014","2025顺义一模",,,,,,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch1\entries\choice_trap_entries_p0_batch1.jsonl","1","old_index_only_needs_resourcing"
"OLD0026","main_thinking","FC013","2024海淀二模",,,"科学思维",,,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch1\entries\main_thinking_entries_p0_batch1.jsonl","1","old_index_only_needs_resourcing"
"OLD0027","reasoning","FC015a","2024朝阳一模",,,,,,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch1\entries\reasoning_entries_p0_batch1.jsonl","1","old_index_only_needs_resourcing"
"OLD0028","reasoning","FC015b","2024朝阳一模",,,,,,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch1\entries\reasoning_entries_p0_batch1.jsonl","2","old_index_only_needs_resourcing"
"OLD0029","choice_trap",,"2025丰台期末",,,,"high",,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch2\entries\choice_trap_entries_p0_batch2.jsonl","1","old_index_only_needs_resourcing"
"OLD0030","choice_trap",,"2024朝阳二模",,,,"medium-high (stem high; correct answer inferred from logic, needs cross-check with 答案docx)",,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch2\entries\choice_trap_entries_p0_batch2.jsonl","2","old_index_only_needs_resourcing"
"OLD0031","reasoning",,"2025西城二模",,,,"high",,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch2\entries\reasoning_entries_p0_batch2.jsonl","1","old_index_only_needs_resourcing"
"OLD0032","reasoning",,"2026丰台一模",,,,"medium (stem partial: image PDF, marking scheme high-confidence)",,"C:\Users\Administrator\Desktop\飞哥的政治庄园\reports\选必三_逻辑与思维_二线闭合_从0开始_2026-05-06\claudecode_lane\p0_batch2\entries\reasoning_entries_p0_batch2.jsonl","2","old_index_only_needs_resourcing"
