suite_id,suite_name,question,objective_status,answer_key,evidence_level,evidence_paths,chain_type,material_or_stem,option_or_wrong_item,analysis,decision,blocker
S044,2026房山一模,1-15,answer_key_confirmed_prior_visual_closure,"1.C 2.D 3.B 4.A 5.C 6.D 7.B 8.A 9.D 10.B 11.D 12.C 13.B 14.C 15.A","扫描渲染页 + overnight 外部答案补源 + 既有本地读图闭环记录","C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\renders\e37482eff39f3618; C:\bp_sync_visible\reports\overnight_2026-04-25\objective_answer_source_closure.md; C:\bp_sync_visible\reports\overnight_2026-04-25\downloaded_evidence\2026_fangshan_yimo_with_answers.pdf; C:\bp_sync_visible\reports\choice_question_processing_ledger.md",suite_status,"第1-15题答案键可补源确认；ledger 记录扫描渲染页已逐题读图核题。",,"答案键可关闭；完整题干文本未在当前机器可读缓存中直接产出。","客观题答案键无阻塞；第1-15题全文题干若要求逐字文本，需重新基于渲染页视觉转录。"
S044,2026房山一模,2,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",correct_chain,"从守作我到爱老己，材料把自我关照放在收入提升、生活品质改善和个人社会关系中理解。",,"人生价值、个人与社会统一、价值判断与价值选择；人的价值只能在社会中实现，爱老己需要正确处理个人与社会关系。","补写正确项链。",""
S044,2026房山一模,2,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"守作我到爱老己。","爱老己是要么拼命、要么躺平的生活心态表达","误读材料；材料不是极端生活态度，而是改善条件下的自我关照。","补写典型错肢链。",""
S044,2026房山一模,2,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"守作我到爱老己。","从守作我到爱老己，通过建立自在事物联系实现文化传承","错误使用自在事物联系；文化传承属于人的社会实践关系。","补写典型错肢链。",""
S044,2026房山一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",correct_chain,"中国大规模快速城镇化和反贫困实践获得世界承认，但原创区域经济研究仍较少，十五五强调构建中国哲学社会科学自主知识体系。",,"实践是认识的基础、理论创新、系统优化；立足中国具体实践推动原创理论建构，并统筹理论创新、实践总结与学术交流。","补写正确项链。",""
S044,2026房山一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"构建中国哲学社会科学自主知识体系。","推动西方区域发展理论适应中国本土发展实际","方向错误；材料强调中国自主知识体系建构，不是改造西方理论。","补写典型错肢链。",""
S044,2026房山一模,4,chain_confirmed,A,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"构建中国哲学社会科学自主知识体系。","尊重社会意识相对独立性，发挥先进社会意识对中国实践的推动作用","一般性表述可成立但偏离材料核心；本题重在实践基础、自主知识体系和系统协同。","补写典型错肢链。",""
S044,2026房山一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\必修四哲学材料-知识触发总框架_持续更新版_v2.md; C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",correct_chain,"科研团队通过实验印证光子波动性和粒子性的互补性，为量子未来写下基础研究成果。",,"实践检验认识、认识无限性、超前思维；基于现有实验成果预测未来发展趋势，不能说形成终极认识。","补写正确项链。",""
S044,2026房山一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"光子波动性和粒子性实验。","多次实验验证完成了对光的本质的终极性认识","违背认识无限性、发展性。","补写典型错肢链。",""
S044,2026房山一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"光子波动性和粒子性实验。","科研团队通过改造自然的实践活动推动量子物理发展","表述不准；题中更准确是科学实验实践，不是一般改造自然。","补写典型错肢链。",""
S044,2026房山一模,6,chain_confirmed,D,"错肢库 + 必修四框架 + ledger","C:\bp_sync_visible\artifacts\北京高考政治错肢库_持续更新版.md",wrong_option,"光子波动性和粒子性实验。","运用演绎推理，通过多次科学实验验证光的互补性特征","把实验验证误写成演绎推理，推理类型不稳。","补写典型错肢链。",""
