suite,year,qnum,xb_status,qtext_len,setting,has_rubric,rubric_n,paper_file
2025/2025石景山一模,2025,20,confirmed,180,,True,2,2025各区一模__2025石景山一模__试卷__试卷.pdf.txt
2025/2025西城二模,2025,18,confirmed,238,,True,2,2025各区二模__2025西城二模__试卷__试卷.pdf.txt
2025/2025门头沟一模,2025,20,confirmed,267,,True,2,2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt
2025/2025顺义一模,2025,19,confirmed,1069,【分析】背景素材：高某与刘某的邻里纠纷、甲公司与乙公司的名称权纠纷 | 能力考查：描述和阐释事物、论证和探究问题 | 本题是分析说明类主观题，明确本题考查的范围是《法律与生活》，设问指向是分析上述案例是如何解决,False,0,2025各区一模__2025顺义一模__试卷__试卷.pdf.txt
2026/2026东城一模,2026,18,confirmed,140,,True,3,2026各区一模__2026东城一模__试卷__试卷.pdf.txt
2026/2026东城期末,2026,18,confirmed,157,,True,2,2026各区期末和期中__2026东城期末__试卷__试卷.pdf.txt
2026/2026丰台一模,2026,20,confirmed,515,结合材料，运用《法律与生活》知识，阐明人民法院作出该判决的法理依据和现,True,1,2026各区一模__2026丰台一模__试卷__试卷.pdf.txt
2026/2026丰台期末,2026,18,confirmed,520,结合材料，运用去冶知识，阐述该检察公益诉讼案例的积极意义。,False,0,2026各区期末和期中__2026丰台期末__试卷__试卷.pdf.txt
2026/2026延庆一模,2026,18,confirmed,820,要坚持辩证思维，用联系、发展、全面的观点看待事物，坚持矛盾分析法，既要看到虚拟数字人直播 | 水平4 | 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学知识展开论述；逻辑严 密，条理清晰,True,2,2026各区一模__2026延庆一模__试卷__试卷.pdf.txt
2026/2026房山一模,2026,17,confirmed,525,（1）结合材料，运用“民事法律关系”知识，辨析“AI幻觉造成损失谁买单”。（3分） | (2）结合材料，运用去治知识，分析该案例写人最高人民法院工作报告的意义。（6分）,True,1,2026各区一模__2026房山一模__试卷__试卷.pdf.txt
2026/2026朝阳一模,2026,18,confirmed,604,正等知识，从对新质生产力发展的意义角度分析作答。 | 可运用纠纷的多元解决方式的知识，从调解的作用角度分析，说明人民法院坚持调解优先，减少了诉讼对 | 识，从惩罚性赔偿的作用角度分析，说明人民法院加大惩戒力度，提高侵权违法成本，激发创新活力。,True,1,2026各区一模__2026朝阳一模__试卷__试卷.pdf.txt
2026/2026朝阳期末,2026,18,confirmed,859,"(1)结合上述案例,运用《法律与生活》知识,说明法院判决的依据。(7分) | (2)结合材料二,运用《逻辑与思维》知识,分析甲乙二人的推理是否正确。(8分)",False,0,2026各区期末和期中__2026朝阳期末__试卷__试卷.pdf.txt
2026/2026海淀一模,2026,18,confirmed,805,（2）服务消费，一头连着经济，一头连着民生。结合材料一，运用《经济与社会》知识，说 | （3）阅读材料二，运用《法律与生活》知识，完成下表。（7分）,True,1,2026各区一模__2026海淀一模__试卷__试卷.pdf.txt
2026/2026海淀期末,2026,18,confirmed,348,,True,2,2026各区期末和期中__2026海淀期末__试卷__试卷.pdf.txt
2026/2026海淀期末,2026,19,confirmed,248,,True,2,2026各区期末和期中__2026海淀期末__试卷__试卷.pdf.txt
2026/2026石景山一模,2026,18,confirmed,313,,True,1,2026各区一模__2026石景山一模__试卷__试卷.pdf.txt
2026/2026石景山一模,2026,19,confirmed,669,,True,1,2026各区一模__2026石景山一模__试卷__试卷.pdf.txt
2026/2026西城一模,2026,17,confirmed,409,结合材料，运用法律相关知识，说明民法典物权编的上述规定如何推动国家绿色发展。,True,2,2026各区一模__2026西城一模__试卷__试卷.docx.txt
2026/2026西城期末,2026,17,confirmed,732,（2）法律事实分析，3分 | （3）价值分析，3分,True,2,2026各区期末和期中__2026西城期末__细则__细则.pdf.txt
2026/2026通州期末,2026,19,confirmed,838,,True,1,2026各区期末和期中__2026通州期末__试卷__试卷.pdf.txt
2026/2026门头沟一模,2026,18,confirmed,643,（1）结合材料，运用《法律与生活》的知识，说明本案是如何消除损害风险，维护 | （2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运,True,1,2026各区一模__2026门头沟一模__试卷__试卷.pdf.txt
