"blocker_id","suite","question","part","blocker_type","description","next_action"
"BLK-011","2026石景山期末","","","excluded","用户已确认无可用细则;本轮维持排除;若新源出现再行解锁","N/A"
"BLK-012","2024.11朝阳期中","19","","scope_check_closed_pending_external_review","Codex A 已核对试卷缓存与正式 RTF 细则，确认 Q19 属 2024朝阳期中高三试卷，新增 Q0056 首发经济朝外样本创新思维题","保持外审 hold；提交 GPT Pro / Claude V4-V5/V24 复审后再用于 release 判断"
"BLK-013","GPT/Claude外审","","","external_review_pending","本轮 ClaudeCode B 线只完成厚内容生产;真实 GPT Pro/Claude Opus 4.7 Adaptive 外审尚未提交;不得标 final/PASS","Codex 后续按 CROSS_BOOK_WORKFLOW_V3 处理外审与捕获"
"BLK-008-Q0055","2025海淀二模","20","","subjective_remaining_delta","Codex A 已新增锁定 2025海淀二模 Q20 为 Q0055 共享发展理念辩证思维题；这是 BLK-008 2025 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-008 后续复审；提交 GPT Pro / Claude V4-V5/V23 review，复审前不得作 release 判断"
"BLK-009-Q0056","2024朝阳期中","19","","subjective_remaining_delta","Codex A 已新增锁定 2024朝阳期中 Q19 为 Q0056 首发经济朝外样本创新思维题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V24 review，复审前不得作 release 判断"
"BLK-009-Q0057","2024顺义二模","16(2)","","subjective_remaining_delta","Codex A 已新增锁定 2024顺义二模 Q16(2) 为 Q0057 无废城市超前思维题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V25 review，复审前不得作 release 判断"
"BLK-009-Q0058","2024东城一模","18(3)","","subjective_remaining_delta","Codex A 已新增锁定 2024东城一模 Q18(3) 为 Q0058 传统产业与未来产业关系题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V26 review，复审前不得作 release 判断"
"BLK-009-Q0059","2024丰台一模","19(2)","","subjective_remaining_delta","Codex A 已新增锁定 2024丰台一模 Q19(2) 为 Q0059 垃圾分类标识模拟政协提案科学思维研究方法题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V27 review，复审前不得作 release 判断"
"BLK-009-Q0060","2024丰台一模","19(1)","","reasoning_remaining_delta","Codex A 已新增锁定 2024丰台一模 Q19(1) 为 Q0060 充分条件假言判断补全题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V27 review，复审前不得作 release 判断"
"BLK-009-Q0061","2024丰台二模","18(1)","","reasoning_remaining_delta","Codex A 已新增锁定 2024丰台二模 Q18(1) 为 Q0061 冰雪经济三段论补全题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V28 review，复审前不得作 release 判断"
"BLK-009-Q0062","2024丰台二模","18(2)","","subjective_remaining_delta","Codex A 已新增锁定 2024丰台二模 Q18(2) 为 Q0062 冰雪经济科学思维评析题，并交叉登记必要条件边界；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V28 review，复审前不得作 release 判断"
"BLK-009-Q0063","2024西城二模","18(1)","","reasoning_remaining_delta","Codex A 已新增锁定 2024西城二模 Q18(1) 为 Q0063 高粱AT1基因科学归纳推理题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V29 review，复审前不得作 release 判断"
"BLK-009-Q0064","2024海淀一模","18(2)","","reasoning_remaining_delta","Codex A 已新增锁定 2024海淀一模 Q18(2) 为 Q0064 不完全归纳推理可靠程度题；这是 BLK-009 2024 backlog 的局部推进，尚未经过 B 线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V30 review，复审前不得作 release 判断"
"BLK-009-Q0065","2024石景山一模","19(3)","","subjective_support_delta","Codex A 已新增锁定 2024石景山一模 Q19(3) 为 Q0065 辩证思维方法建议题；当前只有教师版答案和讲评PPT，未发现正式细则，按A-support处理，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；继续寻找正式细则；提交 GPT Pro / Claude V4-V5/V31 review，复审前不得作 release 判断"
"BLK-009-Q0066","2024西城一模","19(5)","","subjective_remaining_delta","Codex A 已新增锁定 2024西城一模 Q19(5) 为 Q0066 未来产业方向研判题；正式细则锁定实践问题导向、调查研究、因果规律、综合研判、矛盾分析、推理和想象、超前思维等采分点，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V32 review，复审前不得作 release 判断"
"BLK-009-Q0067","2024西城一模","19(2)","","reasoning_remaining_delta","Codex A 已新增锁定 2024西城一模 Q19(2) 为 Q0067 概念定义构成题；正式细则锁定四个构成点，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V33 review，复审前不得作 release 判断"
"BLK-009-Q0068","2024西城一模","19(3)","","reasoning_remaining_delta","Codex A 已新增锁定 2024西城一模 Q19(3) 为 Q0068 概念外延关系题；正式细则锁定相容/属种关系，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V33 review，复审前不得作 release 判断"
"BLK-009-Q0069","2024门头沟一模","20","","subjective_compilation_delta","Codex A 已新增锁定 2024门头沟一模 Q20 为 Q0069 科学思维总帽下复合思维题；当前仅有2024选必三分类汇编缓存，未找到原区正式细则或原卷文件，按B-compilation处理，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；继续寻找原卷/正式细则；提交 GPT Pro / Claude V4-V5/V34 review，复审前不得作 release 判断"
"BLK-009-Q0070","2024房山一模","20(1)","","subjective_compilation_delta","Codex A 已新增锁定 2024房山一模 Q20(1) 为 Q0070 未来产业抢占先机超前思维题；当前仅有2024选必三分类汇编缓存，未找到原区正式细则或原卷文件，按B-compilation处理，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；继续寻找原卷/正式细则；提交 GPT Pro / Claude V4-V5/V34 review，复审前不得作 release 判断"
"BLK-009-Q0071","2024东城一模","6","","choice_delta","Codex A 已新增锁定 2024东城一模 Q6 为 Q0071 逻辑规则综合选择题；原卷渲染页和官方答案页锁定题面与答案D，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V35 review，复审前不得作 release 判断"
"BLK-009-Q0072","2024东城一模","7","","choice_delta","Codex A 已新增锁定 2024东城一模 Q7 为 Q0072 三段论形式有效与前提真实边界题；原卷渲染页和官方答案页锁定题面与答案A，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V35 review，复审前不得作 release 判断"
"BLK-009-Q0073","2024东城一模","8","","choice_delta","Codex A 已新增锁定 2024东城一模 Q8 为 Q0073 复合假言/选言推理链选择题；原卷渲染页和官方答案页锁定题面与答案D，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro / Claude V4-V5/V35 review，复审前不得作 release 判断"
"BLK-009-Q0074","2024石景山一模","6","","choice_support_delta","Codex A 已新增支持锁定 2024石景山一模 Q6 为 Q0074 联想思维迁移与类比推理复合选择题；教师版原卷和答案键确认 Q6=A，但未发现独立正式细则。","保持 A-support；继续找正式细则；送 GPT Pro V38 和 Claude V36 外审；2024 backlog 未穷尽前不得释放"
"BLK-009-Q0075","2024石景山一模","7","","choice_support_delta","Codex A 已新增支持锁定 2024石景山一模 Q7 为 Q0075 概念外延关系图示选择题；教师版原卷和答案键确认 Q7=B，但未发现独立正式细则。","保持 A-support；继续找正式细则；送 GPT Pro V38 和 Claude V36 外审；2024 backlog 未穷尽前不得释放"
"BLK-009-Q0076","2024西城一模","11","","choice_delta","Codex A 已新增锁定 2024西城一模 Q11 为 Q0076 枚举概括与同一对象替换选择题；官方答案/评分参考锁定 Q11=B，并用原卷渲染核对 ①③ 版面，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V39 / Claude V37 review，复审前不得作 release 判断"
"BLK-009-Q0077","2024西城一模","12","","choice_delta","Codex A 已新增锁定 2024西城一模 Q12 为 Q0077 肯定否定关系选择题；官方答案/评分参考锁定 Q12=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V39 / Claude V37 review，复审前不得作 release 判断"
"BLK-009-Q0078","2024西城一模","13","","choice_delta","Codex A 已新增锁定 2024西城一模 Q13 为 Q0078 联想思维畅想性选择题；官方答案/评分参考锁定 Q13=B，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V39 / Claude V37 review，复审前不得作 release 判断"
"BLK-009-Q0079","2024朝阳一模","7","","choice_delta","Codex A 已新增锁定 2024朝阳一模 Q7 为 Q0079 创新思维跨越性与继承借鉴边界选择题；官方答案锁定 Q7=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V39 / Claude V37 review，复审前不得作 release 判断"
"BLK-009-Q0080","2024丰台一模","7","","choice_support_delta","Codex A 已新增支持锁定 2024丰台一模 Q7 为 Q0080 性质判断谓项不周延选择题；试题及答案 PDF 确认 Q7=C，并已渲染题面和答案页，但未发现独立选择题细则解释。","保持 A-support；并入 BLK-009 后续复审；提交 GPT Pro V40 / Claude V38 review，复审前不得作 release 判断"
"BLK-009-Q0081","2024海淀一模","6","","choice_delta","Codex A 已新增锁定 2024海淀一模 Q6 为 Q0081 选言推理与逆向思维复合选择题；原卷和官方答案确认 Q6=B，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V41 / Claude V39 review，复审前不得作 release 判断"
"BLK-009-Q0082","2024海淀一模","7","","choice_delta","Codex A 已新增锁定 2024海淀一模 Q7 为 Q0082 联言判断类型选择题；原卷和官方答案确认 Q7=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V41 / Claude V39 review，复审前不得作 release 判断"
"BLK-009-Q0083","2024海淀一模","17(2)","","main_thinking_delta","Codex A 已新增锁定 2024海淀一模 Q17(2) 为 Q0083 分析与综合主观题；原卷、官方答案和正式细则确认三层采分结构，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V42 / Claude V40 review，复审前不得作 release 判断"
"BLK-009-UNRESOLVED-2024-FANGSHAN-MENTOUGOU-CHOICES","2024门头沟/房山一模","Q14/Q6/Q7/Q8","","unresolved_candidate_evidence_gap","分类汇编显示 2024门头沟一模 Q14 与 2024房山一模 Q6/Q7/Q8 为选必三候选，但本机 2024一模原始目录未找到对应原卷或官方答案键；不得从汇编题面单独提升为 source-locked 覆盖","继续寻找原卷、教师版答案或正式细则；未恢复前只保留 unresolved 清单，不进入宝典正文或覆盖矩阵"
"BLK-009-Q0084","2024朝阳二模","19(1)","","thinking_reasoning_delta","Codex A 已新增锁定 2024朝阳二模 Q19(1) 为 Q0084 辩证思维动态性 + 类比推理双登记题；原卷和朝阳二模主观题阅卷总结确认①动态性②类比，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V43 / Claude V41 review，复审前不得作 release 判断"
"BLK-009-Q0085","2024朝阳二模","19(2)","","reasoning_delta","Codex A 已新增锁定 2024朝阳二模 Q19(2) 为 Q0085 联言判断及真值条件主观题；原卷和朝阳二模主观题阅卷总结确认联言判断、全真才真一假即假，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V43 / Claude V41 review，复审前不得作 release 判断"
"BLK-009-Q0086","2024顺义二模","3","","choice_thinking_signal_delta","Codex A 已新增锁定 2024顺义二模 Q3 为 Q0086 文旅名片矛盾分析法信号与逆向思维误挂选择题；官方参考答案锁定 Q3=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V44 / Claude V42 review，复审前不得作 release 判断"
"BLK-009-Q0087","2024顺义二模","5","","choice_thinking_trap_delta","Codex A 已新增锁定 2024顺义二模 Q5 为 Q0087 聚合思维误挂选择题；官方参考答案锁定 Q5=B，C项仅作错误选项陷阱信号，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V44 / Claude V42 review，复审前不得作 release 判断"
"BLK-009-Q0088","2024顺义二模","6","","choice_reasoning_delta","Codex A 已新增锁定 2024顺义二模 Q6 为 Q0088 复合判断识别选择题；官方参考答案锁定 Q6=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V44 / Claude V42 review，复审前不得作 release 判断"
"BLK-009-Q0089","2024顺义二模","7","","choice_reasoning_delta","Codex A 已新增锁定 2024顺义二模 Q7 为 Q0089 必要条件假言判断选择题；官方参考答案锁定 Q7=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V44 / Claude V42 review，复审前不得作 release 判断"
"BLK-009-Q0090","2024丰台一模","10","","choice_thinking_support_delta","Codex A 已新增支持锁定 2024丰台一模 Q10 为 Q0090 抽象思维与形象思维互补选择题；试题及答案 PDF 确认 Q10=A，但未发现独立客观题细则解释","保持 A-support；并入 BLK-009 后续复审；提交 GPT Pro V45 / Claude V43 review，复审前不得作 release 判断"
"BLK-009-Q0091","2024丰台一模","11","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2024丰台一模 Q11 为 Q0091 必要条件判断选择题；试题及答案 PDF 确认 Q11=D，但未发现独立客观题细则解释","保持 A-support；并入 BLK-009 后续复审；提交 GPT Pro V45 / Claude V43 review，复审前不得作 release 判断"
"BLK-009-Q0092","2024顺义二模","2","","choice_thinking_trap_delta","Codex A 已新增锁定 2024顺义二模 Q2 为 Q0092 抽象思维误挂选择题；官方参考答案锁定 Q2=D，①仅作错误选项陷阱信号，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V46 / Claude V44 review，复审前不得作 release 判断"
"BLK-009-Q0093","2024海淀二模","5","","choice_reasoning_delta","Codex A 已新增锁定 2024海淀二模 Q5 为 Q0093 探求因果联系求异法选择题；原卷、独立参考答案和正式细则答案表确认 Q5=A，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V47 / Claude V45 review，复审前不得作 release 判断"
"BLK-009-Q0094","2024海淀二模","6","","choice_reasoning_delta","Codex A 已新增锁定 2024海淀二模 Q6 为 Q0094 概念属性与换位推理边界选择题；原卷、独立参考答案和正式细则答案表确认 Q6=C，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V47 / Claude V45 review，复审前不得作 release 判断"
"BLK-011-Q0095","2026门头沟一模","5","","choice_thinking_signal_delta","Codex A 已新增锁定 2026门头沟一模 Q5 为 Q0095 扬弃与逆向思维选择题信号；官方答案确认 Q5=C，但无独立客观题解释，尚未经过B线独立重跑和真实外审","保持 B-choice-signal；提交 GPT Pro V47 / Claude V45 review，复审前不得作 release 判断"
"BLK-011-Q0096","2026门头沟一模","6","","choice_reasoning_delta","Codex A 已新增锁定 2026门头沟一模 Q6 为 Q0096 类比推理与换位/换质推理选择题；官方答案确认 Q6=A，尚未经过B线独立重跑和真实外审","提交 GPT Pro V47 / Claude V45 review，复审前不得作 release 判断"
"BLK-011-Q0097","2026门头沟一模","18(2)","","main_thinking_delta","Codex A 已新增锁定 2026门头沟一模 Q18(2) 为 Q0097 科学思维方法主观题；正式细则确认辩证思维3分、创新思维3分、整体逻辑1分，尚未经过B线独立重跑和真实外审","提交 GPT Pro V47 / Claude V45 review，复审前不得作 release 判断"
"BLK-009-Q0098","2024海淀二模","17(2)","","main_thinking_delta","Codex A 已新增锁定 2024海淀二模 Q17(2) 为 Q0098 认识发展历程主观题；正式细则确认感性具体、思维抽象、思维具体及二阶段相互依赖，尚未经过B线独立重跑和真实外审","并入 BLK-009 后续复审；提交 GPT Pro V48 / Claude V46 review，复审前不得作 release 判断"
"BLK-011-Q0099","2026门头沟一模","7","","choice_thinking_boundary_delta","Codex A 已新增锁定 2026门头沟一模 Q7 为 Q0099 学农实践混合选择题；官方答案确认 Q7=B，①为必修四实践第一观点，④为辩证思维整体性，②③为选必三术语误挂陷阱，尚未经过B线独立重跑和真实外审","保持 B-choice-signal 和模块边界；提交 GPT Pro V49 / Claude V47 review，复审前不得作 release 判断"
"BLK-015-Q0100","2026延庆一模","18(2)","","main_thinking_delta","Codex A 已新增锁定 2026延庆一模 Q18(2) 为 Q0100 虚拟数字人直播治理《逻辑与思维》主观题；正式细则确认辩证思维、适度原则、创新思维/三新、辩证否定，尚未经过B线独立重跑和真实外审","提交 GPT Pro V50 / Claude V48 review；复审前不得作 release 判断"
"BLK-016-Q0101","2026东城一模","19(4)","","main_thinking_delta","Codex A 已新增锁定 2026东城一模 Q19(4) 为 Q0101 中关村把‘1’拉长推进系统观念与创新思维主观题；正式细则确认系统观念知识、创新思维知识、对应分析分和动态性替代，尚未经过B线独立重跑和真实外审","提交 GPT Pro V51 / Claude V49 review；复审前不得作 release 判断"
"BLK-017-Q0102","2026房山一模","18(1)","","main_thinking_delta","Codex A 已新增锁定 2026房山一模 Q18(1) 为 Q0102 常态蓝天治理辩证思维方法主观题；正式细则确认系统治理、精准施策、久久为功分别对应整体性/分析综合、矛盾分析法/具体问题具体分析、动态性/质量互变，尚未经过B线独立重跑和真实外审","提交 GPT Pro V52 / Claude V50 review；复审前不得作 release 判断"
"BLK-018-Q0103","2026石景山一模","2","","choice_thinking_boundary_delta","Codex A 已新增锁定 2026石景山一模 Q2 为 Q0103 资源再利用与旧厂房蝶变辩证思维选择题信号；官方答案确认 Q2=D，②为辩证思维矛盾转化信号，④为发展观点，尚未经过B线独立重跑和真实外审","保持 B-choice-signal；提交 GPT Pro V53 / Claude V51 review，复审前不得作 release 判断"
"BLK-018-Q0104","2026石景山一模","5","","choice_reasoning_delta","Codex A 已新增锁定 2026石景山一模 Q5 为 Q0104 非遗法判断换质位推理边界选择题；官方答案确认 Q5=D，尚未经过B线独立重跑和真实外审","提交 GPT Pro V53 / Claude V51 review，复审前不得作 release 判断"
"BLK-018-Q0105","2026石景山一模","6","","choice_reasoning_delta","Codex A 已新增锁定 2026石景山一模 Q6 为 Q0105 具身智能定义和必要条件判断选择题；官方答案确认 Q6=D，尚未经过B线独立重跑和真实外审","提交 GPT Pro V53 / Claude V51 review，复审前不得作 release 判断"
"BLK-018-Q0106","2026石景山一模","7","","choice_reasoning_delta","Codex A 已新增锁定 2026石景山一模 Q7 为 Q0106 茶道见微知著不完全归纳推理选择题；官方答案确认 Q7=C，尚未经过B线独立重跑和真实外审","提交 GPT Pro V53 / Claude V51 review，复审前不得作 release 判断"
"BLK-018-Q0107","2026石景山一模","17(2)","","main_thinking_delta","Codex A 已新增锁定 2026石景山一模 Q17(2) 为 Q0107 中医药文化传承创新思维建议主观题；正式细则确认发散与聚合思维、超前思维等角度，尚未经过B线独立重跑和真实外审","提交 GPT Pro V53 / Claude V51 review，复审前不得作 release 判断"
"BLK-019-Q0108","2025丰台二模","12","","choice_thinking_support_delta","Codex A 已新增支持锁定 2025丰台二模 Q12 为 Q0108 科技成果先使用后付费逆向思维和动态性选择题；教师版答案确认 Q12=C，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V54 / Claude V52 review；保持 A-support，复审前不得作 release 判断"
"BLK-019-Q0109","2025丰台二模","13","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2025丰台二模 Q13 为 Q0109 非传递关系和概念判断推理陷阱选择题；教师版答案确认 Q13=A，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V54 / Claude V52 review；保持 A-support，复审前不得作 release 判断"
"BLK-019-Q0110","2025丰台二模","14","","choice_thinking_support_delta","Codex A 已新增支持锁定 2025丰台二模 Q14 为 Q0110 思维抽象和辩证思维选择题；教师版答案确认 Q14=B，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V54 / Claude V52 review；保持 A-support，复审前不得作 release 判断"
"BLK-019-Q0111","2025丰台二模","16(2)","","main_reasoning_delta","Codex A 已新增锁定 2025丰台二模 Q16(2) 为 Q0111 大思政课结论三段论构建主观题；阅卷评标细则确认大前提小前提结论结构和常见错误，尚未经过B线独立重跑和真实外审","提交 GPT Pro V54 / Claude V52 review；复审前不得作 release 判断"
"BLK-019-Q0112","2025丰台二模","19(1)","","main_reasoning_thinking_delta","Codex A 已新增锁定 2025丰台二模 Q19(1) 为 Q0112 AI版权雷达充分条件判断与辩证思维综合治理双登记题；阅卷评标细则确认重要条件非充分条件、配套法律技术用户素养和辩证思维，尚未经过B线独立重跑和真实外审","提交 GPT Pro V54 / Claude V52 review；复审前不得作 release 判断"
"BLK-020-Q0113","2026丰台二模","8","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026丰台二模 Q8 为 Q0113 脑机接口使用方换位推理、三段论规则与矛盾关系选择题；答案表确认 Q8=C，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V55 / Claude V53 review；保持 A-support，复审前不得作 release 判断"
"BLK-020-Q0114","2026丰台二模","9","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026丰台二模 Q9 为 Q0114 花茶真假话约束推理选择题；答案表确认 Q9=D，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V55 / Claude V53 review；保持 A-support，复审前不得作 release 判断"
"BLK-020-Q0115","2026丰台二模","21","","main_thinking_delta","Codex A 已新增锁定 2026丰台二模 Q21 为 Q0115 乐学公园创新思维主观题；主观题阅卷细则确认联想思维、发散与聚合思维及变通答案，尚未经过B线独立重跑和真实外审","提交 GPT Pro V55 / Claude V53 review；复审前不得作 release 判断"
"BLK-020-Q0116","2026东城二模","12","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026东城二模 Q12 为 Q0116 否定论断矛盾关系和省略前提边界选择题；教师版答案表确认 Q12=D，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V55 / Claude V53 review；保持 A-support，复审前不得作 release 判断"
"BLK-020-Q0117","2026东城二模","18","","main_reasoning_thinking_delta","Codex A 已新增锁定 2026东城二模 Q18 为 Q0117 体检思维类比推理与超前治理双登记题；正式阅卷细则确认类比推理2分、创新治理思路和提高治理效能各2分，尚未经过B线独立重跑和真实外审","提交 GPT Pro V55 / Claude V53 review；复审前不得作 release 判断"
"BLK-021-Q0118","2026朝阳二模","5","","choice_thinking_support_delta","Codex A 已新增支持锁定 2026朝阳二模 Q5 为 Q0118 诗歌翻译形象思维选择题；教师版答案表确认 Q5=C，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V56 / Claude V54 review；保持 A-support，复审前不得作 release 判断"
"BLK-021-Q0119","2026朝阳二模","6","","choice_reasoning_support_delta","Codex A 已新增支持锁定 2026朝阳二模 Q6 为 Q0119 未来产业必要条件判断和双重否定选择题；教师版答案表确认 Q6=D，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V56 / Claude V54 review；保持 A-support，复审前不得作 release 判断"
"BLK-021-Q0120","2026朝阳二模","7","","choice_thinking_support_delta","Codex A 已新增支持锁定 2026朝阳二模 Q7 为 Q0120 智能轮椅创新思维选择题；教师版答案表确认 Q7=D，但尚未找到独立客观题细则，尚未经过B线独立重跑和真实外审","提交 GPT Pro V56 / Claude V54 review；保持 A-support，复审前不得作 release 判断"
