suite_id,suite_name,question,question_type,framework_slot,evidence_class,evidence_source,material_excerpt,knowledge_point,trigger_logic,student_answer_landing,choice_answer,wrong_option_pattern,status,blocker,_source_file
,5. 文化强国/文化自信,,template_existing,1、5,template-prior-reviewed,5. 文化强国/文化自信,坚定文化自信、勇担文化使命,2024北京朝阳高三（上）期中 第17题 阅卷细则,可替换为 1 分；农耕文化自信表述另可给 1 分,可替换为 1 分；农耕文化自信表述另可给 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,保护传承文化遗产、传承非物质文化,2024北京朝阳高三（上）期中 第17题 阅卷细则,“保护传承/态度”1 分，结合材料 1 分,“保护传承/态度”1 分，结合材料 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,3. 横向,,template_existing,1、3,template-prior-reviewed,3. 横向,规范传播，弘扬主旋律、传递正能量,2024北京朝阳高三（上）期中 第17题 阅卷细则,“规范传播/弘扬主旋律、传递正能量”1 分，结合材料 1 分,“规范传播/弘扬主旋律、传递正能量”1 分，结合材料 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,创新发展、双创、融通不同资源,2024北京朝阳高三（上）期中 第17题 阅卷细则,“创新发展/双创”1 分，结合材料 1 分；融通不同资源入材料分析,“创新发展/双创”1 分，结合材料 1 分；融通不同资源入材料分析,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,0. 载体,,template_existing,0、1,template-prior-reviewed,0. 载体,国产动画电影作为文化载体，承载故事、文化元素和文化符号,2025北京朝阳高三一模 第16题 扫描细则,“作为文化载体”1 分,“作为文化载体”1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、4、6,template-prior-reviewed,4. 纵向,重视文化传承，探索中华优秀传统文化创造性转化,2025北京朝阳高三一模 第16题 扫描细则,“常视文化传承”2 分,“常视文化传承”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、4,template-prior-reviewed,4. 纵向,现代科技推动文化创新，促进中华优秀传统文化创造性转化和创新性发展,2025北京朝阳高三一模 第16题 扫描细则,“推动文化创新”2 分,“推动文化创新”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,2,template-prior-reviewed,2. 作用,以人民为中心，回应当代观众需求，增强中华文明传播力影响力,2025北京朝阳高三一模 第16题 扫描细则,“以人民为中心”2 分,“以人民为中心”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,1、5、7,template-prior-reviewed,5. 文化强国/文化自信,习近平文化思想、建设文化强国、坚定文化自信,2025北京朝阳高三一模 第16题 扫描细则,以上其他点未得时可给 1 分,以上其他点未得时可给 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4、5,template-prior-reviewed,4. 纵向,文化传承与创新、中华优秀传统文化创造性转化和创新性发展、文化自信和文化认同、文化与经济关系,2025北京门头沟高三一模 第16题 评分细则,文化角度任一关键词 1 分，最高 4 分,文化角度任一关键词 1 分，最高 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2、3,template-prior-reviewed,2. 作用,为老年人提供丰富文化产品、满足多层次多样化精神文化需求、坚持社会效益和经济效益统一,2025北京延庆高三一模 第16题 评分细则,三层分别 3 分、3 分、2 分；每个观点 2 分材料 1 分,三层分别 3 分、3 分、2 分；每个观点 2 分材料 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,3、4,template-prior-reviewed,4. 纵向,立足时代，创作表现新时代中老年人贡献的故事,2025北京延庆高三一模 第16题 评分细则,该层 3 分,该层 3 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2、7,template-prior-reviewed,2. 作用,文化具有引领风尚、教育人民、服务社会、推动发展的功能,2025北京房山高三一模 第16题（1）评分细则,15 分大题中第（1）问 7 分，细则答案将该点列入文化分析,15 分大题中第（1）问 7 分，细则答案将该点列入文化分析,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,在科技赋能中促进中华优秀传统文化创造性转化和创新性发展,2025北京房山高三一模 第16题（1）评分细则,同上，进入第（1）问文化分析,同上，进入第（1）问文化分析,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、3、4、5,template-prior-reviewed,4. 纵向,文化分析知情行：了解中华优秀传统文化、增进文化认同、弘扬传承并促进双创,2025北京丰台二模 第16题（1）评标细则；2025北京西城一模 第16题 细则,文化分析 3 分；哲学观点和分析一致另 1 分,文化分析 3 分；哲学观点和分析一致另 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,文化的功能、创造性转化创新性发展,2025北京海淀二模 第17题 评标细则,单独留给文化 1 分；写在原理或分析里均可,单独留给文化 1 分；写在原理或分析里均可,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、2、3、4,template-prior-reviewed,4. 纵向,中华优秀传统文化创造性转化和创新性发展、融通不同资源实现综合创新、立足时代之基回应时代问题、人民立场,2025北京海淀高三（上）期末 第16题 讲评细则,每层 3 分，原理 2 分材料 1 分,每层 3 分，原理 2 分材料 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,7. 习近平文化思想,,template_existing,1、7,template-prior-reviewed,7. 习近平文化思想,坚持习近平文化思想,2025北京海淀高三（上）期末 第16题 讲评细则,单独 1 分，不要求材料分析,单独 1 分，不要求材料分析,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,2、6,template-prior-reviewed,6. 民族精神,优秀传统文化、民族精神、自强不息,2025北京西城高三一模 第22题 评分细则,“长期主义植根于中国优秀传统文化，蕴含自强不息的伟大民族精神”2 分，任意两个 2 分,“长期主义植根于中国优秀传统文化，蕴含自强不息的伟大民族精神”2 分，任意两个 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2、5,template-prior-reviewed,2. 作用,保障人民文化权益、丰富高水平文化供给、满足多样化多层次多方面精神文化需求,2025北京西城高三二模 第25题 评分细则,“为了人民”2 分；“依靠人民”另 2 分；理论角度 1 分,“为了人民”2 分；“依靠人民”另 2 分；理论角度 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5. 文化强国/文化自信,,template_existing,2、5,template-prior-reviewed,5. 文化强国/文化自信,建设文化强国要培育文化人才、推动文化创新创造,2025北京西城高三二模 第25题 评分细则,与“为了人民”并列，2 分,与“为了人民”并列，2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,0. 载体,,template_existing,0、1、5,template-prior-reviewed,0. 载体,文物建筑承载特定历史记忆,2025北京西城高三（上）期末 第16题（1）评分细则,5 分题解析列入采分点,5 分题解析列入采分点,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,0、1、4、5,template-prior-reviewed,4. 纵向,传承弘扬中华优秀传统文化、增强文化认同、实现双创、激发文化创新创造活力,2025北京西城高三（上）期末 第16题（1）评分细则,第（1）问 5 分中列入采分点,第（1）问 5 分中列入采分点,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,0、1、2、5,template-prior-reviewed,2. 作用,丰富高品质文化消费产品供给、繁荣文化产业/文化事业、促进经济社会发展,2025北京西城高三（上）期末 第16题（1）评分细则,第（1）问 5 分中列入采分点,第（1）问 5 分中列入采分点,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,1. 特点,,template_existing,1、2、5,template-prior-reviewed,1. 特点,中华优秀传统文化的特点、价值，文化自信,2026北京朝阳高三一模 第16题 阅卷细则,必答角度 2 分,必答角度 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、3、4,template-prior-reviewed,4. 纵向,文化创新、文化的功能,2026北京朝阳高三一模 第16题 阅卷细则,选答角度，答对并结合材料得 2-3 分，累计不超过 3 分,选答角度，答对并结合材料得 2-3 分，累计不超过 3 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、4,template-prior-reviewed,4. 纵向,传统戏曲焕发新的生命力是中华优秀传统文化传承与创新的统一,2026北京朝阳高三（上）期末 第16题 评分细则,“是什么”1 分,“是什么”1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,1、2、5,,template_existing,1、2、5,template-prior-reviewed,1、2、5,戏曲体现中华文化源远流长、博大精深，满足精神需求，增强文化自信和文化认同,2026北京朝阳高三（上）期末 第16题 评分细则,“为什么”2 分,“为什么”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,4,template-prior-reviewed,4. 纵向,立足时代之基、回答时代之问，推动传统文化与现代元素融合，实现双创,2026北京朝阳高三（上）期末 第16题 评分细则,“怎么做”4 分,“怎么做”4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,1、2,template-prior-reviewed,2. 作用,培育文化新业态新模式，以新供给创造新需求，激发消费潜力,2026北京房山高三一模 第16题（1）评分细则,经济题中“消费”角度 2 分,经济题中“消费”角度 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、2、4、7,template-prior-reviewed,4. 纵向,继承传统、推陈出新/双创，以人民为中心，文化的功能,2026北京延庆高三一模 第16题 评分细则,每层 2 分，原理 1 分材料 1 分；4 点 7 分,每层 2 分，原理 1 分材料 1 分；4 点 7 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,1、2、3、4、5,template-prior-reviewed,4. 纵向,中华优秀传统文化的特点、文化功能、当代价值、文化自信、文化强国、双创,2026北京门头沟高三一模 第16题 评分细则,文化角度答出一点 1 分，最多 3 分，结合材料 1 分,文化角度答出一点 1 分，最多 3 分，结合材料 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、4、5,,template_existing,2、4、5,template-prior-reviewed,2、4、5,全民阅读促进人的全面发展、引领风尚教育人民服务社会推动发展、传承民族文化、提高文明程度、助力文化强国,2026北京西城高三一模 第16题 阅卷细则,文化角度一点 2 分，两点 4 分,文化角度一点 2 分，两点 4 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、4、5,,template_existing,1、2、3、4、5,template-prior-reviewed,2、4、5,以人民为中心的创作导向、立足时代回答时代问题、弘扬中华优秀传统文化精华、加强国际传播能力,2026北京西城高三（上）期末 第16题 评分细则,知识运用准确 4 个角度各 1 分，结合材料 1 分，共 5 分,知识运用准确 4 个角度各 1 分，结合材料 1 分，共 5 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、4,template-prior-reviewed,4. 纵向,传承发展中华优秀传统文化，促进创造性转化和创新性发展,2026北京顺义高三一模 第21题 评标细则,文化角度 2 分,文化角度 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,1. 特点,,template_existing,1、2、4,template-prior-reviewed,1. 特点,春节承载中华民族独特精神传统、文化活动和价值取向，体现源远流长、博大精深,2025北京东城高三一模 第16题 阅卷报告,“丰富内涵”2 分,“丰富内涵”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2. 作用,,template_existing,2,template-prior-reviewed,2. 作用,春节增强民族自豪感和凝聚力，满足美好生活向往，发挥引领风尚、教育人民、服务社会、推动发展的功能,2025北京东城高三一模 第16题 阅卷报告,“文化价值”2 分,“文化价值”2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、4,template-prior-reviewed,4. 纵向,传统文化创造性转化创新性发展，立足时代之基、回答时代之问，融通不同资源实现综合创新,2025北京东城高三一模 第16题 阅卷报告,“文化创新”2 分，需结合材料,“文化创新”2 分，需结合材料,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,3. 横向,,template_existing,1、2、3,template-prior-reviewed,3. 横向,春节蕴含热爱和平、和谐发展的理念，是全人类共同价值追求；通过文化交流增强文化影响力,2025北京东城高三一模 第16题 阅卷报告,“共鸣角度”2 分；只写文化交流增强影响力给 1 分,“共鸣角度”2 分；只写文化交流增强影响力给 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,1、6,template-prior-reviewed,6. 民族精神,抗战精神是民族精神、爱国主义精神的体现，属于革命文化,2026北京朝阳高三（上）期中 第19题 评标细则,“是什么”文化角度 1 分,“是什么”文化角度 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、6,,template_existing,2、3、6,template-prior-reviewed,2、6,弘扬抗战精神的文化意义：民族精神作用、优秀文化对人、文化是民族的血脉和灵魂、优秀文化促进社会发展、文化总功能、优秀传统文化当代价值,2026北京朝阳高三（上）期中 第19题 评标细则,“为什么”只答文化最高 2 分，文化和哲学结合 3 分,“为什么”只答文化最高 2 分，文化和哲学结合 3 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4、6,,template_existing,2、3、4、6,template-prior-reviewed,4、6,弘扬抗战精神要继承、弘扬、发展、创新，实现创造性转化和创新性发展,2026北京朝阳高三（上）期中 第19题 评标细则,“如何弘扬”只答文化最高 2 分，文化和哲学结合 3 分,“如何弘扬”只答文化最高 2 分，文化和哲学结合 3 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、4、5,,template_existing,1、2、4、5,template-prior-reviewed,2、4、5,人文经济学研究促进优秀文化传承与创新、丰富精神世界和增强精神力量、增强文化自信或助力文化强国,2026北京朝阳高三（上）期中 第21（1）题 评标细则,“文化传承与创新”角度 4 分：传承与发展 2 分，对人 1 分，文化自信 1 分,“文化传承与创新”角度 4 分：传承与发展 2 分，对人 1 分，文化自信 1 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,1、2、6,template-prior-reviewed,6. 民族精神,人文经济学研究有助于培育以爱国主义为核心的民族精神、正确价值观和良好道德水平，为经济发展提供精神动力和智力支持,2026北京朝阳高三（上）期中 第21（1）题 评标细则,经济角度中生产、流通、消费任取一类 2 分，该点可入生产角度,经济角度中生产、流通、消费任取一类 2 分，该点可入生产角度,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4. 纵向,,template_existing,2、4、6,template-prior-reviewed,4. 纵向,发挥中华优秀传统文化的当代价值、中华优秀传统文化的核心思想理念,2026北京东城高三一模 第20题 评分细则,综合题阐述 6 分中任意三点，每点 2 分；文化角度可作为一点,综合题阐述 6 分中任意三点，每点 2 分；文化角度可作为一点,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,3. 横向,,template_existing,1、2、3,template-prior-reviewed,3. 横向,传播中华文化、增强文明互鉴、提升国际认同,2025北京顺义高三一模 第20题 评分细则,“项目对我国的意义或折射我国理念”2 分中，以上任意一点 1 分，最高 2 分,“项目对我国的意义或折射我国理念”2 分中，以上任意一点 1 分，最高 2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,2、6,template-prior-reviewed,6. 民族精神,中华民族精神、奋斗精神,2025北京房山高三一模 第20题 评分细则,必答点可写“全面深化改革”或“中华民族精神-奋斗精神”，2 分,必答点可写“全面深化改革”或“中华民族精神-奋斗精神”，2 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,1、4、6,template-prior-reviewed,6. 民族精神,愚公精神、中华优秀传统文化、中华民族精神,2025北京海淀高三（上）期末 第22题 讲评细则,知识 1 分 + 材料 1 分，两组知识共 4 分；短文形式和综合运用另计分,知识 1 分 + 材料 1 分，两组知识共 4 分；短文形式和综合运用另计分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,6. 民族精神,,template_existing,2、3、4、6,template-prior-reviewed,6. 民族精神,传承中华传统美德、践行社会主义核心价值观、法治与德治相统一,2024北京西城高三一模 第18（3）题 阅卷细则,赡养义务意义层 2 分，多点中任写一类即可,赡养义务意义层 2 分，多点中任写一类即可,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4、6、7,,template_existing,2、3、4、5、6、7,template-prior-reviewed,4、6、7,践行社会主义核心价值观、传承中华优秀传统文化、中华传统美德、坚持理想信念、弘扬民族精神和时代精神、坚持习近平文化思想、培养家国情怀,2025北京丰台高三一模 第16题 阅卷细则,6 分题；准确运用至少 3 个知识并紧扣家风建设，5-6 分；至少 2 个知识，3-4 分；罗列知识最多 3 分；细则要求明确指出坚持和践行社会主义核心价值观，否则不能满分,6 分题；准确运用至少 3 个知识并紧扣家风建设，5-6 分；至少 2 个知识，3-4 分；罗列知识最多 3 分；细则要求明确指出坚持和践行社会主义核心价值观，否则不能满分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,1、2,,template_existing,1、2、3、6、7,template-prior-reviewed,1、2,中华优秀传统文化的美学智慧与审美特质、中华文化博大精深、丰富人们的精神世界,2026北京丰台高三（上）期末 第16题 主观题评标,7 分题；3 个角度且同时运用哲学与文化两个模块，知识与材料对应准确，可给 7 分；材料分析欠缺给 6 分,7 分题；3 个角度且同时运用哲学与文化两个模块，知识与材料对应准确，可给 7 分；材料分析欠缺给 6 分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、4、6,,template_existing,2、4、6,template-prior-reviewed,2、4、6,中华优秀传统文化传承、民族精神、创造性转化和创新性发展、融通不同资源实现综合创新、教化育人、传承文明、推动社会发展,2026北京通州高三（上）期末 第16题 讲评 PPT,8 分题；等级评分，文化角度列入可作答方向，但未逐点标出单词分值,8 分题；等级评分，文化角度列入可作答方向，但未逐点标出单词分值,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4、5,,template_existing,0、2、4、5,template-prior-reviewed,4、5,文化载体、文化功能、中华文化与中华文明、双创、满足人民多样化多层次多方面精神文化需求、增强文化自信,2025北京顺义高三一模 第16题 评分细则,8 分题；细则列出文化角度，但未逐点标出单词分值,8 分题；细则列出文化角度，但未逐点标出单词分值,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4,,template_existing,4,template-prior-reviewed,4,创造性转化和创新性发展、融通不同资源实现综合创新、立足时代之基回应时代问题、坚持人民立场,2025北京海淀高三（上）期末 第16题 讲评 PPT,8 分题；讲评列为措施对应知识，未逐点标出单词分值,8 分题；讲评列为措施对应知识，未逐点标出单词分值,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,4,,template_existing,1、4,template-prior-reviewed,4,中华优秀传统文化传承,2026北京石景山高三（上）期末 第18题（1）答案及评分参考,8 分题；等级评分，列为可作答角度之一，未逐点标出单词分值,8 分题；等级评分，列为可作答角度之一，未逐点标出单词分值,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,0、2、4、5、6,,template_existing,0、2、4、5、6,template-prior-reviewed,0、2、4、5、6,中国书法是文化载体，蕴含优秀传统文化、民族精神、人文精神、理想信念，发挥文化作用并增强文化自信,2025北京昌平高三二模 第16题 评标 PPT,8 分题；列多角度可作答，未逐词固定分,8 分题；列多角度可作答，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、5,,template_existing,2、5,template-prior-reviewed,2、5,科学普及与科技创新都是文化事业的重要组成部分、都是建设文化强国的重要举措,2024北京朝阳高三一模 第18（2）题 评标 PPT,设问 8 分，讲评给出参考作答，但未逐点拆出文化词固定分,设问 8 分，讲评给出参考作答，但未逐点拆出文化词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5、6,,template_existing,5、6,template-prior-reviewed,5、6,民族精神,2024北京海淀高三一模 第16题 答案及细则,8 分等级题；列“民族精神”等角度，未逐词固定分,8 分等级题；列“民族精神”等角度，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5、6,,template_existing,4、5、6、7,template-prior-reviewed,5、6,自信自强、中华民族精神、文化自信,2024北京东城高三二模 第21题 阅卷总结,7 分等级题，至少三个点 7 分、两个点 4 分；文化点未逐词固定分,7 分等级题，至少三个点 7 分、两个点 4 分；文化点未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,5,,template_existing,5,template-prior-reviewed,5,文化自信,2024北京海淀高三二模 第21题 答案细则,8 分等级题；列文化自信为可作答角度之一，未逐词固定分,8 分等级题；列文化自信为可作答角度之一，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,3、5,,template_existing,3、5,template-prior-reviewed,3、5,全人类共同价值、中华优秀传统文化,2024北京丰台高三一模 第21题 评标细则,8 分等级题；哲学与文化角度列中华优秀传统文化，未逐词固定分,8 分等级题；哲学与文化角度列中华优秀传统文化，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2、4、5、7,,template_existing,2、4、5、7,template-prior-reviewed,2、4、5、7,习近平文化思想、文化产业、文化传承与文化创新、人民群众,2024北京西城高三二模 第19（4）题 答案细则,9 分等级题；列为推动乡村文化振兴可用角度，未逐词固定分,9 分等级题；列为推动乡村文化振兴可用角度，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2,,template_existing,2,template-prior-reviewed,2,文化的功能,2026北京海淀高三一模 第16题 评分标准,8 分等级题；列发展观点、社会存在与社会意识、价值观、文化的功能等角度，未逐词固定分,8 分等级题；列发展观点、社会存在与社会意识、价值观、文化的功能等角度，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2,,template_existing,2、5、6,template-prior-reviewed,2,文化功能、价值观导向,2026北京顺义高三一模 第16题 评标 PPT,8 分等级题；5-6 分层列为可选知识，未逐词固定分,8 分等级题；5-6 分层列为可选知识，未逐词固定分,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
,2025北京丰台高三一模,第3题,template_existing,0,template-prior-reviewed,2025北京丰台高三一模 第3题,中国建筑中的飞檐翘角、斗栱、藻井穹顶，把力与美、以柔克刚、方圆相生、天圆地方等文化意蕴凝结为可感形态。,文化载体 / 精神标识 / 中华优秀传统文化,建筑不是单纯物理空间，而是以结构、形制、纹样和审美语言承载民族性格、东方智慧和文化基因。看到“建筑、器物、服饰、书法”等材料，要先判断其是否在承载文化内涵。,建筑不是单纯物理空间，而是以结构、形制、纹样和审美语言承载民族性格、东方智慧和文化基因。看到“建筑、器物、服饰、书法”等材料，要先判断其是否在承载文化内涵。,,,PASS_TEMPLATE,,USER_CULTURE_TEMPLATE.md
