question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2024西城一模-18-2,S-2024西城一模,18(2),主观题,blocked,excluded,025细则确认；找错误/辩护人改诉讼代理人，属选必二法律与生活；非选必三思维。,no
Q-2024西城一模-18-3,S-2024西城一模,18(3),主观题,blocked,excluded,025细则确认；督促履行义务/赡养，属选必二法律与生活；非选必三思维。,no
Q-2024西城一模-19-1,S-2024西城一模,19(1),主观题,excluded,excluded,025细则确认；读图分析未来产业六大领域，属经济与社会信息提取，非思维方法；非选必三思维主链。,no
Q-2024西城一模-19-2,S-2024西城一模,19(2),主观题,入正文,入正文,025细则确认；填空举国体制定义结构(被定义项+是+种差+邻近属)；选必三逻辑与思维概念部分定义节点；A-formal。,no
Q-2024西城一模-19-3,S-2024西城一模,19(3),主观题,入正文,入正文,025细则确认1分'相容、或属种'；选必三逻辑与思维概念外延关系(属种关系)节点；A-formal。,no
Q-2024西城一模-19-4,S-2024西城一模,19(4),主观题,excluded,excluded,025细则确认；新型举国体制特点(党的领导/资源配置/治理)，属必修一中特+必修二经济与社会；非选必三思维。,no
Q-2024西城一模-19-5,S-2024西城一模,19(5),主观题,入正文,入正文,025细则确认6分；运用《逻辑与思维》研判未来产业方向；六个给分点(实践调研+矛盾分析+推理想象+超前思维+内外矛盾)；选必三思维多方法挂载；A-formal。,no
Q-2024西城一模-19-6,S-2024西城一模,19(6),主观题,excluded,excluded,025细则确认；经济角度分析未来产业机遇挑战，属必修二经济与社会+选必一；非选必三思维。,no
Q-2025海淀二模-12,S-2025海淀二模,12,选择题,入正文,入正文,supplemental answer source确认答案D；render page_04确认题面=耐心资本；选必三创新思维-超前思维节点；B-choice-signal；可作正文+辅助挂载哲学唯物诱惑陷阱。,no
Q-2025海淀二模-13,S-2025海淀二模,13,选择题,入正文,入正文,supplemental answer source确认答案C；render page_04确认题面；选必三逻辑与思维三段论+选言判断+概念外延复合choice节点；B-choice-signal。,no
Q-2025海淀二模-20,S-2025海淀二模,20,主观题,入正文,入正文,009/010/011三源细则一致确认；设问'运用辩证思维谈如何坚持共享发展理念推进共同富裕'；角度池=分析与综合/系统优化/整体性 + 质量互变/动态性 + 辩证否定，从中选2，矛盾分析最多2分；硬样本(选必三辩证思维复合题)；A-formal；L4_LOCKED_FOR_FUSION。,no
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,UNPARSED,suite_visual_blocker,blocked,blocked,008试卷PDF文本层稀薄；本批仅以render page_04+page_07+supplemental answer source确认Q12/Q13/Q20三题，其余题号在本批不入选必三正文；suite-level visual blocker保留。,yes
Q-2025海淀期末-1,S-2025海淀期末,1,选择题,blocked,excluded,015试卷确认答案A；北京中轴线声音承古通今，属必修四文化连续性/民族精神；非选必三思维。,no
Q-2025海淀期末-2,S-2025海淀期末,2,选择题,入正文,入正文,015试卷+phase05信号确认答案C(②③)；②场景迁移=联想思维+③辩证思维整体性=两个选必三思维核心节点；①扬弃=哲学诱惑错项；B-choice-signal。,no
Q-2025海淀期末-3,S-2025海淀期末,3,选择题,blocked,excluded,015试卷确认答案B；国产游戏出圈/讲好中国故事，属必修四文化；非选必三思维。,no
Q-2025海淀期末-4,S-2025海淀期末,4,选择题,blocked,excluded,015试卷确认答案C；AI京西稻主题曲/主观能动性，属必修四+科技文化；非选必三思维。,no
Q-2025海淀期末-5,S-2025海淀期末,5,选择题,blocked,入正文,015试卷确认答案D(③④)；③革命热情+科学态度=必修四唯物论；④渐进性与飞跃性=辩证思维动态性/质量互变(选必三)；①植绿锁沙建立新联系=创新思维(联想/迁移)诱惑但不在答案；可入正文且作choice-trap、标注④为选必三主链信号。,yes
Q-2025海淀期末-6,S-2025海淀期末,6,选择题,blocked,excluded,015试卷确认答案B；胡克定律/真理与谬误，属必修四认识论；非选必三思维主链。,no
Q-2025海淀期末-7,S-2025海淀期末,7,选择题,blocked,excluded,015试卷确认答案A(①③)；①价值标准+③从群众中来到群众中去=必修四+必修三；②分析综合与③辩证思维相关诱惑但答案为AC=①③；非选必三思维主答案。,no
Q-2025海淀期末-8,S-2025海淀期末,8,选择题,入正文,入正文,015试卷+phase05信号确认答案D；学习《逻辑与思维》专项题；A充分条件假言推理结构错+B种属关系判定+C轻率概括+D选言判断关系；选必三逻辑与思维概念/判断/推理综合choice；B-choice-signal硬样本。,no
Q-2025海淀期末-9,S-2025海淀期末,9,选择题,blocked,excluded,015试卷确认答案B；越界春笋/天然孳息归属，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-10,S-2025海淀期末,10,选择题,blocked,excluded,015试卷确认答案C；汽油买卖合同/不可抗力，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-11,S-2025海淀期末,11,选择题,blocked,excluded,015试卷确认答案D；旅客赔偿/承运人注意义务，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-12,S-2025海淀期末,12,选择题,blocked,excluded,015试卷确认答案A；遗产分配/法定继承，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-13,S-2025海淀期末,13,选择题,blocked,excluded,015试卷确认答案B；隐形加班/劳动法+司法公正，属选必二+必修三；非选必三思维。,no
Q-2025海淀期末-14,S-2025海淀期末,14,选择题,blocked,excluded,015试卷确认答案C；著作权/调解，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-15,S-2025海淀期末,15,选择题,blocked,excluded,015试卷确认答案D；探店视频虚假宣传/平台治理，属选必二+必修三；非选必三思维。,no
Q-2025海淀期末-16,S-2025海淀期末,16,主观题,excluded,excluded,015细则确认；运用《哲学与文化》谈打造中医药新时尚(辩证否定+创造性转化+联系等)，属必修四哲学+文化；非选必三思维主链。,no
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),主观题,入正文,入正文,015细则确认4分；运用科学思维知识分析永动机设计图问题；客观性(2分)+规律(1分)+材料分析(1分)；选必三科学思维-客观性专项节点；A-formal硬样本。,no
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),主观题,excluded,excluded,015细则确认；从哲学角度谈纪念失败者；认识有反复性/无限性+实践决定认识+发展的曲折性+矛盾转化等，属必修四认识论；非选必三思维。,no
Q-2025海淀期末-18,S-2025海淀期末,18,主观题,入正文,入正文,015细则确认6分；分析北京城市图书馆是如何运用创新思维建设新型公共文化空间；逆向思维(人找书→书找人)+联想思维(赤印意象迁移)+发散聚合(数字资源整合·本年版未单独点名但下层展开有)+超前思维(京津冀协同);选必三创新思维-逆向/联想节点；A-formal。,no
Q-2025海淀期末-19,S-2025海淀期末,19,主观题,blocked,excluded,015细则确认；运用法治知识阐释农村土地确权登记现实意义，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-20,S-2025海淀期末,20,主观题,blocked,excluded,015细则确认；最高法侵权责任编解释/无过错责任，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-21,S-2025海淀期末,21,主观题,excluded,excluded,015细则确认；竞业限制/法律平衡，属选必二法律与生活；非选必三思维。,no
Q-2025海淀期末-22,S-2025海淀期末,22,主观题,同类索引,同类索引,015细则确认；综合运用所学撰写愚公移山短文；可选知识含必修四质量互变规律；非选必三思维primary设问，但'质量互变规律'节点可作fusion-only attach作综合题同类索引；不作正文。,no
Q-2025西城二模-1,S-2025西城二模,1,选择题,blocked,excluded,试卷确认答案A；志愿军烈士家书/家国情怀+民族精神，属必修四文化；非选必三思维。,no
Q-2025西城二模-2,S-2025西城二模,2,选择题,blocked,excluded,试卷确认答案D；事务主义/必然偶然+客观过程，属必修四唯物论；非选必三思维。,no
Q-2025西城二模-3,S-2025西城二模,3,选择题,blocked,excluded,试卷确认答案A；植树尽责/绿色发展，属必修二经济与社会+必修四生态；非选必三思维。,no
Q-2025西城二模-4,S-2025西城二模,4,选择题,blocked,excluded,试卷确认答案C；六倍体小麦基因组图谱/真理性认识深化，属必修四认识论；非选必三思维。,no
Q-2025西城二模-5,S-2025西城二模,5,选择题,blocked,excluded,试卷确认答案B；新农人价值追求/人生理想，属必修四价值观；非选必三思维。,no
Q-2025西城二模-6,S-2025西城二模,6,选择题,入正文,入正文,试卷确认答案C；牡丹/洛阳红与节气/谷雨同为属种关系；选必三逻辑与思维概念外延关系(属种)choice节点；B-choice-signal硬样本(类比关系判断)；body_after_362_repair。,no
Q-2025西城二模-7,S-2025西城二模,7,选择题,入正文,入正文,试卷+phase05确认答案C(②④)；甲医生否定前件谬误/乙医生求异法+丙医生类比；选必三推理部分必要条件假言推理+求异法+类比综合choice；B-choice-signal硬样本。,no
Q-2025西城二模-8,S-2025西城二模,8,选择题,blocked,excluded,试卷确认答案D；代表法两个联系制度，属必修三政治与法治；非选必三思维。,no
Q-2025西城二模-9,S-2025西城二模,9,选择题,blocked,excluded,试卷确认答案D；铸牢中华民族共同体意识，属必修三+必修四；非选必三思维。,no
Q-2025西城二模-10,S-2025西城二模,10,选择题,blocked,excluded,试卷确认答案C；网络购物合同要约承诺，属选必二法律与生活；非选必三思维。,no
Q-2025西城二模-11,S-2025西城二模,11,选择题,blocked,excluded,试卷确认答案A；地铁电梯安全保障义务，属选必二法律与生活；非选必三思维。,no
Q-2025西城二模-12,S-2025西城二模,12,选择题,blocked,excluded,试卷确认答案B；演出经济/扩大内需，属必修二经济与社会；非选必三思维。,no
Q-2025西城二模-13,S-2025西城二模,13,选择题,blocked,excluded,试卷确认答案A；长护险/社会保障，属必修二经济与社会；非选必三思维。,no
Q-2025西城二模-14,S-2025西城二模,14,选择题,blocked,excluded,试卷确认答案D；数据主权与属地管辖权/国际治理，属选必一；非选必三思维。,no
Q-2025西城二模-15,S-2025西城二模,15,选择题,blocked,excluded,试卷确认答案B；亲诚惠容周边外交，属选必一；非选必三思维。,no
Q-2025西城二模-16-1,S-2025西城二模,16(1),主观题,excluded,excluded,037细则确认；废弃水井变动物乐园背后哲学智慧；尊重规律/主观能动性/具体问题具体分析/生态价值观，属必修四哲学；非选必三思维主链。,no
Q-2025西城二模-16-2,S-2025西城二模,16(2),主观题,入正文,入正文,037细则确认4分；条件②是充分条件假言判断；后件真不能确定前件真，无法确定有岩松鼠；选必三推理部分充分条件假言推理(肯定后件无效)节点；A-formal硬样本；L4_LOCKED_FOR_FUSION。,no
Q-2025西城二模-16-3,S-2025西城二模,16(3),主观题,入正文,入正文,037细则确认4分；村民诉求解决办法；倾听沟通+生态补偿(程序性·1分)+调整种植结构=运用创新思维改变创造条件建立新联系分析解决矛盾(2分)+人文关怀生态意识(1分)；选必三创新思维-改变/创造条件/建立新联系节点；A-formal；L4_LOCKED_FOR_FUSION。,no
Q-2025西城二模-17-1,S-2025西城二模,17(1),主观题,excluded,excluded,037细则确认；运用《经济与社会》阐述价格治理意义，属必修二；非选必三思维。,no
Q-2025西城二模-17-2,S-2025西城二模,17(2),主观题,excluded,excluded,037细则确认；运用《政治与法治》看伞形社会权力运行，属必修三；非选必三思维。,no
Q-2025西城二模-18,S-2025西城二模,18,主观题,excluded,excluded,037细则确认；未成年人打赏案/民法典157条+过错责任，属选必二法律与生活；非选必三思维。,no
Q-2025西城二模-19-1,S-2025西城二模,19(1),主观题,excluded,excluded,037细则确认；国民财富变化机遇挑战，属必修二经济与社会；非选必三思维。,no
Q-2025西城二模-19-2,S-2025西城二模,19(2),主观题,excluded,excluded,037细则确认；运用《当代国际政治与经济》分析中国担当；属选必一；非选必三思维。,no
Q-2025西城二模-20,S-2025西城二模,20,主观题,blocked,excluded,037细则确认；建设文化强国/着眼于人落脚于人短文；综合运用必修三+必修四+选必一；非选必三思维主链。,no
