clean_order,question_id,visible_title,question_type,primary_node,secondary_node,role,hard_lock,notes
37,Q-2026东城一模-6,2026 东城一模第6题,选择题,性质判断-换质位,形象思维与抽象思维,positive_example,no,D 画马换质位
38,Q-2026东城期末-6,2026 东城期末第6题,选择题,必要条件假言判断-补前提,,positive_example,no,B 只有具有绿色提取前景的才是纯净无辐射的独居石
39,Q-2026东城期末-7,2026 东城期末第7题,选择题,复合判断真值推演,,positive_example,no,A 不可能为真
40,Q-2025东城期末-5,2025 东城期末第5题,选择题,辩证思维-矛盾分析,辩证思维-整体性|动态性,positive_example,no,C=②④
41,Q-2025东城期末-13,2025 东城期末第13题,选择题,三段论-中项不周延,三段论-大项不当扩大|四概念,positive_example,no,B=①③；②大项扩大；④四概念辨识
42,Q-2025东城期末-14,2025 东城期末第14题,选择题,性质判断-谓项周延,关系判断|概念外延关系,positive_example,no,D 谓项不周延
43,Q-2025东城期末-15,2025 东城期末第15题,选择题,充分条件假言推理-P真Q假,,positive_example,no,B 必假
44,Q-2026朝阳期中-11,2026 朝阳期中第11题,选择题,三段论-补大前提,,positive_example,no,A 耐干旱月季花适应高温
45,Q-2026朝阳期中-12,2026 朝阳期中第12题,选择题,选言判断,概念划分|矛盾律,positive_example,no,B 选言判断
46,Q-2026朝阳期中-13,2026 朝阳期中第13题,选择题,认识发展历程-感性具体到思维抽象,创新思维-联想思维,positive_example,no,D=③④；类比推理为干扰项
47,Q-2026朝阳期中-14,2026 朝阳期中第14题,选择题,归纳推理-不完全归纳或然性,,positive_example,no,B=①④
48,Q-2026朝阳期中-15,2026 朝阳期中第15题,选择题,联言判断-否定一支即否定整体,,positive_example,no,D 否定一支判断即否定整个判断
49,Q-2024朝阳一模-6,2024 朝阳一模第6题,选择题,逻辑三律-排中律,矛盾律|四概念,positive_example,no,B 不违反排中律
50,Q-2024朝阳一模-7,2024 朝阳一模第7题,选择题,创新思维-与逻辑思维关系,,positive_example,no,C=②③；①混类④绝对化
51,Q-2024朝阳一模-9,2024 朝阳一模第9题,选择题,系统观念,,positive_example,no,D=③④；模拟提案到正式提案
52,Q-2024朝阳二模-6,2024 朝阳二模第6题,选择题,概念外延关系-属种,辩证思维-渐进性与飞跃性,positive_example,no,C=②④；①属种顺序倒置陷阱
53,Q-2024朝阳二模-7,2024 朝阳二模第7题,选择题,三段论-小项不当扩大,归纳推理|必要条件假言推理,positive_example,LOCK_A小项扩大,A项小项娱乐工具前提不周延结论扩大；不是中项不周延
54,Q-2024朝阳期中-7,2024 朝阳期中第7题,选择题,三段论-排序,,positive_example,no,B=②-①-③
55,Q-2024朝阳期中-8,2024 朝阳期中第8题,选择题,必要条件假言判断,,positive_example,no,D=②④；①充分必要条件夸大
56,Q-2024朝阳期中-9,2024 朝阳期中第9题,选择题,归纳推理-共变法,,positive_example,no,B 共变法
57,Q-2024朝阳期中-11,2024 朝阳期中第11题,选择题,三段论,假言推理|关系判断|矛盾律|同一律,positive_example,no,C=②③；④更接近同一律
58,Q-2026丰台一模-4,2026 丰台一模第4题,选择题,辩证思维-综合思维,创新思维-联想迁移,positive_example,no,A=①②；④时序倒置陷阱
59,Q-2026丰台一模-7,2026 丰台一模第7题,选择题,创新思维-发散与聚合,创新思维-超前思维|归纳推理,positive_example,no,B=①④
60,Q-2026丰台一模-8,2026 丰台一模第8题,选择题,充分条件假言推理-否后必否前,性质判断-限制换位,positive_example,no,C=②③
61,Q-2026丰台一模-9,2026 丰台一模第9题,选择题,联言判断,概念外延关系|定义,positive_example,no,D 兼具二属性=联言判断
62,Q-2025丰台期末-7,2025 丰台期末第7题,选择题,边界陷阱-哲学唯物论伪装,,boundary_trap,LOCK_只作边界陷阱,选 C；B"超前思维思考明天"是干扰项；不作超前思维正例
63,Q-2025丰台期末-8,2025 丰台期末第8题,选择题,创新思维-形象思维,创新思维-发散思维,positive_example,no,D=②④；和平是一棵树
64,Q-2025丰台期末-9,2025 丰台期末第9题,选择题,充分条件假言推理-肯定前件,联言判断|选言判断,positive_example,no,D 肯定前件可推后件
65,Q-2025丰台期末-10,2025 丰台期末第10题,选择题,归纳推理-从特殊到一般,类比推理,positive_example,no,B=①④；②③推理类型错位
66,Q-2026通州期末-10,2026 通州期末第10题,选择题,概念外延关系-反对关系,关系判断,positive_example,no,B=①③
67,Q-2026顺义一模-3,2026 顺义一模第3题,选择题,辩证思维-分析与综合,辩证思维-整体性与动态性,positive_example,no,C=②③；①④为哲学跑偏陷阱
68,Q-2026顺义一模-4,2026 顺义一模第4题,选择题,类比推理,概念定义-比喻与定义之别,positive_example,no,A 类比推理
69,Q-2026顺义一模-5,2026 顺义一模第5题,选择题,认识发展历程-感性认识与理性认识,性质判断|关系判断|发散思维,positive_example,no,D 感觉知觉表象到本质规律
70,Q-2026顺义一模-6,2026 顺义一模第6题,选择题,创新思维-迁移方法,,positive_example,no,A 迁移既有认知框架
71,Q-2026通州期末-5,2026 通州期末第5题,选择题,系统观念,辩证思维,positive_example,no,C=②③
72,Q-2026通州期末-8,2026 通州期末第8题,选择题,辩证思维-人为事物联系,辩证思维-个体与整体,positive_example,no,D=③④
73,Q-2026通州期末-9,2026 通州期末第9题,选择题,选择题陷阱-材料事实与方法区分,,choice_trap,LOCK_只作选择题陷阱,D 系统化数字化整合资源；不作主观题方法正例
74,Q-2026通州期末-11,2026 通州期末第11题,选择题,认识发展历程-感性具体→思维抽象→思维具体,,positive_example,no,C 大运河水脉文脉人脉到河合和
75,Q-2025顺义一模-5,2025 顺义一模第5题,选择题,联言判断-矛盾命题(德摩根),,positive_example,no,B 非A或非B
76,Q-2025顺义一模-6,2025 顺义一模第6题,选择题,联言判断,关系判断-反对称|概念划分,positive_example,no,C=②④
77,Q-2025顺义一模-7,2025 顺义一模第7题,选择题,三段论-大项不当扩大,谬误名称纠错,positive_example,LOCK_真错=大项不当扩大,A项把"青年"误当小项；真实错误是大项不当扩大
