question_id,district_year_stage_question,evidence_status,source_check_state,source_check_decision,a_axis_primary,a_axis_secondary_status,b_axis_original,b_axis_v14_effective,prompt_action,proposition_path_v14,material_trigger,rubric_scoring_anchor,answer_skeleton,source_growth_basis
CC0019_2024_朝阳_一模_19,2024年 朝阳 一模 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A4_合同,有：A9_消费者权益与经营者义务,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，运用《法律与生活》知识，分析诚信原则对促进社会主义市场经济健康发展的积极作用。,先定A4_合同，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,B公司收货后长期拖欠货款 → 合同当事人应按约全面履行、遵循诚信原则 → 规范民事主体行为，维护守约方合法权益；法院判令支付欠款和违约金 → 司法可依据诚信原则定分止争 → 维护公平正义和诚信市场秩序；“码上诚信”公开商户信用信息、消费者放心消费 → 经营者依法诚信经营 → 保护消费者合法权益，促进守法诚信经营者发展,先写民法典诚信原则是社会主义市场经济中民事活动的重要规则。 / 再用合同拖欠货款说明诚信原则约束合同履行、保护守约方。 / 最后用码上诚信说明经营者诚信经营能保护消费者权益、维护健康市场秩序。,先写民法典诚信原则是社会主义市场经济中民事活动的重要规则。 / 再用合同拖欠货款说明诚信原则约束合同履行、保护守约方。 / 最后用码上诚信说明经营者诚信经营能保护消费者权益、维护健康市场秩序。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0245_2026_东城_期中_18_2,2026年 东城 期中 第18题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A4_合同,有：A6_侵权责任;A10_多元纠纷解决与诉讼程序,B6_调解/维权/纠纷解决路径,B6_调解/维权/纠纷解决路径,维权成功需要做好充分准备和策略选择。你认为陈某需要做好哪些工作？,先定A4_合同，再按B6_调解/维权/纠纷解决路径作答；v12.2路径：纠纷事实 -> 权利受损或争议焦点 -> 路径/主体/证据 -> 救济方案。,双方协商未果 → 不能再只写协商，可选择调解、仲裁或诉讼 → 维权路径要具体且合法；邮件、回复、转账、交付展示机 → 合同和订单证据 → 证明交易存在和刘某交付不符合约定；无人机失控坠毁、手臂受伤、医疗费和误工损失 → 损害事实、因果关系和损失证据 → 为违约责任或侵权责任请求做准备,先选路径：调解、仲裁或诉讼，协商未果后路径要升级。 / 再备证据：合同订单、邮件转账、无人机故障、伤害和损失、因果关系。 / 最后明诉求：可主张违约责任或侵权责任，提出退费、医疗费、误工损失等合理请求。,先选路径：调解、仲裁或诉讼，协商未果后路径要升级。 / 再备证据：合同订单、邮件转账、无人机故障、伤害和损失、因果关系。 / 最后明诉求：可主张违约责任或侵权责任，提出退费、医疗费、误工损失等合理请求。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0137_2025_昌平_二模_20,2025年 昌平 二模 第20题,PASS,formal_locked,KEEP_CORE,A5_知识产权与竞争秩序,有：A4_合同,B1_表格/裁判要点/补链,B1_表格/裁判要点/补链,阅读材料，运用《法律与生活》知识，完成裁判理由。,先定A5_知识产权与竞争秩序，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,AI 不能成为著作权主体，但李某使用 AI 形成具备智力成果和独创性的图片 → 受著作权法保护 → AI 格先判主体与作品保护；刘某未经许可使用并抹去水印 → 侵犯信息网络传播权/署名权 → 应承担侵权责任；小王真实意思表示申请信用卡并同意合约，合同有效；透支后拒不还款 → 构成违约 → 偿还本金和利息,AI 格：AI 不是著作权主体，但李某使用 AI 形成的独创性智力成果受保护；刘某未经许可使用并抹水印，侵犯著作权，应担责。 / 信用卡格：双方信用卡领用合约合法有效，小王透支后未按约还款，违反诚信和全面履行原则，应承担违约责任。 / 裁判理由题是一格一链，不能把两个格子糊成一个创新题。,AI 格：AI 不是著作权主体，但李某使用 AI 形成的独创性智力成果受保护；刘某未经许可使用并抹水印，侵犯著作权，应担责。 / 信用卡格：双方信用卡领用合约合法有效，小王透支后未按约还款，违反诚信和全面履行原则，应承担违约责任。 / 裁判理由题是一格一链，不能把两个格子糊成一个创新题。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0157_2025_朝阳_期末_20,2025年 朝阳 期末 第20题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A6_侵权责任;A9_消费者权益与经营者义务,B1_表格/裁判要点/补链,B1_表格/裁判要点/补链,了解案件，分析事实，印证法理，参考示例，完成下表。,先定A5_知识产权与竞争秩序，再按B1_表格/裁判要点/补链作答；v12.2路径：形式触发 -> 一格一链 -> 法律关系/法律要件 -> 格内结论。,丁公司变换IP、伪造浏览器标识抓取“拥堵延时指数”并商业化使用 → 违反反不正当竞争法、损害数据产品权益和市场秩序 → 停止使用、消除影响、赔偿损失；旅游公司工作人员过度摇晃桥面致游客摔伤 → 未尽安全保障义务，行为与损害有因果关系 → 旅游公司承担侵权责任或违约责任并赔偿损失；游客是完全民事行为能力人且参与风险项目 → 自身安全注意义务也进入责任衡量 → 可按过错程度分担责任,案件二按“不正当手段抓取数据—不正当竞争—停止侵害赔偿”写。 / 案件三按“安全保障义务—过错和因果—侵权/违约责任”写。 / 如果写责任范围，要记得游客自身注意义务可能影响分担。,案件二按“不正当手段抓取数据—不正当竞争—停止侵害赔偿”写。 / 案件三按“安全保障义务—过错和因果—侵权/违约责任”写。 / 如果写责任范围，要记得游客自身注意义务可能影响分担。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0206_2025_西城_期末_19,2025年 西城 期末 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A9_消费者权益与经营者义务,B2_判决/裁判/责任理由,B2_判决/裁判/责任理由,“唤醒词”亦受法律保护，请运用法律知识分析法院的判决。,先定A5_知识产权与竞争秩序，再按B2_判决/裁判/责任理由作答；v12.2路径：裁判对象 -> 法律关系 -> 要件/过错/程序/责任 -> 裁判结论与边界。,“小爱同学”唤醒词和商品名称已有影响力 → 可受反不正当竞争法保护 → 不是普通流行词任意抢注；陈某抢先大量注册相关商标，并与Y公司在同类商品上使用宣传 → 容易造成混淆并有引人误解宣传 → 构成不正当竞争，违背诚信原则；法院判停止侵权、赔偿损失 → 规制权利滥用和恶意抢注 → 保护科技企业品牌商誉和数字经济秩序,先说明“小爱同学”已经形成一定影响，应受反不正当竞争法保护。 / 再结合抢注、使用、宣传说明混淆和虚假宣传。 / 最后写判决制止不正当竞争，保护创新企业商誉，维护数字经济秩序。,先说明“小爱同学”已经形成一定影响，应受反不正当竞争法保护。 / 再结合抢注、使用、宣传说明混淆和虚假宣传。 / 最后写判决制止不正当竞争，保护创新企业商誉，维护数字经济秩序。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0238_2026_东城_二模_19,2026年 东城 二模 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A9_消费者权益与经营者义务;A8_劳动关系,B4_评析/认识/观点,B4_评析/认识/观点,结合材料，运用《法律与生活》知识，评析乙公司和张某的行为。,v14校正：先定A5_知识产权与竞争秩序，再按B4_评析/认识/观点作答；以本题材料触发、设问动作和评分锚点为准。,乙公司行为 → 分析是否构成不正当竞争/商业诋毁/扰乱公平竞争秩序 → 应承担法律责任，依法诚信经营；张某行为 → 分析是否违反劳动纪律、职业道德或相关义务 → 应遵守劳动纪律和诚信要求；法治是最好的营商环境 → 价值只能从前面规则推出 → 不能裸写营商环境,乙公司捏造事实贬损竞争对手，写不正当竞争/商业诋毁和公平竞争秩序。 / 乙公司管理混乱导致项目延期，写合同履行责任。 / 张某未经查证违规签约，写岗位职责、诚信审慎义务和相应责任。 / 价值只能从规范竞争和营商环境推出。,对乙公司第一层：捏造事实贬损竞争对手，构成商业诋毁/不正当竞争，破坏公平竞争秩序。 / 对乙公司第二层：签约进场后管理混乱导致项目延期，还可能承担合同履行不当的相应责任。 / 对张某：作为项目负责人，应按程序审慎核实合作方，未经查证违规签约，违反岗位职责和诚信审慎义务，造成单位损失，应承担相应内部或法律责任。 / 最后收束：法律规制此类行为，有利于维护公平竞争和法治化营商环境。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0103_2025_丰台_一模_19,2025年 丰台 一模 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A8_劳动关系,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,先定A5_知识产权与竞争秩序，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,核心人员离职后使用原单位技术秘密 → 技术秘密受法律保护 → 不正当获取使用应担责；申请实用新型专利并投入竞争 → 侵害权利并破坏公平竞争 → 提高侵权成本才有震慑；法院适用惩罚性赔偿 → 加强知识产权司法保护 → 激励真创新、保护新质生产力,技术秘密受保护须有秘密性、价值性和保密措施。 / 离职人员及被告方不正当使用原单位技术信息申请专利，侵害技术秘密和创新投入。 / 高额惩罚性赔偿、停止侵害等责任提高侵权成本，保护科技创新和公平竞争。,先写技术秘密保护的法律前提：相关技术信息具有秘密性、价值性并采取保密措施，属于受保护对象。 / 再结合离职人员、专利申请和竞争使用说明不正当获取、使用技术秘密，侵害创新成果并破坏公平竞争。 / 最后写惩罚性赔偿和停止侵害提高违法成本，有利于保护科技创新、维护公平竞争、增强司法保护示范。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0131_2025_房山_一模_19,2025年 房山 一模 第19题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A8_劳动关系,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，谈谈“真创新”受到“真保护”的法治价值。,先定A5_知识产权与竞争秩序，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,离职人员利用原单位技术秘密 → 技术秘密受反不正当竞争保护 → 不正当获取使用应承担责任；无合法技术来源却短期推出车型 → 破坏公平竞争和创新秩序 → 侵权成本必须提高；法院适用2倍惩罚性赔偿 → 严格保护真创新 → 让侵权者付出足够代价,先写技术秘密和知识产权应受法律保护。 / 再结合离职人员、技术信息、无合法来源说明B集团构成不正当竞争。 / 最后写惩罚性赔偿提高侵权成本，维护公平竞争，激励真创新。,先写技术秘密和知识产权应受法律保护。 / 再结合离职人员、技术信息、无合法来源说明B集团构成不正当竞争。 / 最后写惩罚性赔偿提高侵权成本，维护公平竞争，激励真创新。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0229_2026_东城_一模_18,2026年 东城 一模 第18题,PASS_RECOVERED,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A10_多元纠纷解决与诉讼程序,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。,先定A5_知识产权与竞争秩序，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,案例一：专利权归属纠纷长期诉讼 → 通过司法裁判/诉调明确权利归属 → 减少纠纷对创新企业发展的拖累；案例二：知识产权侵权与惩罚性赔偿 → 提高侵权成本 → 保护创新成果；案例三：恶意诉讼/权利滥用 → 规制不诚信诉讼 → 维护公平竞争和创新环境,法院通过解决知识产权权属纠纷，稳定创新主体预期。 / 通过惩罚性赔偿提高侵权成本，保护创新成果。 / 通过规制恶意诉讼和权利滥用，维护公平竞争和创新环境。,法院通过解决知识产权权属纠纷，稳定创新主体预期。 / 通过惩罚性赔偿提高侵权成本，保护创新成果。 / 通过规制恶意诉讼和权利滥用，维护公平竞争和创新环境。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0283_2026_朝阳_一模_18,2026年 朝阳 一模 第18题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A5_知识产权与竞争秩序,有：A10_多元纠纷解决与诉讼程序,B5_意义/价值/保护/推动,B5_意义/价值/保护/推动,结合材料，运用《法律与生活》知识，谈谈人民法院是如何依法保护知识产权以护航新质生产力发展的。,先定A5_知识产权与竞争秩序，再按B5_意义/价值/保护/推动作答；v12.2路径：法律规则/制度 -> 保护对象或治理对象 -> 行为方式 -> 秩序与权益效果。,专利权归属纠纷可能拖累科研 → 第三方调解、一揽子化解关联诉讼 → 提高效率、降低诉讼成本，让创新主体回归研发；故意侵害植物新品种权、商业秘密 → 惩罚性赔偿 → 提高侵权成本，保护创新成果和市场秩序；恶意诉讼、权利滥用 → 快速审结并司法谴责 → 规制不诚信诉讼，营造诚实守信的创新生态,按“调、惩、辩”三段写。 / 每段先写法院做了什么，再写保护了什么。 / 最后总收束：保护知识产权、兼顾公共利益，为新质生产力提供稳定法治环境。,按“调、惩、辩”三段写。 / 每段先写法院做了什么，再写保护了什么。 / 最后总收束：保护知识产权、兼顾公共利益，为新质生产力提供稳定法治环境。,locked_core_row_material_trigger_prompt_action_rubric_anchor
CC0180_2025_海淀_期末_20,2025年 海淀 期末 第20题,PASS,not_in_round03_source_check,covered_by_prior_locked_core,A6_侵权责任,有：A9_消费者权益与经营者义务,B1_表格/裁判要点/补链,B1_表格/裁判要点/补链,下表列出了《最高人民法院关于适用〈中华人民共和国民法典〉侵权责任编的解释（一）》部分条款。参考示例，完成下表。,先定A6_侵权责任，再按B1_表格/裁判要点/补链作答；Round05补丁：题干明示参考示例完成下表，B5意义只作格内收束。,缺陷产品造成产品自身损害 → 产品责任也可进入赔偿范围，生产者承担无过错侵权责任 → 保护消费者合法权益；禁止饲养的烈性犬等危险动物致害 → 动物饲养人或管理人承担最严格无过错责任 → 不能用无过错等理由免责减责；最高法解释回应审判争议 → 明确裁判规则和责任边界 → 维护生命财产安全和社会秩序,第一格写缺陷产品责任：无过错责任，保护消费者。 / 第二格写禁养危险动物致害：最严格无过错责任，强化饲养人责任。 / 最后收束到司法解释明确责任边界、保障生命财产安全。,第一格写缺陷产品责任：无过错责任，保护消费者。 / 第二格写禁养危险动物致害：最严格无过错责任，强化饲养人责任。 / 最后收束到司法解释明确责任边界、保障生命财产安全。,locked_core_row_material_trigger_prompt_action_rubric_anchor
