observation_id,plain_observation,question_ids,rubric_atom_ids,material_atom_ids,ask_type,evidence_type,evidence_level,what_student_must_judge,material_trigger,legal_knowledge_or_rule_triggered,rubric_reward,knowledge_material_value_type,full_score_sentence_pattern,must_have_keywords,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,transfer_potential,counterexamples,confidence,should_enter_codebook,reason,section,raw_heading,raw_notes
OBS_S11,"""从材料三种权利中任选其一谈如何保护""或""维权策略""类设问，细则把分数分为：① 法律依据 / 民法典+权利定义；② 行为规则 / 不得侵害的具体做法；③ 救济途径 / 责任承担方式。每层都有变通池，但层与层之间不可相互替代。",CC0289_2026_朝阳_二模_18；CC0245_2026_东城_期中_18_2,R_CC0289_2026_朝阳_二模_18_04；R_CC0289_2026_朝阳_二模_18_05；R_CC0289_2026_朝阳_二模_18_06；R_CC0289_2026_朝阳_二模_18_08；R_CC0245_2026_东城_期中_18_2_01,M_CC0289_2026_朝阳_二模_18_01..06；M_CC0245_2026_东城_期中_18_2_01..15,综合（含措施类）,marking_rubric,formal,这是哪种权利（生命权/身体权/健康权 / 隐私权 / 相邻不动产权利）；其法律依据何在；不得做什么；遇到侵害时怎样救济。,"材料给出生活案件、设问点名""任选其一保护权利""。",民法典人格权编、相邻关系；侵权责任承担方式；纠纷解决机制。,"""结构：依据+做法+救济 / ●民法典依据——共2分 / 民法典(1分)明确规定并保护上述人格权益(1分)""（R_CC0289_..._04）；""3选1（生命权、身体权、健康权 / 隐私权 / 相邻不动产权利，任选其中一项权利法理阐释--2分）""（R_CC0289_..._06）；""通过和解/调解/仲裁/诉讼等途径维权--1分；承担停止侵害/排除妨碍/赔礼道歉/赔偿损失/损害赔偿等侵权责任--1分""（R_CC0289_..._08）。",knowledge+material,"""依据民法典[人格权 / 相邻关系]规定，[权利名]受法律保护；任何组织或个人不得[具体禁止行为]；如发生侵害，权利人可以通过[救济途径]要求行为人承担[责任承担方式]。""",民法典 + 权利全称 + 禁止行为 + 救济途径 + 责任承担方式,low,mid — 此题型确实需要要件展开，但不能展开到法考级别,低,mid — 暂仅 2 题显性如此结构,无,mid-high（仅 2 题，但 2 题都是 marking_rubric 显性写出）,"yes（标注为""题型层小代码""，需要更多题验证）","2 道 2026 期中题在同一时间段用同样""依据+做法+救济""模板，是题型化趋势信号。",strong,"""任选其一""型设问要求""依据 + 做法 + 救济""三层各自打分",
OBS_S12,"涉及商业诋毁、技术秘密窃取、商标/著作权/专利侵权、消费欺诈类案件的细则，把""惩罚性赔偿/三倍赔偿""作为打分关键词，价值层稳定挂""激发创新活力""""维护市场公平竞争""""规范市场秩序""""促进数字经济持续健康发展""。",CC0063_2024_西城_二模_16；CC0131_2025_房山_一模_19；CC0143_2025_朝阳_一模_19；CC0157_2025_朝阳_期末_20；CC0238_2026_东城_二模_19；CC0283_2026_朝阳_一模_18；CC0305_2026_海淀_一模_18；CC0103_2025_丰台_一模_19,"R_CC0063_..._01；R_CC0131_..._02..07；R_CC0143_..._04,_05,_09,_10；R_CC0157_..._M17_06；R_CC0238_..._M17_01..06；R_CC0283_..._03,_04；R_CC0305_..._05,_06；R_CC0103_..._01",M_CC0063_..._01..08；M_CC0131_..._01..14；M_CC0143_..._01..11；M_CC0157_..._01..15；M_CC0238_..._01..08；M_CC0283_..._01..09；M_CC0305_..._01..14；M_CC0103_..._01..04,原因 / 评析 / 意义,marking_rubric + marking_report + lecture_explicit_scoring + evaluation_standard,formal,"案件属于""消费欺诈""还是""不正当竞争""还是""知识产权侵权""；惩罚性赔偿的法律依据来自《消费者权益保护法》还是《民法典》知识产权惩罚性赔偿条款。",案件涉及商业行为 / 技术秘密 / 商标专利著作权 / 平台经济。,反不正当竞争法、消费者权益保护法（三倍/十倍赔偿）、民法典知识产权惩罚性赔偿。,"""惩罚性赔偿规定 / 提高侵权违法成本（1分），维护市场环境/市场秩序（1分）""（R_CC0283_..._03）；""促进数字经济持续健康发展""（R_CC0143_..._10）；""严惩或者严厉打击侵权行为 1分""（R_CC0103_..._01）；""乙公司以商业诋毁获取竞争优势，2分；构成不正当竞争或违背诚信原则可替代1分""（R_CC0238_..._M17_01）。",knowledge+material+value,"""[当事人行为]构成[消费欺诈/不正当竞争/知识产权侵权]，应承担[三倍/十倍/惩罚性]赔偿责任。判决严惩侵权行为，维护[消费者/知识产权权利人]合法权益，规范[市场竞争秩序/数字经济/创新生态]。""",惩罚性赔偿 / 三倍赔偿 / 不正当竞争 / 知识产权 / 市场秩序 / 创新,"mid — 不能写成""营商环境""（R_CC0103_..._01 显式禁止）",low,中 — 与必修二/必修三接壤，必须落在民事/消费法术语,high — 占题源约 1/4,单纯人格权/相邻关系题不进入此簇。,high,yes,8 道题在 2024-2026 三年北京六区反复出现同一题源簇与同一价值层联动，是高稳定命题机制。,strong,"反不正当竞争 / 知识产权 / 惩罚性赔偿是一组高频题源簇，常与""创新激励/市场秩序/数字经济""价值层耦合",
OBS_S13,"涉及劳动合同纠纷、解除劳动合同、竞业限制、用工自主权的案件，细则把""以事实为根据以法律为准绳→法律规定→劳动者义务→用人单位合法权益（用工自主权）""作为必踩点序列。""工会/集体合同/集体力量""在工会/集体合同题型中是核心赋分点。",CC0025_2024_朝阳_二模_17；CC0077_2025_东城_一模_19；CC0119_2025_丰台_期末_19；CC0181_2025_海淀_期末_21；CC0195_2025_西城_一模_20；CC0213_2025_门头沟_一模_20；CC0214_2025_门头沟_一模_20_2；CC0238_2026_东城_二模_19；CC0373_2026_顺义_一模_17,"R_CC0025_..._02,_03,_17；R_CC0077_..._03..05；R_CC0119_..._M17_01..07；R_CC0181_..._M17_01..03；R_CC0195_..._01；R_CC0213_..._M17_01..03；R_CC0214_..._01..05；R_CC0238_..._M17_04,_05；R_CC0373_..._02,_03",M_CC0025_..._01..N；M_CC0077_..._01..15；M_CC0119_..._01..13；M_CC0181_..._01..12；M_CC0195_..._01..03；M_CC0213_..._01..N；M_CC0214_..._01..04；M_CC0238_..._01..08；M_CC0373_..._01..N,原因 / 意义 / 论证 / 评析,marking_rubric + lecture_explicit_scoring + marking_report,formal,案件中劳动者是否履行义务（出勤 / 完成任务 / 遵守劳动纪律 / 职业道德 / 诚信义务）；用人单位行为是否合法（解除劳动合同是否依法）；是否涉及竞业限制等特殊制度；是否涉及工会 / 集体合同。,劳动者与用人单位发生纠纷、解除劳动合同、用工自主权、试用期欺诈、竞业限制条款。,劳动法、劳动合同法、劳动合同解除规则、竞业限制制度、工会与集体合同。,"""法理依据：法院判决应以事实为依据、以法律为准绳，或写出相关法律规定，为必踩点1分""（R_CC0119_..._M17_01）；""现实意义：保护用人单位合理用工自主权，1分""（R_CC0119_..._M17_05）；""规范竞业限制的意义：有利于企业商业秘密保护、保护知识产权、推动社会创新；限制竞业限制的意义：保护劳动者基本劳动权利或有利于人才资源合理配置""（R_CC0181_..._M17_01..02）；""工会搭建协商平台 / 集体力量 1分 / 双方协商一致、平等自愿""（R_CC0195_..._01）。",knowledge+material+value,"""根据《劳动法》《劳动合同法》规定，[劳动者义务/用人单位权利的具体条款]；本案中[劳动者]……（违反/未履行），[用人单位]依法[解除/订立]劳动合同。判决保护[劳动者合法权益 / 用人单位用工自主权]，构建和谐劳动关系。""",劳动法 / 劳动合同法 / 劳动者 / 用人单位 / 劳动纪律 / 职业道德 / 用工自主权 / 工会 / 集体合同 / 竞业限制,mid,low,"低 — 但若写成""维护社会主义市场经济""会偏",high — 9 道题反复,无,high,yes,9 道题（2024-2026 跨区）同模板赋分；劳动法题是次于民法题的最高频题源簇。,strong,"劳动关系/劳动合同题反复要求""必踩点：法理依据 + 劳动者义务 + 用人单位用工自主权""",
OBS_S14,"涉及邻里纠纷（电梯加装、共用通道堆物、监控摄像头）的题，细则反复嵌入""按照有利生产、方便生活、团结互助、公平合理的原则正确处理相邻关系""这一民法典原文锚句，且要求写出整句才得满分（部分写""应为相邻方提供便利或不侵害合法权益""只给1分）。",CC0223_2025_顺义_一模_19；CC0363_2026_通州_期中_19；CC0364_2026_通州_期中_19_1；CC0289_2026_朝阳_二模_18,"R_CC0223_2025_顺义_一模_19_M17_02,_M17_03；R_CC0363_2026_通州_期中_19_03；R_CC0364_2026_通州_期中_19_1_01；R_CC0289_2026_朝阳_二模_18_06",M_CC0223_..._01..24；M_CC0363_..._01..11；M_CC0364_..._01..16；M_CC0289_..._01..06,论证 / 评析 / 综合,marking_rubric + evaluation_standard,formal,"案件是否属于""相邻关系""框架；与隐私权的边界（CC0150 摄像头案：是隐私权 + 相邻关系双重）。",邻里 / 共有部分 / 加装电梯 / 摄像头 / 通道堆物。,民法典物权编（相邻关系）、人格权编（隐私权）。,"""按照有利生产、方便生活、团结互助、公平合理的原则正确处理相邻关系——2分""（R_CC0364_..._01）；同一原文也出现在 R_CC0363_..._03、R_CC0289_..._06；R_CC0364_..._01 显式：写部分内容只给1分。",knowledge,"""依据《中华人民共和国民法典》规定，不动产的相邻权利人应当按照有利生产、方便生活、团结互助、公平合理的原则，正确处理相邻关系。""",民法典 + 有利生产 + 方便生活 + 团结互助 + 公平合理 + 相邻关系,low,low,低,high — 凡是邻里题都触发,无,high,yes,"4 道题、跨年跨区 marking_rubric / evaluation_standard 反复出现这一固定锚句；这是教材法条原文级别的""必踩点""。",strong,"相邻关系/隐私权/人格权类题""四原则锚句""在多份细则中接近原文复制",
OBS_S15,"多个 marking_report 把""学生没区分一题中包含的多个诉讼请求 / 多个法律问题""标为典型学生问题；命题人/阅卷人显式要求学生先做""问题分解—逐项作答""。",CC0143_2025_朝阳_一模_19；CC0084_2025_东城_二模_19；CC0077_2025_东城_一模_19,R_CC0143_2025_朝阳_一模_19_16；R_CC0143_2025_朝阳_一模_19_17；R_CC0084_2025_东城_二模_19_02；R_CC0077_2025_东城_一模_19_12,M_CC0143_..._01..11；M_CC0084_..._01..13；M_CC0077_..._01..15,原因 / 评析,marking_report,formal,一道题里到底有几个诉讼请求 / 几个法律问题 / 几个民事主体；逐一应答。,复合案件（CC0143 退款+三倍赔偿；CC0084 合同效力+侵权；CC0077 三案对比）。,民事诉讼请求分解；多重法律关系。,"""没有区分是几个诉讼请求。没有区分的意识……一定要有审几个设问的意识""（R_CC0143_..._16）；""该情境有两个问题，即合同效力问题和侵权问题：学生可以通过把一个问题说清楚得2分，也可以通过呈现2个准确的知识点得2分""（R_CC0084_..._02）。",meta-skill（material+knowledge）,"""本案存在 N 个诉讼请求 / 法律问题：① ……（依据 + 定性 + 责任）；② ……""",第一/第二/第三 + 诉讼请求 / 法律问题 / 案件,low,low,低,mid-high — 复合案件题都触发,单一案件单一请求题不触发。,high,yes,"3 道 marking_report 显性点名""不分项""为典型失分原因；这是审题层硬规则。",strong,"marking_report 把""审题不分项 / 不分诉讼请求 / 不区分两个法律问题""列为高频学生失分",
OBS_W01,法治与德治融合论证为新兴题型,,,,,,,,,,,,,,,,,,,,,"evidence: `CC0254_2026_丰台_二模_18`（marking_rubric/marking_report 列学生问题""法治与德治的统一可以呈现但并未结合材料展开""R_CC0254_..._03）。 ; 仅 1 题；rubric 主要是学生问题描述，未取得明确正向得分点。 ; 建议下一轮回源到原卷与细则核对。",weak,法治与德治融合论证为新兴题型,"evidence: `CC0254_2026_丰台_二模_18`（marking_rubric/marking_report 列学生问题""法治与德治的统一可以呈现但并未结合材料展开""R_CC0254_..._03）。 ; 仅 1 题；rubric 主要是学生问题描述，未取得明确正向得分点。 ; 建议下一轮回源到原卷与细则核对。"
OBS_W02,反面情境（驳回赔偿请求）仍可弘扬社会主义核心价值观,,,,,,,,,,,,,,,,,,,,,"evidence: `CC0251_2026_丰台_一模_20`（R_CC0251_..._01：""因此，某餐饮公司和某商业管理公司对此并无过错，不应承担赔偿责任。该判决有利于平衡原被告双方的权利与义务，倡导安全文明出行和自我负责的安全责任意识……弘扬社会主义核心价值观""）。 ; 仅 1 题；与多数""判决支持原告→维护合法权益""模式相反，需更多反向情境验证。",weak,反面情境（驳回赔偿请求）仍可弘扬社会主义核心价值观,"evidence: `CC0251_2026_丰台_一模_20`（R_CC0251_..._01：""因此，某餐饮公司和某商业管理公司对此并无过错，不应承担赔偿责任。该判决有利于平衡原被告双方的权利与义务，倡导安全文明出行和自我负责的安全责任意识……弘扬社会主义核心价值观""）。 ; 仅 1 题；与多数""判决支持原告→维护合法权益""模式相反，需更多反向情境验证。"
OBS_W03,涉外法治建设独立题型,,,,,,,,,,,,,,,,,,,,,"evidence: `CC0276_2026_房山_二模_17`（R_CC0276_..._01：""完善涉外法律法规体系……提升司法公信力……一站式线上多元纠纷解决平台……中国以法治方式践行大国责任""）。 ; 仅 1 题、1 个 rubric atom；与选必一国际题接壤，模块归属需复核。",weak,涉外法治建设独立题型,"evidence: `CC0276_2026_房山_二模_17`（R_CC0276_..._01：""完善涉外法律法规体系……提升司法公信力……一站式线上多元纠纷解决平台……中国以法治方式践行大国责任""）。 ; 仅 1 题、1 个 rubric atom；与选必一国际题接壤，模块归属需复核。"
OBS_W04,法律+逻辑（《逻辑与思维》）跨学科混合题,,,,,,,,,,,,,,,,,,,,,"evidence: `CC0364_2026_通州_期中_19_1`（rubric (1) 是相邻关系民法题，(2) 是充分/必要条件假言推理题）；R_CC0364_..._07,_08 显示逻辑题部分把""肯前肯后""等术语作为精确得分点。 ; 该题混合两个模块；选必二命题边界向跨模块综合题延展，但仅 1 题。",weak,法律+逻辑（《逻辑与思维》）跨学科混合题,"evidence: `CC0364_2026_通州_期中_19_1`（rubric (1) 是相邻关系民法题，(2) 是充分/必要条件假言推理题）；R_CC0364_..._07,_08 显示逻辑题部分把""肯前肯后""等术语作为精确得分点。 ; 该题混合两个模块；选必二命题边界向跨模块综合题延展，但仅 1 题。"
OBS_W05,拟写裁判要点 / 模拟法律文书类设问,,,,,,,,,,,,,,,,,,,,,"evidence: `CC0157_2025_朝阳_期末_20`（R_CC0157_..._M17_01..10：要求学生写""裁判结果 + 裁判理由 + 法律依据 + 价值""）。 ; 仅 1 题；这类设问把""裁判文书结构""显式嵌入答题结构，是否构成稳定题型需更多题验证。",weak,拟写裁判要点 / 模拟法律文书类设问,"evidence: `CC0157_2025_朝阳_期末_20`（R_CC0157_..._M17_01..10：要求学生写""裁判结果 + 裁判理由 + 法律依据 + 价值""）。 ; 仅 1 题；这类设问把""裁判文书结构""显式嵌入答题结构，是否构成稳定题型需更多题验证。"
OBS_W06,5 道 reference_only 题的结构性证据明显薄弱,,,,,,,,,,,,,,,,,,,,,"`CC0040_2024_海淀_一模_19`：仅 1 rubric atom，无明确细则口径，仅参考答案。 ; `CC0094_2025_东城_期末_19_3`：rubric atom 是评分方案描述（""4分 / 2分 / 1分 / 0分""），并非具体细则。 ; `CC0162_2025_海淀_一模_18`：教师版参考答案为主，无显式细则。 ; `CC0311_2026_海淀_二模_18`：讲评 PDF 抽取多为水印，未取得明确细则。 ; `CC0353_2026_西城_期中_17`：仅 2 mats、1 rub，缺评分细则。",weak,5 道 reference_only 题的结构性证据明显薄弱,"`CC0040_2024_海淀_一模_19`：仅 1 rubric atom，无明确细则口径，仅参考答案。 ; `CC0094_2025_东城_期末_19_3`：rubric atom 是评分方案描述（""4分 / 2分 / 1分 / 0分""），并非具体细则。 ; `CC0162_2025_海淀_一模_18`：教师版参考答案为主，无显式细则。 ; `CC0311_2026_海淀_二模_18`：讲评 PDF 抽取多为水印，未取得明确细则。 ; `CC0353_2026_西城_期中_17`：仅 2 mats、1 rub，缺评分细则。"
OBS_C01,question_id 与 rubric 文本主题不一致（CC0001）,,,,,,,,,,,,,,,,,,,,,"`CC0001_2024_丰台_一模_16` 的 question-level `ask_text` 为""运用《法律与生活》知识……谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义""（法律与生活题）。 ; 但 `R_CC0001_2024_丰台_一模_16_01..04` 等 rubric atoms 的文本主题是""运用《政治与法治》知识……'四下基层'……党的领导""。 ; 同时 `R_CC0001_..._07,_19,_21` 又出现""维护双方合法权益、绿色出行、弘扬社会主义核心价值观""等法律题用语。 ; 这可能是合并/原子化阶段把同一份阅卷材料中 16 题（政治与法治）和 17 题（法律与生活）的细则文本错混。 ; 行动：建议回源核对丰台 2024 一模 16/17 题原卷及细则 PDF 后再使用。在核对前，CC0001 的 rubric atoms 不应单独用于任何法律观察。",conflict,question_id 与 rubric 文本主题不一致（CC0001）,"`CC0001_2024_丰台_一模_16` 的 question-level `ask_text` 为""运用《法律与生活》知识……谈谈法院酌情减轻被告赔偿责任的法理依据和现实意义""（法律与生活题）。 ; 但 `R_CC0001_2024_丰台_一模_16_01..04` 等 rubric atoms 的文本主题是""运用《政治与法治》知识……'四下基层'……党的领导""。 ; 同时 `R_CC0001_..._07,_19,_21` 又出现""维护双方合法权益、绿色出行、弘扬社会主义核心价值观""等法律题用语。 ; 这可能是合并/原子化阶段把同一份阅卷材料中 16 题（政治与法治）和 17 题（法律与生活）的细则文本错混。 ; 行动：建议回源核对丰台 2024 一模 16/17 题原卷及细则 PDF 后再使用。在核对前，CC0001 的 rubric atoms 不应单独用于任何法律观察。"
OBS_C02,CC0094 reference_only 却有 24 个 material atoms,,,,,,,,,,,,,,,,,,,,,"`CC0094_2025_东城_期末_19_3` 是 reference_only，但材料原子数达 24（与全集最高级别相当）；rubric atoms 又只有 6 条且本质是评分方案描述。 ; 这提示原子化阶段可能把多个不相关的页面文本一起合并进了同一 question_id。 ; 行动：回源细化该题边界后再使用；当前不应被任何""高材料密度""观察单独引用。",conflict,CC0094 reference_only 却有 24 个 material atoms,"`CC0094_2025_东城_期末_19_3` 是 reference_only，但材料原子数达 24（与全集最高级别相当）；rubric atoms 又只有 6 条且本质是评分方案描述。 ; 这提示原子化阶段可能把多个不相关的页面文本一起合并进了同一 question_id。 ; 行动：回源细化该题边界后再使用；当前不应被任何""高材料密度""观察单独引用。"
OBS_C03,marking_rubric 与 evaluation_standard 同题并存导致同观点不同表述,,,,,,,,,,,,,,,,,,,,,"`CC0143_2025_朝阳_一模_19` 同时存在 marking_report（R_CC0143_..._09,_17）和 evaluation_standard（R_CC0143_..._06,_10）；后者措辞略宽松。 ; 这并非真正冲突，但说明同一题""细则—报告—参考答案""之间存在层级差，强观察必须以 marking_rubric/marking_report > evaluation_standard > teacher_reference_answer 的优先级解释。 ; 建议在代码本里给 evidence_type 设置加权权重。",conflict,marking_rubric 与 evaluation_standard 同题并存导致同观点不同表述,"`CC0143_2025_朝阳_一模_19` 同时存在 marking_report（R_CC0143_..._09,_17）和 evaluation_standard（R_CC0143_..._06,_10）；后者措辞略宽松。 ; 这并非真正冲突，但说明同一题""细则—报告—参考答案""之间存在层级差，强观察必须以 marking_rubric/marking_report > evaluation_standard > teacher_reference_answer 的优先级解释。 ; 建议在代码本里给 evidence_type 设置加权权重。"
OBS_F01,"仅来自先验或模型直觉的""动作库""""故事卡""""法律关系路由""""一核二线三问四步五域""",,,,,,,,,,,,,,,,,,,,,证据为零：merged rubric_atoms 中无任何一条显示这类结构。把它们写进框架属于将模型先验注入证据；本轮严禁。,do_not_promote,"仅来自先验或模型直觉的""动作库""""故事卡""""法律关系路由""""一核二线三问四步五域""",证据为零：merged rubric_atoms 中无任何一条显示这类结构。把它们写进框架属于将模型先验注入证据；本轮严禁。
OBS_F02,教材目录顺序（民法总则→物权→合同→人格权→婚姻家庭→继承→侵权…）,,,,,,,,,,,,,,,,,,,,,题源高频按降序为：民法典 / 民事诉讼 / 民法基本原则 / 合同 / 侵权 / 知识产权与不正当竞争 / 劳动 / 人格权与隐私 / 消费者 / 相邻关系 / 继承婚姻 / 民事行为能力监护 / 产品责任。这与教材目录排序不同。基于题源生长的代码本不应被教材目录强制重排。,do_not_promote,教材目录顺序（民法总则→物权→合同→人格权→婚姻家庭→继承→侵权…）,题源高频按降序为：民法典 / 民事诉讼 / 民法基本原则 / 合同 / 侵权 / 知识产权与不正当竞争 / 劳动 / 人格权与隐私 / 消费者 / 相邻关系 / 继承婚姻 / 民事行为能力监护 / 产品责任。这与教材目录排序不同。基于题源生长的代码本不应被教材目录强制重排。
OBS_F03,法考式要件细化（如三阶层、责任竞合、保险代位）,,,,,,,,,,,,,,,,,,,,,"证据反例：`R_CC0150_..._24`""堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分""；`R_CC0244_..._05` 把""侵权要件完整分析""上限定为 2 分，""未分析要件，写侵犯了 XX 权利可得 1 分""——细则反对过度要件展开。任何把法考要件分类挂为主框架节点的提议，违反判分机制本身。",do_not_promote,法考式要件细化（如三阶层、责任竞合、保险代位）,"证据反例：`R_CC0150_..._24`""堆砌教材知识，没有问题意识，即使所有关键词答到，最多一半分4分""；`R_CC0244_..._05` 把""侵权要件完整分析""上限定为 2 分，""未分析要件，写侵犯了 XX 权利可得 1 分""——细则反对过度要件展开。任何把法考要件分类挂为主框架节点的提议，违反判分机制本身。"
OBS_F04,"""运用《法律与生活》→直接套必修三'科学立法/严格执法/公正司法/全民守法'""",,,,,,,,,,,,,,,,,,,,,证据反例：`R_CC0289_..._08`、`R_CC0254_..._04`、`R_CC0103_..._01`、`R_CC0305_..._06` 均显式扣分；任何把必修三四个总环节当主结构的提议会直接误导学生失分。,do_not_promote,"""运用《法律与生活》→直接套必修三'科学立法/严格执法/公正司法/全民守法'""",证据反例：`R_CC0289_..._08`、`R_CC0254_..._04`、`R_CC0103_..._01`、`R_CC0305_..._06` 均显式扣分；任何把必修三四个总环节当主结构的提议会直接误导学生失分。
OBS_F05,"把 14 道模块归属可疑题等同于法律题做出""法律命题机制""结论",,,,,,,,,,,,,,,,,,,,,"证据：`CC0047_2024_海淀_二模_21`、`CC0070_2024_顺义_二模_19`、`CC0132_2025_房山_一模_20`、`CC0168_2025_海淀_二模_20`、`CC0182_2025_海淀_期末_22`、`CC0218_2025_顺义_一模_16`、`CC0240_2026_东城_二模_21`、`CC0259_2026_丰台_期中_19`、`CC0358_2026_通州_一模_17`、`CC0094_2025_东城_期末_19_3`、`CC0250_2026_丰台_一模_19`、`CC0380_2026_顺义_二模_18`、`CC0026_2024_朝阳_二模_18`、`CC0229_2026_东城_一模_18` 等 ask_text 显示其设问主体是必修四哲学/必修四文化/选必一国际/必修三/综合论述（""奋斗""""不断谱写""""循新出发""""粮食安全国际合作""""古朴与创新""""向新力""""四大全球倡议""等），rubric 也常含相应总框架词。把它们的 rubric 内容用作""选必二法律命题机制""证据，会污染下一轮代码本。",do_not_promote,"把 14 道模块归属可疑题等同于法律题做出""法律命题机制""结论","证据：`CC0047_2024_海淀_二模_21`、`CC0070_2024_顺义_二模_19`、`CC0132_2025_房山_一模_20`、`CC0168_2025_海淀_二模_20`、`CC0182_2025_海淀_期末_22`、`CC0218_2025_顺义_一模_16`、`CC0240_2026_东城_二模_21`、`CC0259_2026_丰台_期中_19`、`CC0358_2026_通州_一模_17`、`CC0094_2025_东城_期末_19_3`、`CC0250_2026_丰台_一模_19`、`CC0380_2026_顺义_二模_18`、`CC0026_2024_朝阳_二模_18`、`CC0229_2026_东城_一模_18` 等 ask_text 显示其设问主体是必修四哲学/必修四文化/选必一国际/必修三/综合论述（""奋斗""""不断谱写""""循新出发""""粮食安全国际合作""""古朴与创新""""向新力""""四大全球倡议""等），rubric 也常含相应总框架词。把它们的 rubric 内容用作""选必二法律命题机制""证据，会污染下一轮代码本。"
