observation_id,plain_observation,question_ids,rubric_atom_ids,material_atom_ids,ask_type,evidence_type,evidence_level,what_student_must_judge,material_trigger,legal_knowledge_or_rule_triggered,rubric_reward,knowledge_material_value_type,full_score_sentence_pattern,must_have_keywords,risk_of_empty_value_talk,risk_of_legal_exam_overanalysis,module_boundary_risk,transfer_potential,counterexamples,confidence,should_enter_codebook,reason
S11,纠纷解决和证据题不是简单罗列协商、调解、仲裁、诉讼，而是根据材料中的已发生步骤、标的大小、证据状态和诉讼类型选择可行路径。,"[CC0125_2025_延庆_一模_19, CC0245_2026_东城_期中_18_2, CC0325_2026_石景山_一模_18, CC0223_2025_顺义_一模_19, CC0283_2026_朝阳_一模_18]","[R_CC0125_2025_延庆_一模_19_M17_01, R_CC0125_2025_延庆_一模_19_M17_02, R_CC0125_2025_延庆_一模_19_M17_03, R_CC0125_2025_延庆_一模_19_M17_04, R_CC0125_2025_延庆_一模_19_M17_05, R_CC0245_2026_东城_期中_18_2_01, R_CC0245_2026_东城_期中_18_2_02, R_CC0245_2026_东城_期中_18_2_03, R_CC0245_2026_东城_期中_18_2_04, R_CC0325_2026_石景山_一模_18_01, R_CC0325_2026_石景山_一模_18_02, R_CC0325_2026_石景山_一模_18_03, R_CC0223_2025_顺义_一模_19_M17_01, R_CC0223_2025_顺义_一模_19_M17_06, R_CC0283_2026_朝阳_一模_18_02]","[M_CC0125_2025_延庆_一模_19_02, M_CC0125_2025_延庆_一模_19_03, M_CC0125_2025_延庆_一模_19_06, M_CC0125_2025_延庆_一模_19_07, M_CC0125_2025_延庆_一模_19_08, M_CC0125_2025_延庆_一模_19_09, M_CC0245_2026_东城_期中_18_2_03, M_CC0245_2026_东城_期中_18_2_04, M_CC0245_2026_东城_期中_18_2_05, M_CC0245_2026_东城_期中_18_2_06, M_CC0245_2026_东城_期中_18_2_07, M_CC0245_2026_东城_期中_18_2_11, M_CC0245_2026_东城_期中_18_2_13, M_CC0325_2026_石景山_一模_18_02, M_CC0325_2026_石景山_一模_18_06, M_CC0325_2026_石景山_一模_18_07, M_CC0325_2026_石景山_一模_18_08, M_CC0325_2026_石景山_一模_18_12, M_CC0223_2025_顺义_一模_19_01, M_CC0223_2025_顺义_一模_19_02, M_CC0223_2025_顺义_一模_19_15, M_CC0223_2025_顺义_一模_19_17, M_CC0223_2025_顺义_一模_19_18, M_CC0283_2026_朝阳_一模_18_02, M_CC0283_2026_朝阳_一模_18_08]",如何调解并说明理由；维权准备和策略选择；分析举证责任；说明纠纷解决方式作用,evaluation_standard + marking_rubric,formal,本案已协商未果还是适宜调解；是否有仲裁协议；应由谁举证；证据是否已灭失；诉讼类型是民事、行政还是刑事。,仅退款后商品已扔掉；协商未果；准备起诉状、身份信息和证据；不能直接上诉或对个人提行政诉讼；窗户坠落砸车；行政行为合法性争议；法院调解邻里纠纷。,调解；仲裁；诉讼；起诉状；诉讼时效；证据；举证责任；谁主张谁举证；举证责任倒置；多元纠纷解决机制。,调解题奖励诚信、合同解除、返还货物、证据意识；维权题奖励路径、证据、权利义务和合理诉求；举证题奖励按诉讼类型分配举证责任；多元纠纷题奖励调解实质化解纠纷和治理价值。,knowledge+material+value,陈某已与刘某协商未果，不能再简单建议协商；可选择调解、仲裁或诉讼，若选择仲裁需有有效仲裁协议，若起诉需准备起诉状、原被告身份信息和能够证明合同、故障、损害及因果关系的证据，并明确主张违约责任或侵权责任。,"调解, 仲裁协议, 诉讼, 起诉状, 证据, 举证责任, 证据链, 诚信原则, 合同解除",高。只写依法维权、维护公平无法覆盖程序和证据分。,中。无需写完整民诉流程，题内要求是可行准备和分配理由。,中。CC0223 为综合风险题，需保留相邻关系、行政裁决、行政诉讼等法律原子。,高。适合迁移到维权建议、调解理由、证据责任表格题。,CC0094_2025_东城_期末_19_3 的 M_CC0094_2025_东城_期末_19_3_11 显示学生把分歧误写成调解，提示不能见分歧就套调解。,high,yes,多题明确显示程序路径、证据材料和诉讼类型是独立得分对象。
S12,相邻关系、权利边界和绿色发展题的法律分来自权利义务边界、法定义务和救济责任；和谐邻里、绿色发展、公共利益只能在法律路径后形成价值分。,"[CC0223_2025_顺义_一模_19, CC0364_2026_通州_期中_19_1, CC0011_2024_丰台_二模_17, CC0340_2026_西城_一模_17, CC0254_2026_丰台_二模_18]","[R_CC0223_2025_顺义_一模_19_M17_02, R_CC0223_2025_顺义_一模_19_M17_03, R_CC0223_2025_顺义_一模_19_M17_04, R_CC0223_2025_顺义_一模_19_M17_05, R_CC0223_2025_顺义_一模_19_M17_06, R_CC0364_2026_通州_期中_19_1_01, R_CC0011_2024_丰台_二模_17_01, R_CC0340_2026_西城_一模_17_01, R_CC0254_2026_丰台_二模_18_09]","[M_CC0223_2025_顺义_一模_19_01, M_CC0223_2025_顺义_一模_19_02, M_CC0223_2025_顺义_一模_19_03, M_CC0223_2025_顺义_一模_19_04, M_CC0223_2025_顺义_一模_19_15, M_CC0364_2026_通州_期中_19_1_01, M_CC0364_2026_通州_期中_19_1_03, M_CC0364_2026_通州_期中_19_1_04, M_CC0364_2026_通州_期中_19_1_05, M_CC0364_2026_通州_期中_19_1_06, M_CC0364_2026_通州_期中_19_1_07, M_CC0011_2024_丰台_二模_17_01, M_CC0011_2024_丰台_二模_17_02, M_CC0011_2024_丰台_二模_17_03, M_CC0011_2024_丰台_二模_17_04, M_CC0011_2024_丰台_二模_17_06, M_CC0011_2024_丰台_二模_17_07, M_CC0011_2024_丰台_二模_17_08, M_CC0011_2024_丰台_二模_17_09, M_CC0340_2026_西城_一模_17_02, M_CC0340_2026_西城_一模_17_04, M_CC0340_2026_西城_一模_17_06, M_CC0340_2026_西城_一模_17_07, M_CC0254_2026_丰台_二模_18_01, M_CC0254_2026_丰台_二模_18_02, M_CC0254_2026_丰台_二模_18_03, M_CC0254_2026_丰台_二模_18_04, M_CC0254_2026_丰台_二模_18_05, M_CC0254_2026_丰台_二模_18_06, M_CC0254_2026_丰台_二模_18_07]",阐释定分止争价值；分析判决理由；说明民法典规定如何推动绿色发展；谈理解,evaluation_standard + marking_rubric,formal,权利人行使权利是否超过正当界限；相邻关系是否适用；生态保护是绿色原则、物权义务、侵权责任还是调解修复问题。,门口堆放杂物影响通行；加装电梯程序合法且未造成采光影响；民法典物权编规定业主义务、停止侵害和排除妨碍；污染破坏环境承担侵权责任；分期赔偿加生态修复。,相邻关系；有利生产、方便生活、团结互助、公平合理；绿色原则；物权权利义务；停止侵害；排除妨碍；恢复原状；侵权责任；生态修复。,相邻关系题奖励共有部分合理使用、相邻权规则和多元纠纷价值；绿色题奖励民法绿色原则、权利界限、法定义务、法律责任与救济、公共利益和可持续发展。,knowledge+material+value,不动产相邻权利人应按照有利生产、方便生活、团结互助、公平合理原则正确处理相邻关系。范某阻碍已依法获批且尽量减少影响的加装电梯工程，超过了权利行使边界，法院判令停止妨害有利于维护相邻业主合法权益和邻里和谐。,"相邻关系, 权利界限, 共有部分, 民法典, 绿色原则, 法定义务, 侵权责任, 生态修复, 公共利益",高。只写绿色发展、邻里和谐、核心价值观，法律路径不足。,中。不宜脱离材料扩展物权编全体系。,中。CC0364 同题含逻辑与思维第二问，需限定为 R_CC0364_2026_通州_期中_19_1_01 法律部分。,高。适合迁移到加装电梯、通行采光、物业环境、生态侵权和绿色民法题。,CC0364_2026_通州_期中_19_1 的 R_CC0364_2026_通州_期中_19_1_05 至 R_CC0364_2026_通州_期中_19_1_08 是逻辑推理分，不应进入相邻关系法律观察。,high,yes,多题将法律规则、材料事实和价值意义清晰分层，能形成稳定答题观察。
S13,主观题中的材料不能原样搬运，必须转化为法律语言；细则对翻译替换、术语准确、材料条件完整性有直接奖励或扣分。,"[CC0084_2025_东城_二模_19, CC0143_2025_朝阳_一模_19, CC0025_2024_朝阳_二模_17, CC0245_2026_东城_期中_18_2]","[R_CC0084_2025_东城_二模_19_09, R_CC0084_2025_东城_二模_19_10, R_CC0084_2025_东城_二模_19_11, R_CC0143_2025_朝阳_一模_19_11, R_CC0143_2025_朝阳_一模_19_13, R_CC0143_2025_朝阳_一模_19_17, R_CC0143_2025_朝阳_一模_19_21, R_CC0143_2025_朝阳_一模_19_22, R_CC0143_2025_朝阳_一模_19_25, R_CC0025_2024_朝阳_二模_17_14, R_CC0245_2026_东城_期中_18_2_02, R_CC0245_2026_东城_期中_18_2_04]","[M_CC0084_2025_东城_二模_19_05, M_CC0084_2025_东城_二模_19_06, M_CC0084_2025_东城_二模_19_13, M_CC0143_2025_朝阳_一模_19_05, M_CC0143_2025_朝阳_一模_19_08, M_CC0025_2024_朝阳_二模_17_03, M_CC0025_2024_朝阳_二模_17_04, M_CC0025_2024_朝阳_二模_17_05, M_CC0025_2024_朝阳_二模_17_06, M_CC0025_2024_朝阳_二模_17_07, M_CC0025_2024_朝阳_二模_17_08, M_CC0025_2024_朝阳_二模_17_09, M_CC0025_2024_朝阳_二模_17_10, M_CC0025_2024_朝阳_二模_17_11, M_CC0025_2024_朝阳_二模_17_13, M_CC0245_2026_东城_期中_18_2_09, M_CC0245_2026_东城_期中_18_2_11, M_CC0245_2026_东城_期中_18_2_13]",表格填空；说明理由；维权建议；案例意义,marking_report + marking_rubric,formal,材料事实应转化成哪个法律词，是否需要完整列出条件。,无事实依据评价导致严重负面影响，要转为侮辱、诽谤、社会评价降低；隐性搭售要转为欺诈和违背真实意思；平台派单、奖惩、数据、业务组成要转为三个从属性；协商未果不能继续写协商。,法律事实提取；权利名称；法律因果关系；诉讼请求拆分；证据类型归纳。,完全抄材料不得要件分；法律名称写错不给分；仅写三个从属性但无材料只给 1 分；维权题要求从具体证据上升到依法收集并固化证据、形成证据链。,material+knowledge,材料中无事实依据评价某公司并造成严重负面影响，应转化为以侮辱、诽谤等方式造成社会评价降低，侵害名誉权；材料中擅自搭售且消费者无法知悉、无法拒绝，应转化为经营者欺诈并侵害消费者知情权和自主选择权。,"转化, 提取, 法律语言, 侮辱, 诽谤, 社会评价降低, 欺诈, 三个从属性, 证据链",高。抄材料加价值话术会丢术语分。,中。转化应贴合高中细则，不宜引入复杂法条构成。,低到中。材料翻译机制跨法律题稳定，但遇综合题需先确认模块。,高。适合作为审题和生成满分句的通用观察。,CC0094_2025_东城_期末_19_3 的 R_CC0094_2025_东城_期末_19_3_05 至 R_CC0094_2025_东城_期末_19_3_06 也有脱离设问问题，但该题为 reference_only 且模块混杂，只能辅助验证。,high,yes,阅卷报告直接记录了学生不会提取、不会翻译、术语混乱的扣分事实。
S14,设问动词会改变答案形态：说明理由、评析行为、如何调解、维权准备、完成裁判理由、说明作用，不能套同一种判决意义模板。,"[CC0143_2025_朝阳_一模_19, CC0125_2025_延庆_一模_19, CC0245_2026_东城_期中_18_2, CC0283_2026_朝阳_一模_18, CC0213_2025_门头沟_一模_20, CC0254_2026_丰台_二模_18]","[R_CC0143_2025_朝阳_一模_19_15, R_CC0143_2025_朝阳_一模_19_16, R_CC0143_2025_朝阳_一模_19_23, R_CC0125_2025_延庆_一模_19_M17_01, R_CC0125_2025_延庆_一模_19_M17_02, R_CC0125_2025_延庆_一模_19_M17_03, R_CC0125_2025_延庆_一模_19_M17_04, R_CC0245_2026_东城_期中_18_2_01, R_CC0283_2026_朝阳_一模_18_01, R_CC0283_2026_朝阳_一模_18_02, R_CC0213_2025_门头沟_一模_20_M17_01, R_CC0213_2025_门头沟_一模_20_M17_02, R_CC0213_2025_门头沟_一模_20_M17_03, R_CC0213_2025_门头沟_一模_20_M17_04, R_CC0213_2025_门头沟_一模_20_M17_05, R_CC0213_2025_门头沟_一模_20_M17_06, R_CC0254_2026_丰台_二模_18_01, R_CC0254_2026_丰台_二模_18_06]","[M_CC0143_2025_朝阳_一模_19_06, M_CC0143_2025_朝阳_一模_19_07, M_CC0125_2025_延庆_一模_19_02, M_CC0125_2025_延庆_一模_19_03, M_CC0125_2025_延庆_一模_19_04, M_CC0125_2025_延庆_一模_19_05, M_CC0125_2025_延庆_一模_19_06, M_CC0125_2025_延庆_一模_19_07, M_CC0125_2025_延庆_一模_19_08, M_CC0125_2025_延庆_一模_19_09, M_CC0125_2025_延庆_一模_19_10, M_CC0245_2026_东城_期中_18_2_01, M_CC0245_2026_东城_期中_18_2_03, M_CC0245_2026_东城_期中_18_2_04, M_CC0245_2026_东城_期中_18_2_05, M_CC0245_2026_东城_期中_18_2_06, M_CC0245_2026_东城_期中_18_2_07, M_CC0283_2026_朝阳_一模_18_01, M_CC0283_2026_朝阳_一模_18_02, M_CC0283_2026_朝阳_一模_18_08, M_CC0213_2025_门头沟_一模_20_11, M_CC0213_2025_门头沟_一模_20_12, M_CC0213_2025_门头沟_一模_20_13, M_CC0213_2025_门头沟_一模_20_14, M_CC0254_2026_丰台_二模_18_01, M_CC0254_2026_丰台_二模_18_02, M_CC0254_2026_丰台_二模_18_10, M_CC0254_2026_丰台_二模_18_11]",说明理由；如何调解；维权准备；说明调解作用；完成裁判理由；谈理解,marking_report + evaluation_standard + marking_rubric,formal,设问要求回答为什么、怎么办、怎么看、如何完成裁判理由，还是说明制度作用。,王某有两个诉讼请求；法官调解仅退款纠纷；陈某维权需要准备路径和证据；人民法院坚持调解优先；孙某劳动合同裁判理由；生态调解题要求理解法治与德治。,诉讼请求拆分；调解理由；维权路径；裁判理由；制度作用；法治与德治结合。,CC0143 明确学生误把支持诉讼请求理由审成判决是否正确或怎么做；CC0254 明确机械套法理依据到现实意义模板会偏；不同设问对应不同材料处理和句型。,ask+material+knowledge,若设问问法院为什么支持诉讼请求，应按两个诉讼请求分别写合同撤销和三倍赔偿理由；若设问问如何调解，应写调解结果、诚信理由、合同解除返还货物、证据意识；若设问问维权准备，应写路径选择、证据准备和合理诉求。,"设问指向, 诉讼请求, 调解结果, 维权途径, 证据准备, 裁判理由, 制度作用, 不套模板",高。模板化意义句会错过任务类型。,中。设问小，答案也应小；过度展开会稀释得分点。,中。综合性设问需先辨认是否为法律与生活部分。,高。可帮助学生审题、确定句式和材料调用方式。,CC0254_2026_丰台_二模_18 的 R_CC0254_2026_丰台_二模_18_01 直接指出机械化套某类主观题模板会导致答案不聚焦。,high,yes,这是跨题稳定的学生作答机制，且有阅卷报告直接支持。
W01,AI、虚拟数字人、数字员工等新型材料常被转化为著作权、不正当竞争、名誉权、商业秘密等既有法律路径；但虚拟数字人独立题目前只有 reference_only，不能单独支撑核心 code。,"[CC0040_2024_海淀_一模_19, CC0137_2025_昌平_二模_20, CC0277_2026_房山_二模_18]","[R_CC0040_2024_海淀_一模_19_01, R_CC0137_2025_昌平_二模_20_02, R_CC0137_2025_昌平_二模_20_03, R_CC0137_2025_昌平_二模_20_04, R_CC0277_2026_房山_二模_18_01, R_CC0277_2026_房山_二模_18_02, R_CC0277_2026_房山_二模_18_03, R_CC0277_2026_房山_二模_18_04]","[M_CC0040_2024_海淀_一模_19_01, M_CC0040_2024_海淀_一模_19_02, M_CC0040_2024_海淀_一模_19_05, M_CC0040_2024_海淀_一模_19_06, M_CC0137_2025_昌平_二模_20_15, M_CC0137_2025_昌平_二模_20_16, M_CC0137_2025_昌平_二模_20_17, M_CC0277_2026_房山_二模_18_01, M_CC0277_2026_房山_二模_18_02, M_CC0277_2026_房山_二模_18_03, M_CC0277_2026_房山_二模_18_04]",谈对判决认识；完成裁判理由；说明法律边界和应对措施,teacher_reference_answer + evaluation_standard,reference_only + formal 辅助,新技术材料到底触发著作权、不正当竞争、商业秘密、名誉权，还是一般技术伦理。,虚拟数字人视频被未经许可使用并替换标识；AI 绘图被抹水印使用；数字员工生成虚假负面文章、上传核心代码、生成商业图案。,著作权；信息网络传播权；署名权；反不正当竞争法；商业诋毁；商业秘密；名誉权。,formal 题奖励具体权利和风险识别；reference_only 题仅能显示虚拟数字人可进入著作权和不正当竞争路径。,knowledge+material+value,新技术材料应先判断具体法律权益，如 AI 图片是否具备独创性、虚拟数字人视频是否受著作权保护、虚假负面数据文章是否构成商业诋毁，再写侵权责任和创新保护价值。,"AI, 虚拟数字人, 著作权, 不正当竞争, 商业秘密, 名誉权, 审核义务",高。新技术题很容易写成技术创新价值空话。,中。不宜讨论 AI 是否具有法律人格等超材料问题。,中。AI 材料常混入哲学、经济或科技创新话题。,中高。可作为下一轮重点，但暂不独立入核心 code。,CC0040_2024_海淀_一模_19 为 reference_only，R_CC0040_2024_海淀_一模_19_01 不能单独支撑强观察。,medium,no,存在 formal 辅助证据，但虚拟数字人独立路径证据等级不足。
W02,知识产权可质押、作价出资、发明人报酬可能形成知识产权促进企业融资与创新的观察，但目前主要来自 reference_only。,[CC0311_2026_海淀_二模_18],"[R_CC0311_2026_海淀_二模_18_M17_01, R_CC0311_2026_海淀_二模_18_M17_02, R_CC0311_2026_海淀_二模_18_M17_03, R_CC0311_2026_海淀_二模_18_M17_04, R_CC0311_2026_海淀_二模_18_M17_05]","[M_CC0311_2026_海淀_二模_18_04, M_CC0311_2026_海淀_二模_18_05, M_CC0311_2026_海淀_二模_18_06, M_CC0311_2026_海淀_二模_18_07, M_CC0311_2026_海淀_二模_18_08, M_CC0311_2026_海淀_二模_18_09, M_CC0311_2026_海淀_二模_18_10, M_CC0311_2026_海淀_二模_18_11, M_CC0311_2026_海淀_二模_18_12]",说明法律规定对企业创新发展的作用,teacher_reference_answer,reference_only,知识产权在题中是被侵权对象，还是可融资、可出资、可激励创新的财产权。,民法典将知识产权财产权纳入可质押权利范围；公司法确认知识产权作价出资；专利法奖励发明人。,知识产权财产权；质押；作价出资；专利奖励报酬；企业融资。,分别奖励融资渠道、技术要素转资本、员工创新积极性和企业法治保障。,knowledge+value,知识产权作为财产权可用于质押融资，也可作价出资并激励发明人，有利于促进知识产权流通使用，为企业创新发展提供法治保障。,"知识产权财产权, 质押, 作价出资, 发明人奖励, 融资渠道, 创新激励",中。若只写保护创新，缺少三类法律功能。,中。不宜扩展到担保物权完整规则。,中。材料前半包含思维方法和市场调研内容。,中。需下一轮找 formal 证据验证。,CC0103_2025_丰台_一模_19 的 R_CC0103_2025_丰台_一模_19_01 是 formal，但其路径是技术秘密侵权和典型案例意义，不能证明质押、出资、发明人报酬。,medium,no,reference_only 不能单独支撑核心 code。
W03,年卡、会员权益、平台服务条款等消费合同可能触发格式合同有效性和诚信履行判断，但该具体场景证据等级不足。,[CC0162_2025_海淀_一模_18],"[R_CC0162_2025_海淀_一模_18_M17_01, R_CC0162_2025_海淀_一模_18_M17_02, R_CC0162_2025_海淀_一模_18_M17_03, R_CC0162_2025_海淀_一模_18_M17_04]","[M_CC0162_2025_海淀_一模_18_03, M_CC0162_2025_海淀_一模_18_04, M_CC0162_2025_海淀_一模_18_05, M_CC0162_2025_海淀_一模_18_06, M_CC0162_2025_海淀_一模_18_07, M_CC0162_2025_海淀_一模_18_08]",谈对判决认识,teacher_reference_answer,reference_only,格式合同条款是否有效，游客转售年卡福利是否违反合同和诚信原则。,年卡不可转让、福利仅限本人使用、违反约定可解除合同；游客利用审查漏洞公开转售酒店房间；法院驳回诉讼请求。,格式合同；合同有效；诚信原则；合同解除。,参考答案奖励格式合同有效、违反约定、乐园解除合同、维护市场公平。,knowledge+material+value,游客办理年卡时签订的格式合同意思表示真实且条款符合公平原则，合同有效；其利用漏洞转售福利违反合同约定和诚信原则，主题乐园可按约解除合同。,"格式合同, 合同有效, 诚信原则, 解除合同, 年卡不可转让",中。不能只写规范市场。,中。无需展开格式条款无效全部情形。,低到中。法律场景清楚，但证据等级不足。,中。可作为消费合同场景补充。,CC0317_2026_海淀_期中_18 的 R_CC0317_2026_海淀_期中_18_01 为 formal，显示格式条款也可能无效，不能把格式合同一律写成有效。,medium,no,reference_only，且需与 formal 格式条款题区分有效和无效情形。
W04,未成年人保护法与不正当竞争法交叉可能出现，但本包内该交叉只形成弱信号。,[CC0353_2026_西城_期中_17],[R_CC0353_2026_西城_期中_17_01],"[M_CC0353_2026_西城_期中_17_01, M_CC0353_2026_西城_期中_17_02]",判断判决是否正确并说明理由,teacher_reference_answer,reference_only,行为是否同时损害市场竞争秩序和未成年人保护机制。,B 公司被判构成不正当竞争并赔偿损失；材料同时提及未成年人保护法和反不正当竞争法。,反不正当竞争法；未成年人保护法；侵权责任；司法公正。,参考答案奖励不正当竞争、损害竞争秩序、危害未成年人保护机制和赔偿责任。,knowledge+material+value,若经营者行为既违反反不正当竞争法，又危害未成年人保护机制，应说明其损害竞争秩序和特定群体权益，并承担相应侵权责任。,"未成年人保护法, 反不正当竞争法, 市场竞争秩序, 侵权责任",高。未成年人保护易被写成笼统关爱未成年人。,中。材料不足以展开未成年人网络保护全套制度。,中。缺少完整题干和正式细则。,低到中。需下一轮 formal 证据。,CC0084_2025_东城_二模_19 的 R_CC0084_2025_东城_二模_19_02 为 formal，未成年人题主要走限制民事行为能力人和身体健康权路径，并不必然进入未成年人保护法。,low,no,单条 reference_only，不足以成为核心观察。
W05,社区分歧、充电柜、绿地通行采光类材料可能同时考相邻关系和基层民主协商，但本包中该类证据混杂，暂不能抽成强观察。,"[CC0094_2025_东城_期末_19_3, CC0223_2025_顺义_一模_19]","[R_CC0094_2025_东城_期末_19_3_05, R_CC0094_2025_东城_期末_19_3_06, R_CC0223_2025_顺义_一模_19_M17_02, R_CC0223_2025_顺义_一模_19_M17_03, R_CC0223_2025_顺义_一模_19_M17_05]","[M_CC0094_2025_东城_期末_19_3_01, M_CC0094_2025_东城_期末_19_3_02, M_CC0094_2025_东城_期末_19_3_05, M_CC0094_2025_东城_期末_19_3_06, M_CC0094_2025_东城_期末_19_3_09, M_CC0094_2025_东城_期末_19_3_11, M_CC0223_2025_顺义_一模_19_01, M_CC0223_2025_顺义_一模_19_02, M_CC0223_2025_顺义_一模_19_15]",达成共识；阐释定分止争价值,teacher_reference_answer + evaluation_standard,reference_only + formal 辅助,是相邻关系、民主协商、调解，还是技术方案设计。,绿地、通行、采光、居民分歧；相邻关系原则；民主协商和共同商量；法院调解邻里纠纷。,相邻关系；权利有界限；民主协商；多元纠纷解决。,reference_only 材料指出缺少相邻关系层会丢分，误写技术方案或调解会偏；formal 材料支持相邻关系和调解价值。,knowledge+material+value,社区分歧若涉及绿地、通行、采光，应先写相邻关系和权利义务边界，再根据材料补民主协商或共同商量，不能只设计技术方案。,"相邻关系, 权利义务统一, 权利有界限, 民主协商, 共同商量",高。只写邻里和谐或基层治理不够。,中。不宜把所有分歧都写成民事诉讼或调解。,高。法律与政治模块混合明显。,中。需更多 formal 题验证。,CC0094_2025_东城_期末_19_3 本身为 reference_only，且同一材料中还混入文化、国际经济等片段，不能独立入强观察。,low,no,该题混杂程度高，只能作为审题风险提示。
C01,CC0001 的 question_id 层面发生内容混合：前段材料和细则是政治与法治四下基层，后段又混入好意同乘参考答案和评分说明，不能作为任何强观察依据。,[CC0001_2024_丰台_一模_16],"[R_CC0001_2024_丰台_一模_16_01, R_CC0001_2024_丰台_一模_16_07, R_CC0001_2024_丰台_一模_16_11, R_CC0001_2024_丰台_一模_16_20, R_CC0001_2024_丰台_一模_16_21, R_CC0001_2024_丰台_一模_16_25]","[M_CC0001_2024_丰台_一模_16_01, M_CC0001_2024_丰台_一模_16_02, M_CC0001_2024_丰台_一模_16_07, M_CC0001_2024_丰台_一模_16_14, M_CC0001_2024_丰台_一模_16_15, M_CC0001_2024_丰台_一模_16_16, M_CC0001_2024_丰台_一模_16_17, M_CC0001_2024_丰台_一模_16_18]",内容冲突，政治与法治问法和法律案例答案混入,evaluation_standard,formal 但需回源,当前不能让学生据此判断模块或生成满分句，需先拆分题源。,M_CC0001_2024_丰台_一模_16_01 明确要求运用政治与法治谈四下基层；M_CC0001_2024_丰台_一模_16_14 至 M_CC0001_2024_丰台_一模_16_18 又出现好意同乘、生命权健康权、民法典。,好意同乘和民法典信号混入，但与前段政治题不一致。,细则既有四下基层共性角度，也出现好意同乘法理依据和现实意义，内部不一致。,conflict,暂不生成。,"回源拆分, 题源混入, 四下基层, 好意同乘",高。误用该题会把法律题和政治题混在一起。,高。法律分析没有稳定题干支撑。,极高。,无，需核查后再处理。,CC0002_2024_丰台_一模_17 的 R_CC0002_2024_丰台_一模_17_M17_01 至 R_CC0002_2024_丰台_一模_17_M17_06 和 M_CC0002_2024_丰台_一模_17_01 至 M_CC0002_2024_丰台_一模_17_08 是独立完整的好意同乘 formal 证据。,high,no,同一 question_id 同时承载不同题源内容，需回源切分。
C02,CC0373 的 question_id 层面混入首都都市圈政治题和劳动法、竞业限制评分细则；劳动法原子可以参考，但整题不能直接作为强观察证据。,[CC0373_2026_顺义_一模_17],"[R_CC0373_2026_顺义_一模_17_01, R_CC0373_2026_顺义_一模_17_03, R_CC0373_2026_顺义_一模_17_04, R_CC0373_2026_顺义_一模_17_06, R_CC0373_2026_顺义_一模_17_07]","[M_CC0373_2026_顺义_一模_17_01, M_CC0373_2026_顺义_一模_17_03, M_CC0373_2026_顺义_一模_17_04, M_CC0373_2026_顺义_一模_17_07, M_CC0373_2026_顺义_一模_17_08, M_CC0373_2026_顺义_一模_17_09]",内容冲突，政治制度优势和劳动法案例混入,marking_rubric,formal 但需回源,需先拆出题号 17 与题号 18 的真实边界。,R_CC0373_2026_顺义_一模_17_01 是首都都市圈制度优势；R_CC0373_2026_顺义_一模_17_03 至 R_CC0373_2026_顺义_一模_17_07 是就业歧视和竞业限制。,劳动法平等就业；竞业限制；夫妻共同财产利益一致性。,劳动法部分有明确表态、法律依据、事实依据；但与整题 political rubric 冲突。,conflict,暂不生成；劳动法片段需另行回源拆出。,"回源拆分, 首都都市圈, 平等就业, 竞业限制",高。整题使用会把制度优势答法混入劳动法。,中。劳动片段本身可分析，但题号边界不稳。,极高。,仅劳动法原子有潜在价值，整题无。,CC0181_2025_海淀_期末_21 的 R_CC0181_2025_海淀_期末_21_M17_01 至 R_CC0181_2025_海淀_期末_21_M17_05 可作为竞业限制强证据。,high,no,同一题号中出现不同题目评分细则，需回源核验题号和 slide 边界。
