"seq","suite","question","current_sha","current_status","closure","core_h3_count","boundary_h3_count","body_hit","hit_headings","adjudication","basis","old_v7_decision","terms","aliases","paper_source","rubric_source"
"18","2024石景山一模","Q22","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-选择题/串入噪声","上下文为选择题和第16题文化题片段，未定位正式主观题第22题及评分细则。","P0必须回源查细则-旧表未取到细则不能排除","经济全球化；全球治理；人类命运共同体","2024石景山一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024石景山一模\试卷\2024北京石景山高三一模政治（教师版带答案）.docx",""
"19","2024西城一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L675 2024西城一模Q19(6) || L2069 2024西城一模Q19(6) || L2101 2024西城一模Q19(6) || L2157 2024西城一模Q19(6)","","","P0误纳入审计-旧稿已有但疑非选必一","产业链","2024西城一模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\试卷\2024.4高三统一测试思想政治试卷.docx","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区一模\2024西城一模\细则\2024西城一模细则.docx"
"20","2024西城二模","Q17","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L720 2024西城二模Q17","","","P0必须回补-旧稿缺失但已有细则上下文","世界多极化；经济全球化；国际竞争","2024西城二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx"
"21","2024西城二模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L155 2024西城二模Q19中国答案的国际关系新思路 || L3313 2024西城二模Q19中国答案的国际关系新思路 || L3531 2024西城二模Q19 || L3838 2024西城二模Q19","","","纳入候选-旧稿已有主位置-仍需一题一例复核","全球治理；人类命运共同体；多边主义；国际关系民主化；国际秩序","2024西城二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\试卷\高三模拟测试思想政治试卷.docx","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024西城二模\细则\2024西城二模细则.docx"
"22","2024顺义二模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_BOUNDARY_OR_CROSS_BOOK_BY_ADJUDICATION","0","0","False","","边界-不入主链","题干虽写《政治与法治》和《当代国际政治与经济》，但设问核心是人民代表大会制度优势回应百姓关切，未定位清晰国政经评分点。","P0必须回源查细则-旧表未取到细则不能排除","当代国际政治与经济；国际政治与经济","2024顺义二模 / 2024顺义思政二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx",""
"23","2024顺义二模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L472 2024顺义二模Q19(2) || L705 2024顺义二模Q19(2) || L3774 2024顺义二模Q19(2) || L4846 2024顺义二模Q19(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；世界多极化；国家利益；国际竞争；综合国力；人类命运共同体","2024顺义二模 / 2024顺义思政二模","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\试卷\20240318顺义思政二模试题（定）.docx","C:\Users\Administrator\Desktop\2024各区模拟题\2024各区二模\2024顺义思政二模\细则\2024顺义思政二模细则.docx"
"24","2025东城一模","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第16题明示运用《哲学与文化》分析中国年，联合国/世界中国年只作文化传播材料。","P0必须回补-旧稿缺失但已有细则上下文","联合国","2025东城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf"
"25","2025东城一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L519 2025东城一模Q20 || L1236 2025东城一模Q20元首外交""精彩""之处 || L3096 2025东城一模Q20 || L4678 2025东城一模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；共同利益；全球治理；人类命运共同体；国际关系民主化；高水平对外开放","2025东城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf"
"26","2025东城一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","1","0","True","L756 2025东城一模Q21","","","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济；国际竞争","2025东城一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\试卷\2025北京东城高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025东城一模\细则\2025东城一模细则.pdf"
"27","2025东城二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","5","0","True","L297 2025东城二模Q20 || L631 2025东城二模Q20（同球共济精神） || L3923 2025东城二模Q20（国际关系民主化） || L4115 2025东城二模Q20同球共济小论文 || L4692 2025东城二模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；世界多极化；共同利益；人类命运共同体；中国智慧；中国方案；国际关系民主化","2025东城二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\试卷\2025北京东城高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025东城二模\细则\2025东城二模细则.pdf"
"28","2025东城期末","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","8","0","True","L327 2025东城期末Q20 || L457 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || L1625 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || L2465 2025东城期末Q20 || L2482 2025东城期末Q20 || L2498 2025东城期末Q20 || L3887 2025东城期末Q20——评价欧盟对中国新能源汽车征收临时反补贴税 || L5309 2025东城期末Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；国家利益；共同利益","2025东城期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\试卷\2025北京东城高三（上）期末政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025东城期末\其他材料\2025。1东城讲评 修改.pdf"
"29","2025丰台一模","Q16","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","body_only_no_independent_h3","CLOSED_BY_ADJUDICATION_ALIAS_OR_RENUMBER","0","0","True","","已覆盖-题号串位","上下文实际为2025丰台一模Q20北京“两区”建设，当前稿已有Q20多处独立题例；Q16是细则文档前置题号串入。","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济；贸易投资","2025丰台一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx"
"30","2025丰台一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","2","1","True","L1505 2025丰台一模Q20北京“两区”通关创新 || L1875 2025丰台一模Q20 || L6096 2025丰台一模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；新型国际关系；人类命运共同体；贸易投资；两个市场；两种资源","2025丰台一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx"
"31","2025丰台一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_boundary_h3","CLOSED_BOUNDARY_IN_CURRENT_SHA","0","1","True","L6153 2025丰台一模Q21","","","边界复核-只可入边界表或跨模块提示","经济全球化；新型国际关系；人类命运共同体","2025丰台一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\试卷\2025北京丰台高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025丰台一模\细则\2025丰台一模细则.docx"
"32","2025丰台二模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L4734 2025丰台二模Q20 || L5213 2025丰台二模Q20 || L5245 2025丰台二模Q20 || L5838 2025丰台二模Q20","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；全球治理；人类命运共同体；中国力量；联合国；多边主义；国际秩序","2025丰台二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\试卷\2025北京丰台高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\20题.docx"
"33","2025丰台二模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","4","0","True","L5915 2025丰台二模Q21（联合国地位） || L5949 2025丰台二模Q21（联合国对中国独特贡献） || L6003 2025丰台二模Q21（中国身份） || L6022 2025丰台二模Q21（中国对联合国反向支撑）","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；经济全球化；全球治理；人类命运共同体；中国智慧；中国方案；联合国；多边主义；国际关系民主化；国际秩序","2025丰台二模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\试卷\2025北京丰台高三二模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区二模\2025丰台二模\细则\2025丰台二模细则\2025丰台二模评标细则\20题.docx"
"34","2025丰台期末","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第18题为逻辑判断与《经济与社会》数字经济题，经济全球化只是背景语。","P0必须回源查细则-旧表未取到细则不能排除","经济全球化","2025丰台期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf",""
"35","2025丰台期末","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L197 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || L575 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || L2921 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || L3422 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || L3872 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴 || L4804 2025丰台期末Q20——中非达成战略性共识的理论逻辑和价值意蕴","","","纳入候选-旧稿已有主位置-仍需一题一例复核","当代国际政治与经济；国际政治与经济；世界多极化；经济全球化；共同利益；新型国际关系；全球治理；人类命运共同体；国际关系民主化","2025丰台期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\细则\2025丰台期末细则.pptx"
"36","2025丰台期末","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第21题为制度优势综合题，国政经提示来自上一题中非合作，非本题评分点。","P0必须回源查细则-旧表未取到细则不能排除","当代国际政治与经济；国际政治与经济","2025丰台期末","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区期末\2025丰台期末\试卷\2025北京丰台高三（上）期末政治（教师版）.pdf",""
"37","2025延庆一模","Q20","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","6","0","True","L113 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || L362 2025延庆一模Q20(2) || L1251 2025延庆一模Q20(2) || L3238 2025延庆一模Q20(2)外交部发言人回应""脱钩断链"" || L3998 2025延庆一模Q20(2)（世界多极化） || L5638 2025延庆一模Q20(2)（人类命运共同体）","","","纳入候选-旧稿已有主位置-仍需一题一例复核","世界多极化；经济全球化；国家利益；共同利益；人类命运共同体；多边主义；供应链；产业链；高水平对外开放","2025延庆一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\细则\2025延庆一模细则.docx"
"38","2025延庆一模","Q21","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第21题为中国式现代化/强国建设综合题，联合国等词来自材料背景，不形成国政经采分点。","P0必须回源查细则-旧表未取到细则不能排除","当代国际政治与经济；国际政治与经济；联合国","2025延庆一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025延庆一模\试卷\2025北京延庆高三一模政治（教师版）.pdf",""
"39","2025房山一模","Q18","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","independent_core_h3","CLOSED_MAIN_IN_CURRENT_SHA","5","0","True","L127 2025房山一模Q18(2)中国开源战略 || L690 2025房山一模Q18(2) || L2342 2025房山一模Q18(2) || L3253 2025房山一模Q18(2)中国开源战略 || L5853 2025房山一模Q18(2)","","","纳入候选-旧稿已有主位置-仍需一题一例复核","世界多极化；经济全球化；国家利益；共同利益；国际竞争；新型国际关系；全球治理；人类命运共同体；中国智慧；中国方案；联合国；多边主义；国际关系民主化；开放型世界经济；产业链；高水平对外开放","2025房山一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf"
"40","2025房山一模","Q19","9963553832C57091832BC446326DE802FFD459B0FE1897C3247398EA02D7648A","absent_no_body","CLOSED_EXCLUDED_BY_ADJUDICATION","0","0","False","","排除-非选必一主链","第19题为知识产权/不正当竞争/法治价值题，明示法律与生活或法治价值，非国政经主链。","P0必须回补-旧稿缺失但已有细则上下文","当代国际政治与经济；国际政治与经济","2025房山一模","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\试卷\2025北京房山高三一模政治（教师版）.pdf","C:\Users\Administrator\Desktop\2025各区模拟题\2025各区一模\2025房山一模\细则\2025房山一模细则.pdf"
