suite_id,suite_name,year,district,stage,bundle_path,paper_status,answer_key_status,rubric_status,choice_processed,subjective_processed,philosophy_entries,culture_entries,wrong_option_rows,evidence_level,worker_report,patcher_status,governor_status,blocker
S014,2024朝阳期中,2024,朝阳,2024各区期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区期中__2024朝阳期中.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S015,2025海淀一模,2025,海淀,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025海淀一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S016,2025西城一模,2025,西城,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025西城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S017,2025东城一模,2025,东城,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025东城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S018,2025朝阳一模,2025,朝阳,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025朝阳一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S019,2025丰台一模,2025,丰台,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025丰台一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S020,2025延庆一模,2025,延庆,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025延庆一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S021,2025房山一模,2025,房山,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025房山一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S022,2025石景山一模,2025,石景山,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025石景山一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S023,2025门头沟一模,2025,门头沟,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025门头沟一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S024,2025顺义一模,2025,顺义,2025各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025顺义一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S025,2025海淀二模,2025,海淀,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025海淀二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S026,2025西城二模,2025,西城,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025西城二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S027,2025东城二模,2025,东城,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025东城二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S028,2025朝阳二模,2025,朝阳,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025朝阳二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S029,2025丰台二模,2025,丰台,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025丰台二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S030,2025昌平二模,2025,昌平,2025各区二模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区二模__2025昌平二模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S031,2025海淀期中,2025,海淀,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期中.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S032,2025海淀期末,2025,海淀,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S033,2025西城期末,2025,西城,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025西城期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S034,2025东城期末,2025,东城,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025东城期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S035,2025朝阳期末,2025,朝阳,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025朝阳期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S036,2025丰台期末,2025,丰台,2025各区期末,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025丰台期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S037,2026海淀一模,2026,海淀,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026海淀一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S038,2026西城一模,2026,西城,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026西城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S039,2026东城一模,2026,东城,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S040,2026朝阳一模,2026,朝阳,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026朝阳一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S041,2026丰台一模,2026,丰台,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026丰台一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S042,2026延庆一模,2026,延庆,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S043,2026房山一模,2026,房山,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026房山一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S044,2026石景山一模,2026,石景山,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026石景山一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S045,2026门头沟一模,2026,门头沟,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026门头沟一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S046,2026顺义一模,2026,顺义,2026各区一模,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026顺义一模.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S047,2026海淀期中,2026,海淀,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期中.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S048,2026海淀期末,2026,海淀,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S049,2026西城期末,2026,西城,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S050,2026东城期末,2026,东城,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026东城期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S051,2026朝阳期中,2026,朝阳,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期中.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S052,2026朝阳期末,2026,朝阳,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026朝阳期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S053,2026丰台期末,2026,丰台,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026丰台期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S054,2026石景山期末,2026,石景山,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026石景山期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
S055,2026通州期末,2026,通州,2026各区期末和期中,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md,pending,pending,pending,pending,pending,,,,pending,,,pending,
