suite,year,phase,question_no,module_judgment,evidence_level,base_status,proposed_framework_node,decision,note
2026门头沟一模,2026,一模,Q16,哲学与文化综合,参考答案,base_mentions_found,"发展观/矛盾对立统一/辩证否定-扬弃/联系/文化线(传承创新-双创)",疑似遗漏待对比,"沉睡文物变活态遗产主题；Codex A标注为强候选"
2026顺义一模,2026,一模,Q21,哲学综合,参考答案,base_mentions_found,"尊重规律-主观能动性/主次矛盾-两点论重点论/价值观-人民群众历史作用",疑似遗漏待对比,"审势乘势驭势主题；10分综合题"
2025东城一模,2025,一模,Q16(8分),哲学与文化综合,强细则,base_mentions_found,"价值观导向-价值判断价值选择/辩证否定-发展/矛盾普遍性与特殊性",疑似遗漏待对比,"阅卷报告明确4角度各2分；春节/中国年何以生生不息主题；哲学节点含价值观+辩证否定+矛盾普遍特殊"
2025东城一模,2025,一模,Q18(1),边界排除,强细则,base_mentions_found,-,边界排除:选必三,"辩证思维整体性动态性题属选必三《逻辑与思维》"
2025丰台一模,2025,一模,Q16(6分),哲学与文化综合,强细则,base_mentions_found,"价值判断与价值选择/文化线-民族精神/中华优秀传统文化当代价值",疑似遗漏待对比,"细则明确6分3角度；新时代家风建设主题；哲学节点以价值判断价值选择为主"
2025丰台一模,2025,一模,Q18(1),边界排除,强细则,base_mentions_found,-,边界排除:选必三,"科学思维追求客观性预见性可检验性属选必三《逻辑与思维》"
2025丰台一模,2025,一模,Q18(2)(6分),哲学,参考答案,base_mentions_found,"联系-对立统一/发展观/矛盾观/价值观导向",疑似遗漏待对比,"参考答案明确联系/发展/矛盾/价值观角度；AI与人的关系哲学分析主题；无专项细则"
2025朝阳一模,2025,一模,Q16(8分),哲学与文化综合,弱参考答案,base_mentions_found,"实践决定认识/社会存在与社会意识/价值创造与实现",弱候选待核验,"参考答案仅列可用知识无细则；国产动画《长安三万里》中华传统文化新生主题"
2025海淀一模,2025,一模,Q16,哲学,参考答案,base_mentions_found,"矛盾分析法/实践与认识关系/价值观",疑似遗漏待对比,"参考答案明确矛盾分析法+实践与认识+价值观；与Q21系统观念题哲学节点不同"
2025海淀一模,2025,一模,Q21(8分),哲学综合,强细则,base_mentions_found,"系统观念-联系(整体性关联性)/矛盾主次-全局局部/主次矛盾-特殊一般",疑似遗漏待对比,"已回源确认：细则明确系统观念阐释4分+领域运用4分；系统观念作为基础性思想和工作方法主题"
2025西城一模,2025,一模,Q16(7分),哲学与文化综合,强细则,base_mentions_found,"实践决定认识(来源动力标准目的)/正确认识促进实践/认识在实践基础上深化",疑似遗漏待对比,"细则明确哲学3分+文化3分+一致性1分；诗经研学实践与认识关系主题；认识论节点突出"
2025西城一模,2025,一模,Q17,边界排除,强细则,base_mentions_found,-,边界排除:选必三,"追求认识客观性/辩证思维方法/创新思维属选必三《逻辑与思维》"
2025石景山一模,2025,一模,Q16(8分),哲学与文化综合,强细则,base_mentions_found,"联系观-既往与将来内在联系/发展观/中华文化当代价值",疑似遗漏待对比,"分项评分细则明确；以不数既往不能知将来为哲学思辨主题；联系/发展为主要哲学节点"
2025石景山一模,2025,一模,Q21(1),边界排除,强细则,base_mentions_found,-,边界排除:选必三,"科学思维+归纳推理+创新思维属选必三《逻辑与思维》"
2025延庆一模,2025,一模,Q16(8分),哲学与文化综合,强细则,base_mentions_found,"具体问题具体分析-矛盾特殊性/价值观导向/一切从实际出发/上层建筑适合经济基础规律",疑似遗漏待对比,"细则明确8分；适老化网络文艺创作主题；历史唯物主义上层建筑节点较罕见"
2025延庆一模,2025,一模,Q18,边界排除,强细则,base_mentions_found,-,边界排除:选必三,"运用辩证思维应对低空经济挑战属选必三《逻辑与思维》"
2025房山一模,2025,一模,Q16(7分),哲学与文化综合,强细则,base_mentions_found,"价值观导向/矛盾-一分为二全面看问题(对立统一)",疑似遗漏待对比,"细则明确文化4分+哲学3分；博物馆热文化与科技主题；哲学节点以价值观+矛盾观为主"
2025门头沟一模,2025,一模,Q16(8分),哲学与文化综合,强细则,base_mentions_found,"联系观/发展观/对立统一/价值判断与价值选择",疑似遗漏待对比,"细则明确文化4分+哲学2分；北京文旅数字化转型文化科技融合主题"
2025门头沟一模,2025,一模,Q21(1),边界排除,强细则,base_mentions_found,-,边界排除:选必三,"门头沟转型科学思维+辩证思维+创新思维属选必三《逻辑与思维》"
2025顺义一模,2025,一模,Q16(哲学与文化),哲学与文化综合,强细则,base_mentions_found,"规律与主观能动性/联系观-文化科技联系/发展观-量变质变/矛盾普遍性与特殊性/价值观导向",疑似遗漏待对比,"细则明确哲学文化双维度；哪吒2/黑悟空/唐宫夜宴古老→新生主题；哲学节点多元含量变质变"
2024东城一模,2024,一模,Q16,哲学与文化综合,强细则,base_mentions_found,"联系/矛盾普遍特殊统一/价值观/文化线",疑似覆盖待比对,"阅卷细则哲学3分+文化4分；Codex A标注为强候选"
2024丰台一模,2024,一模,Q18(1),哲学,细则参考答案,base_mentions_found,"联系/发展/矛盾/唯物史观",疑似覆盖待比对,"从哲学角度谈新质生产力理解；Q21亦含唯物辩证法"
2024丰台一模,2024,一模,Q21,哲学,参考答案,base_mentions_found,"唯物辩证法(联系/发展/矛盾)",疑似覆盖待比对,"Codex A参考答案明确唯物辩证法角度"
2024朝阳一模,2024,一模,Q哲学(题号待定),哲学,缺直接证据,base_mentions_found,-,需回源核验,"Codex A标注题号待回源定位"
2024海淀一模,2024,一模,Q16,哲学与文化综合,参考答案,base_mentions_found,"主观能动性/联系/发展/实践/民族精神",疑似覆盖待比对,"参考答案明确哲学节点"
2024石景山一模,2024,一模,Q16,哲学与文化综合,参考答案,base_mentions_found,"文化继承与发展/认识的作用/联系/发展",疑似覆盖待比对,"6分综合题"
2024西城一模,2024,一模,Q哲学(7分+),哲学,强细则,base_mentions_found,"生态价值观/实践与认识/规律主观能动性/联系与发展/对立统一/辩证否定",疑似覆盖待比对,"细则含怎么做角度价值观必出；人与自然哲学题"
