suite_id,missing_question,review_result,added_matrix_rows,resolved_gap,evidence_type,evidence_source,evidence_text,decision_note
2026_丰台_二模,15,true_top_level_question_ocr_i_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_二模.txt,I5.2025年我国继续保持全球货物贸易第一大国地位，其中的含“新”量、含“绿”量和含“智”量不断提升。选项涉及国际竞争、货物贸易、绿色产品、贸易强国。,OCR rendered the top-level Q15 marker as I5.; the full objective item is visible after Q14.
2026_丰台_期末,12,true_top_level_question_hidden_number_ocr,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,京津冀产业协同正在加快“集链成群”。“共绘一张图”“共建一批园”“共造一辆车”。选项涉及产业链供应链、区域产业布局、科技创新和物流成本。,OCR page context places this industrial-coordination objective item between Q11 and Q13; the leading number was lost.
2026_丰台_期末,2,true_top_level_question_mixed_keep_blocked,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,加装智能呼叫设备、手机培训班、养老驿站等适老化改造。选项同时涉及差异化基本公共服务、群众观点、孝亲敬老传统美德和社会治理方式。,"OCR page context shows the Q2 objective item, but answer/module split is mixed between governance/public service and traditional virtue culture."
2026_丰台_期末,6,true_top_level_question_mixed_keep_blocked,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,〕.中国结是我国传统的手工艺品，造型独特、色彩多样、内涵丰富。选项同时涉及中华优秀传统文化、民族精神支柱、形象思维和抽象思维。,"OCR page context now locates the Q6 span, but the item mixes B4 culture and XB3 thinking-method options."
2026_丰台_期末,7,true_top_level_question_ocr_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_丰台_期末.txt,7为实施好《中华人民共和国森林法》...北京市第十六届人民代表大会常务委员会审议通过《北京市实施〈中华人民共和国森林法〉办法》。选项涉及地方立法权、制度化法治化。,OCR page context shows Q7 after the Chinese-knot item and before Q8.
2026_房山_一模,21,accepted_absent_actual_20_question_structure,0,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_房山_一模.txt,"本部分共5题，共55分。OCR line review shows Q16, Q17, Q18, Q19 and 20.(10分), followed by the answer-card notice; no top-level Q21 appears.",OCR shows second part has five questions and top-level Q16-Q20 only; no Q21 span appears before the answer-card notice.
2026_房山_一模,5,true_top_level_question_ocr_s_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_房山_一模.txt,S.第十五届全运会，是粤港澳三地首次联合承办的大型体育赛事。选项涉及思维运行方式、三段论、矛盾关系和矛盾律。,OCR rendered Q5 as S.; full item is visible after Q4 and before Q6.
2026_房山_一模,8,true_top_level_question_hidden_number_ocr,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_房山_一模.txt,“吃水不忘挖井人”的故事，讲述毛泽东发现群众饮水困难，带领干部群众挖井。选项包括党员干部要践行根本宗旨、传承红色文化基因、坚定马克思主义信仰、依法执政。,OCR page context shows the item between Q7 and Q9; the leading Q8 marker was lost.
2026_西城_一模,12,true_top_level_question_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,12．读数看经济。题面呈现2016-2025年我国三大需求对国内生产总值增长的贡献率和拉动变化，选项围绕消费、投资、出口判断。,Original DOCX shows Q12 '读数看经济' before Q13.
2026_西城_一模,14,true_top_level_question_original_docx,1,yes,original_docx_text,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,14．北京中轴线是中华文明规范理念的杰出范例。根据《北京中轴线文化遗产保护条例》获得若干信息，要求判断“下列判断必然为真的是”，选项为“有些/所有”等量项判断。,Original DOCX shows Q14 as a logic-judgment item about Beijing Central Axis heritage information.
2026_西城_期末,9,true_top_level_question_ocr_marker,1,yes,ocr_page_context,/Users/wanglifei/Desktop/北京高考政治/reports/必修二三与必修四文化_题源分类准备_20260617_1301/02_text_cache/ocr_absorbed/2026_西城_期末.txt,9:数字技术是驱动发展方式变革的关键力量。有同学作出四个判断，要求选取三个依次作为大前提、小前提、结论，形成一个三段论推理。,OCR page context shows a top-level marker rendered as 9: before the digital-technology syllogism item.
