suite_id,detected_question_count,missing_if_expected_1_to_21,triage_status,triage_note,primary_detected_questions,auxiliary_detected_questions,matrix_detected_questions
2026_东城_一模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 2 3 4 5 6 7 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2026_丰台_一模,17,5 7 9 14,paper_or_ocr_missing_but_auxiliary_present,"auxiliary_sources_have_missing_questions=5,7",1 2 3 4 6 8 10 11 12 13 15 16 17 18 19 20 21,1 2 3 4 5 7 17 19 20,1 2 3 4 6 8 10 11 12 13 15 16 17 18 19 20 21
2026_丰台_二模,20,15,source_or_ocr_missing_no_candidate,missing_questions_absent_from_primary_and_auxiliary_candidates,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21,1 2 3 4 5 16 17 18 19 20 21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21
2026_丰台_期末,15,2 6 7 9 10 12,paper_or_ocr_missing_but_auxiliary_present,"auxiliary_sources_have_missing_questions=2,6,9,10",1 3 4 5 8 11 13 14 15 16 17 18 19 20 21,1 2 3 4 5 6 8 9 10 19 20,1 3 4 5 8 11 13 14 15 16 17 18 19 20 21
2026_延庆_一模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2026_房山_一模,16,1 5 8 17 21,paper_or_ocr_missing_but_auxiliary_present,auxiliary_sources_have_missing_questions=17,2 3 4 6 7 9 10 11 12 13 14 15 16 18 19 20,17 18 19 20,2 3 4 6 7 9 10 11 12 13 14 15 16 18 19 20
2026_石景山_二模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,1 6 11 16 17 18 19 20,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2026_西城_一模,19,12 14,source_or_ocr_missing_no_candidate,missing_questions_absent_from_primary_and_auxiliary_candidates,1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 19 20 21,16 17 18 21,1 2 3 4 5 6 7 8 9 10 11 13 15 16 17 18 19 20 21
2026_西城_二模,20,21,likely_actual_20_question_paper,primary_sources_have_1_to_20_no_21,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20
2026_西城_期末,19,9 15,source_or_ocr_missing_no_candidate,missing_questions_absent_from_primary_and_auxiliary_candidates,1 2 3 4 5 6 7 8 10 11 12 13 14 16 17 18 19 20 21,1 11 16 17 18 19 20 21,1 2 3 4 5 6 7 8 10 11 12 13 14 16 17 18 19 20 21
