suite_id,question,source_type,reason,snippet
2026_东城_期末,19,paper,could_not_find_two_or_more_subquestion_markers,"改革与法治,如同“鸟之两翼、车之两轮”,共同驱动国家治理体系和治理能力现代化。 第7页/共9页 《粮食安全保障法》将政策治理提 升为法治保障, 《民法典》以法典 化方式确认民事法治建设经验, 《乡村振兴促进法》将三农领域改 革经验上升为法律规范,为未来改 革发展提供了稳定的法治预期。 修订《国务院组织法》等法律法 规,推进政府机构改革、“放管 服”改革; 《海南自由贸易港法》让 海南自由贸易港建设有了重要遵 循;全国人大常委会授权上海创设 “浦东新区法规”,深化改革。 完善司法体制机制、综合 执法体制机制等改革,推 进司法领域“当事人一件 事”集成改革;健全覆盖 城乡的公共法律服务体 系,改进法治宣传教育。 结合材料,运用《政治与法治》知识,说明法治中国建设是如何在改革与法治的良性互动中不断推进的。"
2026_丰台_期末,19,rubric,source_not_paper_or_ocr_cache,"(6分)遗赠扶养协议纠纷案宣判。 【案情简介】某社区居委会与曹某签订协议,约定由某居委会定时定员结对子照 看关心曹某,每月给予曹某基本生活费,免费看病诊治,逢年过节给予曹某各类生 活补助及慰问生活用品等,养老至寿终;曹某现有的动产和不动产在曹某寿终后, 产权移交某居委会。此后,某居委会按照约定履行扶养义务。曹某去世后,曹某的 四个子女要求继承遗产,与该居委会产生争议。该居委会遂将曹某的四个子女等人 诉至法院,请求判令:(1)确认某居委会与曹某签订的协议有效;(2)曹某名下 的房屋、股权、现金、存款归某居委会所有。 【裁判结果】法院认为,案涉协议符合法律有关遗赠扶养协议的规定,属于有效 的遗赠扶养协议;原告某居委会对被扶养人曹某已尽到扶养义务,判决被继承人曹 某安置所得的房屋以及其生前遗留的股权、现金、银行存款本息归某居委会所有。 结合材料,运用《法律与生活》知识,分析本案判决的社会价值。 知识板块:经济与社会 能力板块:预测与选择 解释与论证 回应问题 评分标准 问题1:有利条件(2分) 党的领导/国家顶层设计/政府宏观调控、数据资源、完整产业体系、超大规模市 场、人才资源。 Ø 答出"
2026_房山_一模,18,rubric,source_not_paper_or_ocr_cache,"(1)答案示例(6分) 北京立足实践,坚持系统治理,统筹四大结构调整,实现整体推进;坚持久久为功,以日积月累推动空气质量稳步提升,实现从量变到质变;坚持精准施策,聚焦重点领域,分区分类、“一企一策”,做到具体问题具体分析。 18(1)细则 (1+1)*3=6分 ♣2分 治理路径一:整体性/分析与综合/联系/系统优化 ♣2分 治理路径二:矛盾分析法/具体问题具体分析/两点论与重点论统一/分析与综合 ♣2分 治理路径三:动态性/质量互变/发展 ♣1分 立足实践/注重实践 总分值不超过6分 18(2)答案示例(8分) 坚持党的领导,编纂生态环境法典提供根本政治保证;立足建设美丽中国的国情实际,聚焦生态环境治理重点,立良善之法,立管用之法;遵循法律体系的内在逻辑和立法工作规律,遵循立法程序,使党关于编纂生态环境法典的主张通过法定程序上升为国家意志;坚持民主立法,开展立法协商,广泛凝聚社会共识;合理设定地方政府、司法机关等国家机关权力与责任,更好保障人民权利。 18(2)细则 实际阅卷细则:1*2+2*3=8分 ♣1分 坚持党的领导/领导立法 ♣1分 立足建设美丽中国的国情实际/立良善之法,立管"
2026_朝阳_一模,17,paper,could_not_find_two_or_more_subquestion_markers,"博物馆作为城市的文化名片,承载着历史记忆与文明薪火。 《北京博物馆之城建设发展规划(2024-2035) 》提出,支持朝阳区等地建设博物馆之城示范区。某校 同学聚焦“朝阳区全力打造馆城相融的博物馆之城”话题,开展学习实践活动。 【学习理论】 馆城融合发展是指推动博物馆与城市空间、历史文化、公共服务、产业经济深度融合,将博物馆嵌入 社区、公园、交通场站、商圈及历史街区,让博物馆成为城市功能、市民生活与城市风貌的有机组成部 分,实现以文兴城、以城载馆、馆城共生。 【参与实践】 在馆城融合发展政策引领下,中国铁路博物馆开展“快闪博物馆”进校园活动,并向同学们征集博物 馆文创产品设计方案,以增强文创产品的市场竞争力。某小组同学拟借助生成式人工智能大模型为文创设 计提供思路(见下图) 。 AI 任务指令: 请依据爆款文创产品受好评的高频词汇:设计、手工、做工、礼物、材质、包装、博物馆等,概括爆款 博物馆文创产品的三个特点。 AI 结论:"
2026_朝阳_一模,3,paper,could_not_find_two_or_more_subquestion_markers,"非遗变脸与机械武术同台演绎,自制旋转木马讲解力学原理,机器人乐队、科普实验轮番亮相⋯⋯某地 以春节科普活动为契机,实现“科普+文化”“科普+非遗”相融合,让观众在感受年味的同时,轻松读懂 传统文化背后的科学密码。这体现出( ) 1春节成为全民科学素养提升的主阵地和文化传播的新平台 2科普让科学精神融入日常生活,让文化自信浸润中华大地 3只有抓住主要矛盾,才能实现民族文化与外来文化的交融 4坚持辩证否定,可以使传统文化在科技赋能下焕发新的光彩 A. 13 B. 14 C. 23 D. 24 第2页/共13页"
2026_海淀_一模,18,rubric,source_not_paper_or_ocr_cache,"(15 分) (1)全国居民人均服务性消费支出总体上升,服务性消费占比不断提高,居民消费结构优化。(2 分) (2)提振消费,扩大内需,拉动经济增长,增强国内大循环的内生动力;引导和带动服务业以及相 关产业发展,推动产业结构优化,推动供给侧结构性改革;满足人民群众多样化、多层次、多方面 的需求,提升生活品质;同时创造更多就业岗位,改善民生福祉。(6 分) 高三思想政治参考答案 第 4 页 (3)1支持原告诉讼请求。 (1 分) 2根据民法典规定,任何组织或者个人不得以刺探、侵扰、泄露、公开等方式侵害他人的隐私权。 消费者在经营者提供的包间内的活动具有私密性,商家在社交平台公开张某等人包厢内监控录像片 段、网络聊天信息等,构成对消费者隐私权的侵害,应当承担停止侵权、赔礼道歉等侵权责任。商 家的行为侵犯了消费者合法权益。(3 分) 3经营者应当保护消费者的知情权。根据消费者权益保护法规定,经营者向消费者提供有关商品或 者服务的质量、性能、用途、有效期限等信息,应当真实、全面,不得作虚假或者引人误解的宣传。 赵某虚假宣传其有“治疗糖尿病并发症”等功效,夸大功效,诱导消费,构成欺诈,应当退款并"
2026_海淀_期末,18,paper,could_not_find_two_or_more_subquestion_markers,"(8分) 人民城市人民建,人民城市为人民。党的十八大以来,各地把人民城市理念融入城市发展全过程和城市工作各方面、不断提高城市治理现代化水平 上海 重庆 北京 “支部建在街面上”。针对沿街商铺用工灵活、快递小哥高频流动等变化,在社区、楼宇、园区等围墙之外的街区,建立党组织,设街区党支部书记,让每一个人都能就近找到党组织,使党建引领这根红线贯穿基层治理全过程各方面。 民生实事项目人大代表票决制全面铺开以群众按需“点单”、代表票决“选单”。政府依法“领单”、人大跟进“查单”的形式,建立起民生实事项目“群众捉——代表定——政府办——人大评”的工作机制,推进城市治理。 创新探索“接诉即办”12345市民服务热线依民生大数据、人工智能,成为民生大数据平台与城市治理平台政府部门通过大数据与模型算法,筛查突发诉求,并结合来自市民“第一现场”的信息反馈,有效提升城市风险的监测感知与预警能力。 运用《政治与法治》知识,阐释上述城市践行人民城市理念的实践。"
2026_海淀_期末,19,paper,could_not_find_two_or_more_subquestion_markers,"(6分) 2025年6月底,两部有关基层群众自治组织制度的基本法律——村民委员会组织法和城市居民委员会组织法(以下简称“两委”相织法)同时迎来修改。某班同学讨论“两委”组织法修改的意义,查阅到以下资料。 资料包 随着乡村振兴战略全面实施,农村面貌正在发生翻天覆地的变化,同时,我国城镇化进程加快,城市规模在不断扩大......基层治理实践积累了一些新的经验做法,也面临一些新情况新问题。 村民委员会组织法修改草案明确村民委员会职责,增加其引导村民践行社会主义核心价值观、铸牢中华民族共同体意识的职责规定。同时,规范了村民会议的召开频次,规定村民会议每年至少召开一次。 城市居民委员会组织法在选举方面作出完善。明确户籍不在本社区但在本社区常住的居民、在本社区工作六个月以上的社区工作者可依法参加选举;明确要完善居民委员会的职责任务,增加了引导居民践行社会主义核心价值观、指导协助设立业主大会等内容。 参考资料包,运用《政治与法治》知识,说明此次“两委”组织法修改的意义。"
2026_海淀_期末,20,paper,could_not_find_two_or_more_subquestion_markers,"(7分) 用好红色资源,赓续红色血脉。2025年9月,最高人民检察院发布“铭记抗战历史,传承抗战精神”检察公益诉讼典型案例。以下是其中的一则案例。 【基本案情】 1937年9月,八路军一二○师由陕西东渡黄河进入山西抗日前线,在神池县设立指挥部。新中国成立后,地方政府将指挥部旧址房屋分给村民居住,几经易主存续至今。2015年8月,该旧址被忻州市人民政府公布为第二批市级文物保护单位。因产权归住户所有,为改善生活,住户加建牛棚、更换现代门窗,严重破坏了文物历史风貌,旧址面临损毁风险。 【履职情况】 神池县人民检察院提起行政公益诉讼并向县文旅局、文物所在地镇政府制发行政公益诉讼检察建议,督促相关单位依法履行文物保护职责。人民检察院协调镇政府与住户协商,在妥善保障住户权益的前提下,通过置换补贴方式依法取得房屋所有权。之后,县文旅局依法设立文物保护标识,确定文物保护直接责任人,并申请专项资金进行全面修缮,恢复了旧址的历史风貌。 运用《政治与法治》知识,说明这一案例的入选理由。"
2026_西城_期末,18,rubric,source_not_paper_or_ocr_cache,"1邀请人大代表、政协委员、人民监督员、专家学者等多方参与案件磋商、听证及 “回 头看”,广泛听取各方意见建议,既保障了人民群众的知情权、参与权和监督权,又 践行了全过程人民民主的理念,让治理过程充分汇聚民意。 2检察机关依法履行法律监督职责,通过公益诉讼推动行政机关依法履职,针对整改不 力单位联动多方跟进督促,以法治思维和法治方式破解公共利益保护难题,彰显了法 治在国家治理中的重要作用。 3检察机关联动人大、行政部门、政协等多方主体协同发力,遵循民主基础上的集中、 集中指导下的民主原则,有效整合治理资源,凝聚治理合力,显著提升了公共事务治 理效能。 4以磋商、听证等协商方式搭建沟通平台,与各方凝聚整改共识、推动问题落地解决, 精准体现了协商民主的治理特色,让公益诉讼治理更具科学性和认可度。"
