suite_id,year,district,stage,source_file_rows,has_paper,has_reference_answer,has_rubric,has_marking_report,classified_rows,included_B2,included_B3,included_B4_CULTURE,reference_only_rows,boundary_excluded_rows,blocked_rows,included_or_reference_modules
2026_朝阳_一模,2026,朝阳,一模,4,yes,no,yes,no,21,2,4,0,0,11,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_朝阳_二模,2026,朝阳,二模,2,yes,no,yes,no,21,4,5,2,0,9,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_朝阳_期末,2026,朝阳,期末,10,yes,no,yes,no,21,3,0,5,0,11,2,"B2_ECONOMICS,B4_CULTURE"
2026_海淀_一模,2026,海淀,一模,4,yes,no,yes,no,21,2,1,3,0,11,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_海淀_二模,2026,海淀,二模,2,yes,no,yes,no,21,1,3,0,0,14,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_海淀_期末,2026,海淀,期末,8,yes,no,yes,yes,21,6,4,0,0,3,8,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_石景山_一模,2026,石景山,一模,4,yes,no,yes,no,21,3,3,0,0,11,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW"
2026_石景山_二模,2026,石景山,二模,2,yes,no,yes,no,20,3,2,2,0,11,2,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_石景山_期末,2026,石景山,期末,2,yes,yes,no,no,1,0,0,0,0,1,0,
2026_西城_一模,2026,西城,一模,6,yes,no,yes,no,19,3,4,1,0,8,3,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_西城_二模,2026,西城,二模,2,yes,no,yes,no,20,4,2,1,0,8,5,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_西城_期末,2026,西城,期末,7,yes,no,yes,no,19,0,3,0,0,11,5,B3_POLITICS_RULE_OF_LAW
2026_通州_一模,2026,通州,一模,2,yes,no,yes,no,21,5,3,2,0,11,0,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_通州_期末,2026,通州,期末,4,yes,no,yes,yes,21,3,2,5,0,9,2,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_门头沟_一模,2026,门头沟,一模,4,yes,no,yes,no,21,4,4,2,0,9,2,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_顺义_一模,2026,顺义,一模,4,yes,no,yes,no,21,2,3,1,0,14,1,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
2026_顺义_二模,2026,顺义,二模,2,yes,no,yes,no,21,3,2,2,0,10,4,"B2_ECONOMICS,B3_POLITICS_RULE_OF_LAW,B4_CULTURE"
