suite,covered_priority,district_priority,source_id,year_hint,district_hint,stage_hint,evidence_guess,extract_status,text_chars,hit_count,hit_terms,question_anchors,relative_path,cache_path
2026海淀一模,no,1,SRC_14176e949dd0,2026,海淀,一模,P0_candidate_scoring,ok,2214,4,全球治理;两个市场;两种资源;对外开放,部分 本部分共 6 题，共 55 分。 16. （8 分） 可从发展的观点、社会存在与社会意识、价值观、文化的功能等角度作答。 [[PAGE 2]] 高三思想政治参考答案 第 2 页 17.（6 分） 逻辑 || ]] 高三思想政治参考答案 第 2 页 17.（6 分） 逻辑错误：划分标准不一；选言判断遗漏其他有选择价值的其他情况。 建议：可从科学思维、遵循逻辑思维规则、辩证思维等角度，结合调研活动提出建议，措施具体 || 而反向推导出真正的问题根源。 • …… 18.（15 分） （1）全国居民人均服务性消费支出总体上升，服务性消费占比不断提高，居民消费结构优化。（2 分） （2）提振消费，扩大内需，拉动经济增长，增强国内大 || ]] 高三思想政治参考答案 第 5 页 19.（8 分） 全国人大常委会有权对地方政府规范性文件进行备案审查。地方政府规范性文件不得与宪法、法律、 行政法规相抵触。该地政府部门制定的《实施细则》对从事网约车 || ]] 高三思想政治参考答案 第 6 页 20.（8 分） 扩大制度型开放，增强我国产品、服务乃至产业链在全球的竞争力，推进高水平对外开放，更好利 用国内国际两个市场、两种资源，推动构建新发展格局；我国在低碳 || ]] 高三思想政治参考答案 第 7 页 21.（10 分） 可从党的领导、马克思主义中国化时代化、制度优势、国家治理等角度作答。 [[PAGE 8]] 高三思想政治参考答案 第 8 页,2026各区一模/2026海淀一模/细则/细则.pdf,02_extraction/full_source_text_cache_20260503/SRC_14176e949dd0_细则_pdf.txt
2025海淀一模,no,1,SRC_a043a3fcb259,2025,海淀,一模,P0_candidate_scoring,ok,1008,3,政治多极化;外交政策;独立自主,,2025各区一模/2025海淀一模/细则/细则.docx,02_extraction/full_source_text_cache_20260503/SRC_a043a3fcb259_细则_docx.txt
2025海淀一模,no,1,SRC_8cf8c31e07b0,2025,海淀,一模,P3_candidate_paper,ok,2947,2,对外开放;共赢,2025 海淀一模评分标准 政 治 16．（8 分） 可从矛盾分析法、实践与认识的关系、价值观等角度作答。 17．（7 分） ①坚持人民主体地位，坚持法治建设为了人民、依靠人民、造福人 || 关系、价值观等角度作答。 17．（7 分） ①坚持人民主体地位，坚持法治建设为了人民、依靠人民、造福人民、保护人民，尊重和保障 人民群众的知情权、参与权、表达权和监督权。 ②提高社会治理法 || [[PAGE 2]] 2 18．（7 分） 小黄与主题乐园签订的格式合同意思表示真实，条款符合公平原则，合同有效。小黄利用审查 漏洞不当获利的行为违反合同约定，违背诚信原则。主题乐园可以根据 || 有利于营造公平公正市场环境。 19．（7 分） 坚持党的领导，杭州市委发挥总揽全局、协调各方的作用，为企业创新发展提供方向指引。政 府积极践行为人民服务的宗旨，通过“双聘制”“人才码”等创新管理 || 分 —— 结合材料分析 1 分 20．（8 分） 甲：应制定正确的经营战略，坚决抵制价格欺诈、虚假宣传等行为，坚持诚信经营，树立良好 的信誉和企业形象；通过科技创新与科学管理，提升汽车产品和服务质 || 知识加材料，每点给 2 分） 21．（8 分） （1）评分标准：符合演绎推理基本规则。（2 分） [[PAGE 4]] 4 [[PAGE 5]] 5 || 作，实现互利共赢。（6 分） 22．（10 分） 可从中国共产党的领导、中国式现代化、全面深化改革、新发展理念、全面依法治国、辩证 法、辩证思维等角度作答。 必须坚持系统观,2025各区一模/2025海淀一模/试卷/补充材料/EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb.pdf,02_extraction/full_source_text_cache_20260503/SRC_8cf8c31e07b0_EDU_1500334100000021014_61af1789-0742-472d-86cd-e6cb420b0ecb_pdf.txt
2024海淀期中,no,1,SRC_132d9a876bce,2024,海淀,期中,P3_candidate_paper,ok,551,0,,,2024海淀期中/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_132d9a876bce_试卷_pdf.txt
2026海淀一模,no,1,SRC_184e191a3ddd,2026,海淀,一模,P3_candidate_paper,empty_pdf_text_needs_visual,0,0,,,2026各区一模/2026海淀一模/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_184e191a3ddd_试卷_pdf.txt
2026海淀期中,no,1,SRC_b1aeb67d2659,2026,海淀,期中/期末,P2_candidate_teaching_or_lecture,empty_pdf_text_needs_visual,0,0,,,2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,02_extraction/full_source_text_cache_20260503/SRC_b1aeb67d2659_期中讲评20251106_pdf.txt
2026海淀期末,no,1,SRC_93d2077755f7,2026,海淀,期中/期末,P0_candidate_scoring,ok,1678,0,,5答案BCCBD⼆、⾮选择题（共55分）16.（8分）可从⽭盾的观点、意识的能动作⽤、实践的观点等⻆度作答。分值标准细则5-6（1+1）×3观点清晰⽭盾观（⼀分为⼆/两重统⼀）“重点论”出不来只能1分知（意 || -分-分，如果能看出各段之间有衔接最优 17.可从联系的观点、价值观、弘扬⺠族精神、发展中国特⾊社会主义⽂化等⻆度作答。 [[PAGE 2]] 2 18.（1）该合同条款⽆效。该合同条款是住房租赁企业为了重 || 等⻆度作答。 [[PAGE 2]] 2 18.（1）该合同条款⽆效。该合同条款是住房租赁企业为了重复使⽤⽽预先拟定，并在订⽴合同时未与对⽅协商的条款，属于格式条款。⺠法典规定采⽤格式条款订⽴合同的，提供格式 || 动良法善治。 [[PAGE 3]] 3 19.根据反不正当竞争法规定，不正当竞争⾏为是指经营者在⽣产经营活动中，扰乱市场竞争秩序，损害其他经营者或者消费者的合法权益的⾏为。郑某利⽤技术⼿段，为⽤户提供不正当 || [[PAGE 4]] 4 评分标准： 20.（1）充分条件假⾔推理，错误，这个充分条件假⾔推理的⼀个前提肯定了假⾔判断的后件，结论肯定了假⾔判断的前件，这是错误的推理结构。(4分)【细则】分三步采分第⼀步 || 辑错误⽆关） [[PAGE 5]] 5 20.（2）符合超前思维的⽅法，能够扣住城市书房建设与运营的问题提出建议，措施具体。(6分)示例：运⽤调查研究的⽅法，对当地居⺠的需求进⾏⼴泛深⼊的调查，了解居⺠在阅 || 瞻性规划。 [[PAGE 6]] 6 21.可从党的领导、以⼈⺠为中⼼、⽭盾的观点、制度优势等⻆度作答,2026各区期末和期中/2026海淀期末/细则/细则.pdf,02_extraction/full_source_text_cache_20260503/SRC_93d2077755f7_细则_pdf.txt
2026海淀期末,no,1,SRC_51b7508a0497,2026,海淀,期中/期末,P3_candidate_paper,ok,1812,0,,部分 本部分共 6 题，共 55 分。 16. (8 分) 可从矛盾的观点、意识的能动作用、实践的观点等角度作答。 17. (8 分) 可从联系的观点、价值观、弘扬民族精神、发展中国特色社会主义文化等角度作答 || 意识的能动作用、实践的观点等角度作答。 17. (8 分) 可从联系的观点、价值观、弘扬民族精神、发展中国特色社会主义文化等角度作答。 等级水平 等级描述 水平 4 观点鲜明，能明确表达自己的见解；紧扣问题， || 政治参考答案 第 2 页（共 2 页） 18.(12 分) (1) 该合同条款无效。该合同条款是住房租赁企业为了重复使用而预先拟定，并在订立合同时 未与对方协商的条款，属于格式条款。民法典规定，采用格式条款 || 推进严格执法，推动良法善治。(6 分) 19.(7 分) 根据反不正当竞争法规定，不正当竞争行为是指经营者在生产经营活动中，扰乱市场竞争秩序， 损害其他经营者或者消费者的合法权益的行为。郑某利用技术手段，为 || 会整体福祉的增进，扰乱了市场竞争秩序。 20.(10 分) (1)充分条件假言推理，错误，这个充分条件假言推理的一个前提肯定了假言判断的后件，结论 肯定了假言判断的前件，这是错误的推理结构。(4 分) (2 || 未来一段时间运营功能等进行前瞻性规划。 21.(10 分) 可从党的领导、以人民为中心、矛盾的观点、制度优势等角度作答。 等级水平 等级描述 水平 4 观点鲜明，能明确表达自己的见解；紧扣问题，综合运用所学,2026各区期末和期中/2026海淀期末/试卷/试卷.pdf,02_extraction/full_source_text_cache_20260503/SRC_51b7508a0497_试卷_pdf.txt
2025海淀二模,yes,1,SRC_06bdaf7a81b0,2025,海淀,二模,P2_candidate_teaching_or_lecture,ok,12398,50,和平与发展;世界多极化;经济全球化;全球治理;联合国;国际组织;新型国际关系;人类命运共同体;中国智慧;中国方案;正确义利观;多边主义;对外开放;联合国宪章,"的重大方针政策。 【2025年延庆一模】17.（8分） 法治是最好的营商环境。 ➢ 改革开放以来，特别是党的十八大以来，党中央、国务院高度重视民营经济发展 ，出台了一系列促进 民间投资和民营经济发展的政策措 || 展环境（2分） [[PAGE 25]] 18题 [[PAGE 26]] 出题意图 • 知识模块：知识产权法、程序法、法治等 • 能力模块：运用法律相关知识解决真实问题的能力 • 考察意图：本题通过“恶意抢注 || 1]] 反馈试题 【2024海淀一模】 17． 高质量发展是新时代的硬道理。 材料一 哈尔滨的雪花、上海的“繁花”……借助现代交通工具，南北互换式旅游成为触手可及的浪漫，也带 动了国内南北多省份“隐藏款土特产 || 22海淀期末】 [[PAGE 43]] 20.(6分）共享是中国特色社会主义的本质要求。 共享发展理念是对中华优秀传统文化""不患寡而患不均""""损有余而补不足""等思想的继承 与发展， 也是对新时代中国特色社",2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf,02_extraction/full_source_text_cache_20260503/SRC_06bdaf7a81b0_2025届二模考试讲评0510_pdf.txt
2025海淀二模,yes,1,SRC_05a280b2e00d,2025,海淀,二模,P0_candidate_scoring,ok,2661,24,和平与发展;世界多极化;经济全球化;全球治理;联合国;国际组织;新型国际关系;人类命运共同体;中国智慧;中国方案;正确义利观;多边主义;对外开放;联合国宪章,16题 17题 18题 1.回避 1分 2.被告...包装 1分 3.未经许可使用商标权/侵犯商标权((要和2对应)1分 4.……的材料/或书证、物证、证词类的例子 || 16题 17题 18题 1.回避 1分 2.被告...包装 1分 3.未经许可使用商标权/侵犯商标权((要和2对应)1分 4.……的材料/或书证、物证、证词类的例子 1分(要 || 16题 17题 18题 1.回避 1分 2.被告...包装 1分 3.未经许可使用商标权/侵犯商标权((要和2对应)1分 4.……的材料/或书证、物证、证词类的例子 1分(要合理) || 三个层次4分，两个层次3分一个层次2分 19题 1、数字化/互联网/模式 1分 节约成本/便利交易/提高华农收入 1分 2、完善基础设施 /物流体系 1分 -扩大国际市场/推进高水平对外开放/落实开放发展理 || 消费新场景/扩大内需/带动国内消费1分 20题 21题 中国需要联合国 1、联合国本身的地位和作用(2分，写出任意两条给2分)· ——联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织 ——集体安全 || 景/扩大内需/带动国内消费1分 20题 21题 中国需要联合国 1、联合国本身的地位和作用(2分，写出任意两条给2分)· ——联合国是当今世界最具普遍性、代表性和权威性的政府间国际组织 ——集体安全机制的核 || 价值/正确义利观/构建人类命运共同体。 22题 题目(1分):以“青年的作为”为题，或者自拟题目均可未来规划(1分):具体、真实的职业或专业。综合运用(1分):答案涉及到2个及以上模块。 结合规划从国家角度,2025各区二模/2025海淀二模/细则/细则.docx,02_extraction/full_source_text_cache_20260503/SRC_05a280b2e00d_细则_docx.txt
