suite,years,districts,stages,priority_rank,current_status,source_count,p0_scoring_count,p1_reference_count,p2_lecture_count,paper_count,sample_scoring_files,sample_paper_files,sample_lecture_files
2025丰台二模,2025,丰台,二模,5,not_in_current_coverage_matrix,9,8,0,0,1,2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(1).doc | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(2).docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/17题.docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/18题 .docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(1).docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/19.(2).docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/20题.docx | 2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/21题.docx,2025各区二模/2025丰台二模/试卷/试卷.pdf,
2024丰台一模,2024,丰台,一模,5,not_in_current_coverage_matrix,3,1,1,0,2,丰台一模/细则/细则.docx,丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf | 丰台一模/试卷/试卷.pdf,
2024丰台二模,2024,丰台,二模,5,not_in_current_coverage_matrix,2,1,0,0,1,丰台二模/细则/细则.docx,丰台二模/试卷/试卷.pdf,
2024石景山一模,2024,石景山,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,石景山一模/细则/细则.pptx,石景山一模/试卷/试卷.docx,
2024顺义二模,2024,顺义,二模,5,not_in_current_coverage_matrix,2,1,0,0,1,顺义思政二模/细则/细则.docx,顺义思政二模/试卷/试卷.docx,
2025丰台一模,2025,丰台,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025丰台一模/细则/细则.docx,2025各区一模/2025丰台一模/试卷/试卷.pdf,
2025丰台期末,2025,丰台,期末,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区期末/2025丰台期末/细则/细则.pptx,2025各区期末/2025丰台期末/试卷/试卷.pdf,
2025延庆一模,2025,延庆,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025延庆一模/细则/细则.docx,2025各区一模/2025延庆一模/试卷/试卷.pdf,
2025房山一模,2025,房山,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025房山一模/细则/细则.pdf,2025各区一模/2025房山一模/试卷/试卷.pdf,
2025昌平二模,2025,,二模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区二模/2025昌平二模/细则/细则.pptx,2025各区二模/2025昌平二模/试卷/试卷.pdf,
2025石景山一模,2025,石景山,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025石景山一模/细则/细则.doc,2025各区一模/2025石景山一模/试卷/试卷.pdf,
2025门头沟一模,2025,门头沟,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025门头沟一模/细则/细则.doc,2025各区一模/2025门头沟一模/试卷/试卷.pdf,
2025顺义一模,2025,顺义,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2025各区一模/2025顺义一模/细则/细则.docx,2025各区一模/2025顺义一模/试卷/试卷.pdf,
2026丰台一模,2026,丰台,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026丰台一模/细则/细则.pptx,2026各区一模/2026丰台一模/试卷/试卷.pdf,
2026丰台期末,2026,丰台,期中/期末,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区期末和期中/2026丰台期末/细则/细则.pdf,2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,
2026延庆一模,2026,延庆,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026延庆一模/细则/细则.docx,2026各区一模/2026延庆一模/试卷/试卷.pdf,
2026房山一模,2026,房山,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026房山一模/细则/细则.docx,2026各区一模/2026房山一模/试卷/试卷.pdf,
2026石景山一模,2026,石景山,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026石景山一模/细则/细则.doc,2026各区一模/2026石景山一模/试卷/试卷.pdf,
2026门头沟一模,2026,门头沟,一模,5,not_in_current_coverage_matrix,2,1,0,0,1,2026各区一模/2026门头沟一模/细则/细则.docx,2026各区一模/2026门头沟一模/试卷/试卷.pdf,
2024模块分类汇编,2024,,一模,5,not_in_current_coverage_matrix,7,0,0,0,0,,,
2026通州期末,2026,通州,期中/期末,5,covered_priority_matrix,2,1,0,0,1,2026各区期末和期中/2026通州期末/细则/细则.pptx,2026各区期末和期中/2026通州期末/试卷/试卷.pdf,
2026顺义一模,2026,顺义,一模,5,covered_priority_matrix,2,1,0,0,1,2026各区一模/2026顺义一模/细则/细则.pptx,2026各区一模/2026顺义一模/试卷/试卷.pdf,
2026石景山期末,2026,石景山,期末,5,excluded_2026_shijingshan_final_full_module,1,0,1,0,0,,,
