conflict_id,target_id,suite_id,qno,conflict_type,queue_claim,laneB_claim,evidence_basis,resolution_required,severity,notes
B03A-CFL-11,Q-2025东城期末-20,S-2025东城期末,20,scope_misclassification,queue_section_scope=pending_边界_发散思维,laneB_scope=当代国际政治与经济_SCOPE_OUT,paper题干"运用《当代国际政治与经济》知识"+rubric经济全球化国家利益,confirm pending但实为非选必三,low,queue pending tag正确但发散思维tag误tag
B03A-CFL-12,Q-2025东城期末-21,S-2025东城期末,21,scope_misclassification,queue_section_scope=in_scope_推理_判断,laneB_scope=综合所学(党+人民+法治+价值观)_SCOPE_OUT,rubric"可从党的领导/以人民为中心/法治/公共服务/实践/发展/价值观/中华优秀传统文化等角度作答",downgrade in queue meta to C-boundary,medium,queue误tag为判断但实为综合开放题
B03A-CFL-13,Q-2025丰台期末-16,S-2025丰台期末,16,partial_scope,queue_section_scope=cross_交叉_质量互变辩证思维,laneB_scope=哲学(以质量互变为辅触点)_SCOPE_OUT_with_fusion_attach,题干"哲学思考"+示例使用量变质变为选必三辩证思维触点,scope_out但can_enter_fusion=yes(选必三动态性触点),low,边界cross题;选必三辩证思维有attach但primary为哲学
B03A-CFL-14,Q-2025海淀期末-22,S-2025海淀期末,22,partial_scope,queue_section_scope=in_scope_思维_质量互变,laneB_scope=综合所学(党+现代化+文化+精神+质量互变)_SCOPE_OUT_with_fusion_attach,rubric七角度含质量互变规律但primary为综合短文,scope_out但can_enter_fusion=yes(选必三辩证思维触点),low,边界综合题;选必三仅作触点之一
B03A-CFL-15,Q-2025西城二模-16-1,S-2025西城二模,16(1),scope_misclassification,queue_section_scope=in_scope_推理_假言充分条件创新思维,laneB_scope=哲学(规律主观能动性矛盾价值观)_SCOPE_OUT,题干"哲学智慧"+rubric纯哲学,downgrade in queue meta to C-boundary,medium,queue误tag为假言推理但实为哲学;Q16(2)是真正的假言推理但本队列未列
B03A-CFL-16,Q-2025西城二模-Q16-2-MISSING,S-2025西城二模,16(2),queue_omission,queue未列Q16(2),laneB_finding=Q16(2)是真正充分条件假言推理题(条件①勺鸡雕鸮+条件②岩松鼠红嘴蓝鹊+问题=雕鸮和红嘴蓝鹊能否确定岩松鼠),paper:037@L186-191+rubric:038@L18-19明确假言推理分析,补入下一批queue,medium,"queue可能误把Q16(1)与Q16(2)合并到一行(Q16(1)),Q16(2)是关键的选必三假言推理题"
B03A-CFL-17,Q-2025西城二模-17-1,S-2025西城二模,17(1),scope_misclassification,queue_section_scope=in_scope_推理_概念,laneB_scope=经济与社会(价格治理意义)_SCOPE_OUT,题干"运用《经济与社会》知识";rubric经济政策,downgrade in queue meta to C-boundary,medium,queue误tag为概念但实为经济
B03A-CFL-18,Q-2025西城二模-17-2,S-2025西城二模,17(2),scope_misclassification,queue_section_scope=in_scope_推理_概念,laneB_scope=政治与法治(伞形社会评价)_SCOPE_OUT,题干"运用《政治与法治》知识";rubric政治学,downgrade in queue meta to C-boundary,medium,queue误tag为概念但实为政治
B03A-CFL-19,Q-2025顺义一模-16,S-2025顺义一模,16,scope_misclassification,queue_section_scope=pending_边界_辩证否定,laneB_scope=哲学与文化(联系发展矛盾文化)_SCOPE_OUT,题干"运用《哲学与文化》知识";rubric哲学+文化双角度,confirm pending但辩证否定tag误tag,low,pending方向正确但辩证否定具体tag误标
B03A-CFL-20,Q-2025顺义一模-17-2,S-2025顺义一模,17(2),scope_misclassification,queue_section_scope=in_scope_推理_假言充分条件等,laneB_scope=经济与社会(政府职能)_SCOPE_OUT,rubric政府公共服务/市场监管/宏观调控,downgrade in queue meta to C-boundary,medium,queue误tag为假言推理但实为政府经济职能
B03A-CFL-21,Q-2026东城一模-19-1,S-2026东城一模,19(1),scope_misclassification,queue_section_scope=in_scope_思维_创新思维等,laneB_scope=研究方法补题(调查研究法)_SCOPE_OUT,rubric仅"调查研究法+理由获取一手资料",downgrade in queue meta to C-boundary,medium,queue误tag但实为研究方法补题非选必三思维
B03A-CFL-22,Q-2026东城一模-19-2,S-2026东城一模,19(2),scope_misclassification,queue_section_scope=in_scope_思维,laneB_scope=经济与社会(产业园分析)_SCOPE_OUT,rubric四点均为产业经济,downgrade in queue meta to C-boundary,medium,queue误tag但实为产业经济
B03A-CFL-23,Q-2026东城一模-19-3,S-2026东城一模,19(3),scope_misclassification,queue_section_scope=in_scope_思维,laneB_scope=当代国际政治与经济_SCOPE_OUT,题干"运用《当代国际政治与经济》知识",downgrade in queue meta to C-boundary,medium,queue误tag但实为国际政经
B03A-CFL-24,Q-2026东城期末-16-1,S-2026东城期末,16(1),queue_split_error,queue将Q16拆为16(1)和16(2)两行,laneB_finding=Q16在原paper和rubric中均为单一7分题不可拆,paper:044@L213-220单题+rubric:044@L335-347单段rubric,合并queue两行为一行16,medium,queue因auto-tag不同知识节点错误生成两行;两行实为同一题(均哲学与文化)
B03A-CFL-25,Q-2026东城期末-16-2,S-2026东城期末,16(2),queue_split_error,queue将Q16拆为16(1)和16(2)两行(同上),laneB_finding=同上Q16为单题,同上,合并queue两行为一行16,medium,split-error并发于16-1
B03A-CFL-26,Q-2026东城期末-17-1,S-2026东城期末,17(1),scope_misclassification,queue_section_scope=in_scope_推理_假言充分条件矛盾律,laneB_scope=经济与社会(数据产权)_SCOPE_OUT,题干"运用《经济与社会》知识",downgrade in queue meta to C-boundary,medium,queue误tag为假言推理矛盾律但实为经济
B03A-CFL-27,Q-2026东城期末-21,S-2026东城期末,21,partial_scope,queue_section_scope=in_scope_思维_系统观念辩证思维,laneB_scope=综合所学(党+人民+理念+系统观念)_SCOPE_OUT_with_fusion_attach,rubric四角度含系统观念但primary综合开放,scope_out但can_enter_fusion=yes(选必三系统观念触点),low,边界综合题;选必三系统观念为attach之一
B03A-CFL-28,Q-2026朝阳期中-18,S-2026朝阳期中,18,scope_misclassification,queue_section_scope=in_scope_推理_辩证否定,laneB_scope=哲学(实践认识+人脑意识)_SCOPE_OUT,题干"从哲学角度";rubric两点均为哲学,downgrade in queue meta to C-boundary,medium,queue误tag为辩证否定但实为哲学
B03A-CFL-29,Q-2026朝阳期中-21-1,S-2026朝阳期中,21(1),scope_misclassification,queue_section_scope=in_scope_思维_创新思维等,laneB_scope=经济与社会+文化传承_SCOPE_OUT,题干"运用《经济与社会》和文化传承文化创新知识",downgrade in queue meta to C-boundary,medium,queue误tag为创新思维但实为经济+文化
B03A-CFL-30,Q-2026通州期末-19-1,S-2026通州期末,19(1),scope_misclassification,queue_section_scope=in_scope_推理_假言充分条件,laneB_scope=法律与生活(相邻关系)_SCOPE_OUT,题干"运用《法律与生活》知识";rubric法律分析,downgrade in queue meta to C-boundary,medium,queue误tag为假言推理但实为法律与生活
B03A-CFL-31,Q-2026顺义一模-19-3,S-2026顺义一模,19(3),scope_misclassification,queue_section_scope=cross_交叉_三段论等,laneB_scope=经济与社会(培育未来产业建议)_SCOPE_OUT,题干"运用《经济与社会》知识",downgrade in queue meta to C-boundary,medium,queue cross tag部分正确但落点纯经济;非三段论
