entry_no,heading,qid_or_title,fake_prompt,meta_answer_instruction,node_specific,trigger_sufficient,answer_sentence_sufficient,action
13,2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
14,2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
15,2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
16,2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
17,2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
18,2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
19,2024海淀一模 Q17(2)（主观题）,2024海淀一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
20,2024石景山一模 Q19(3)（主观题）,2024石景山一模 Q19(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
21,2024丰台二模 Q18(2)（主观题）,2024丰台二模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
22,2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
23,2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
24,2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
25,2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
26,2025海淀二模 Q20（主观题）,2025海淀二模 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
27,2026东城一模 Q19(1)（主观题）,2026东城一模 Q19(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
28,2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
29,2026房山一模 Q18(1)（主观题）,2026房山一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
30,2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
31,2026丰台期末 Q20（主观题）,2026丰台期末 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
32,2024朝阳二模 Q19(1)（主观题）,2024朝阳二模 Q19(1),YES_subjective_template,YES_meta_subjective,SINGLE_NODE_BUT_TEMPLATE,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
33,2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
34,2025延庆一模 Q18（主观题）,2025延庆一模 Q18,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
35,2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
36,2025海淀二模 Q20（主观题）,2025海淀二模 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
37,2026房山一模 Q18(1)（主观题）,2026房山一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
38,2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
39,2024东城一模 Q18(3)（主观题）,2024东城一模 Q18(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
40,2024石景山一模 Q19(3)（主观题）,2024石景山一模 Q19(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
41,2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
42,2024顺义二模 Q16(2)（主观题）,2024顺义二模 Q16(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
43,2025延庆一模 Q18（主观题）,2025延庆一模 Q18,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
44,2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
45,2025海淀二模 Q20（主观题）,2025海淀二模 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
46,2026延庆一模 Q18(2)（主观题）,2026延庆一模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
47,2026朝阳期中 Q20（主观题）,2026朝阳期中 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
48,2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
49,2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
50,2024海淀二模 Q17(1)（主观题）,2024海淀二模 Q17(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
51,2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
52,2025石景山一模 Q19（主观题）,2025石景山一模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
53,2025昌平二模 Q19（主观题）,2025昌平二模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
54,2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
55,2026延庆一模 Q18(2)（主观题）,2026延庆一模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
56,2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
57,2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
58,2026丰台期末 Q20（主观题）,2026丰台期末 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
59,2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
60,2024海淀一模 Q17(2)（主观题）,2024海淀一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
61,2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
62,2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
63,2025石景山一模 Q19（主观题）,2025石景山一模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
64,2025昌平二模 Q19（主观题）,2025昌平二模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
65,2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
66,2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
67,2026海淀一模 Q17(2)（主观题）,2026海淀一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
68,2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
69,2026门头沟一模 Q18(2)（主观题）,2026门头沟一模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
70,2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
71,2026丰台期末 Q20（主观题）,2026丰台期末 Q20,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
72,2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
73,2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
74,2025房山一模 Q16(3)（主观题）,2025房山一模 Q16(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
75,2025门头沟一模 Q21(1)（主观题）,2025门头沟一模 Q21(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
76,2025昌平二模 Q19（主观题）,2025昌平二模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
77,2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
78,2025海淀期末 Q18（主观题）,2025海淀期末 Q18,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
79,2026朝阳一模 Q17(1)（主观题）,2026朝阳一模 Q17(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
80,2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
81,2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
82,2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
83,2024丰台一模 Q19(2)（主观题）,2024丰台一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
84,2024东城一模 Q18(3)（主观题）,2024东城一模 Q18(3),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
85,2024西城一模 Q19(5)（主观题）,2024西城一模 Q19(5),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
86,2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
87,2024丰台二模 Q18(2)（主观题）,2024丰台二模 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
88,2024顺义二模 Q16(2)（主观题）,2024顺义二模 Q16(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
89,2025东城一模 Q18(1)（主观题）,2025东城一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
90,2025丰台一模 Q18(1)（主观题）,2025丰台一模 Q18(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
91,2025东城期末 Q18(2)（主观题）,2025东城期末 Q18(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
92,2026东城一模 Q19(4)（主观题）,2026东城一模 Q19(4),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
93,2026石景山一模 Q17(2)（主观题）,2026石景山一模 Q17(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
94,2026顺义一模 Q19(2)（主观题）,2026顺义一模 Q19(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
95,2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
96,2026海淀期末 Q20(2)（主观题）,2026海淀期末 Q20(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
97,2024朝阳期中 Q19（主观题）,2024朝阳期中 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,INSUFFICIENT_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
98,2025昌平二模 Q19（主观题）,2025昌平二模 Q19,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
99,2025海淀期末 Q18（主观题）,2025海淀期末 Q18,YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
100,2026朝阳一模 Q17(1)（主观题）,2026朝阳一模 Q17(1),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
101,2026朝阳期中 Q21(2)（主观题）,2026朝阳期中 Q21(2),YES_subjective_template,YES_meta_subjective,NO_multi_node_copy,PARTIAL_topical_label_only,INSUFFICIENT_meta_instruction,rewrite_from_source
102,2024朝阳一模 Q4（选择题）,2024朝阳一模 Q4,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
103,2024石景山一模 Q6（选择题）,2024石景山一模 Q6,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
104,2025东城一模 Q14（选择题）,2025东城一模 Q14,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
105,2025朝阳一模 Q3（选择题）,2025朝阳一模 Q3,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
106,2025朝阳一模 Q7（选择题）,2025朝阳一模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
107,2025海淀一模 Q6（选择题）,2025海淀一模 Q6,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
108,2025石景山一模 Q7（选择题）,2025石景山一模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
109,2025东城二模 Q13（选择题）,2025东城二模 Q13,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
110,2025昌平二模 Q12（选择题）,2025昌平二模 Q12,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
111,2025朝阳二模 Q7（选择题）,2025朝阳二模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
112,2025东城期末 Q5（选择题）,2025东城期末 Q5,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
113,2025朝阳期末 Q7（选择题）,2025朝阳期末 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
114,2025海淀期末 Q2（选择题）,2025海淀期末 Q2,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
115,2025西城期末 Q7（选择题）,2025西城期末 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
116,2025丰台期末 Q8（选择题）,2025丰台期末 Q8,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
117,2026东城一模 Q6（选择题）,2026东城一模 Q6,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
118,2026延庆一模 Q5（选择题）,2026延庆一模 Q5,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
119,2026朝阳一模 Q3（选择题）,2026朝阳一模 Q3,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
120,2026朝阳一模 Q6（选择题）,2026朝阳一模 Q6,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
121,2026朝阳一模 Q7（选择题）,2026朝阳一模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
122,2026石景山一模 Q2（选择题）,2026石景山一模 Q2,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
123,2026门头沟一模 Q7（选择题）,2026门头沟一模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
124,2026顺义一模 Q3（选择题）,2026顺义一模 Q3,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
125,2026顺义一模 Q6（选择题）,2026顺义一模 Q6,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
126,2026顺义一模 Q7（选择题）,2026顺义一模 Q7,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
127,2026朝阳期中 Q13（选择题）,2026朝阳期中 Q13,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
128,2026通州期末 Q5（选择题）,2026通州期末 Q5,YES_choice_template,YES_generic_choice,SINGLE_NODE_BUT_TEMPLATE,PARTIAL_choice_or_reasoning_signal,INSUFFICIENT_meta_instruction,choice_trap_rebuild
