question_id,visible_title,district,year,exam_stage,question_no,subquestion_no,module,question_type,current_body_status,permission_status,source_locator_status,answer_locator_status,rubric_locator_status,reasoning_form_status,thinking_chain_status,decision,decision_reason
Q-2024西城一模-13,2024 西城一模第13题,西城,2024,一模,13,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2024西城一模-19-2,2024 西城一模第19题第(2)问,西城,2024,一模,19,2,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024西城一模-19-3,2024 西城一模第19题第(3)问,西城,2024,一模,19,3,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2024西城一模-19-5,2024 西城一模第19题第(5)问,西城,2024,一模,19,5,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025东城期末-13,2025 东城期末第13题,东城,2025,期末,13,,推理,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025东城期末-14,2025 东城期末第14题,东城,2025,期末,14,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025东城期末-15,2025 东城期末第15题,东城,2025,期末,15,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025东城期末-18-2,2025 东城期末第18题第(2)问,东城,2025,期末,18,2,交叉,主观题,index_only,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,index_only_needs_body_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER
Q-2025东城期末-5,2025 东城期末第5题,东城,2025,期末,5,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2025丰台期末-10,2025 丰台期末第10题,丰台,2025,期末,10,,交叉,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025丰台期末-18-1,2025 丰台期末第18题第(1)问,丰台,2025,期末,18,1,推理,主观题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P4_RECHECK_SUBJECTIVE_REASONING_FORM
Q-2025丰台期末-7,2025 丰台期末第7题,丰台,2025,期末,7,,思维,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025丰台期末-8,2025 丰台期末第8题,丰台,2025,期末,8,,思维,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025丰台期末-9,2025 丰台期末第9题,丰台,2025,期末,9,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025海淀二模-20,2025 海淀二模第20题,海淀,2025,二模,20,,思维,主观题,body,include,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025海淀期末-17-1,2025 海淀期末第17题第(1)问,海淀,2025,期末,17,1,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025海淀期末-18,2025 海淀期末第18题,海淀,2025,期末,18,,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025海淀期末-2,2025 海淀期末第2题,海淀,2025,期末,2,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2025海淀期末-8,2025 海淀期末第8题,海淀,2025,期末,8,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025西城二模-16-2,2025 西城二模第16题第(2)问,西城,2025,二模,16,2,推理,主观题,body,include,present,present_unverified,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025西城二模-16-3,2025 西城二模第16题第(3)问,西城,2025,二模,16,3,思维,主观题,body,include,present,present_unverified,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2025西城二模-7,2025 西城二模第7题,西城,2025,二模,7,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025顺义一模-17-1,2025 顺义一模第17题第(1)问,顺义,2025,一模,17,1,推理,主观题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P4_RECHECK_SUBJECTIVE_REASONING_FORM
Q-2025顺义一模-5,2025 顺义一模第5题,顺义,2025,一模,5,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025顺义一模-6,2025 顺义一模第6题,顺义,2025,一模,6,,推理,选择题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025顺义一模-7,2025 顺义一模第7题,顺义,2025,一模,7,,推理,选择题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026东城一模-19-4,2026 东城一模第19题第(4)问,东城,2026,一模,19,4,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026东城一模-6,2026 东城一模第6题,东城,2026,一模,6,,交叉,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P3_REPAIR_THINKING_OR_CROSS_SOURCE
Q-2026东城期末-17-2,2026 东城期末第17题第(2)问,东城,2026,期末,17,2,推理,主观题,not_represented,hold_reasoning_form_risk,present,confirmed,confirmed_formal_or_rubric,needs_reasoning_form_recheck,not_represented_needs_decision,body_after_repair,Reasoning form recheck required before body expansion; priority=P4_RECHECK_SUBJECTIVE_REASONING_FORM
Q-2026东城期末-6,2026 东城期末第6题,东城,2026,期末,6,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2026东城期末-7,2026 东城期末第7题,东城,2026,期末,7,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2026丰台一模-18-2,2026 丰台一模第18题第(2)问,丰台,2026,一模,18,2,推理,主观题,body,include,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026朝阳期中-11,2026 朝阳期中第11题,朝阳,2026,期中,11,,推理,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026朝阳期中-12,2026 朝阳期中第12题,朝阳,2026,期中,12,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2026朝阳期中-13,2026 朝阳期中第13题,朝阳,2026,期中,13,,交叉,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P3_REPAIR_THINKING_OR_CROSS_SOURCE
Q-2026朝阳期中-14,2026 朝阳期中第14题,朝阳,2026,期中,14,,推理,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026朝阳期中-15,2026 朝阳期中第15题,朝阳,2026,期中,15,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2026朝阳期中-20,2026 朝阳期中第20题,朝阳,2026,期中,20,,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026朝阳期中-21-2,2026 朝阳期中第21题第(2)问,朝阳,2026,期中,21,2,思维,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026通州期末-11,2026 通州期末第11题,通州,2026,期末,11,,交叉,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026通州期末-19-2,2026 通州期末第19题第(2)问,通州,2026,期末,19,2,推理,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026通州期末-5,2026 通州期末第5题,通州,2026,期末,5,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026通州期末-8,2026 通州期末第8题,通州,2026,期末,8,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026通州期末-9,2026 通州期末第9题,通州,2026,期末,9,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P1_REPAIR_HIGH_VALUE_INDEX_CLUSTER
Q-2026顺义一模-19-1,2026 顺义一模第19题第(1)问,顺义,2026,一模,19,1,交叉,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026顺义一模-19-2,2026 顺义一模第19题第(2)问,顺义,2026,一模,19,2,交叉,主观题,body,include_as_packet_candidate,present,confirmed,confirmed_formal_or_rubric,present_or_not_required,existing_body_review_only,body_now,"Already in 29-row controlled body, still REVIEW_ONLY and not final"
Q-2026顺义一模-3,2026 顺义一模第3题,顺义,2026,一模,3,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P0_PROTECTED_HOLD_DO_NOT_EXPAND
Q-2026顺义一模-4,2026 顺义一模第4题,顺义,2026,一模,4,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2026顺义一模-5,2026 顺义一模第5题,顺义,2026,一模,5,,交叉,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026顺义一模-6,2026 顺义一模第6题,顺义,2026,一模,6,,思维,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,support_or_paired_candidate_needs_upgrade,present_or_not_required,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P3_REPAIR_THINKING_OR_CROSS_SOURCE
Q-2026丰台一模-4,2026 丰台一模第4题,丰台,2026,一模,4,,思维,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,present_or_not_required,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P3_REPAIR_THINKING_OR_CROSS_SOURCE
Q-2026丰台一模-7,2026 丰台一模第7题,丰台,2026,一模,7,,思维,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,present_or_not_required,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P3_REPAIR_THINKING_OR_CROSS_SOURCE
Q-2026丰台一模-8,2026 丰台一模第8题,丰台,2026,一模,8,,推理,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P2_REPAIR_INDEX_CLUSTER
Q-2026丰台一模-9,2026 丰台一模第9题,丰台,2026,一模,9,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P5_RECHECK_CHOICE_REASONING_FORM
Q-2025海淀二模-12,2025 海淀二模第12题,海淀,2025,二模,12,,思维,选择题,index_only,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,present_or_not_required,index_only_needs_body_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P0_PROTECTED_HOLD_DO_NOT_EXPAND
Q-2025海淀二模-13,2025 海淀二模第13题,海淀,2025,二模,13,,推理,选择题,not_represented,hold_answer_locator_risk,present,needs_source_upgrade,confirmed_formal_or_rubric,needs_typology_assignment,not_represented_needs_decision,body_after_repair,Answer/source locator upgrade required before body expansion; priority=P0_PROTECTED_HOLD_DO_NOT_EXPAND
