question_id,suite_id,stable_locator,原始题号,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_pattern,invalid_pattern_or_trap,same_type_question_ids,answer_key,explanation_status,blocked_status
Q-2025丰台期末-18-2,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(2),18(2),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-18-3,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(3),18(3),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-2,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q2,2,假言推理,联言推理;假言推理;选言推理;联言推理;周延判断,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-8,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q8,8,逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-9,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q9,9,假言推理,归纳推理与因果探求;假言推理;选言推理;假言推理;选言推理;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,10,假言推理,归纳推理与因果探求;类比推理;归纳推理与因果探求;类比推理;类比推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-16,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,16,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-18-1,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(1),18(1),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-18-2,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(2),18(2),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025丰台期末-18-3,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(3),18(3),假言推理,联言推理;其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025海淀期末-2,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q2,2,其他复合推理,,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2025海淀期末-3,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q3,3,其他复合推理,,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2025海淀期末-6,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q6,6,其他复合推理,,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2025海淀期末-8,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q8,8,假言推理,选言推理;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025海淀期末-6,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q6,6,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-7,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q7,7,归纳推理与因果探求,,,,,,,,not_extracted_yet,blocked_until_options_visual_check
Q-2025西城二模-16-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(1),16(1),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-16-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(2),16(2),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-16-3,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(3),16(3),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-17-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(1),17(1),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-17-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(2),17(2),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-16-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(1),16(1),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-16-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(2),16(2),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-16-3,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(3),16(3),假言推理,其他复合推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-17-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(1),17(1),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025西城二模-17-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(2),17(2),逻辑三律与概念规则,,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-4,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q4,4,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-5,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q5,5,假言推理,周延判断;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-6,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q6,6,三段论,联言推理;周延判断;逻辑三律与概念规则;假言推理;联言推理;周延判断;逻辑三律与概念规则;联言推理;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-7,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q7,7,三段论,周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-10,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q10,10,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-1,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(1),17(1),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-2,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(2),17(2),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-4,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q4,4,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-5,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q5,5,假言推理,周延判断;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-6,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q6,6,三段论,联言推理;周延判断;逻辑三律与概念规则;假言推理;联言推理;周延判断;逻辑三律与概念规则;联言推理;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-7,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q7,7,三段论,周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-10,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q10,10,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-1,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(1),17(1),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-2,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(2),17(2),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-4,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q4,4,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-5,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q5,5,假言推理,周延判断;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-6,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q6,6,三段论,联言推理;周延判断;逻辑三律与概念规则;假言推理;联言推理;周延判断;逻辑三律与概念规则;联言推理;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-7,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q7,7,三段论,周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-10,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q10,10,其他复合推理,,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-1,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(1),17(1),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-17-2,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q17(2),17(2),假言推理,假言推理;选言推理;其他复合推理;选言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-4,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q4,4,其他复合推理,联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-5,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q5,5,假言推理,周延判断;联言推理,,,,,,,not_extracted_yet,pending_pairing
Q-2025顺义一模-6,S-2025顺义一模,035_GaokaoPolitics_2025各区模拟题_2025各区一模_2025顺义一模_2025北京顺义高三一模政治_教师版_.pdf::Q6,6,三段论,联言推理;周延判断;逻辑三律与概念规则;假言推理;联言推理;周延判断;逻辑三律与概念规则;联言推理;周延判断;逻辑三律与概念规则,,,,,,,not_extracted_yet,pending_pairing
