question_id,suite_id,stable_locator,qno,question_type,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_or_invalid_pattern,trap,answer_action,same_type_question_ids,fusion_status,phase04_level,student稿_permission,blocker_reason
Q-2025东城期末-13,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q13,13,选择题,三段论;三段论;周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025东城期末-14,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q14,14,选择题,假言推理;周延判断;假言推理;选言推理;联言推理;周延判断;逻辑三律与概念规则;假言推理;选言推理;联言推理;逻辑三律与概念规则;周延判断;周延判断;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025东城期末-15,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q15,15,选择题,假言推理;假言推理;周延判断;周延判断,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025东城期末-18-1,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(1),18(1),主观题,三段论,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-18-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q18(2),18(2),主观题,三段论,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025东城期末-2,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q2,2,选择题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-21,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q21,21,主观题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2025东城期末-7,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q7,7,选择题,假言推理;归纳推理与因果探求,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-8,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q8,8,选择题,假言推理;归纳推理与因果探求,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025东城期末-9,S-2025东城期末,012_Desktop_2025模拟题_2025各区期末_2025东城期末_试卷_试卷.pdf::Q9,9,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-10,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q10,10,选择题,假言推理;归纳推理与因果探求;类比推理;归纳推理与因果探求;类比推理;类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025丰台期末-16,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q16,16,主观题,其他复合推理;联言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,targeted Lane B verification for A-only subjective/high-number question
Q-2025丰台期末-18-1,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(1),18(1),主观题,假言推理;联言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-18-2,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(2),18(2),主观题,假言推理;联言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-18-3,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q18(3),18(3),主观题,假言推理;联言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025丰台期末-9,S-2025丰台期末,040_Desktop_2025模拟题_2025各区期末_2025丰台期末_试卷_试卷.pdf::Q9,9,选择题,假言推理;归纳推理与因果探求;假言推理;选言推理;假言推理;选言推理;联言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,module-boundary decision with answer key/rubric
Q-2025海淀期末-8,S-2025海淀期末,015_Desktop_2025模拟题_2025各区期末_2025海淀期末_试卷_试卷.docx::Q8,8,选择题,假言推理;选言推理;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025西城二模-16-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(1),16(1),主观题,假言推理;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025西城二模-16-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q16(2),16(2),主观题,假言推理;其他复合推理,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2025西城二模-17-1,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(1),17(1),主观题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025西城二模-17-2,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q17(2),17(2),主观题,逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025西城二模-7,S-2025西城二模,037_Desktop_2025模拟题_2025各区二模_2025西城二模_试卷_试卷.pdf::Q7,7,选择题,归纳推理与因果探求,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2025顺义一模-10,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q10,10,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025顺义一模-17-1,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(1),17(1),主观题,假言推理;假言推理;选言推理;其他复合推理;选言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025顺义一模-17-2,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q17(2),17(2),主观题,假言推理;假言推理;选言推理;其他复合推理;选言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025顺义一模-4,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q4,4,选择题,其他复合推理;联言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2025顺义一模-5,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q5,5,选择题,假言推理;周延判断;联言推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,module-boundary decision with answer key/rubric
Q-2025顺义一模-6,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q6,6,选择题,三段论;联言推理;周延判断;逻辑三律与概念规则;假言推理;联言推理;周延判断;逻辑三律与概念规则;联言推理;周延判断;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2025顺义一模-7,S-2025顺义一模,033_Desktop_2025模拟题_2025各区一模_2025顺义一模_试卷_试卷.pdf::Q7,7,选择题,三段论;周延判断;三段论;周延判断;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026东城一模-12,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q12,12,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-2,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q2,2,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-6,S-2026东城一模,046_Desktop_2026模拟题_2026各区一模_2026东城一模_试卷_试卷.pdf::Q6,6,选择题,换质换位,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,module-boundary decision with answer key/rubric
Q-2026东城期末-14,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q14,14,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-16-1,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q16(1),16(1),主观题,假言推理;逻辑三律与概念规则;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-16-2,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q16(2),16(2),主观题,假言推理;逻辑三律与概念规则;其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-17-1,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(1),17(1),主观题,三段论;假言推理;三段论;假言推理;周延判断;三段论;周延判断;假言推理;联言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则;其他复合推理;联言推理;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-17-2,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q17(2),17(2),主观题,三段论;假言推理;三段论;假言推理;周延判断;三段论;周延判断;假言推理;联言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则;其他复合推理;联言推理;逻辑三律与概念规则;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,module-boundary decision with answer key/rubric
Q-2026东城期末-3,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q3,3,选择题,三段论;假言推理;三段论;假言推理;周延判断;逻辑三律与概念规则;三段论;假言推理;逻辑三律与概念规则;假言推理;假言推理;类比推理;其他复合推理;归纳推理与因果探求;类比推理;逻辑三律与概念规则,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-4,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q4,4,选择题,类比推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-5,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q5,5,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-6,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q6,6,选择题,其他复合推理,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城期末-7,S-2026东城期末,044_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_试卷_试卷.pdf::Q7,7,选择题,三段论,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,field-level diff cleanup during fusion
Q-2026丰台一模-18-2,S-2026丰台一模,042_Desktop_2026模拟题_2026各区一模_2026丰台一模_试卷_试卷.pdf::render_page_07::Q18(2),18(2),主观题,必要条件假言推理,,,,,,,,locked_for_fusion,L4_LOCKED_FOR_FUSION,NO_STUDENT_DRAFT_YET_GPT_BLOCKED,student draft still blocked by GPT Phase03 gate
Q-2026朝阳期中-1,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q1,1,选择题,三段论,,,,,,,,blocked_or_pending_gap_queue,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,answer pairing / targeted verification if in-scope after canonical check
Q-2026朝阳期中-11,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q11,11,选择题,其他复合推理,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2026朝阳期中-12,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q12,12,选择题,,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2026朝阳期中-13,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q13,13,选择题,类比推理,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2026朝阳期中-14,S-2026朝阳期中,003_Desktop_2026模拟题_2026各区期末和期中_2026朝阳期中_试卷_试卷.pdf::Q14,14,选择题,归纳推理与因果探求,,,,,,,,pending_B_target_verification,L1_A_ONLY_PENDING_B_TARGET,NO_STUDENT_DRAFT,Codex local patch ready; requires Lane B targeted verification before locked fusion
