canonical_question_id,suite_id,original_qno,question_type,section_scope,knowledge_node,reasoning_node,phase04_level,answer_pairing_status,rubric_pairing_status,visual_status,phase12_rescan_category,blocker_reason,phase12_initial_rescan_category,phase12_final_action,phase12_rescan_note
Q-2024朝阳二模-16-1,S-2024朝阳二模,16(1),主观题,推理,概念,逻辑三律与概念规则,L0_BLOCKED,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,out_of_scope,scope_out=经济与社会(非选必三逻辑与思维),new_candidate,excluded_keep_out,scope_out=经济与社会(非选必三逻辑与思维)
Q-2024朝阳二模-16-2,S-2024朝阳二模,16(2),主观题,推理,概念,逻辑三律与概念规则,L0_BLOCKED,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,out_of_scope,scope_out=哲学(非选必三逻辑与思维),new_candidate,excluded_keep_out,scope_out=哲学(非选必三逻辑与思维)
Q-2024朝阳二模-17,S-2024朝阳二模,17,主观题,待判,归纳,归纳推理与因果探求,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳二模-18,S-2024朝阳二模,18,主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),主观题,交叉,判断;动态性;推理;类比;联言;辩证思维,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),主观题,交叉,判断;动态性;推理;类比;联言;辩证思维,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_022,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),主观题,交叉,判断;动态性;推理;类比;联言;辩证思维,假言推理;联言推理;假言推理;联言推理;类比推理;其他复合推理;类比推理;联言推理;类比推理,L0_BLOCKED,answer_confirmed_from_rubric_022,formal_rubric_pdf_其他模块,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,out_of_scope,scope_out=哲学与文化/必修3模块,new_candidate,excluded_keep_out,scope_out=哲学与文化/必修3模块
Q-2024朝阳二模-2,S-2024朝阳二模,2,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-20,S-2024朝阳二模,20,主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳二模-3,S-2024朝阳二模,3,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-4,S-2024朝阳二模,4,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-5,S-2024朝阳二模,5,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-6,S-2024朝阳二模,6,选择题,推理,概念,逻辑三律与概念规则,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_C_from_023_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳二模-7,S-2024朝阳二模,7,选择题,交叉,判断;前提;归纳;推理;科学思维;结论,其他复合推理;归纳推理与因果探求,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_D_from_023_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳二模-8,S-2024朝阳二模,8,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳二模-9,S-2024朝阳二模,9,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-1,S-2024朝阳期中,1,选择题,推理,判断,其他复合推理,L0_BLOCKED,answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,out_of_scope,scope_out_other_book,new_candidate,excluded_keep_out,scope_out_other_book
Q-2024朝阳期中-10,S-2024朝阳期中,10,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,题干显然涉及概念外延/关系判断，但本轮只找到试卷题面，未找到可靠选择题答案表；不得逻辑猜答案。
Q-2024朝阳期中-11,S-2024朝阳期中,11,选择题,推理,三段论;假言;判断;推理;概念;矛盾律,三段论;假言推理;逻辑三律与概念规则;假言推理;逻辑三律与概念规则,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_C_from_020_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳期中-12,S-2024朝阳期中,12,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-13,S-2024朝阳期中,13,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-14,S-2024朝阳期中,14,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-15,S-2024朝阳期中,15,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-16,S-2024朝阳期中,16,主观题,待判,概念;迁移,其他复合推理,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024朝阳期中-17,S-2024朝阳期中,17,主观题,边界,判断;推理;科学思维;辩证否定;辩证思维;迁移,其他复合推理;归纳推理与因果探求;逻辑三律与概念规则,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳期中-18,S-2024朝阳期中,18,主观题,推理,三段论;保真;判断;前提;小项;归纳;换位;推理;概念;科学思维;类比;结论;迁移,三段论;假言推理;归纳推理与因果探求;类比推理;换质换位;其他复合推理;归纳推理与因果探求;归纳推理与因果探求;类比推理;类比推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_018,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳期中-19,S-2024朝阳期中,19,主观题,交叉,分析与综合;创新思维;发散思维;概念;科学思维;结论;联想思维;聚合思维;超前思维;辩证思维;迁移;逆向思维,其他复合推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_018,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳期中-2,S-2024朝阳期中,2,选择题,待判,发散思维;联想思维;聚合思维;超前思维;逆向思维,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-20-1,S-2024朝阳期中,20(1),主观题,边界,归纳;推理;类比;迁移,其他复合推理;类比推理,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳期中-20-2,S-2024朝阳期中,20(2),主观题,边界,归纳;推理;类比;迁移,其他复合推理;类比推理,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳期中-20-3,S-2024朝阳期中,20(3),主观题,边界,归纳;推理;类比;迁移,其他复合推理;类比推理,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024朝阳期中-3,S-2024朝阳期中,3,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-4,S-2024朝阳期中,4,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-5,S-2024朝阳期中,5,选择题,推理,充分必要条件;必要条件;概念,假言推理;逻辑三律与概念规则,L0_BLOCKED,answer_confirmed_A_from_020_rubric,rubric_confirmed,text_extraction_clear,out_of_scope,scope_out_other_book,new_candidate,excluded_keep_out,scope_out_other_book
Q-2024朝阳期中-6,S-2024朝阳期中,6,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024朝阳期中-7,S-2024朝阳期中,7,选择题,推理,三段论;判断;前提;推理;结论,三段论,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳期中-8,S-2024朝阳期中,8,选择题,推理,充分必要条件;必要条件,假言推理,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_D_from_020_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024朝阳期中-9,S-2024朝阳期中,9,选择题,交叉,前提;思维具体;思维抽象;想象;推理;演绎推理;结论,归纳推理与因果探求,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_B_from_020_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024海淀二模-1,S-2024海淀二模,1,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-10,S-2024海淀二模,10,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-11,S-2024海淀二模,11,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-12,S-2024海淀二模,12,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-13,S-2024海淀二模,13,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-14,S-2024海淀二模,14,选择题,推理,判断,其他复合推理,L0_BLOCKED,answer_confirmed_C_from_028_rubric,rubric_confirmed,text_extraction_clear,out_of_scope,scope_out_other_book,new_candidate,excluded_keep_out,scope_out_other_book
Q-2024海淀二模-15,S-2024海淀二模,15,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-16,S-2024海淀二模,16,主观题,推理,判断,其他复合推理,L0_BLOCKED,answer_confirmed_from_rubric_028,formal_rubric_docx_其他模块,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,out_of_scope,scope_out=哲学(非选必三逻辑与思维),new_candidate,excluded_keep_out,scope_out=哲学(非选必三逻辑与思维)
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),主观题,思维,客观性;思维具体;思维抽象;感性具体;整体性;科学思维,,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),主观题,思维,客观性;思维具体;思维抽象;感性具体;整体性;科学思维,,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_from_rubric_028,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024海淀二模-18-1,S-2024海淀二模,18(1),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024海淀二模-18-2,S-2024海淀二模,18(2),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024海淀二模-19-1,S-2024海淀二模,19(1),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024海淀二模-19-2,S-2024海淀二模,19(2),主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024海淀二模-2,S-2024海淀二模,2,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-20,S-2024海淀二模,20,主观题,边界,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,out_of_scope,scope pending or boundary row,out_of_scope,excluded_keep_out,scope pending or boundary row
Q-2024海淀二模-21,S-2024海淀二模,21,主观题,待判,分析与综合;创新思维;发散思维;客观性;整体性;科学思维;聚合思维;超前思维;辩证思维;预见性,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,blocked,scope pending or boundary row,new_candidate,blocked_keep_out,范围或题面仍需人工回源，不从材料关键词推断入正文。
Q-2024海淀二模-3,S-2024海淀二模,3,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-4,S-2024海淀二模,4,选择题,推理,前提,其他复合推理,L0_BLOCKED,answer_confirmed_B_from_028_rubric,rubric_confirmed,text_extraction_clear,out_of_scope,scope_out_other_book,new_candidate,excluded_keep_out,scope_out_other_book
Q-2024海淀二模-5,S-2024海淀二模,5,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-6,S-2024海淀二模,6,选择题,推理,换位;推理,换质换位,L3_A_PLUS_B_TARGET_CONFIRMED,answer_confirmed_C_from_028_rubric,rubric_confirmed,text_extraction_clear,already_in_74,Batch03 Lane B confirmed for evidence fusion only; no student draft,already_in_74,covered_by_74_review_body,已进入 74-row review-only expanded body。
Q-2024海淀二模-7,S-2024海淀二模,7,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024海淀二模-8,S-2024海淀二模,8,选择题,推理,判断,其他复合推理,L0_BLOCKED,answer_confirmed_B_from_028_rubric,rubric_confirmed,text_extraction_clear,out_of_scope,scope_out_other_book,new_candidate,excluded_keep_out,scope_out_other_book
Q-2024海淀二模-9,S-2024海淀二模,9,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,answer_missing,scope pending or boundary row,answer_missing,blocked_keep_out,初筛为答案/来源缺口，本轮未找到足够证据。
Q-2024西城一模-1,S-2024西城一模,1,选择题,待判,,,L0_BLOCKED,paired_candidate,paired_candidate,not_visual_confirmed,visual_missing,choice options not fully detected in text,answer_missing,blocked_keep_out,选择题选项未完整恢复，不能转正文。
