canonical_question_id,suite_id,original_qno,question_type,rubric_pairing_status,can_enter_fusion,can_enter_student_draft,notes
Q-2024海淀二模-15,S-2024海淀二模,15,选择题,paired_candidate,no,no,
Q-2024海淀二模-16,S-2024海淀二模,16,主观题,paired_candidate,no,no,
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),主观题,paired_candidate,no,no,
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),主观题,paired_candidate,no,no,
Q-2024海淀二模-18-1,S-2024海淀二模,18(1),主观题,paired_candidate,no,no,
Q-2024海淀二模-18-2,S-2024海淀二模,18(2),主观题,paired_candidate,no,no,
Q-2024海淀二模-19-1,S-2024海淀二模,19(1),主观题,paired_candidate,no,no,
Q-2024海淀二模-19-2,S-2024海淀二模,19(2),主观题,paired_candidate,no,no,
Q-2024海淀二模-2,S-2024海淀二模,2,选择题,paired_candidate,no,no,
Q-2024海淀二模-20,S-2024海淀二模,20,主观题,paired_candidate,no,no,
Q-2024海淀二模-21,S-2024海淀二模,21,主观题,paired_candidate,no,no,
Q-2024海淀二模-3,S-2024海淀二模,3,选择题,paired_candidate,no,no,
Q-2024海淀二模-4,S-2024海淀二模,4,选择题,paired_candidate,no,no,
Q-2024海淀二模-5,S-2024海淀二模,5,选择题,paired_candidate,no,no,
Q-2024海淀二模-6,S-2024海淀二模,6,选择题,paired_candidate,no,no,
Q-2024海淀二模-7,S-2024海淀二模,7,选择题,paired_candidate,no,no,
Q-2024海淀二模-8,S-2024海淀二模,8,选择题,paired_candidate,no,no,
Q-2024海淀二模-9,S-2024海淀二模,9,选择题,paired_candidate,no,no,
Q-2024西城一模-1,S-2024西城一模,1,选择题,paired_candidate,no,no,
Q-2024西城一模-10,S-2024西城一模,10,选择题,paired_candidate,no,no,
Q-2024西城一模-11,S-2024西城一模,11,选择题,paired_formal,no,no,
Q-2024西城一模-12,S-2024西城一模,12,选择题,paired_candidate,no,no,
Q-2024西城一模-13,S-2024西城一模,13,选择题,paired_candidate,no,no,
Q-2024西城一模-14,S-2024西城一模,14,选择题,paired_candidate,no,no,
Q-2024西城一模-15,S-2024西城一模,15,选择题,paired_candidate,no,no,
Q-2024西城一模-16,S-2024西城一模,16,主观题,paired_candidate,no,no,
Q-2024西城一模-17,S-2024西城一模,17,主观题,paired_candidate,no,no,
Q-2024西城一模-18-1,S-2024西城一模,18(1),主观题,paired_candidate,no,no,
Q-2024西城一模-18-2,S-2024西城一模,18(2),主观题,paired_candidate,no,no,
Q-2024西城一模-18-3,S-2024西城一模,18(3),主观题,paired_candidate,no,no,
Q-2024西城一模-19-1,S-2024西城一模,19(1),主观题,paired_candidate,no,no,
Q-2024西城一模-19-2,S-2024西城一模,19(2),主观题,paired_candidate,no,no,
Q-2024西城一模-19-3,S-2024西城一模,19(3),主观题,paired_candidate,no,no,
Q-2024西城一模-19-4,S-2024西城一模,19(4),主观题,paired_candidate,no,no,
Q-2024西城一模-19-5,S-2024西城一模,19(5),主观题,paired_candidate,no,no,
Q-2024西城一模-19-6,S-2024西城一模,19(6),主观题,paired_candidate,no,no,
Q-2024西城一模-2,S-2024西城一模,2,选择题,paired_candidate,no,no,
Q-2024西城一模-3,S-2024西城一模,3,选择题,paired_candidate,no,no,
Q-2024西城一模-4,S-2024西城一模,4,选择题,paired_candidate,no,no,
Q-2024西城一模-5,S-2024西城一模,5,选择题,paired_candidate,no,no,
Q-2024西城一模-6,S-2024西城一模,6,选择题,paired_candidate,no,no,
Q-2024西城一模-7,S-2024西城一模,7,选择题,paired_candidate,no,no,
Q-2024西城一模-8,S-2024西城一模,8,选择题,paired_candidate,no,no,
Q-2024西城一模-9,S-2024西城一模,9,选择题,paired_candidate,no,no,
Q-2025东城期末-1,S-2025东城期末,1,选择题,paired_candidate,no,no,
Q-2025东城期末-10,S-2025东城期末,10,选择题,paired_candidate,no,no,
Q-2025东城期末-11,S-2025东城期末,11,选择题,paired_candidate,no,no,
Q-2025东城期末-12,S-2025东城期末,12,选择题,paired_candidate,no,no,
Q-2025东城期末-13,S-2025东城期末,13,选择题,paired_candidate,no,no,
Q-2025东城期末-14,S-2025东城期末,14,选择题,paired_candidate,no,no,
Q-2025东城期末-15,S-2025东城期末,15,选择题,paired_candidate,no,no,
Q-2025东城期末-16,S-2025东城期末,16,主观题,paired_candidate,no,no,
Q-2025东城期末-17,S-2025东城期末,17,主观题,paired_candidate,no,no,
Q-2025东城期末-18-1,S-2025东城期末,18(1),主观题,paired_candidate,no,no,
Q-2025东城期末-18-2,S-2025东城期末,18(2),主观题,paired_candidate,no,no,
Q-2025东城期末-19-1,S-2025东城期末,19(1),主观题,paired_candidate,no,no,
Q-2025东城期末-19-2,S-2025东城期末,19(2),主观题,paired_candidate,no,no,
Q-2025东城期末-19-3,S-2025东城期末,19(3),主观题,paired_candidate,no,no,
Q-2025东城期末-2,S-2025东城期末,2,选择题,paired_candidate,no,no,
Q-2025东城期末-20,S-2025东城期末,20,主观题,paired_candidate,no,no,
Q-2025东城期末-21,S-2025东城期末,21,主观题,paired_candidate,no,no,
Q-2025东城期末-3,S-2025东城期末,3,选择题,paired_candidate,no,no,
Q-2025东城期末-4,S-2025东城期末,4,选择题,paired_candidate,no,no,
Q-2025东城期末-5,S-2025东城期末,5,选择题,paired_candidate,no,no,
Q-2025东城期末-6,S-2025东城期末,6,选择题,paired_candidate,no,no,
Q-2025东城期末-7,S-2025东城期末,7,选择题,paired_candidate,no,no,
Q-2025东城期末-8,S-2025东城期末,8,选择题,paired_candidate,no,no,
Q-2025东城期末-9,S-2025东城期末,9,选择题,paired_candidate,no,no,
Q-2025丰台期末-1,S-2025丰台期末,1,选择题,paired_candidate,no,no,
Q-2025丰台期末-10,S-2025丰台期末,10,选择题,paired_candidate,no,no,
Q-2025丰台期末-11,S-2025丰台期末,11,选择题,paired_candidate,no,no,
Q-2025丰台期末-12,S-2025丰台期末,12,选择题,paired_candidate,no,no,
Q-2025丰台期末-13,S-2025丰台期末,13,选择题,paired_candidate,no,no,
Q-2025丰台期末-14,S-2025丰台期末,14,选择题,paired_candidate,no,no,
Q-2025丰台期末-15,S-2025丰台期末,15,选择题,paired_candidate,no,no,
Q-2025丰台期末-16,S-2025丰台期末,16,主观题,paired_candidate,no,no,
Q-2025丰台期末-17,S-2025丰台期末,17,主观题,paired_candidate,no,no,
Q-2025丰台期末-18-1,S-2025丰台期末,18(1),主观题,paired_candidate,no,no,
Q-2025丰台期末-18-2,S-2025丰台期末,18(2),主观题,paired_candidate,no,no,
Q-2025丰台期末-18-3,S-2025丰台期末,18(3),主观题,paired_candidate,no,no,
Q-2025丰台期末-19,S-2025丰台期末,19,主观题,paired_candidate,no,no,
Q-2025丰台期末-2,S-2025丰台期末,2,选择题,paired_candidate,no,no,
Q-2025丰台期末-20,S-2025丰台期末,20,主观题,paired_candidate,no,no,
Q-2025丰台期末-21,S-2025丰台期末,21,主观题,paired_candidate,no,no,
Q-2025丰台期末-3,S-2025丰台期末,3,选择题,paired_candidate,no,no,
Q-2025丰台期末-4,S-2025丰台期末,4,选择题,paired_candidate,no,no,
Q-2025丰台期末-5,S-2025丰台期末,5,选择题,paired_candidate,no,no,
Q-2025丰台期末-6,S-2025丰台期末,6,选择题,paired_candidate,no,no,
Q-2025丰台期末-7,S-2025丰台期末,7,选择题,paired_candidate,no,no,
Q-2025丰台期末-8,S-2025丰台期末,8,选择题,paired_candidate,no,no,
Q-2025丰台期末-9,S-2025丰台期末,9,选择题,paired_candidate,no,no,
Q-2025海淀二模-20,S-2025海淀二模,20,主观题,paired_formal,yes,no,角度池：①分析综合/整体性→立足整体+全民全面共建；②质量互变/动态性→渐进共享循序渐进；③辩证否定→扬弃+继承传统思想接续新时代；④矛盾分析法（补充最多2分）
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,UNPARSED,suite_visual_blocker,missing_or_unpaired,no,no,
Q-2025海淀期末-1,S-2025海淀期末,1,选择题,paired_candidate,no,no,
Q-2025海淀期末-10,S-2025海淀期末,10,选择题,paired_candidate,no,no,
Q-2025海淀期末-11,S-2025海淀期末,11,选择题,paired_candidate,no,no,
Q-2025海淀期末-12,S-2025海淀期末,12,选择题,paired_candidate,no,no,
Q-2025海淀期末-13,S-2025海淀期末,13,选择题,paired_candidate,no,no,
Q-2025海淀期末-14,S-2025海淀期末,14,选择题,paired_candidate,no,no,
Q-2025海淀期末-15,S-2025海淀期末,15,选择题,paired_candidate,no,no,
Q-2025海淀期末-16,S-2025海淀期末,16,主观题,paired_candidate,no,no,
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),主观题,paired_candidate,no,no,
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),主观题,paired_candidate,no,no,
Q-2025海淀期末-18,S-2025海淀期末,18,主观题,paired_candidate,no,no,
Q-2025海淀期末-19,S-2025海淀期末,19,主观题,paired_candidate,no,no,
Q-2025海淀期末-2,S-2025海淀期末,2,选择题,paired_candidate,no,no,
Q-2025海淀期末-20,S-2025海淀期末,20,主观题,paired_candidate,no,no,
Q-2025海淀期末-21,S-2025海淀期末,21,主观题,paired_candidate,no,no,
Q-2025海淀期末-22,S-2025海淀期末,22,主观题,paired_candidate,no,no,
Q-2025海淀期末-3,S-2025海淀期末,3,选择题,paired_candidate,no,no,
Q-2025海淀期末-4,S-2025海淀期末,4,选择题,paired_candidate,no,no,
Q-2025海淀期末-5,S-2025海淀期末,5,选择题,paired_candidate,no,no,
Q-2025海淀期末-6,S-2025海淀期末,6,选择题,paired_candidate,no,no,
Q-2025海淀期末-7,S-2025海淀期末,7,选择题,paired_candidate,no,no,
Q-2025海淀期末-8,S-2025海淀期末,8,选择题,paired_candidate,no,no,
Q-2025海淀期末-9,S-2025海淀期末,9,选择题,paired_candidate,no,no,
Q-2025西城二模-1,S-2025西城二模,1,选择题,paired_candidate,no,no,
Q-2025西城二模-10,S-2025西城二模,10,选择题,paired_candidate,no,no,
Q-2025西城二模-11,S-2025西城二模,11,选择题,paired_candidate,no,no,
Q-2025西城二模-12,S-2025西城二模,12,选择题,paired_candidate,no,no,
Q-2025西城二模-13,S-2025西城二模,13,选择题,paired_candidate,no,no,
Q-2025西城二模-14,S-2025西城二模,14,选择题,paired_candidate,no,no,
Q-2025西城二模-15,S-2025西城二模,15,选择题,paired_candidate,no,no,
Q-2025西城二模-16-1,S-2025西城二模,16(1),主观题,paired_candidate,no,no,
Q-2025西城二模-16-2,S-2025西城二模,16(2),主观题,paired_formal,no,no,
Q-2025西城二模-16-3,S-2025西城二模,16(3),主观题,paired_formal,no,no,
Q-2025西城二模-17-1,S-2025西城二模,17(1),主观题,paired_candidate,no,no,
Q-2025西城二模-17-2,S-2025西城二模,17(2),主观题,paired_candidate,no,no,
Q-2025西城二模-18,S-2025西城二模,18,主观题,paired_candidate,no,no,
Q-2025西城二模-19-1,S-2025西城二模,19(1),主观题,paired_candidate,no,no,
Q-2025西城二模-19-2,S-2025西城二模,19(2),主观题,paired_candidate,no,no,
Q-2025西城二模-2,S-2025西城二模,2,选择题,paired_candidate,no,no,
Q-2025西城二模-20,S-2025西城二模,20,主观题,paired_candidate,no,no,
Q-2025西城二模-3,S-2025西城二模,3,选择题,paired_candidate,no,no,
Q-2025西城二模-4,S-2025西城二模,4,选择题,paired_candidate,no,no,
Q-2025西城二模-5,S-2025西城二模,5,选择题,paired_candidate,no,no,
Q-2025西城二模-6,S-2025西城二模,6,选择题,paired_candidate,no,no,
Q-2025西城二模-7,S-2025西城二模,7,选择题,paired_formal,no,no,
Q-2025西城二模-8,S-2025西城二模,8,选择题,paired_candidate,no,no,
Q-2025西城二模-9,S-2025西城二模,9,选择题,paired_candidate,no,no,
Q-2025顺义一模-1,S-2025顺义一模,1,选择题,paired_candidate,no,no,
Q-2025顺义一模-10,S-2025顺义一模,10,选择题,paired_candidate,no,no,
Q-2025顺义一模-11,S-2025顺义一模,11,选择题,paired_candidate,no,no,
Q-2025顺义一模-12,S-2025顺义一模,12,选择题,paired_candidate,no,no,
Q-2025顺义一模-13,S-2025顺义一模,13,选择题,missing_or_unpaired,no,no,
Q-2025顺义一模-14,S-2025顺义一模,14,选择题,paired_candidate,no,no,
Q-2025顺义一模-15,S-2025顺义一模,15,选择题,paired_candidate,no,no,
Q-2025顺义一模-16,S-2025顺义一模,16,主观题,paired_candidate,no,no,
Q-2025顺义一模-17-1,S-2025顺义一模,17(1),主观题,paired_candidate,no,no,
Q-2025顺义一模-17-2,S-2025顺义一模,17(2),主观题,paired_candidate,no,no,
Q-2025顺义一模-18,S-2025顺义一模,18,主观题,paired_candidate,no,no,
Q-2025顺义一模-19-1,S-2025顺义一模,19(1),主观题,paired_candidate,no,no,
Q-2025顺义一模-19-2,S-2025顺义一模,19(2),主观题,paired_candidate,no,no,
Q-2025顺义一模-2,S-2025顺义一模,2,选择题,paired_candidate,no,no,
Q-2025顺义一模-20,S-2025顺义一模,20,主观题,paired_candidate,no,no,
Q-2025顺义一模-21,S-2025顺义一模,21,主观题,missing_or_unpaired,no,no,
Q-2025顺义一模-3,S-2025顺义一模,3,选择题,paired_candidate,no,no,
Q-2025顺义一模-4,S-2025顺义一模,4,选择题,paired_candidate,no,no,
Q-2025顺义一模-5,S-2025顺义一模,5,选择题,paired_candidate,no,no,
Q-2025顺义一模-6,S-2025顺义一模,6,选择题,paired_candidate,no,no,
Q-2025顺义一模-7,S-2025顺义一模,7,选择题,paired_candidate,no,no,
Q-2025顺义一模-8,S-2025顺义一模,8,选择题,paired_candidate,no,no,
Q-2025顺义一模-9,S-2025顺义一模,9,选择题,paired_candidate,no,no,
Q-2026东城一模-1,S-2026东城一模,1,选择题,paired_candidate,no,no,
Q-2026东城一模-10,S-2026东城一模,10,选择题,paired_candidate,no,no,
Q-2026东城一模-11,S-2026东城一模,11,选择题,paired_candidate,no,no,
Q-2026东城一模-12,S-2026东城一模,12,选择题,paired_candidate,no,no,
Q-2026东城一模-13,S-2026东城一模,13,选择题,paired_candidate,no,no,
Q-2026东城一模-14,S-2026东城一模,14,选择题,paired_candidate,no,no,
Q-2026东城一模-15,S-2026东城一模,15,选择题,paired_candidate,no,no,
Q-2026东城一模-16,S-2026东城一模,16,主观题,paired_candidate,no,no,
Q-2026东城一模-17,S-2026东城一模,17,主观题,paired_candidate,no,no,
Q-2026东城一模-18,S-2026东城一模,18,主观题,paired_candidate,no,no,
Q-2026东城一模-19-1,S-2026东城一模,19(1),主观题,paired_candidate,no,no,
Q-2026东城一模-19-2,S-2026东城一模,19(2),主观题,paired_candidate,no,no,
Q-2026东城一模-19-3,S-2026东城一模,19(3),主观题,paired_candidate,no,no,
Q-2026东城一模-19-4,S-2026东城一模,19(4),主观题,paired_candidate,no,no,
Q-2026东城一模-2,S-2026东城一模,2,选择题,paired_candidate,no,no,
Q-2026东城一模-20,S-2026东城一模,20,主观题,paired_candidate,no,no,
Q-2026东城一模-3,S-2026东城一模,3,选择题,paired_candidate,no,no,
Q-2026东城一模-4,S-2026东城一模,4,选择题,paired_candidate,no,no,
Q-2026东城一模-5,S-2026东城一模,5,选择题,paired_candidate,no,no,
Q-2026东城一模-6,S-2026东城一模,6,选择题,paired_candidate,no,no,
Q-2026东城一模-7,S-2026东城一模,7,选择题,paired_candidate,no,no,
Q-2026东城一模-8,S-2026东城一模,8,选择题,paired_candidate,no,no,
Q-2026东城一模-9,S-2026东城一模,9,选择题,paired_candidate,no,no,
Q-2026东城期末-1,S-2026东城期末,1,选择题,paired_candidate,no,no,
Q-2026东城期末-10,S-2026东城期末,10,选择题,paired_candidate,no,no,
Q-2026东城期末-11,S-2026东城期末,11,选择题,paired_candidate,no,no,
Q-2026东城期末-12,S-2026东城期末,12,选择题,paired_candidate,no,no,
Q-2026东城期末-13,S-2026东城期末,13,选择题,paired_candidate,no,no,
Q-2026东城期末-14,S-2026东城期末,14,选择题,paired_candidate,no,no,
Q-2026东城期末-15,S-2026东城期末,15,选择题,paired_candidate,no,no,
Q-2026东城期末-16,S-2026东城期末,16,主观题,paired_candidate,no,no,
Q-2026东城期末-16-1,S-2026东城期末,16(1),主观题,paired_candidate,no,no,
Q-2026东城期末-16-2,S-2026东城期末,16(2),主观题,paired_candidate,no,no,
Q-2026东城期末-17-1,S-2026东城期末,17(1),主观题,paired_candidate,no,no,
Q-2026东城期末-17-2,S-2026东城期末,17(2),主观题,paired_candidate,no,no,
Q-2026东城期末-18-1,S-2026东城期末,18(1),主观题,paired_candidate,no,no,
Q-2026东城期末-18-2,S-2026东城期末,18(2),主观题,paired_candidate,no,no,
Q-2026东城期末-19,S-2026东城期末,19,主观题,paired_candidate,no,no,
Q-2026东城期末-2,S-2026东城期末,2,选择题,paired_candidate,no,no,
Q-2026东城期末-20,S-2026东城期末,20,主观题,paired_candidate,no,no,
Q-2026东城期末-21,S-2026东城期末,21,主观题,paired_candidate,no,no,
Q-2026东城期末-3,S-2026东城期末,3,选择题,paired_candidate,no,no,
Q-2026东城期末-4,S-2026东城期末,4,选择题,paired_candidate,no,no,
Q-2026东城期末-5,S-2026东城期末,5,选择题,paired_candidate,no,no,
Q-2026东城期末-6,S-2026东城期末,6,选择题,paired_candidate,no,no,
Q-2026东城期末-7,S-2026东城期末,7,选择题,paired_candidate,no,no,
Q-2026东城期末-8,S-2026东城期末,8,选择题,paired_candidate,no,no,
Q-2026东城期末-9,S-2026东城期末,9,选择题,paired_candidate,no,no,
Q-2026丰台一模-18-2,S-2026丰台一模,18(2),主观题,paired_formal,yes,no,甲：必要条件假言推理·肯定后件式·前提真实→正确；乙：三段论·大项在前提不周延→结论周延→大项不当扩大→错误
Q-2026丰台一模-UNPARSED-PAPER,S-2026丰台一模,UNPARSED,suite_visual_blocker,missing_or_unpaired,no,no,
Q-2026朝阳期中-1,S-2026朝阳期中,1,选择题,paired_candidate,no,no,
Q-2026朝阳期中-10,S-2026朝阳期中,10,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-11,S-2026朝阳期中,11,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-12,S-2026朝阳期中,12,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-13,S-2026朝阳期中,13,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-14,S-2026朝阳期中,14,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-15,S-2026朝阳期中,15,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-16,S-2026朝阳期中,16,主观题,paired_candidate,no,no,
Q-2026朝阳期中-17,S-2026朝阳期中,17,主观题,paired_candidate,no,no,
Q-2026朝阳期中-18,S-2026朝阳期中,18,主观题,paired_candidate,no,no,
Q-2026朝阳期中-19,S-2026朝阳期中,19,主观题,paired_candidate,no,no,
Q-2026朝阳期中-19-1,S-2026朝阳期中,19(1),主观题,paired_candidate,no,no,
Q-2026朝阳期中-19-2,S-2026朝阳期中,19(2),主观题,paired_candidate,no,no,
Q-2026朝阳期中-19-3,S-2026朝阳期中,19(3),主观题,paired_candidate,no,no,
Q-2026朝阳期中-2,S-2026朝阳期中,2,选择题,paired_candidate,no,no,
Q-2026朝阳期中-20,S-2026朝阳期中,20,主观题,paired_candidate,no,no,
Q-2026朝阳期中-21-1,S-2026朝阳期中,21(1),主观题,paired_candidate,no,no,
Q-2026朝阳期中-21-2,S-2026朝阳期中,21(2),主观题,paired_candidate,no,no,
Q-2026朝阳期中-3,S-2026朝阳期中,3,选择题,paired_candidate,no,no,
Q-2026朝阳期中-4,S-2026朝阳期中,4,选择题,paired_candidate,no,no,
Q-2026朝阳期中-5,S-2026朝阳期中,5,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-6,S-2026朝阳期中,6,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-7,S-2026朝阳期中,7,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-8,S-2026朝阳期中,8,选择题,missing_or_unpaired,no,no,
Q-2026朝阳期中-9,S-2026朝阳期中,9,选择题,missing_or_unpaired,no,no,
Q-2026通州期末-1,S-2026通州期末,1,选择题,paired_candidate,no,no,
Q-2026通州期末-10,S-2026通州期末,10,选择题,paired_candidate,no,no,
Q-2026通州期末-11,S-2026通州期末,11,选择题,paired_candidate,no,no,
Q-2026通州期末-12,S-2026通州期末,12,选择题,paired_candidate,no,no,
Q-2026通州期末-13,S-2026通州期末,13,选择题,paired_candidate,no,no,
Q-2026通州期末-14,S-2026通州期末,14,选择题,paired_candidate,no,no,
Q-2026通州期末-15,S-2026通州期末,15,选择题,paired_candidate,no,no,
Q-2026通州期末-16,S-2026通州期末,16,主观题,paired_candidate,no,no,
Q-2026通州期末-17,S-2026通州期末,17,主观题,paired_candidate,no,no,
Q-2026通州期末-18,S-2026通州期末,18,主观题,paired_candidate,no,no,
Q-2026通州期末-19-1,S-2026通州期末,19(1),主观题,paired_candidate,no,no,
Q-2026通州期末-19-2,S-2026通州期末,19(2),主观题,paired_candidate,no,no,
Q-2026通州期末-2,S-2026通州期末,2,选择题,paired_candidate,no,no,
Q-2026通州期末-20,S-2026通州期末,20,主观题,paired_candidate,no,no,
Q-2026通州期末-21,S-2026通州期末,21,主观题,paired_candidate,no,no,
Q-2026通州期末-3,S-2026通州期末,3,选择题,paired_candidate,no,no,
Q-2026通州期末-4,S-2026通州期末,4,选择题,paired_candidate,no,no,
