question_id,suite_id,qno,thinking_or_method,material_signal_status,answer_action_status,answer_landing_status,optional_angle_pool_status,phase04_level,blocker_reason
Q-2025西城二模-16-3,S-2025西城二模,16(3),创新思维：改变创造条件、建立新联系以解决矛盾,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2025顺义一模-3,S-2025顺义一模,3,想象;逆向思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-1,S-2026东城一模,19(1),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-2,S-2026东城一模,19(2),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-3,S-2026东城一模,19(3),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026东城一模-19-4,S-2026东城一模,19(4),分析与综合;创新思维;动态性;发散思维;整体性;系统观念;聚合思维;超前思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026东城一模-6,S-2026东城一模,6,换质;辩证否定,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,module-boundary decision with answer key/rubric
Q-2026东城期末-21,S-2026东城期末,21,科学思维;系统观念;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,targeted Lane B verification for A-only subjective/high-number question
Q-2026朝阳期中-13,S-2026朝阳期中,13,联想思维/类比推理/感性具体边界,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,Codex local patch ready; requires Lane B targeted verification before locked fusion
Q-2026朝阳期中-20,S-2026朝阳期中,20,分析与综合;动态性;整体性;质量互变;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026朝阳期中-21-1,S-2026朝阳期中,21(1),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026朝阳期中-21-2,S-2026朝阳期中,21(2),创新思维;发散思维;联想思维;聚合思维;超前思维;逆向思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026通州期末-11,S-2026通州期末,11,思维具体;思维抽象;感性具体;推理;类比;迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026通州期末-5,S-2026通州期末,5,系统思维;辩证思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026通州期末-8,S-2026通州期末,8,整体性,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026通州期末-9,S-2026通州期末,9,创新思维;发散思维,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026顺义一模-19-1,S-2026顺义一模,19(1),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026顺义一模-19-2,S-2026顺义一模,19(2),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026顺义一模-19-3,S-2026顺义一模,19(3),三段论;判断;前提;可检验性;客观性;推理;演绎推理;科学思维;结论;预见性,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026顺义一模-3,S-2026顺义一模,3,分析与综合;判断;动态性;整体性;质量互变,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,field-level diff cleanup during fusion
Q-2026顺义一模-5,S-2026顺义一模,5,判断;发散思维;周延,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,module-boundary decision with answer key/rubric
Q-2026顺义一模-6,S-2026顺义一模,6,迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
Q-2026顺义一模-9,S-2026顺义一模,9,迁移,pending_extraction,pending_extraction,pending_extraction,pending_or_not_applicable,L1_A_ONLY_PENDING_B_TARGET,answer pairing / targeted verification if in-scope after canonical check
