canonical_question_id,suite_id,original_qno,requires_visual_processing,visual_confirmation_status,can_enter_locked_fusion,notes
Q-2024朝阳二模-17,S-2024朝阳二模,17,yes,not_visual_confirmed,no,
Q-2024朝阳二模-18,S-2024朝阳二模,18,yes,not_visual_confirmed,no,
Q-2024朝阳二模-19-1,S-2024朝阳二模,19(1),yes,not_visual_confirmed,no,
Q-2024朝阳二模-19-2,S-2024朝阳二模,19(2),yes,not_visual_confirmed,no,
Q-2024朝阳二模-19-3,S-2024朝阳二模,19(3),yes,not_visual_confirmed,no,
Q-2024朝阳二模-2,S-2024朝阳二模,2,yes,not_visual_confirmed,no,
Q-2024朝阳二模-20,S-2024朝阳二模,20,yes,not_visual_confirmed,no,
Q-2024朝阳二模-3,S-2024朝阳二模,3,yes,not_visual_confirmed,no,
Q-2024朝阳二模-4,S-2024朝阳二模,4,yes,not_visual_confirmed,no,
Q-2024朝阳二模-5,S-2024朝阳二模,5,yes,not_visual_confirmed,no,
Q-2024朝阳二模-6,S-2024朝阳二模,6,yes,not_visual_confirmed,no,
Q-2024朝阳二模-7,S-2024朝阳二模,7,yes,not_visual_confirmed,no,
Q-2024朝阳二模-8,S-2024朝阳二模,8,yes,not_visual_confirmed,no,
Q-2024朝阳二模-9,S-2024朝阳二模,9,yes,not_visual_confirmed,no,
Q-2024朝阳期中-1,S-2024朝阳期中,1,yes,not_visual_confirmed,no,
Q-2024朝阳期中-10,S-2024朝阳期中,10,yes,not_visual_confirmed,no,
Q-2024朝阳期中-11,S-2024朝阳期中,11,yes,not_visual_confirmed,no,
Q-2024朝阳期中-12,S-2024朝阳期中,12,yes,not_visual_confirmed,no,
Q-2024朝阳期中-13,S-2024朝阳期中,13,yes,not_visual_confirmed,no,
Q-2024朝阳期中-14,S-2024朝阳期中,14,yes,not_visual_confirmed,no,
Q-2024朝阳期中-15,S-2024朝阳期中,15,yes,not_visual_confirmed,no,
Q-2024朝阳期中-16,S-2024朝阳期中,16,yes,not_visual_confirmed,no,
Q-2024朝阳期中-17,S-2024朝阳期中,17,yes,not_visual_confirmed,no,
Q-2024朝阳期中-18,S-2024朝阳期中,18,yes,not_visual_confirmed,no,
Q-2024朝阳期中-19,S-2024朝阳期中,19,yes,not_visual_confirmed,no,
Q-2024朝阳期中-2,S-2024朝阳期中,2,yes,not_visual_confirmed,no,
Q-2024朝阳期中-20-1,S-2024朝阳期中,20(1),yes,not_visual_confirmed,no,
Q-2024朝阳期中-20-2,S-2024朝阳期中,20(2),yes,not_visual_confirmed,no,
Q-2024朝阳期中-20-3,S-2024朝阳期中,20(3),yes,not_visual_confirmed,no,
Q-2024朝阳期中-3,S-2024朝阳期中,3,yes,not_visual_confirmed,no,
Q-2024朝阳期中-4,S-2024朝阳期中,4,yes,not_visual_confirmed,no,
Q-2024朝阳期中-5,S-2024朝阳期中,5,yes,not_visual_confirmed,no,
Q-2024朝阳期中-6,S-2024朝阳期中,6,yes,not_visual_confirmed,no,
Q-2024朝阳期中-7,S-2024朝阳期中,7,yes,not_visual_confirmed,no,
Q-2024朝阳期中-8,S-2024朝阳期中,8,yes,not_visual_confirmed,no,
Q-2024朝阳期中-9,S-2024朝阳期中,9,yes,not_visual_confirmed,no,
Q-2024海淀二模-1,S-2024海淀二模,1,yes,not_visual_confirmed,no,
Q-2024海淀二模-10,S-2024海淀二模,10,yes,not_visual_confirmed,no,
Q-2024海淀二模-11,S-2024海淀二模,11,yes,not_visual_confirmed,no,
Q-2024海淀二模-12,S-2024海淀二模,12,yes,not_visual_confirmed,no,
Q-2024海淀二模-13,S-2024海淀二模,13,yes,not_visual_confirmed,no,
Q-2024海淀二模-14,S-2024海淀二模,14,yes,not_visual_confirmed,no,
Q-2024海淀二模-15,S-2024海淀二模,15,yes,not_visual_confirmed,no,
Q-2024海淀二模-16,S-2024海淀二模,16,yes,not_visual_confirmed,no,
Q-2024海淀二模-17-1,S-2024海淀二模,17(1),yes,not_visual_confirmed,no,
Q-2024海淀二模-17-2,S-2024海淀二模,17(2),yes,not_visual_confirmed,no,
Q-2024海淀二模-18-1,S-2024海淀二模,18(1),yes,not_visual_confirmed,no,
Q-2024海淀二模-18-2,S-2024海淀二模,18(2),yes,not_visual_confirmed,no,
Q-2024海淀二模-19-1,S-2024海淀二模,19(1),yes,not_visual_confirmed,no,
Q-2024海淀二模-19-2,S-2024海淀二模,19(2),yes,not_visual_confirmed,no,
Q-2024海淀二模-2,S-2024海淀二模,2,yes,not_visual_confirmed,no,
Q-2024海淀二模-20,S-2024海淀二模,20,yes,not_visual_confirmed,no,
Q-2024海淀二模-21,S-2024海淀二模,21,yes,not_visual_confirmed,no,
Q-2024海淀二模-3,S-2024海淀二模,3,yes,not_visual_confirmed,no,
Q-2024海淀二模-4,S-2024海淀二模,4,yes,not_visual_confirmed,no,
Q-2024海淀二模-5,S-2024海淀二模,5,yes,not_visual_confirmed,no,
Q-2024海淀二模-6,S-2024海淀二模,6,yes,not_visual_confirmed,no,
Q-2024海淀二模-7,S-2024海淀二模,7,yes,not_visual_confirmed,no,
Q-2024海淀二模-8,S-2024海淀二模,8,yes,not_visual_confirmed,no,
Q-2024海淀二模-9,S-2024海淀二模,9,yes,not_visual_confirmed,no,
Q-2024西城一模-1,S-2024西城一模,1,yes,not_visual_confirmed,no,
Q-2024西城一模-10,S-2024西城一模,10,yes,not_visual_confirmed,no,
Q-2024西城一模-11,S-2024西城一模,11,yes,not_visual_confirmed,no,
Q-2024西城一模-12,S-2024西城一模,12,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-13,S-2024西城一模,13,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-14,S-2024西城一模,14,yes,not_visual_confirmed,no,
Q-2024西城一模-15,S-2024西城一模,15,yes,not_visual_confirmed,no,
Q-2024西城一模-16,S-2024西城一模,16,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-17,S-2024西城一模,17,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-18-1,S-2024西城一模,18(1),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-18-2,S-2024西城一模,18(2),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-18-3,S-2024西城一模,18(3),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-1,S-2024西城一模,19(1),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-2,S-2024西城一模,19(2),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-3,S-2024西城一模,19(3),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-4,S-2024西城一模,19(4),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-5,S-2024西城一模,19(5),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-19-6,S-2024西城一模,19(6),no_or_later,not_visual_confirmed,no,
Q-2024西城一模-2,S-2024西城一模,2,yes,not_visual_confirmed,no,
Q-2024西城一模-3,S-2024西城一模,3,yes,not_visual_confirmed,no,
Q-2024西城一模-4,S-2024西城一模,4,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-5,S-2024西城一模,5,no_or_later,not_visual_confirmed,no,
Q-2024西城一模-6,S-2024西城一模,6,yes,not_visual_confirmed,no,
Q-2024西城一模-7,S-2024西城一模,7,yes,not_visual_confirmed,no,
Q-2024西城一模-8,S-2024西城一模,8,yes,not_visual_confirmed,no,
Q-2024西城一模-9,S-2024西城一模,9,no_or_later,not_visual_confirmed,no,
Q-2025东城期末-1,S-2025东城期末,1,yes,not_visual_confirmed,no,
Q-2025东城期末-10,S-2025东城期末,10,yes,not_visual_confirmed,no,
Q-2025东城期末-11,S-2025东城期末,11,yes,not_visual_confirmed,no,
Q-2025东城期末-12,S-2025东城期末,12,yes,not_visual_confirmed,no,
Q-2025东城期末-13,S-2025东城期末,13,yes,not_visual_confirmed,no,
Q-2025东城期末-14,S-2025东城期末,14,yes,not_visual_confirmed,no,
Q-2025东城期末-15,S-2025东城期末,15,yes,not_visual_confirmed,no,
Q-2025东城期末-16,S-2025东城期末,16,yes,not_visual_confirmed,no,
Q-2025东城期末-17,S-2025东城期末,17,yes,not_visual_confirmed,no,
Q-2025东城期末-18-1,S-2025东城期末,18(1),yes,not_visual_confirmed,no,
Q-2025东城期末-18-2,S-2025东城期末,18(2),yes,not_visual_confirmed,no,
Q-2025东城期末-19-1,S-2025东城期末,19(1),yes,not_visual_confirmed,no,
Q-2025东城期末-19-2,S-2025东城期末,19(2),yes,not_visual_confirmed,no,
Q-2025东城期末-19-3,S-2025东城期末,19(3),yes,not_visual_confirmed,no,
Q-2025东城期末-2,S-2025东城期末,2,yes,not_visual_confirmed,no,
Q-2025东城期末-20,S-2025东城期末,20,yes,not_visual_confirmed,no,
Q-2025东城期末-21,S-2025东城期末,21,yes,not_visual_confirmed,no,
Q-2025东城期末-3,S-2025东城期末,3,yes,not_visual_confirmed,no,
Q-2025东城期末-4,S-2025东城期末,4,yes,not_visual_confirmed,no,
Q-2025东城期末-5,S-2025东城期末,5,yes,not_visual_confirmed,no,
Q-2025东城期末-6,S-2025东城期末,6,yes,not_visual_confirmed,no,
Q-2025东城期末-7,S-2025东城期末,7,yes,not_visual_confirmed,no,
Q-2025东城期末-8,S-2025东城期末,8,yes,not_visual_confirmed,no,
Q-2025东城期末-9,S-2025东城期末,9,yes,not_visual_confirmed,no,
Q-2025丰台期末-1,S-2025丰台期末,1,yes,not_visual_confirmed,no,
Q-2025丰台期末-10,S-2025丰台期末,10,yes,not_visual_confirmed,no,
Q-2025丰台期末-11,S-2025丰台期末,11,yes,not_visual_confirmed,no,
Q-2025丰台期末-12,S-2025丰台期末,12,yes,not_visual_confirmed,no,
Q-2025丰台期末-13,S-2025丰台期末,13,yes,not_visual_confirmed,no,
Q-2025丰台期末-14,S-2025丰台期末,14,yes,not_visual_confirmed,no,
Q-2025丰台期末-15,S-2025丰台期末,15,yes,not_visual_confirmed,no,
Q-2025丰台期末-16,S-2025丰台期末,16,yes,not_visual_confirmed,no,
Q-2025丰台期末-17,S-2025丰台期末,17,yes,not_visual_confirmed,no,
Q-2025丰台期末-18-1,S-2025丰台期末,18(1),yes,not_visual_confirmed,no,
Q-2025丰台期末-18-2,S-2025丰台期末,18(2),yes,not_visual_confirmed,no,
Q-2025丰台期末-18-3,S-2025丰台期末,18(3),yes,not_visual_confirmed,no,
Q-2025丰台期末-19,S-2025丰台期末,19,yes,not_visual_confirmed,no,
Q-2025丰台期末-2,S-2025丰台期末,2,yes,not_visual_confirmed,no,
Q-2025丰台期末-20,S-2025丰台期末,20,yes,not_visual_confirmed,no,
Q-2025丰台期末-21,S-2025丰台期末,21,yes,not_visual_confirmed,no,
Q-2025丰台期末-3,S-2025丰台期末,3,yes,not_visual_confirmed,no,
Q-2025丰台期末-4,S-2025丰台期末,4,yes,not_visual_confirmed,no,
Q-2025丰台期末-5,S-2025丰台期末,5,yes,not_visual_confirmed,no,
Q-2025丰台期末-6,S-2025丰台期末,6,yes,not_visual_confirmed,no,
Q-2025丰台期末-7,S-2025丰台期末,7,yes,not_visual_confirmed,no,
Q-2025丰台期末-8,S-2025丰台期末,8,yes,not_visual_confirmed,no,
Q-2025丰台期末-9,S-2025丰台期末,9,yes,not_visual_confirmed,no,
Q-2025海淀二模-20,S-2025海淀二模,20,yes,visual_confirmed_laneB,yes,008(原卷renders/page_07)+009(细则TABLE3)+010(评标实录)+011(讲评PAGE43-44)
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,UNPARSED,yes,not_visual_confirmed,no,
Q-2025海淀期末-1,S-2025海淀期末,1,yes,not_visual_confirmed,no,
Q-2025海淀期末-10,S-2025海淀期末,10,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-11,S-2025海淀期末,11,yes,not_visual_confirmed,no,
Q-2025海淀期末-12,S-2025海淀期末,12,yes,not_visual_confirmed,no,
Q-2025海淀期末-13,S-2025海淀期末,13,yes,not_visual_confirmed,no,
Q-2025海淀期末-14,S-2025海淀期末,14,yes,not_visual_confirmed,no,
Q-2025海淀期末-15,S-2025海淀期末,15,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-16,S-2025海淀期末,16,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-17-1,S-2025海淀期末,17(1),no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-17-2,S-2025海淀期末,17(2),no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-18,S-2025海淀期末,18,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-19,S-2025海淀期末,19,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-2,S-2025海淀期末,2,yes,not_visual_confirmed,no,
Q-2025海淀期末-20,S-2025海淀期末,20,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-21,S-2025海淀期末,21,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-22,S-2025海淀期末,22,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-3,S-2025海淀期末,3,yes,not_visual_confirmed,no,
Q-2025海淀期末-4,S-2025海淀期末,4,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-5,S-2025海淀期末,5,yes,not_visual_confirmed,no,
Q-2025海淀期末-6,S-2025海淀期末,6,yes,not_visual_confirmed,no,
Q-2025海淀期末-7,S-2025海淀期末,7,yes,not_visual_confirmed,no,
Q-2025海淀期末-8,S-2025海淀期末,8,no_or_later,not_visual_confirmed,no,
Q-2025海淀期末-9,S-2025海淀期末,9,no_or_later,not_visual_confirmed,no,
Q-2025西城二模-1,S-2025西城二模,1,yes,not_visual_confirmed,no,
Q-2025西城二模-10,S-2025西城二模,10,yes,not_visual_confirmed,no,
Q-2025西城二模-11,S-2025西城二模,11,yes,not_visual_confirmed,no,
Q-2025西城二模-12,S-2025西城二模,12,yes,not_visual_confirmed,no,
Q-2025西城二模-13,S-2025西城二模,13,yes,not_visual_confirmed,no,
Q-2025西城二模-14,S-2025西城二模,14,yes,not_visual_confirmed,no,
Q-2025西城二模-15,S-2025西城二模,15,yes,not_visual_confirmed,no,
Q-2025西城二模-16-1,S-2025西城二模,16(1),yes,not_visual_confirmed,no,
Q-2025西城二模-16-2,S-2025西城二模,16(2),yes,not_visual_confirmed,no,
Q-2025西城二模-16-3,S-2025西城二模,16(3),yes,not_visual_confirmed,no,
Q-2025西城二模-17-1,S-2025西城二模,17(1),yes,not_visual_confirmed,no,
Q-2025西城二模-17-2,S-2025西城二模,17(2),yes,not_visual_confirmed,no,
Q-2025西城二模-18,S-2025西城二模,18,yes,not_visual_confirmed,no,
Q-2025西城二模-19-1,S-2025西城二模,19(1),yes,not_visual_confirmed,no,
Q-2025西城二模-19-2,S-2025西城二模,19(2),yes,not_visual_confirmed,no,
Q-2025西城二模-2,S-2025西城二模,2,yes,not_visual_confirmed,no,
Q-2025西城二模-20,S-2025西城二模,20,yes,not_visual_confirmed,no,
Q-2025西城二模-3,S-2025西城二模,3,yes,not_visual_confirmed,no,
Q-2025西城二模-4,S-2025西城二模,4,yes,not_visual_confirmed,no,
Q-2025西城二模-5,S-2025西城二模,5,yes,not_visual_confirmed,no,
Q-2025西城二模-6,S-2025西城二模,6,yes,not_visual_confirmed,no,
Q-2025西城二模-7,S-2025西城二模,7,yes,not_visual_confirmed,no,
Q-2025西城二模-8,S-2025西城二模,8,yes,not_visual_confirmed,no,
Q-2025西城二模-9,S-2025西城二模,9,yes,not_visual_confirmed,no,
Q-2025顺义一模-1,S-2025顺义一模,1,yes,not_visual_confirmed,no,
Q-2025顺义一模-10,S-2025顺义一模,10,yes,not_visual_confirmed,no,
Q-2025顺义一模-11,S-2025顺义一模,11,yes,not_visual_confirmed,no,
Q-2025顺义一模-12,S-2025顺义一模,12,yes,not_visual_confirmed,no,
Q-2025顺义一模-13,S-2025顺义一模,13,yes,not_visual_confirmed,no,
Q-2025顺义一模-14,S-2025顺义一模,14,yes,not_visual_confirmed,no,
Q-2025顺义一模-15,S-2025顺义一模,15,yes,not_visual_confirmed,no,
Q-2025顺义一模-16,S-2025顺义一模,16,yes,not_visual_confirmed,no,
Q-2025顺义一模-17-1,S-2025顺义一模,17(1),yes,not_visual_confirmed,no,
Q-2025顺义一模-17-2,S-2025顺义一模,17(2),yes,not_visual_confirmed,no,
Q-2025顺义一模-18,S-2025顺义一模,18,yes,not_visual_confirmed,no,
Q-2025顺义一模-19-1,S-2025顺义一模,19(1),yes,not_visual_confirmed,no,
Q-2025顺义一模-19-2,S-2025顺义一模,19(2),yes,not_visual_confirmed,no,
Q-2025顺义一模-2,S-2025顺义一模,2,yes,not_visual_confirmed,no,
Q-2025顺义一模-20,S-2025顺义一模,20,yes,not_visual_confirmed,no,
Q-2025顺义一模-21,S-2025顺义一模,21,yes,not_visual_confirmed,no,
Q-2025顺义一模-3,S-2025顺义一模,3,yes,not_visual_confirmed,no,
Q-2025顺义一模-4,S-2025顺义一模,4,yes,not_visual_confirmed,no,
Q-2025顺义一模-5,S-2025顺义一模,5,yes,not_visual_confirmed,no,
Q-2025顺义一模-6,S-2025顺义一模,6,yes,not_visual_confirmed,no,
Q-2025顺义一模-7,S-2025顺义一模,7,yes,not_visual_confirmed,no,
Q-2025顺义一模-8,S-2025顺义一模,8,yes,not_visual_confirmed,no,
Q-2025顺义一模-9,S-2025顺义一模,9,yes,not_visual_confirmed,no,
Q-2026东城一模-1,S-2026东城一模,1,yes,not_visual_confirmed,no,
Q-2026东城一模-10,S-2026东城一模,10,yes,not_visual_confirmed,no,
Q-2026东城一模-11,S-2026东城一模,11,yes,not_visual_confirmed,no,
Q-2026东城一模-12,S-2026东城一模,12,yes,not_visual_confirmed,no,
Q-2026东城一模-13,S-2026东城一模,13,yes,not_visual_confirmed,no,
Q-2026东城一模-14,S-2026东城一模,14,yes,not_visual_confirmed,no,
Q-2026东城一模-15,S-2026东城一模,15,yes,not_visual_confirmed,no,
Q-2026东城一模-16,S-2026东城一模,16,yes,not_visual_confirmed,no,
Q-2026东城一模-17,S-2026东城一模,17,yes,not_visual_confirmed,no,
Q-2026东城一模-18,S-2026东城一模,18,yes,not_visual_confirmed,no,
Q-2026东城一模-19-1,S-2026东城一模,19(1),yes,not_visual_confirmed,no,
Q-2026东城一模-19-2,S-2026东城一模,19(2),yes,not_visual_confirmed,no,
Q-2026东城一模-19-3,S-2026东城一模,19(3),yes,not_visual_confirmed,no,
Q-2026东城一模-19-4,S-2026东城一模,19(4),yes,not_visual_confirmed,no,
Q-2026东城一模-2,S-2026东城一模,2,yes,not_visual_confirmed,no,
Q-2026东城一模-20,S-2026东城一模,20,yes,not_visual_confirmed,no,
Q-2026东城一模-3,S-2026东城一模,3,yes,not_visual_confirmed,no,
Q-2026东城一模-4,S-2026东城一模,4,yes,not_visual_confirmed,no,
Q-2026东城一模-5,S-2026东城一模,5,yes,not_visual_confirmed,no,
Q-2026东城一模-6,S-2026东城一模,6,yes,not_visual_confirmed,no,
Q-2026东城一模-7,S-2026东城一模,7,yes,not_visual_confirmed,no,
Q-2026东城一模-8,S-2026东城一模,8,yes,not_visual_confirmed,no,
Q-2026东城一模-9,S-2026东城一模,9,yes,not_visual_confirmed,no,
Q-2026东城期末-1,S-2026东城期末,1,yes,not_visual_confirmed,no,
Q-2026东城期末-10,S-2026东城期末,10,yes,not_visual_confirmed,no,
Q-2026东城期末-11,S-2026东城期末,11,yes,not_visual_confirmed,no,
Q-2026东城期末-12,S-2026东城期末,12,yes,not_visual_confirmed,no,
Q-2026东城期末-13,S-2026东城期末,13,yes,not_visual_confirmed,no,
Q-2026东城期末-14,S-2026东城期末,14,yes,not_visual_confirmed,no,
Q-2026东城期末-15,S-2026东城期末,15,yes,not_visual_confirmed,no,
Q-2026东城期末-16,S-2026东城期末,16,yes,not_visual_confirmed,no,
Q-2026东城期末-16-1,S-2026东城期末,16(1),yes,not_visual_confirmed,no,
Q-2026东城期末-16-2,S-2026东城期末,16(2),yes,not_visual_confirmed,no,
Q-2026东城期末-17-1,S-2026东城期末,17(1),yes,not_visual_confirmed,no,
Q-2026东城期末-17-2,S-2026东城期末,17(2),yes,not_visual_confirmed,no,
Q-2026东城期末-18-1,S-2026东城期末,18(1),yes,not_visual_confirmed,no,
Q-2026东城期末-18-2,S-2026东城期末,18(2),yes,not_visual_confirmed,no,
Q-2026东城期末-19,S-2026东城期末,19,yes,not_visual_confirmed,no,
Q-2026东城期末-2,S-2026东城期末,2,yes,not_visual_confirmed,no,
Q-2026东城期末-20,S-2026东城期末,20,yes,not_visual_confirmed,no,
Q-2026东城期末-21,S-2026东城期末,21,yes,not_visual_confirmed,no,
Q-2026东城期末-3,S-2026东城期末,3,yes,not_visual_confirmed,no,
Q-2026东城期末-4,S-2026东城期末,4,yes,not_visual_confirmed,no,
Q-2026东城期末-5,S-2026东城期末,5,yes,not_visual_confirmed,no,
Q-2026东城期末-6,S-2026东城期末,6,yes,not_visual_confirmed,no,
Q-2026东城期末-7,S-2026东城期末,7,yes,not_visual_confirmed,no,
Q-2026东城期末-8,S-2026东城期末,8,yes,not_visual_confirmed,no,
Q-2026东城期末-9,S-2026东城期末,9,yes,not_visual_confirmed,no,
Q-2026丰台一模-18-2,S-2026丰台一模,18(2),yes,visual_confirmed_laneB,yes,042(原卷renders/page_07)+043(细则SLIDE35-36)
Q-2026丰台一模-UNPARSED-PAPER,S-2026丰台一模,UNPARSED,yes,not_visual_confirmed,no,
Q-2026朝阳期中-1,S-2026朝阳期中,1,yes,not_visual_confirmed,no,
Q-2026朝阳期中-10,S-2026朝阳期中,10,yes,not_visual_confirmed,no,
Q-2026朝阳期中-11,S-2026朝阳期中,11,yes,not_visual_confirmed,no,
Q-2026朝阳期中-12,S-2026朝阳期中,12,yes,not_visual_confirmed,no,
Q-2026朝阳期中-13,S-2026朝阳期中,13,yes,not_visual_confirmed,no,
Q-2026朝阳期中-14,S-2026朝阳期中,14,yes,not_visual_confirmed,no,
Q-2026朝阳期中-15,S-2026朝阳期中,15,yes,not_visual_confirmed,no,
Q-2026朝阳期中-16,S-2026朝阳期中,16,yes,not_visual_confirmed,no,
Q-2026朝阳期中-17,S-2026朝阳期中,17,yes,not_visual_confirmed,no,
Q-2026朝阳期中-18,S-2026朝阳期中,18,yes,not_visual_confirmed,no,
Q-2026朝阳期中-19,S-2026朝阳期中,19,yes,not_visual_confirmed,no,
Q-2026朝阳期中-19-1,S-2026朝阳期中,19(1),yes,not_visual_confirmed,no,
Q-2026朝阳期中-19-2,S-2026朝阳期中,19(2),yes,not_visual_confirmed,no,
Q-2026朝阳期中-19-3,S-2026朝阳期中,19(3),yes,not_visual_confirmed,no,
Q-2026朝阳期中-2,S-2026朝阳期中,2,yes,not_visual_confirmed,no,
Q-2026朝阳期中-20,S-2026朝阳期中,20,yes,not_visual_confirmed,no,
Q-2026朝阳期中-21-1,S-2026朝阳期中,21(1),yes,not_visual_confirmed,no,
Q-2026朝阳期中-21-2,S-2026朝阳期中,21(2),yes,not_visual_confirmed,no,
Q-2026朝阳期中-3,S-2026朝阳期中,3,yes,not_visual_confirmed,no,
Q-2026朝阳期中-4,S-2026朝阳期中,4,yes,not_visual_confirmed,no,
Q-2026朝阳期中-5,S-2026朝阳期中,5,yes,not_visual_confirmed,no,
Q-2026朝阳期中-6,S-2026朝阳期中,6,yes,not_visual_confirmed,no,
Q-2026朝阳期中-7,S-2026朝阳期中,7,yes,not_visual_confirmed,no,
Q-2026朝阳期中-8,S-2026朝阳期中,8,yes,not_visual_confirmed,no,
Q-2026朝阳期中-9,S-2026朝阳期中,9,yes,not_visual_confirmed,no,
Q-2026通州期末-1,S-2026通州期末,1,yes,not_visual_confirmed,no,
Q-2026通州期末-10,S-2026通州期末,10,yes,not_visual_confirmed,no,
Q-2026通州期末-11,S-2026通州期末,11,yes,not_visual_confirmed,no,
Q-2026通州期末-12,S-2026通州期末,12,yes,not_visual_confirmed,no,
Q-2026通州期末-13,S-2026通州期末,13,yes,not_visual_confirmed,no,
Q-2026通州期末-14,S-2026通州期末,14,yes,not_visual_confirmed,no,
Q-2026通州期末-15,S-2026通州期末,15,yes,not_visual_confirmed,no,
Q-2026通州期末-16,S-2026通州期末,16,yes,not_visual_confirmed,no,
Q-2026通州期末-17,S-2026通州期末,17,yes,not_visual_confirmed,no,
Q-2026通州期末-18,S-2026通州期末,18,yes,not_visual_confirmed,no,
Q-2026通州期末-19-1,S-2026通州期末,19(1),yes,not_visual_confirmed,no,
Q-2026通州期末-19-2,S-2026通州期末,19(2),yes,not_visual_confirmed,no,
Q-2026通州期末-2,S-2026通州期末,2,yes,not_visual_confirmed,no,
Q-2026通州期末-20,S-2026通州期末,20,yes,not_visual_confirmed,no,
Q-2026通州期末-21,S-2026通州期末,21,yes,not_visual_confirmed,no,
Q-2026通州期末-3,S-2026通州期末,3,yes,not_visual_confirmed,no,
Q-2026通州期末-4,S-2026通州期末,4,yes,not_visual_confirmed,no,
Q-2026通州期末-5,S-2026通州期末,5,yes,not_visual_confirmed,no,
