question_id,primary_reasoning_type,secondary_reasoning_type,logical_form,rule_slogan,valid_or_invalid_pattern,trap,answer_action,same_type_question_ids,status,missing_fields
Q-2026东城期末-17-2,三段论；假言；充分条件；必要条件；联言；概念；判断；矛盾律；周延；推理,,矛盾律+充分条件假言推理+必要条件假言推理,主张1=辩证否定(完整保留+必要拆改);主张2=充分条件假言(如果引入智能箱垃圾分类提升);主张3=三段论(科学民主方案+居民提案模式→科学民主),"题干明确""运用形式逻辑知识,论证三项主张是否符合逻辑"";细则044""运用矛盾律、充分条件假言推理、必要条件假言推理等逻辑规则"";A-formal确认",误识别判断/推理类型扣分;违反矛盾律辨析失误扣分,"题干明确""运用形式逻辑知识,论证三项主张是否符合逻辑"";细则044""运用矛盾律、充分条件假言推理、必要条件假言推理等逻辑规则"";A-formal确认",,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026东城期末-6,假言；必要条件；推理,,假言推理_必要条件_前提补充,要使结论必然成立_需提供必要条件前提_只有Q才P型,选必三必要条件前提补充题,A只有纯净无辐射才有前景=纯净是必要前提_矛盾;B只有有前景才纯净=反向必要条件_可推出乌毛蕨纯净则有前景;C只是有些_不能必然推;D仅部分_不能必然推,选必三必要条件前提补充题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026东城期末-7,三段论；假言；充分条件；推理,,假言推理_充分条件+复合命题真值表,"只有一预测符合事实_穷尽推理_A""AI挑战赛达标_AI主题闯关未达标""不可能为真",选必三复合命题真值推理题,排除其他三项后A为唯一真假矛盾的组合,选必三复合命题真值推理题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026丰台一模-18-2,三段论；假言；必要条件；周延；推理,三段论/大项不当扩大,甲：必要条件假言推理·肯定后件式·前提真实→正确；乙：三段论·大项在前提不周延→结论周延→大项不当扩大→错误,只有P才Q：肯后式有效；三段论：前提不周延的项结论不得周延,只有P才Q：肯后式有效；三段论：前提不周延的项结论不得周延,甲：不可写演绎推理；乙：大项/中项/小项识别顺序=先找结论再定大项,answer_confirmed_PASS_TO_FUSION,,L4_LOCKED_FOR_FUSION,
Q-2026朝阳期中-11,三段论；推理,,三段论补大前提,A,paper answer table paired; still not formal rubric,B-choice-signal（paper answer table非formal rubric）；可入fusion，yes,paper answer table paired; still not formal rubric,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026朝阳期中-12,选言；判断；矛盾律,,相容选言判断；分类规则；矛盾律,"相容选言用""或者""：两支可并存；分类须标准一致；矛盾律要一致",B=相容选言判断（或者你说错了或者我听错了）：两支可并存；C违反分类标准一致性；D违反矛盾律；全部选项和答案独立读取source 003确认,A陷哲学知识诱惑（唯物/唯心两派是实质问题非逻辑测试点）；C分类标准不一（形式vs范围）；D仙人掌IS植物违反矛盾律,B=相容选言判断（或者你说错了或者我听错了）：两支可并存；C违反分类标准一致性；D违反矛盾律；全部选项和答案独立读取source 003确认,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026朝阳期中-13,类比；推理,,联想思维/类比推理/感性具体边界,D,paper answer table paired; classify as boundary/cross until trap extraction,②类比推理是推理部分（诱惑项非答案）；①哲学常识层面,paper answer table paired; classify as boundary/cross until trap extraction,Q-2026通州期末-11,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026朝阳期中-14,归纳；推理,,不完全归纳推理→结论或然性,天气谚语未考察全部认识对象→结论有或然性（④）；①从实践产生是哲学色彩项但与④并列为正确,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer B paired✓ no conflict with Codex A✓ scope=推理/归纳明确✓。所有升级条件满足。,"②""求异法""表述不当（应为不完全归纳）；③""正确揭示本质规律""错（或然性≠必然）",Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer B paired✓ no conflict with Codex A✓ scope=推理/归纳明确✓。所有升级条件满足。,Q-2024朝阳期中-9;Q-2024西城一模-11,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026朝阳期中-15,联言；判断；推理,,联言判断否定一个联言支即否定整个判断,"小浩否定""富有哲理""=否定一个联言支→否定整个联言判断；联言判断P∧Q为假只需一支假",Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer D paired✓ no conflict with Codex A✓ scope=推理/联言判断明确✓。所有升级条件满足。,A（小浩自相矛盾）错；B（否定关系判断）错；C（联言支不能并存）错,Batch02任务：评估是否可设can_enter_fusion=yes。结论：YES。full stem确认✓ full options确认✓ answer D paired✓ no conflict with Codex A✓ scope=推理/联言判断明确✓。所有升级条件满足。,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026通州期末-11,类比；推理,,辩证思维_从感性具体到思维抽象再到思维具体,C感性具体_思维抽象_思维具体三阶段=选必三思维进阶,选必三思维进阶题,A迁移飞跃错位;B分析综合普遍特殊普遍非该题进阶;D类比推理与系统整合错位,选必三思维进阶题,Q-2026朝阳期中-13,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026通州期末-19-2,假言；充分条件；必要条件；判断；推理,,充分条件假言推理+必要条件假言推理(判断推理正误),推理①=充分条件假言推理(肯定前件→肯定后件);推理②=必要条件假言推理(仅肯定前件不能肯定后件→错误结构),"题干明确""运用《逻辑与思维》知识"";细则006明确充分条件假言+必要条件假言两种推理结构正误判断;A-formal确认",误识别假言推理类型扣分;肯定前件/肯定后件混淆扣分,"题干明确""运用《逻辑与思维》知识"";细则006明确充分条件假言+必要条件假言两种推理结构正误判断;A-formal确认",Q-2024朝阳一模-20-1;Q-2024朝阳一模-20-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026顺义一模-19-1,三段论；判断；推理,,三段论(前提真实性+结构正确性),"演绎推理两条件:①前提真实(材料""未来产业由前沿技术驱动...""不能必然推出""所有...都是未来产业"")②推理结构正确","题干明确""判断上述推理是否正确,并说明理由"";细则002明确三段论推理两条件分析;A-formal确认",只判断对错不分析理由扣分;漏前提真假/结构正确两条件扣分,"题干明确""判断上述推理是否正确,并说明理由"";细则002明确三段论推理两条件分析;A-formal确认",Q-2024朝阳期中-7;Q-2026顺义一模-19-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026顺义一模-19-2,三段论；判断；推理,,科学思维三特征(客观性+预见性+可检验性),客观性=从老人真实需求出发立足实际;预见性=追踪人口老龄化趋势预测市场潜力;可检验性=反复测试多轮迭代,"题干明确""运用《逻辑与思维》知识,说明科学思维特征"";细则002明确客观性/预见性/可检验性三特征+对应材料;A-formal确认",只列特征无材料分析丢分;混淆三特征扣分;漏特征扣分,"题干明确""运用《逻辑与思维》知识,说明科学思维特征"";细则002明确客观性/预见性/可检验性三特征+对应材料;A-formal确认",Q-2024朝阳期中-7;Q-2026顺义一模-19-1,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026顺义一模-4,归纳；类比；概念；推理,,类比推理+完全归纳推理+定义方法,A论持久战对当前问题提供启迪=类比推理(从抗战时期类比到当前时期),选必三类比推理与定义方法题,"B决定性作用夸大政治错;C比喻""思想灯塔""非定义方法错;D完全归纳推理需穷尽全部对象_抗战规律不可能完全归纳",选必三类比推理与定义方法题,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026顺义一模-5,判断；周延；推理,,性质判断;关系判断;发散思维;认识论_感知表象,D感觉知觉表象基础上认识本质规律;A性质判断误标_为比喻;B发散思维误用_应聚合;C关系判断不周延误标,选必三概念错位+哲学正解_交叉,A性质判断错_是比喻;B发散误为聚合;C关系判断主项谓项错位,选必三概念错位+哲学正解_交叉,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026丰台一模-8,假言；充分条件；推理,,P→Q：否定后件可否前（modus tollens）；肯定后件无效,②¬Q→¬P（否定后件式，有效）；③∃(Q∧P)（存在量词推论，有效，因P非空）；答案C=②③,Codex A声称Q8=C=充分条件假言推理，Lane B独立确认。P→Q（只要开展全市活动就应使用标识）。②=modus tollens有效；③=存在量词推论有效（全市活动实际存在，P非空）；①否定前件无效；④肯定后件无效。Codex声明一致。,①¬P→¬Q（否定前件，无效）；④Q→P（肯定后件，无效）；③存在量词前提需确认P非空（全市性活动存在，前提满足）,Codex A声称Q8=C=充分条件假言推理，Lane B独立确认。P→Q（只要开展全市活动就应使用标识）。②=modus tollens有效；③=存在量词推论有效（全市活动实际存在，P非空）；①否定前件无效；④肯定后件无效。Codex声明一致。,Q-2025西城二模-16-2,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2026丰台一模-9,联言；概念；判断；推理,,"外延关系看范围；联言判断看""兼""/""同时断定""","D=""这一传统民俗活动兼具文学趣味与益智功能""是联言判断（兼具=同时断定两个属性）✓","Codex A声称Q9=D=概念外延关系+联言判断，Lane B独立确认。D=""兼具文学趣味与益智功能""明确是联言判断；A、B、C分析均错误。Codex声明一致。",A全同关系错（元宵节猜灯谜 ⊂ 传统民俗活动，是属种非全同）；B属种关系错（灯谜与谜面谜目谜底是整体与部分）；C OCR残缺但分析为错,"Codex A声称Q9=D=概念外延关系+联言判断，Lane B独立确认。D=""兼具文学趣味与益智功能""明确是联言判断；A、B、C分析均错误。Codex声明一致。",,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
Q-2025海淀二模-13,三段论；选言；概念；判断；推理,,三段论有效式；概念外延关系辨析；相容/不相容选言区分,三段论：大前提+小前提+结论，中项周延要求；选言判断相容vs不相容,Lane B独立读取supplemental answer source，page9明确显示13.C。render page_04独立确认Q13题目可见。Codex A声明答案C、三段论+选言判断节点——Lane B独立核实通过。,A分类混杂（语义模糊）；B充分条件过强；D把国际关系三形式作不相容穷尽选言（实为相容选言）,Lane B独立读取supplemental answer source，page9明确显示13.C。render page_04独立确认Q13题目可见。Codex A声明答案C、三段论+选言判断节点——Lane B独立核实通过。,,L3_CONFIRMED_FOR_EVIDENCE_ARCHIVE,
