question_id,suite_id,module,status,input_permission,hold_reason,source_locator,answer_locator,rubric_or_commentary_locator,visual_locator,question_type,full_stem_status,full_options_status,student_permission,opus_permission,risk_note
Q-2024西城一模-19-2,S-2024西城一模,推理,L3,include_as_packet_candidate,,paper:024@L114-115; rubric:025@L47-53,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,颠倒种差与邻近属丢分;漏种差或邻近属丢分
Q-2024西城一模-19-3,S-2024西城一模,推理,L3,include_as_packet_candidate,,paper:024@L116; rubric:025@L54,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,误填全同/交叉/不相容/反对均扣分
Q-2024西城一模-19-5,S-2024西城一模,推理,L3,include_as_packet_candidate,,paper:024@L121-122; rubric:025@L70-76,answer_confirmed_from_rubric_025_026,formal_rubric_docx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,"只罗列概念无材料分析丢分;漏""实践""基础扣分"
Q-2025东城期末-13,S-2025东城期末,推理,L3,include_as_packet_candidate,,012试卷::故选B(Q13),answer_confirmed_B_from_012_paper,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,②否定前提两否得结论错;④石墨烯围巾有智能温控+智能温控能调节=四概念错位
Q-2025丰台期末-7,S-2025丰台期末,思维,L3,include_as_packet_candidate,,040试卷::Q7=C,answer_confirmed_C_from_040_paper,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,A集中关注当下绝对化;B超前思维就能创造幸福夸大且与漫画反义;D弄清意义是成功关键过度
Q-2025丰台期末-8,S-2025丰台期末,思维,L3,include_as_packet_candidate,,040试卷::Q8=D,answer_confirmed_D_from_040_paper,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,①想象作为思维基本单元(基本单元是概念非想象);③抽象思维错位_本诗用形象不抽象
Q-2025海淀二模-20,S-2025海淀二模,思维,L4,include,,008(原卷renders/page_07)+009(细则TABLE3)+010(评标实录)+011(讲评PAGE43-44),answer_LOCKED_FOR_FUSION,rubric_confirmed_A_formal_multi_source,VISUAL_CONFIRMED_LANE_B（LOCKED解除）,主观题,excerpt_present,subjective_prompt_present,no,packet_only,禁止写成三点全必答；辩证否定≠否定一切；整体性须含联结/综合/系统优化不能只写整体
Q-2025海淀期末-17-1,S-2025海淀期末,思维,L3,include_as_packet_candidate,,paper:015@L103-106; rubric:015@L143-144(inline),answer_confirmed_from_rubric_015_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,误用辩证思维或创新思维替代客观性丢分
Q-2025海淀期末-18,S-2025海淀期末,思维,L3,include_as_packet_candidate,,paper:015@L110-118; rubric:015@L146-147(inline),answer_confirmed_from_rubric_015_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,误用创新思维总称替代逆向/联想会扣分;混淆迁移类型扣分
Q-2025西城二模-16-2,S-2025西城二模,推理,L4,include,,037 lines 186-191; 038 lines 18-19,无法确定一定有岩松鼠行动；充分条件假言判断后件真不能确定前件真,rubric_confirmed_A_formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,后件真≠前件真；条件①(勺鸡雕鸮)与岩松鼠无关
Q-2025西城二模-16-3,S-2025西城二模,思维,L4,include,,037 lines 192-193; 038 line 22,调整种植结构等，运用创新思维改变创造条件、建立新的具体联系,rubric_confirmed_A_formal,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,不是推理题；A/B分类冲突由子问拆分解决
Q-2025顺义一模-7,S-2025顺义一模,推理,L3,include_as_packet_candidate,,036顺义参考答案::Q7=A,answer_confirmed_A_from_036_rubric,rubric_confirmed,text_extraction_clear,选择题,excerpt_present,choice_options_or_subjective_prompt_present,no,packet_only,B两否定前提确不能必推但前提中第二个为否定而第一是否定_两否；C四概念正确不变；D中项不周延正确
Q-2026东城一模-19-4,S-2026东城一模,思维,L3,include_as_packet_candidate,,paper:046@L289-290; rubric:046@L394(inline),answer_confirmed_from_rubric_046_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,措施缺乏具体性扣分;不符合中关村发展目标扣分
Q-2026丰台一模-18-2,S-2026丰台一模,推理,L4,include,,042(原卷renders/page_07)+043(细则SLIDE35-36),answer_confirmed_甲正确乙错误_from_043_slide35_36_rubric,rubric_confirmed_A_formal,VISUAL_CONFIRMED_LANE_B,主观题,excerpt_present,subjective_prompt_present,no,packet_only,甲：不可写演绎推理；乙：大项/中项/小项识别顺序=先找结论再定大项
Q-2026朝阳期中-20,S-2026朝阳期中,思维,L3,include_as_packet_candidate,,paper:003@L260-266; rubric:003@L345-348(inline),answer_confirmed_from_rubric_003_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,误用单一矛盾或仅讲机遇/挑战丢分;漏整体性/动态性扣分
Q-2026朝阳期中-21-2,S-2026朝阳期中,思维,L3,include_as_packet_candidate,,paper:003@L286-287; rubric:003@L352-353(inline),answer_confirmed_from_rubric_003_inline,formal_rubric_inline,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,只列思维总称丢分;混淆联想/发散/聚合/逆向归属扣分
Q-2026通州期末-19-2,S-2026通州期末,推理,L3,include_as_packet_candidate,,paper:006@L258-266; rubric:006@L371-382(inline),answer_confirmed_from_rubric_006_inline,formal_rubric_pdf,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,误识别假言推理类型扣分;肯定前件/肯定后件混淆扣分
Q-2026顺义一模-19-1,S-2026顺义一模,交叉,L3,include_as_packet_candidate,,paper:001@L328-334; rubric:002@L31-42,answer_confirmed_from_rubric_002,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,只判断对错不分析理由扣分;漏前提真假/结构正确两条件扣分
Q-2026顺义一模-19-2,S-2026顺义一模,交叉,L3,include_as_packet_candidate,,paper:001@L340-353; rubric:002@L44-48,answer_confirmed_from_rubric_002,formal_rubric_pptx,TEXT_CONFIRMED_NO_VISUAL_BLOCKER,主观题,excerpt_present,subjective_prompt_present,no,packet_only,只列特征无材料分析丢分;混淆三特征扣分;漏特征扣分
