canonical_question_id,suite_id,original_qno,section_scope,question_type,blocker_reason,recommended_action
Q-2024西城一模-17,S-2024西城一模,17,待判,主观题,scope pending or boundary row,
Q-2024西城一模-18-1,S-2024西城一模,18(1),待判,主观题,scope pending or boundary row,
Q-2024西城一模-18-2,S-2024西城一模,18(2),待判,主观题,scope pending or boundary row,
Q-2024西城一模-18-3,S-2024西城一模,18(3),待判,主观题,scope pending or boundary row,
Q-2024西城一模-2,S-2024西城一模,2,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-3,S-2024西城一模,3,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-4,S-2024西城一模,4,待判,选择题,scope pending or boundary row,
Q-2024西城一模-5,S-2024西城一模,5,待判,选择题,scope pending or boundary row,
Q-2024西城一模-6,S-2024西城一模,6,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-7,S-2024西城一模,7,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-8,S-2024西城一模,8,待判,选择题,choice options not fully detected in text,
Q-2024西城一模-9,S-2024西城一模,9,待判,选择题,scope pending or boundary row,
Q-2025东城期末-10,S-2025东城期末,10,待判,选择题,scope pending or boundary row,
Q-2025东城期末-11,S-2025东城期末,11,待判,选择题,scope pending or boundary row,
Q-2025东城期末-12,S-2025东城期末,12,待判,选择题,scope pending or boundary row,
Q-2025东城期末-17,S-2025东城期末,17,待判,主观题,scope pending or boundary row,
Q-2025东城期末-19-1,S-2025东城期末,19(1),边界,主观题,scope pending or boundary row,
Q-2025东城期末-19-2,S-2025东城期末,19(2),边界,主观题,scope pending or boundary row,
Q-2025东城期末-19-3,S-2025东城期末,19(3),边界,主观题,scope pending or boundary row,
Q-2025东城期末-3,S-2025东城期末,3,待判,选择题,scope pending or boundary row,
Q-2025东城期末-4,S-2025东城期末,4,待判,选择题,scope pending or boundary row,
Q-2025东城期末-6,S-2025东城期末,6,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-1,S-2025丰台期末,1,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-11,S-2025丰台期末,11,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-12,S-2025丰台期末,12,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-13,S-2025丰台期末,13,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-14,S-2025丰台期末,14,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-15,S-2025丰台期末,15,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-17,S-2025丰台期末,17,待判,主观题,scope pending or boundary row,
Q-2025丰台期末-19,S-2025丰台期末,19,边界,主观题,scope pending or boundary row,
Q-2025丰台期末-2,S-2025丰台期末,2,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-20,S-2025丰台期末,20,边界,主观题,scope pending or boundary row,
Q-2025丰台期末-21,S-2025丰台期末,21,待判,主观题,scope pending or boundary row,
Q-2025丰台期末-3,S-2025丰台期末,3,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-4,S-2025丰台期末,4,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-5,S-2025丰台期末,5,待判,选择题,scope pending or boundary row,
Q-2025丰台期末-6,S-2025丰台期末,6,待判,选择题,scope pending or boundary row,
Q-2025海淀二模-UNPARSED-PAPER,S-2025海淀二模,UNPARSED,missing,suite_visual_blocker,paper PDF text layer is blank/thin; full question list must be recovered from rendered pages before coverage PASS,
Q-2025海淀期末-1,S-2025海淀期末,1,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-10,S-2025海淀期末,10,待判,选择题,scope pending or boundary row,
Q-2025海淀期末-11,S-2025海淀期末,11,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-12,S-2025海淀期末,12,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-13,S-2025海淀期末,13,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-14,S-2025海淀期末,14,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-15,S-2025海淀期末,15,待判,选择题,scope pending or boundary row,
Q-2025海淀期末-16,S-2025海淀期末,16,边界,主观题,scope pending or boundary row,
Q-2025海淀期末-19,S-2025海淀期末,19,待判,主观题,scope pending or boundary row,
Q-2025海淀期末-2,S-2025海淀期末,2,思维,选择题,visual/options/rubric recovery before fusion,visual/options/rubric recovery before fusion
Q-2025海淀期末-20,S-2025海淀期末,20,待判,主观题,scope pending or boundary row,
Q-2025海淀期末-21,S-2025海淀期末,21,边界,主观题,scope pending or boundary row,
Q-2025海淀期末-3,S-2025海淀期末,3,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-4,S-2025海淀期末,4,待判,选择题,scope pending or boundary row,
Q-2025海淀期末-5,S-2025海淀期末,5,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-6,S-2025海淀期末,6,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-7,S-2025海淀期末,7,待判,选择题,choice options not fully detected in text,
Q-2025海淀期末-9,S-2025海淀期末,9,待判,选择题,scope pending or boundary row,
Q-2025西城二模-1,S-2025西城二模,1,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-10,S-2025西城二模,10,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-11,S-2025西城二模,11,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-12,S-2025西城二模,12,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-13,S-2025西城二模,13,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-14,S-2025西城二模,14,待判,选择题,scope pending or boundary row,
Q-2025西城二模-15,S-2025西城二模,15,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-18,S-2025西城二模,18,边界,主观题,scope pending or boundary row,
Q-2025西城二模-19-1,S-2025西城二模,19(1),边界,主观题,scope pending or boundary row,
Q-2025西城二模-19-2,S-2025西城二模,19(2),边界,主观题,scope pending or boundary row,
Q-2025西城二模-2,S-2025西城二模,2,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-20,S-2025西城二模,20,待判,主观题,scope pending or boundary row,
Q-2025西城二模-3,S-2025西城二模,3,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-4,S-2025西城二模,4,待判,选择题,scope pending or boundary row,
Q-2025西城二模-5,S-2025西城二模,5,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-6,S-2025西城二模,6,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-8,S-2025西城二模,8,待判,选择题,choice options not fully detected in text,
Q-2025西城二模-9,S-2025西城二模,9,待判,选择题,choice options not fully detected in text,
Q-2025顺义一模-1,S-2025顺义一模,1,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-11,S-2025顺义一模,11,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-12,S-2025顺义一模,12,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-13,S-2025顺义一模,13,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-14,S-2025顺义一模,14,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-15,S-2025顺义一模,15,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-18,S-2025顺义一模,18,边界,主观题,scope pending or boundary row,
Q-2025顺义一模-19-1,S-2025顺义一模,19(1),边界,主观题,scope pending or boundary row,
Q-2025顺义一模-19-2,S-2025顺义一模,19(2),边界,主观题,scope pending or boundary row,
Q-2025顺义一模-2,S-2025顺义一模,2,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-20,S-2025顺义一模,20,边界,主观题,scope pending or boundary row,
Q-2025顺义一模-21,S-2025顺义一模,21,待判,主观题,scope pending or boundary row,
Q-2025顺义一模-8,S-2025顺义一模,8,待判,选择题,scope pending or boundary row,
Q-2025顺义一模-9,S-2025顺义一模,9,待判,选择题,scope pending or boundary row,
Q-2026东城一模-1,S-2026东城一模,1,待判,选择题,scope pending or boundary row,
Q-2026东城一模-10,S-2026东城一模,10,待判,选择题,scope pending or boundary row,
Q-2026东城一模-11,S-2026东城一模,11,待判,选择题,scope pending or boundary row,
Q-2026东城一模-13,S-2026东城一模,13,待判,选择题,scope pending or boundary row,
Q-2026东城一模-14,S-2026东城一模,14,待判,选择题,scope pending or boundary row,
Q-2026东城一模-15,S-2026东城一模,15,待判,选择题,scope pending or boundary row,
Q-2026东城一模-16,S-2026东城一模,16,边界,主观题,scope pending or boundary row,
Q-2026东城一模-17,S-2026东城一模,17,边界,主观题,scope pending or boundary row,
Q-2026东城一模-18,S-2026东城一模,18,边界,主观题,scope pending or boundary row,
Q-2026东城一模-20,S-2026东城一模,20,待判,主观题,scope pending or boundary row,
Q-2026东城一模-3,S-2026东城一模,3,待判,选择题,scope pending or boundary row,
Q-2026东城一模-4,S-2026东城一模,4,待判,选择题,scope pending or boundary row,
Q-2026东城一模-5,S-2026东城一模,5,待判,选择题,scope pending or boundary row,
Q-2026东城一模-7,S-2026东城一模,7,待判,选择题,scope pending or boundary row,
Q-2026东城一模-8,S-2026东城一模,8,待判,选择题,scope pending or boundary row,
Q-2026东城一模-9,S-2026东城一模,9,待判,选择题,scope pending or boundary row,
Q-2026东城期末-1,S-2026东城期末,1,待判,选择题,scope pending or boundary row,
Q-2026东城期末-10,S-2026东城期末,10,待判,选择题,scope pending or boundary row,
Q-2026东城期末-11,S-2026东城期末,11,待判,选择题,scope pending or boundary row,
Q-2026东城期末-12,S-2026东城期末,12,待判,选择题,scope pending or boundary row,
Q-2026东城期末-13,S-2026东城期末,13,待判,选择题,scope pending or boundary row,
Q-2026东城期末-15,S-2026东城期末,15,待判,选择题,scope pending or boundary row,
Q-2026东城期末-16,S-2026东城期末,16,边界,主观题,scope pending or boundary row,
Q-2026东城期末-18-1,S-2026东城期末,18(1),边界,主观题,scope pending or boundary row,
Q-2026东城期末-18-2,S-2026东城期末,18(2),边界,主观题,scope pending or boundary row,
Q-2026东城期末-19,S-2026东城期末,19,边界,主观题,scope pending or boundary row,
Q-2026东城期末-2,S-2026东城期末,2,待判,选择题,scope pending or boundary row,
Q-2026东城期末-20,S-2026东城期末,20,边界,主观题,scope pending or boundary row,
Q-2026东城期末-8,S-2026东城期末,8,待判,选择题,scope pending or boundary row,
Q-2026东城期末-9,S-2026东城期末,9,待判,选择题,scope pending or boundary row,
Q-2026丰台一模-UNPARSED-PAPER,S-2026丰台一模,UNPARSED,missing,suite_visual_blocker,paper PDF text layer is blank/thin; full question list must be recovered from rendered pages before coverage PASS,
Q-2026朝阳期中-10,S-2026朝阳期中,10,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-16,S-2026朝阳期中,16,边界,主观题,scope pending or boundary row,
Q-2026朝阳期中-17,S-2026朝阳期中,17,边界,主观题,scope pending or boundary row,
Q-2026朝阳期中-19,S-2026朝阳期中,19,待判,主观题,scope pending or boundary row,
Q-2026朝阳期中-19-1,S-2026朝阳期中,19(1),边界,主观题,scope pending or boundary row,
Q-2026朝阳期中-19-2,S-2026朝阳期中,19(2),边界,主观题,scope pending or boundary row,
Q-2026朝阳期中-19-3,S-2026朝阳期中,19(3),边界,主观题,scope pending or boundary row,
Q-2026朝阳期中-2,S-2026朝阳期中,2,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-3,S-2026朝阳期中,3,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-4,S-2026朝阳期中,4,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-5,S-2026朝阳期中,5,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-6,S-2026朝阳期中,6,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-7,S-2026朝阳期中,7,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-8,S-2026朝阳期中,8,待判,选择题,scope pending or boundary row,
Q-2026朝阳期中-9,S-2026朝阳期中,9,待判,选择题,scope pending or boundary row,
Q-2026通州期末-1,S-2026通州期末,1,待判,选择题,scope pending or boundary row,
Q-2026通州期末-10,S-2026通州期末,10,待判,选择题,scope pending or boundary row,
Q-2026通州期末-12,S-2026通州期末,12,待判,选择题,scope pending or boundary row,
Q-2026通州期末-13,S-2026通州期末,13,待判,选择题,scope pending or boundary row,
Q-2026通州期末-14,S-2026通州期末,14,待判,选择题,scope pending or boundary row,
Q-2026通州期末-15,S-2026通州期末,15,待判,选择题,scope pending or boundary row,
Q-2026通州期末-16,S-2026通州期末,16,边界,主观题,scope pending or boundary row,
Q-2026通州期末-17,S-2026通州期末,17,边界,主观题,scope pending or boundary row,
Q-2026通州期末-18,S-2026通州期末,18,边界,主观题,scope pending or boundary row,
Q-2026通州期末-2,S-2026通州期末,2,待判,选择题,scope pending or boundary row,
Q-2026通州期末-20,S-2026通州期末,20,边界,主观题,scope pending or boundary row,
Q-2026通州期末-21,S-2026通州期末,21,待判,主观题,scope pending or boundary row,
Q-2026通州期末-3,S-2026通州期末,3,待判,选择题,scope pending or boundary row,
Q-2026通州期末-4,S-2026通州期末,4,待判,选择题,scope pending or boundary row,
Q-2026通州期末-6,S-2026通州期末,6,待判,选择题,scope pending or boundary row,
Q-2026通州期末-7,S-2026通州期末,7,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-1,S-2026顺义一模,1,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-10,S-2026顺义一模,10,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-11,S-2026顺义一模,11,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-12,S-2026顺义一模,12,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-13,S-2026顺义一模,13,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-14,S-2026顺义一模,14,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-15,S-2026顺义一模,15,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-16,S-2026顺义一模,16,边界,主观题,scope pending or boundary row,
Q-2026顺义一模-17,S-2026顺义一模,17,边界,主观题,scope pending or boundary row,
Q-2026顺义一模-18,S-2026顺义一模,18,边界,主观题,scope pending or boundary row,
Q-2026顺义一模-2,S-2026顺义一模,2,待判,选择题,scope pending or boundary row,
Q-2026顺义一模-20,S-2026顺义一模,20,边界,主观题,scope pending or boundary row,
Q-2026顺义一模-21,S-2026顺义一模,21,待判,主观题,scope pending or boundary row,
Q-2026顺义一模-22,S-2026顺义一模,22,待判,主观题,scope pending or boundary row,
Q-2026顺义一模-8,S-2026顺义一模,8,待判,选择题,scope pending or boundary row,
