suite,question_no_guess,typology_guess,source_kind,source_id,hit_terms,snippet,next_action
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,推理;演绎推理;结论,"据此,某同学得出以下推论: 所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 量子科技是由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 ===== 19(2)参考答案: (1)科学思维追求认识的客观性,",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,判断;推理;前提,"所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。 量子科技是由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 ===== 19(2)参考答案: (1)科学思维追求认识的客观性, 该企业从老人真实生活场景与实际需求出发,深入调研、蹲点观察,立足实际设计产品功能。2(知识1+材料1)",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,三段论;推理,"量子科技是由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业。 量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 ===== 19(2)参考答案: (1)科学思维追求认识的客观性, 该企业从老人真实生活场景与实际需求出发,深入调研、蹲点观察,立足实际设计产品功能。2(知识1+材料1) (2)科学思维结果具有预见性,该企业始终追踪具身智能机器人和人口老龄化发展趋势,预测具身机器人在养老服务中具备广阔的应用空间和持续增长的市场潜力。2",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026顺义一模,19,三段论,rubric_or_answer,002_Desktop_2026模拟题_2026各区一模_2026顺义一模_细则_细则.pptx,推理,"量子科技是未来产业。 判断上述推理是否正确,并说明理由。(3分) 阅卷细则:判断正误:该推理是错误的(1分)。 演绎推理要确保得到真实的结论,必须具备两个条件: 一是作为推理根据的前提是真实的判断,材料中“未来产业由前沿技术驱动,具有前瞻性、战略性、颠覆性等特点。”不能必然推出“所有由前沿技术驱动,具有前瞻性、战略性、颠覆性特点的产业都是未来产业。”前提不是真实的判断(1分)。 二是推理结构正确,上述推理是一个三段论推理,符合三段论推理规则。(1分) 因此该推理错误。 ===== SLIDE 7 ===== 19(2)参考答案: (1)科学思维追求认识的客观性, 该企业从老人真实生活场景与实际需求出发,深入调研、蹲点观察,立足实际设计产品功能。2(知识1+材料1) (2)科学思维结果具有预见性,该企业始终追踪具身智能机器人和人口老龄化发展趋势,预测具身机器人在养老服务中具备广阔的应用空间和持续增长的市场潜力。2 (3)科学思维结果具有可检验性,该企业产品反复测试、多轮迭代,以用户试用与实践效果不断不断优化调整、完善设计,确保产品能切实解决老人居家生活的实际问题2",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,17,三段论;假言推理,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,假言;充分条件;必要条件;判断;前提,"评标4:全称肯定判断和特称肯定判断之间是矛盾关系2分 ===== SLIDE 42 ===== 主张2:要提升垃圾分类效率,必须引入智能垃圾箱。因为,智能垃圾箱含有无接触投放和自动积分奖励功能,如果引入智能垃圾箱,垃圾分类效率就能得到提升。 评标1:“如果引入智能垃圾桶,垃圾分类效率就能得到提升。”是一个充分条件假言判断,其推理规则为肯前必肯后,否后必否前,其主张""要提升垃圾分类效率,必须引入智能垃圾箱""是肯后必肯前,因此推理错误。 充分条件假言推理规则1分+解释1分 评标2:通过“智能垃圾箱含有无接触投放和自动积分奖励功能”即得出“如果引入智能垃圾箱,垃圾分类效率就能得到提升”的结论犯了轻率概括(以偏概全)的错误,引入智能垃圾桶不是提高垃圾分类效率的充分条件。2分 评标3:把前提中的充分条件假言判断混淆成必要条件假言判断 2分 ===== SLIDE 43 ===== 主张3:有些科学民主的更新方案是采用""居民提案——AI智能模拟——多轮投票""模式制定的。""立体花园十口袋公园""复合型公共空间方案是通过此模式制定的。因此,""立体花园十口袋公园""复合型公共空间方案是科学民主的更新方案。 是一个三段论推理,通过“居民提案——AI",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,3,三段论;假言推理,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,必要条件,"必要条件不成立 矛盾双方相互转化的前提:同一性和转化条件 ===== SLIDE 7 ===== 第5题解析: “可爱”产品契合多元消费需求,掀起消费热潮,A选项正确; “可爱”产品并不属于新事物,新事物是符合事物发展规律,具有强大生命力和远大前途的事物;此外,题目中并没有提及社会效益,应当是与“经济效益”相统一,B选项错误; 具有文化内涵与市场健康有序发展并不构成必要条件关系,C选项错误; 矛盾相互转化的前提是同一性和转化条件,“在一定条件下可以相互转化”,D选项错误。 A ===== SLIDE 8 ===== 小前提:乌毛蕨形成的镧独居石(是)纯净无辐射的独居石 (小项) (中项-看选项) 题型:加入前提,使得三段论推理保真。",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,3,三段论;假言推理,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,前提,"矛盾双方相互转化的前提:同一性和转化条件 ===== SLIDE 7 ===== 第5题解析: “可爱”产品契合多元消费需求,掀起消费热潮,A选项正确; “可爱”产品并不属于新事物,新事物是符合事物发展规律,具有强大生命力和远大前途的事物;此外,题目中并没有提及社会效益,应当是与“经济效益”相统一,B选项错误; 具有文化内涵与市场健康有序发展并不构成必要条件关系,C选项错误; 矛盾相互转化的前提是同一性和转化条件,“在一定条件下可以相互转化”,D选项错误。 A ===== SLIDE 8 ===== 小前提:乌毛蕨形成的镧独居石(是)纯净无辐射的独居石 (小项) (中项-看选项) 题型:加入前提,使得三段论推理保真。 已知结论:乌毛蕨形成的镧独居石具有绿色提取前景。",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,3,三段论;假言推理,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,前提,"“可爱”产品契合多元消费需求,掀起消费热潮,A选项正确; “可爱”产品并不属于新事物,新事物是符合事物发展规律,具有强大生命力和远大前途的事物;此外,题目中并没有提及社会效益,应当是与“经济效益”相统一,B选项错误; 具有文化内涵与市场健康有序发展并不构成必要条件关系,C选项错误; 矛盾相互转化的前提是同一性和转化条件,“在一定条件下可以相互转化”,D选项错误。 A ===== SLIDE 8 ===== 小前提:乌毛蕨形成的镧独居石(是)纯净无辐射的独居石 (小项) (中项-看选项) 题型:加入前提,使得三段论推理保真。 已知结论:乌毛蕨形成的镧独居石具有绿色提取前景。 “绿色提取前景”为三段论推理的大项 “乌毛蕨形成的镧独居石”为三段论推理的小项 所需大前提要求:",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,17,三段论;假言推理;周延判断,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,三段论;周延;推理;前提;中项,"充分条件假言推理规则1分+解释1分 评标2:通过“智能垃圾箱含有无接触投放和自动积分奖励功能”即得出“如果引入智能垃圾箱,垃圾分类效率就能得到提升”的结论犯了轻率概括(以偏概全)的错误,引入智能垃圾桶不是提高垃圾分类效率的充分条件。2分 评标3:把前提中的充分条件假言判断混淆成必要条件假言判断 2分 ===== SLIDE 43 ===== 主张3:有些科学民主的更新方案是采用""居民提案——AI智能模拟——多轮投票""模式制定的。""立体花园十口袋公园""复合型公共空间方案是通过此模式制定的。因此,""立体花园十口袋公园""复合型公共空间方案是科学民主的更新方案。 是一个三段论推理,通过“居民提案——AI智能模拟——多轮投票”模式制定作为中项在大前提和小前提中都不周延,犯了中项不周延的错误。 中项不周延2分,不符合三段论规则1分 其他: 写判断或推理不符合逻辑,没有理由不给分。 写“内容不真实,形式不正确”没有具体理由,不给分。 只写所犯逻辑规则错误,没有任何材料解释酌情扣1-2分",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,17,三段论;假言推理;周延判断,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,三段论;周延;中项,"评标2:通过“智能垃圾箱含有无接触投放和自动积分奖励功能”即得出“如果引入智能垃圾箱,垃圾分类效率就能得到提升”的结论犯了轻率概括(以偏概全)的错误,引入智能垃圾桶不是提高垃圾分类效率的充分条件。2分 评标3:把前提中的充分条件假言判断混淆成必要条件假言判断 2分 ===== SLIDE 43 ===== 主张3:有些科学民主的更新方案是采用""居民提案——AI智能模拟——多轮投票""模式制定的。""立体花园十口袋公园""复合型公共空间方案是通过此模式制定的。因此,""立体花园十口袋公园""复合型公共空间方案是科学民主的更新方案。 是一个三段论推理,通过“居民提案——AI智能模拟——多轮投票”模式制定作为中项在大前提和小前提中都不周延,犯了中项不周延的错误。 中项不周延2分,不符合三段论规则1分 其他: 写判断或推理不符合逻辑,没有理由不给分。 写“内容不真实,形式不正确”没有具体理由,不给分。 只写所犯逻辑规则错误,没有任何材料解释酌情扣1-2分 ===== SLIDE 44 =====",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,二,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,假言;必要条件;推理;演绎推理,"(2)(6 分) 甲的推理属于必要条件假言推理。该推理前提真实,且符合必要条件假言推理肯定后件式的推理结构,因此该推理正确。 乙的推理属于三段论推理。在该推理中,“带动居民消费”作为大项在前提中不周延但是在结论中却周延,犯了“大项不当扩大”的逻辑错误,因此该推理错误。 ===== SLIDE 36 ===== 二、变通答案 (2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。 乙的推理属于三段论推理(1分)——演绎推理的三段论推理。 规则(1分)——前提中不周延的项结论中也不得周延或分析材料 错误——大项不当扩大(1分)",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,二,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,假言;必要条件;推理;前提,"乙的推理属于三段论推理。在该推理中,“带动居民消费”作为大项在前提中不周延但是在结论中却周延,犯了“大项不当扩大”的逻辑错误,因此该推理错误。 ===== SLIDE 36 ===== 二、变通答案 (2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。 乙的推理属于三段论推理(1分)——演绎推理的三段论推理。 规则(1分)——前提中不周延的项结论中也不得周延或分析材料 错误——大项不当扩大(1分) ===== SLIDE 37 ===== 三、典型示例",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,二,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,三段论;推理;演绎推理,"二、变通答案 (2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。 乙的推理属于三段论推理(1分)——演绎推理的三段论推理。 规则(1分)——前提中不周延的项结论中也不得周延或分析材料 错误——大项不当扩大(1分) ===== SLIDE 37 ===== 三、典型示例 逻辑清晰, 知识准确",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,二,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,周延;前提;结论,"(2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。 乙的推理属于三段论推理(1分)——演绎推理的三段论推理。 规则(1分)——前提中不周延的项结论中也不得周延或分析材料 错误——大项不当扩大(1分) ===== SLIDE 37 ===== 三、典型示例 逻辑清晰, 知识准确 分析到位",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,二,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,大项,"甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。 乙的推理属于三段论推理(1分)——演绎推理的三段论推理。 规则(1分)——前提中不周延的项结论中也不得周延或分析材料 错误——大项不当扩大(1分) ===== SLIDE 37 ===== 三、典型示例 逻辑清晰, 知识准确 分析到位 ===== SLIDE 38 =====",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,五,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,假言;必要条件;推理;前提,"参考答案: 北京文化新业态的发展,为社会提供了丰富的文化新产品,满足市场新需求,促进了文化消费;拓展文化产业发展新空间,促进文化产业投资增长。文化新业态的发展变化促进了文化内需。 ===== SLIDE 35 ===== 知识板块:逻辑与思维 能力板块:解释与论证 (2)(6 分) 甲的推理属于必要条件假言推理。该推理前提真实,且符合必要条件假言推理肯定后件式的推理结构,因此该推理正确。 乙的推理属于三段论推理。在该推理中,“带动居民消费”作为大项在前提中不周延但是在结论中却周延,犯了“大项不当扩大”的逻辑错误,因此该推理错误。 ===== SLIDE 36 ===== 二、变通答案 (2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式;",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026丰台一模,五,三段论;假言推理;周延判断,rubric_or_answer,043_Desktop_2026模拟题_2026各区一模_2026丰台一模_细则_细则.pptx,三段论;周延;推理;前提;结论;大项,"北京文化新业态的发展,为社会提供了丰富的文化新产品,满足市场新需求,促进了文化消费;拓展文化产业发展新空间,促进文化产业投资增长。文化新业态的发展变化促进了文化内需。 ===== SLIDE 35 ===== 知识板块:逻辑与思维 能力板块:解释与论证 (2)(6 分) 甲的推理属于必要条件假言推理。该推理前提真实,且符合必要条件假言推理肯定后件式的推理结构,因此该推理正确。 乙的推理属于三段论推理。在该推理中,“带动居民消费”作为大项在前提中不周延但是在结论中却周延,犯了“大项不当扩大”的逻辑错误,因此该推理错误。 ===== SLIDE 36 ===== 二、变通答案 (2)(6分) 甲的推理属于必要条件假言推理(1分)写演绎推理的不给分。 有效式(1分):否定前件式和肯定后件式; 推理前提真实(1分)替换——分析例题(1分) 如:必要条件假言推理;有效式——肯定后件式;消费潜力得到有效释放,肯定了后件,从而肯定了......落地。",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
2026东城期末,1,三段论;假言推理;周延判断;逻辑三律与概念规则,rubric_or_answer,045_Desktop_2026模拟题_2026各区期末和期中_2026东城期末_细则_细则.pptx,概念,"(小项) (中项-看选项) 题型:加入前提,使得三段论推理保真。 已知结论:乌毛蕨形成的镧独居石具有绿色提取前景。 “绿色提取前景”为三段论推理的大项 “乌毛蕨形成的镧独居石”为三段论推理的小项 所需大前提要求: 1.不犯“四概念”错误——仅含有“纯净无辐射的独居石”、“绿色提取前景”两项; 2.不犯“中项不周”错误——“纯净无辐射的独居石”在大前提中必须周延; 3.无需考虑“双否前提”错误。 大前提应为:(所有)纯净无辐射的独居石(都)具有绿色提取前景 中项不周 四概念 A.有绿色提取前景的是纯净无辐射的独居石(中项不周,大项不当扩大)",verify full stem/options or scoring rule; attach to all-question typology table only after source pairing
