file_id,file_path,failure_stage,failure_reason,suggested_fix
F0157,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0161,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0166,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0170,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/补充材料/2026北京西城高三一模政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0173,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026通州一模/试卷/2026北京通州高三一模政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0200,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0203,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026顺义二模/试卷/26顺义二模(1).pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0208,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026丰台期末/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0212,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/细则/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0213,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026朝阳期末/试卷/试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0214,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026海淀期中/其他材料/期中讲评20251106.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0219,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026西城期末/细则/细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0235,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/2024东城一模/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0236,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/2024东城一模/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治试卷(1).pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0254,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/东城二模/001北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0255,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/东城二模/002北京市东城区2023-2024学年度第二学期高三综合练习（二）思想政治答案.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0271,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/丰台二模/丰台高三二模政治试卷.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0281,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/西城一模/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx,extract,"PackageNotFoundError(""Package not found at '/Users/wanglifei/GaokaoPolitics/2024各区模拟题/西城一模/~$24.4西城高三统一测试思想政治答案 阅卷细则（调整）.docx'"")",Open/render manually or convert with Office/OCR
F0282,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/西城一模/~$教学班报告--高三西城一模练习(政治)-高三年级政6.xlsx,extract,BadZipFile('File is not a zip file'),Open/render manually or convert with Office/OCR
F0283,/Users/wanglifei/GaokaoPolitics/2024各区模拟题/西城二模/~$模拟测试思想政治试卷.docx,extract,"PackageNotFoundError(""Package not found at '/Users/wanglifei/GaokaoPolitics/2024各区模拟题/西城二模/~$模拟测试思想政治试卷.docx'"")",Open/render manually or convert with Office/OCR
F0303,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区一模/2025朝阳一模/2025朝阳一模细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0304,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区一模/2025朝阳一模/高三政治一模试卷讲评.pptx,extract,"XMLSyntaxError('Namespace prefix w for pos on tab is not defined, line 1, column 1202')",Open/render manually or convert with Office/OCR
F0330,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区二模/2025朝阳二模/扫描全能王 2025-05-13 21.42.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0332,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区二模/2025海淀二模/2025北京海淀高三二模政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0344,/Users/wanglifei/GaokaoPolitics/2025各区模拟题/2025各区期末/2025朝阳期末/朝阳期末评标.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0354,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026东城一模/2026东城一模 原卷扫描版.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0357,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026东城一模/东城一模细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0367,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026丰台一模/丰台一模.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0370,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026房山一模/2026北京房山高三一模政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0374,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026海淀一模/2026海淀一模 试卷扫描版_去水印.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0378,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区一模/2026西城一模/2026北京西城高三一模政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0387,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026丰台期末/2026北京丰台高三（上）期末政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0392,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026朝阳期末/2026北京朝阳高三（上）期末政治.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0393,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026朝阳期末/2026朝阳期末细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0395,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026海淀期中/期中讲评20251106.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
F0400,/Users/wanglifei/GaokaoPolitics/2026各区模拟题/2026各区期末和期中/2026西城期末/2026西城期末细则.pdf,ocr,PDF has no extractable text layer; pages rendered but local OCR unavailable,Run OCR/vision on rendered_pages for this file before evidence extraction
