placement_id,family,node,title,suite,question_no,question_type,paper_path,paper_status,rubric_path,rubric_status,review_status,choice_option_count,choice_answer_visible,correct_answer,manual_body_override,manual_rubric_override,paper_text_present,rubric_text_present
P0019,必要条件假言推理与判断,必要条件与选言边界,1. 2026海淀二模 第6题（选择题）,2026海淀二模,6,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,manual_verified_original_answer_table,source_extracted,4,True,A,False,True,True,True
P0020,必要条件假言推理与判断,相容选言里不要误排斥,1. 2026西城二模 第5题（选择题）,2026西城二模,5,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,teacher_version_answer_section_from_original,source_extracted,4,True,B,False,False,True,True
P0021,三段论、性质判断周延与换质位,先看三项：大项、小项、中项,1. 2026东城期末 第17题第（2）问（主观题）,2026东城期末,17(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0022,三段论、性质判断周延与换质位,先看三项：大项、小项、中项,2. 2026丰台一模 第18题第（2）问（主观题）,2026丰台一模,18(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,rubric_subquestion_part_matched,source_extracted,,,,False,False,True,True
P0023,三段论、性质判断周延与换质位,三段论形式正确，前提仍要真实,1. 2026顺义一模 第19题第（1）问（主观题）,2026顺义一模,19(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,direct_question_number,source_extracted,,,,False,False,True,True
P0024,三段论、性质判断周延与换质位,补大前提：把省略规则说出来,1. 2026东城期末 第6题（选择题）,2026东城期末,6,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区期末和期中/2026东城期末/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,B,False,False,True,True
P0025,三段论、性质判断周延与换质位,四概念：同一个词前后换了对象,1. 2026西城一模 第19题第（3）问（主观题）,2026西城一模,19(3),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0026,三段论、性质判断周延与换质位,大项扩大：结论说得比前提更满,1. 2025顺义一模 第7题（选择题）,2025顺义一模,7,选择题,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025顺义一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,A,True,False,True,True
P0027,三段论、性质判断周延与换质位,小项扩大：主语范围被偷偷放大,1. 2024朝阳二模 第7题（选择题）,2024朝阳二模,7,选择题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
P0028,三段论、性质判断周延与换质位,构造三段论：先定中项桥梁,1. 2025房山一模 第16题第（2）问（主观题）,2025房山一模,16(2),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025房山一模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0029,三段论、性质判断周延与换质位,构造三段论：先定中项桥梁,2. 2024丰台二模 第18题第（1）问（主观题）,2024丰台二模,18(1),主观题,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0030,三段论、性质判断周延与换质位,有效结构：形式有效还要看前提,1. 2025朝阳期末 第19题（主观题）,2025朝阳期末,19,主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,teacher_version_answer_section_from_original,source_extracted,,,,False,False,True,True
P0031,三段论、性质判断周延与换质位,有效形式与真实前提要分开,1. 2024东城一模 第7题（选择题）,2024东城一模,7,选择题,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/补充材料/北京市东城区2023-2024学年度第二学期高三综合练习（一）思想政治答案(1).pdf,teacher_version_answer_section_from_original,source_extracted,4,True,A,False,True,True,True
P0032,三段论、性质判断周延与换质位,周延性：看概念有没有被说尽,1. 2024丰台一模 第7题（选择题）,2024丰台一模,7,选择题,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/丰台一模/试卷/补充材料/2024北京丰台高三一模政治试题及答案.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0033,三段论、性质判断周延与换质位,换位边界：不是每句话都能倒过来,1. 2024海淀二模 第6题（选择题）,2024海淀二模,6,选择题,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0034,三段论、性质判断周延与换质位,类比与换位换质不要混判,1. 2026门头沟一模 第6题（选择题）,2026门头沟一模,6,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,teacher_version_answer_section_from_original,source_extracted,4,True,A,False,False,True,True
P0035,三段论、性质判断周延与换质位,换质位：变形不能变意思,1. 2026石景山一模 第5题（选择题）,2026石景山一模,5,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/细则/细则.doc,manual_verified_original_answer_table,source_extracted,4,True,D,False,True,True,True
P0036,三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,1. 2025丰台二模 第16题第（2）问（主观题）,2025丰台二模,16(2),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/细则/分题细则/2025丰台二模评标细则/2025丰台二模评标细则/16.(2).docx,rubric_file_name_matched_full_file,source_extracted,,,,False,False,True,True
P0037,三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,2. 2026海淀二模 第20题第（1）问（主观题）,2026海淀二模,20(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,teacher_version_answer_section_from_original,source_extracted,,,,False,False,True,True
P0038,三段论、性质判断周延与换质位,构建论证：让结论从共同前提长出来,3. 2025西城期末 第17题第（2）问（主观题）,2025西城期末,17(2),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0039,三段论、性质判断周延与换质位,综合辨析：换位、三段论、外延分开看,1. 2026丰台二模 第8题（选择题）,2026丰台二模,8,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026丰台二模/试卷/2026北京丰台高三二模政治（教师版）.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0040,三段论、性质判断周延与换质位,省略前提：把隐藏的大前提补回来,1. 2026东城二模 第12题（选择题）,2026东城二模,12,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
P0041,归纳推理与探求因果联系,不完全归纳推理,1. 2026朝阳一模 第17题第（1）问前半（主观题）,2026朝阳一模,17(1)前半,主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026朝阳一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0042,归纳推理与探求因果联系,不完全归纳推理,2. 2024.11朝阳期中 第18题（主观题）,2024.11朝阳期中,18,主观题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0043,归纳推理与探求因果联系,不完全归纳推理,3. 2026石景山一模 第7题（选择题）,2026石景山一模,7,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026石景山一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0044,归纳推理与探求因果联系,不完全归纳推理,4. 2026海淀二模 第7题（选择题）,2026海淀二模,7,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,manual_verified_original_answer_table,source_extracted,4,True,A,False,True,True,True
P0045,归纳推理与探求因果联系,不完全归纳推理可靠程度,1. 2025朝阳二模 第17题（主观题）,2025朝阳二模,17,主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0046,归纳推理与探求因果联系,不完全归纳推理可靠程度,2. 2024海淀一模 第18题第（2）问（主观题）,2024海淀一模,18(2),主观题,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0047,归纳推理与探求因果联系,不完全归纳推理可靠程度,3. 2026海淀一模 第17题第（2）问（主观题）,2026海淀一模,17(2),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0048,归纳推理与探求因果联系,不完全归纳推理可靠程度,4. 2025石景山一模 第19题（主观题）,2025石景山一模,19,主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,,,,False,False,True,True
P0049,归纳推理与探求因果联系,科学归纳推理与不完全归纳推理,1. 2024西城二模 第18题第（1）问（主观题）,2024西城二模,18(1),主观题,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0050,归纳推理与探求因果联系,探求因果联系中的求异法,1. 2024海淀二模 第5题（选择题）,2024海淀二模,5,选择题,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,teacher_version_answer_section_from_original,source_extracted,4,True,A,False,False,True,True
P0051,归纳推理与探求因果联系,科学归纳、求异法与类比推理,1. 2024东城二模 第17题第（2）问（主观题）,2024东城二模,17(2),主观题,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2024模拟题/东城二模/细则/分题细则/阅卷总结/17题/17-2.docx,rubric_file_name_matched_full_file,source_extracted,,,,False,False,True,True
P0052,类比推理,类比推理,1. 2024.11朝阳期中 第18题（主观题）,2024.11朝阳期中,18,主观题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/补充材料/2024.11期中政治朝阳评标2.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0053,类比推理,类比推理,2. 2026顺义一模 第4题（选择题）,2026顺义一模,4,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,teacher_version_answer_section_from_original,source_extracted,4,True,A,False,False,True,True
P0054,类比推理,类比推理,3. 2024朝阳二模 第19题第（1）问（主观题）,2024朝阳二模,19(1),主观题,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0055,类比推理,类比推理,4. 2026东城二模 第18题（主观题）,2026东城二模,18,主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/试卷/2026北京东城高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026东城二模/细则/18题阅卷细则(5.9).pdf,rubric_file_name_matched_full_file,source_extracted,,,,False,False,True,True
P0056,概念、定义、外延关系与划分,概念划分规则,1. 2026海淀一模 第17题第（1）问（主观题）,2026海淀一模,17(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0057,概念、定义、外延关系与划分,同一律与偷换概念,1. 2026西城一模 第19题第（3）问（主观题）,2026西城一模,19(3),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0058,概念、定义、外延关系与划分,概念外延关系错项辨析,1. 2026顺义一模 第2题（选择题）,2026顺义一模,2,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,teacher_version_answer_section_from_original,source_extracted,4,True,C,False,False,True,True
P0059,概念、定义、外延关系与划分,定义构成与属加种差定义,1. 2024西城一模 第19题第（2）问（主观题）,2024西城一模,19(2),主观题,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0060,概念、定义、外延关系与划分,概念外延中的相容关系与属种关系,1. 2024西城一模 第19题第（3）问（主观题）,2024西城一模,19(3),主观题,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0061,概念、定义、外延关系与划分,概念外延关系图示辨析,1. 2024石景山一模 第7题（选择题）,2024石景山一模,7,选择题,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,teacher_version_answer_section_from_original,source_extracted,4,True,B,False,False,True,True
P0062,概念、定义、外延关系与划分,定义方法与种差加属概念,1. 2026朝阳二模 第19题第（1）问（主观题）,2026朝阳二模,19(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/试卷/2026北京朝阳高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026朝阳二模/细则/202605朝阳高三政治二模阅卷细则(1).docx,direct_question_number,source_extracted,,,,False,False,True,True
P0063,概念、定义、外延关系与划分,同一律与概念确定性,1. 2026石景山二模 第7题（选择题）,2026石景山二模,7,选择题,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026石景山二模/试卷/2026北京石景山高三二模政治（教师版）.docx,teacher_version_answer_section_from_original,source_extracted,4,True,B,False,False,True,True
P0064,选言推理、联言判断与复合判断,选言判断,1. 2026海淀一模 第17题第（1）问（主观题）,2026海淀一模,17(1),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,ocr_vision_direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,direct_question_number,source_extracted,,,,False,False,True,True
P0065,选言推理、联言判断与复合判断,反对关系与联言判断,1. 2026西城一模 第19题第（3）问（主观题）,2026西城一模,19(3),主观题,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,direct_question_number,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,direct_question_number,source_extracted,,,,False,False,True,True
P0066,选言推理、联言判断与复合判断,不相容选言推理（有效式）,1. 2025海淀一模 第21题第（1）问（主观题）,2025海淀一模,21(1),主观题,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,,,,False,False,True,True
P0067,选言推理、联言判断与复合判断,不相容选言推理无效式辨析,1. 2025丰台期末 第9题（选择题）,2025丰台期末,9,选择题,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,direct_question_number,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,teacher_version_answer_section_from_original,source_extracted,4,True,D,False,False,True,True
