entry_id,suite_question,kind,framework_section,evidence_level,evidence_signal
13,2026西城二模 第20题,主观题,人民群众,教师版参考答案,教师版参考答案：第20题可从“群众观点、实事求是、发展观”等角度作答。
14,2026西城二模 第20题,主观题,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,教师版参考答案,教师版参考答案：第20题可从“群众观点、实事求是、发展观”等角度作答。
15,2026西城二模 第20题,主观题,发展的观点 / 发展的普遍性,教师版参考答案,教师版参考答案：第20题可从“群众观点、实事求是、发展观”等角度作答。
16,2026丰台二模 第16题,主观题,尊重客观规律与发挥主观能动性相结合,丰台主观题阅卷说明,丰台主观题阅卷说明：哲学角度列“尊重规律与主观能动性相结合”。
17,2026丰台二模 第16题,主观题,系统观念 / 系统优化,丰台主观题阅卷说明,丰台主观题阅卷说明：哲学角度列“联系观点/系统优化”。
18,2026丰台二模 第16题,主观题,矛盾的特殊性 / 具体问题具体分析,丰台主观题阅卷说明,丰台主观题阅卷说明：哲学角度列“矛盾特殊性/具体问题具体分析”。
19,2026丰台二模 第16题,主观题,价值观的导向作用,丰台主观题阅卷说明,丰台主观题阅卷说明：哲学角度列“正确价值观的导向作用/价值判断与价值选择”。
20,2026丰台二模 第22题,主观题,两点论与重点论,丰台主观题阅卷说明,丰台主观题阅卷说明：第22题可从唯物辩证法作答；拓展答案明确列“主要矛盾、系统观念（系统优化）、联系”。本条放入母版“两点论与重点论”节点，是因为该节点承载主要矛盾方法论。
21,2026丰台二模 第22题,主观题,系统观念 / 系统优化,丰台主观题阅卷说明,丰台主观题阅卷说明：第22题拓展答案列“系统观念（系统优化）、联系”。
22,2026房山二模 第16题,主观题,尊重客观规律与发挥主观能动性相结合,房山评标,房山评标：第16题细则列“正确发挥主观能动性与尊重客观规律”。
23,2026房山二模 第16题,主观题,系统观念 / 系统优化,房山评标,房山评标：第16题细则列“系统观念”，并把“中华工业文化（系统观念/量质变/工匠精神）”对应到设问。
24,2026房山二模 第16题,主观题,量变与质变 / 适度原则,房山评标,房山评标：第16题细则明确“量的积累促成质变，实现事物的飞跃——将‘极致’奉为圭臬”。
25,2026房山二模 第16题,主观题,价值观的导向作用,房山评标,房山评标：第16题细则列“价值观导向作用”。
26,2026房山二模 第18（2）题,主观题,辩证否定 / 守正创新,房山评标,房山评标：第18（2）题细则明确“否定、联系、发展、扬弃”。
27,2026房山二模 第21题,主观题,人民群众,房山评标,房山评标：第21题阅卷参考列“坚持人民至上/人民群众是历史的主体”。
28,2026房山二模 第21题,主观题,矛盾的普遍性,房山评标,房山评标：第21题阅卷参考列“矛盾普遍性，承认分析解决矛盾/伟大斗争”。
29,2026石景山二模 第17（3）题,主观题,联系的普遍性 / 联系的观点（总）,石景山评分细则,石景山评分细则：第17（3）题可从“联系、矛盾、实践与认识关系”等角度回答。
30,2026石景山二模 第17（3）题,主观题,矛盾就是对立统一,石景山评分细则,石景山评分细则：第17（3）题可从“联系、矛盾、实践与认识关系”等角度回答。
31,2026石景山二模 第17（3）题,主观题,实践与认识（总）,石景山评分细则,石景山评分细则：第17（3）题可从“联系、矛盾、实践与认识关系”等角度回答。
32,2026石景山二模 第20题,主观题,系统观念 / 系统优化,石景山评分细则,石景山评分细则：第20题可从“制度优势、高质量发展、文化强国建设、系统观”等角度回答。
33,2026顺义二模 第16题,主观题,矛盾就是对立统一,顺义阅卷版,顺义阅卷版：思路一列“尊重多样性与弘扬主流价值：对立统一，守正创新”。
34,2026顺义二模 第16题,主观题,两点论与重点论,顺义阅卷版,顺义阅卷版：明确写“矛盾具有普遍性和特殊性，要坚持两点论与重点论统一”。
35,2026顺义二模 第16题,主观题,人民群众,顺义阅卷版,顺义阅卷版：明确列“人民群众是历史的创造者，是文化创造的主体”。
36,2026顺义二模 第16题,主观题,价值观的导向作用,顺义阅卷版,顺义阅卷版：明确列“价值观对人们认识世界和改造世界的活动具有重要导向作用”。
37,2026顺义二模 第16题,主观题,价值判断与价值选择,顺义阅卷版,顺义阅卷版：明确列“自觉站在最广大人民的立场上，作出正确的价值判断和价值选择”。
38,2026顺义二模 第16题,主观题,社会存在与社会意识,顺义阅卷版,顺义阅卷版：思路二列“一切从实际出发/实践是认识的基础/社会存在决定社会意识”。
39,2026顺义二模 第16题,主观题,辩证否定 / 守正创新,顺义阅卷版,顺义阅卷版：明确列“对立统一，守正创新”“继承传统，推陈出新”。
40,2026朝阳二模 第3题,选择题,实践与认识（总）,教师版答案,教师版答案：第3题答案D。
41,2026朝阳二模 第3题,选择题,社会存在与社会意识,教师版答案,教师版答案：第3题答案D。
42,2026朝阳二模 第4题,选择题,系统观念 / 系统优化,教师版答案,教师版答案：第4题答案A。
43,2026东城二模 第2题,选择题,辩证否定 / 守正创新,教师版答案,教师版答案：第2题答案C。
44,2026东城二模 第4题,选择题,矛盾就是对立统一,教师版答案,教师版答案：第4题答案D。
45,2026海淀二模 第4题,选择题,联系的客观性,教师版答案,教师版答案：第4题答案A。
46,2026西城二模 第3题,选择题,联系的普遍性 / 联系的观点（总）,教师版答案,教师版答案：第3题答案D。
47,2026西城二模 第4题,选择题,系统观念 / 系统优化,教师版答案,教师版答案：第4题答案A。
48,2026石景山二模 第1题,选择题,系统观念 / 系统优化,教师版答案,教师版答案：第1题答案A。
49,2026石景山二模 第2题,选择题,矛盾就是对立统一,评分细则/答案,评分细则/答案：第2题答案D。
50,2026顺义二模 第3题,选择题,实践是认识的基础,顺义参考答案,顺义参考答案：第3题答案C。
51,2026房山二模 第2题,选择题,社会存在与社会意识,房山答案,房山答案：第2题答案D；题面来自原卷渲染页。
52,2026房山二模 第5题,选择题,主观能动性 / 意识的能动作用,房山答案,房山答案：第5题答案C；题面来自原卷渲染页。
