question_id,suite_id,original_qno,question_type,codex_current_decision,claudecode_decision,decision_reason,needs_codex_recheck
Q-2024朝阳期中-12,S-2024朝阳期中,12,选择题,blocked,excluded,019评标无；试卷page 4材料'高水平社会主义市场经济体制'；③反垄断执法引导有序竞争+其他；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳期中-13,S-2024朝阳期中,13,选择题,blocked,excluded,019评标无；试卷page 4材料'一揽子经济政策房贷利率存款准备金率'；②③稳健货币政策传导路径；属必修二经济与社会宏观调控；非选必三思维。,no
Q-2024朝阳期中-14,S-2024朝阳期中,14,选择题,blocked,excluded,019评标无；试卷page 4材料'国有企业改革'；①完善考核+②竞争性环节市场化改革；属必修一中特+必修二经济与社会；非选必三思维。,no
Q-2024朝阳期中-15,S-2024朝阳期中,15,选择题,blocked,excluded,019评标无；试卷page 4材料'中非合作论坛峰会'；①站在历史正确一边+④推动经济全球化；属选必一国政经；非选必三思维。,no
Q-2024朝阳期中-16,S-2024朝阳期中,16,主观题,blocked,excluded,019评标page 1+018细则确认8分；运用历史唯物主义谈十次三中全会决策部署的'变'与'不变'；社会存在决定社会意识/群众观/生产关系适应生产力/改革是直接动力；属必修四唯物史观；非选必三思维。,no
Q-2024朝阳期中-17,S-2024朝阳期中,17,主观题,blocked,excluded,019评标page 1+018细则确认8分；运用《哲学与文化》分析如何让我国历史悠久的农耕文明在新时代迎来全新面貌；文化6分+哲学2分；属必修四哲学与文化；非选必三思维主链。,no
Q-2024朝阳期中-18,S-2024朝阳期中,18,主观题,blocked,入正文,018细则+019评标page 2确认8分；运用《逻辑与思维》评析楚王和晏子的推理；楚王=不完全归纳推理+或然+轻率概括(以偏概全)+提高可靠性方法 4分；晏子=类比推理+同属性相同推同+具体类比内容+或然但论辩有效 4分；选必三逻辑与思维主观题硬样本。,yes
Q-2024朝阳期中-19,S-2024朝阳期中,19,主观题,入正文,入正文,018细则+019评标page 3 Table 17确认8分；分析'首发经济'的北京朝外样本如何体现创新思维；①业态规划-超前思维+②品牌引进-逆向思维+③零售模式-联想思维+④价值耦合-发散思维与聚合思维；4个角度+总评+总结；选必三创新思维-多角度硬样本。,no
Q-2024朝阳期中-20-1,S-2024朝阳期中,20(1),主观题,excluded,excluded,019评标page 3+018细则确认4分；概括上图所反映的经济信息(数字经济GDP占比/增速波动/数字经济增速高于GDP)；属必修二经济与社会图表分析；非选必三思维。,no
Q-2024朝阳期中-20-2,S-2024朝阳期中,20(2),主观题,excluded,excluded,019评标page 3+018细则确认9分；运用《经济与社会》说明数字经济在推动经济高质量发展方面如何发挥作用；4部分2+2+2+2+1；属必修二经济与社会；非选必三思维。,no
Q-2024朝阳期中-20-3,S-2024朝阳期中,20(3),主观题,excluded,excluded,019评标page 4+018细则确认10分；运用《当代国际政治与经济》以'数字驱动 商通全球'为主题写短评；属选必一国政经；非选必三思维。,no
Q-2026朝阳期中-1,S-2026朝阳期中,1,选择题,excluded,excluded,朝阳期中答案表确认1.A；试卷page 1材料'中央企业资产总额从70万亿到90万亿'；①增强改革活力+②战略性重组专业化整合；属必修一+必修二；非选必三思维。,no
Q-2026朝阳期中-2,S-2026朝阳期中,2,选择题,blocked,excluded,朝阳期中答案表确认2.C；试卷page 1材料'新型消费基础设施升级工程'；②智慧导购商场+④即时零售；属必修二经济与社会；非选必三思维。,no
Q-2026朝阳期中-3,S-2026朝阳期中,3,选择题,blocked,excluded,朝阳期中答案表确认3.C；试卷page 1材料'全球治理倡议'；②守正创新理论品格+③急需性国际公共产品；属选必一国政经；非选必三思维。,no
Q-2026朝阳期中-4,S-2026朝阳期中,4,选择题,excluded,excluded,朝阳期中答案表确认4.A；试卷page 2材料'践行全球治理倡议'；①把握联系的多样性(必修四)+③共商共建共享(选必一)；属必修四+选必一；非选必三思维主链(联系多样性是必修四联系观)。,no
Q-2026朝阳期中-5,S-2026朝阳期中,5,选择题,blocked,excluded,朝阳期中答案表确认5.B；试卷page 2材料'积极应对人口老龄化'；①银发经济+④养老保障制度；属必修二经济与社会；非选必三思维。,no
Q-2026朝阳期中-6,S-2026朝阳期中,6,选择题,blocked,excluded,朝阳期中答案表确认6.B；试卷page 2材料'巴黎协定共同但有区别的责任'；①绿色发展+④共同应对全球气候问题；属选必一国政经；非选必三思维。,no
Q-2026朝阳期中-7,S-2026朝阳期中,7,选择题,blocked,excluded,朝阳期中答案表确认7.D；试卷page 2-3材料'北京前门商圈老字号+国潮'；③具体实际+④文化价值与经济价值统一；属必修四唯物论(实事求是)+必修四辩证法；非选必三思维。,no
Q-2026朝阳期中-8,S-2026朝阳期中,8,选择题,blocked,excluded,朝阳期中答案表确认8.D；试卷page 3材料'科学家南仁东袁隆平邓稼先'；②弘扬科学家精神+④引导学生服务人民；属必修四民族精神+必修一价值观；非选必三思维。,no
Q-2026朝阳期中-9,S-2026朝阳期中,9,选择题,blocked,excluded,朝阳期中答案表确认9.C；试卷page 3材料'民族工作中华民族共同体意识'；②文化相通+③经济相依；属必修一+必修四(中华民族共同体)；非选必三思维。,no
Q-2026朝阳期中-10,S-2026朝阳期中,10,选择题,blocked,excluded,朝阳期中答案表确认10.C；试卷page 3材料'故宫紫禁城与世界系列特展'；C文化发展遵循时代性与历史性相统一；属必修四文化创新；非选必三思维。,no
Q-2026朝阳期中-11,S-2026朝阳期中,11,选择题,blocked,入正文,朝阳期中答案表确认11.A；试卷page 3材料'耐干旱月季花适应北京夏季高温环境补充三段论大前提'；小前提'北京街头大部分绿化花卉是耐干旱月季花'(SiM)+结论'北京街头大部分绿化花卉适应北京夏季高温环境'(SiP)；要补的大前提MAP'耐干旱月季花适应北京夏季高温环境'=第二格AAI式三段论；A正确；选必三推理-三段论第二格补大前提硬样本。,yes
Q-2026朝阳期中-12,S-2026朝阳期中,12,选择题,blocked,入正文,朝阳期中答案表确认12.B；试卷page 3-4材料'思维必须符合逻辑'；A哲学派别只有唯物主义和唯心主义两种(分类不当)+B或者你说错了或者我听错了(相容选言判断，可以同时为真)+C邮件几大类(分类标准混乱)+D仙人掌不像花草也不像植物(违反同类属种)；答案B；选必三逻辑与思维-相容选言判断。,yes
Q-2026朝阳期中-13,S-2026朝阳期中,13,选择题,blocked,入正文,朝阳期中答案表确认13.D；试卷page 4材料'石榴籽紧密相抱用来形容各族同胞手足相亲'；①来源理解(错)+②类比推理(比喻≠类比推理)+③感性具体到思维抽象(对，从石榴具体形象抽出'紧密相连'本质)+④联想思维(对，石榴籽与民族关系联结)；答案D=③④；选必三创新思维-联想思维+认识发展历程-感性具体/思维抽象 综合choice硬样本。,yes
Q-2026朝阳期中-14,S-2026朝阳期中,14,选择题,blocked,入正文,朝阳期中答案表确认14.B；试卷page 4材料'天气谚语朝霞不出门晚霞行千里'；①生活实践产生反作用(必修四认识论)+②求异法(错，谚语是不完全归纳)+③思维一致性揭示本质规律(错，谚语不一定揭示本质)+④没考察全部对象结论或然性(对，不完全归纳)；答案B(①④)；选必三推理-不完全归纳推理或然性硬样本。,yes
Q-2026朝阳期中-15,S-2026朝阳期中,15,选择题,blocked,入正文,朝阳期中答案表确认15.D；试卷page 4材料'小华小浩对散文评论：文笔生动+富有哲理 联言判断'；A自相矛盾(错)+B关系判断的否定(错，联言判断)+C联言支不能并存(错，可以并存)+D否定一个支判断=否定整个联言判断(对，联言判断真值条件全真才真，一假即假)；答案D；选必三逻辑与思维-联言判断真值条件硬样本。,yes
Q-2026朝阳期中-16,S-2026朝阳期中,16,主观题,excluded,excluded,朝阳期中细则Q16确认8分；分析绿色金融'点绿成金'对我国经济社会高质量发展的驱动作用；4层(信贷/保险/债券/绿色金融)；属必修二经济与社会绿色金融；非选必三思维。,no
Q-2026朝阳期中-17,S-2026朝阳期中,17,主观题,excluded,excluded,朝阳期中细则Q17确认8分；运用《当代国际政治与经济》阐述如何处理推进'人工智能+'发展过程中的重要关系；3层(自力更生与对外开放/发展与安全/中国与世界)；属选必一；非选必三思维。,no
Q-2026朝阳期中-18,S-2026朝阳期中,18,主观题,excluded,excluded,朝阳期中细则Q18确认8分；从哲学角度针对'是否应该使用AI提供情绪价值'问题谈思考；矛盾普遍性/具体问题具体分析/辩证否定观；属必修四哲学(辩证看待)；非选必三思维主链。,no
Q-2026朝阳期中-19,S-2026朝阳期中,19,主观题,excluded,excluded,朝阳期中细则Q19确认8分；运用《哲学与文化》为继承和弘扬伟大抗战精神特刊写卷首语；属必修四哲学+文化；非选必三思维主链。,no
Q-2026朝阳期中-20,S-2026朝阳期中,20,主观题,入正文,入正文,朝阳期中细则Q20确认8分；运用辩证思维方法谈如何面对我国在全面建设社会主义现代化国家新征程上的'机遇'与'挑战'；4个角度(矛盾分析法/分析与综合或整体性/质量互变规律/动态性)；选必三辩证思维多角度硬样本。,no
Q-2026朝阳期中-21-1,S-2026朝阳期中,21(1),主观题,excluded,excluded,朝阳期中细则Q21(1)确认9分；运用《经济与社会》和'文化传承与文化创新'知识说明人文经济学理论研究的实践意义；4分经济+4分文化+1分逻辑链；属必修二+必修四文化；非选必三思维主链。,no
Q-2026朝阳期中-21-2,S-2026朝阳期中,21(2),主观题,入正文,入正文,朝阳期中细则Q21(2)确认6分；运用《逻辑与思维》说明该市是如何运用创新思维将人文底蕴转化为经济发展优势的；3-4种创新思维+三新作为额外得分(超前/联想/逆向/三新/发散+聚合5个标准角度)；选必三创新思维多角度硬样本(§十三试跑硬样本)。,no
