decision_id,entry_id,codex_source,claudecode_source,decision,reason,source_backcheck,status
F0015,Q0076/Q0077/Q0078/Q0079,A line source-locked 2024西城一模 Q11-Q13 and 2024朝阳一模 Q7 from original paper plus official answer key,ClaudeCode B line has not independently rerun this delta,accepted_local_source_lock_pending_external_review,Q0076 trains bounded enumeration and same-object substitution; Q0077 trains肯定否定互为条件; Q0078 trains联想非逻辑制约畅想性; Q0079 trains创新思维跨越性 with logic/inheritance boundaries,Codex matched west paper/answer/rubric caches and render check plus chaoyang paper/answer caches,hold_external_review_gptpro_v39_claude_v37
F0016,Q0080,A line support-locked 2024丰台一模 Q7 from paper-with-answer PDF plus local render check,ClaudeCode B line has not independently rerun this delta,accept_as_A_support_hold_external_review,Q0080 trains affirmative-judgment predicate non-distribution; no independent objective-question rubric explanation was recovered,source PDF/cache lines and rendered page_002/page_008 checked; classification cache also lists Q7,support_locked_pending_gptpro_v40_claude_v38
F0017,Q0081/Q0082,A line source-locked 2024海淀一模 Q6-Q7 from original paper and official answer file,ClaudeCode B line has not independently rerun this delta,accepted_local_source_lock_pending_external_review,Q0081 trains选言推理 plus逆向思维 cross-registration; Q0082 trains联言判断 type recognition for 不是P而是Q,Codex matched paper cache lines 98-114 and answer cache lines 21-28; formal细则 checked but no independent objective explanation found,hold_external_review_gptpro_v41_claude_v39
"F0018","Q0083","A line source-locked 2024海淀一模 Q17(2) from original paper official answer and formal rubric","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0083 trains analysis-and-synthesis with three formal scoring layers: analysis of三地特色, synthesis through优势互补, and dialectical unity serving协同发展战略大局","Codex matched paper cache lines 227-259 answer cache lines 41-44 and rubric cache lines 42-57","hold_external_review_gptpro_v42_claude_v40"
"F0019","Q0084/Q0085","A line source-locked 2024朝阳二模 Q19(1)-Q19(2) from original paper and formal marking summary","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0084 trains辩证思维动态性 plus类比推理; Q0085 trains联言判断真值条件","Codex matched paper cache lines 306-324 and rubric cache lines 142-163","hold_external_review_gptpro_v43_claude_v41"
"F0020","Q0086/Q0087/Q0088/Q0089","A line source-locked 2024顺义二模 Q3/Q5/Q6/Q7 from original paper and independent reference-answer key","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0086 trains矛盾分析法信号 and逆向思维误挂; Q0087 trains聚合思维误挂; Q0088 trains复合判断; Q0089 trains必要条件假言判断","Codex matched paper cache lines 38-76 and answer-key cache lines 20-25","hold_external_review_gptpro_v44_claude_v42"
"F0021","Q0090/Q0091","A line support-locked 2024丰台一模 Q10-Q11 from paper-with-answer PDF","ClaudeCode B line has not independently rerun this delta","accept_as_A_support_hold_external_review","Q0090 trains抽象思维与形象思维互补; Q0091 trains必要条件判断; no independent objective-question rubric explanation was recovered","Codex matched paper-with-answer cache lines 106-120 and answer-key lines 287-292","support_locked_pending_gptpro_v45_claude_v43"
"F0022","Q0092","A line source-locked 2024顺义二模 Q2 from original paper and independent reference-answer key","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0092 trains抽象思维误挂 from a wrong option only; correct answer is not a logic-and-thinking point","Codex matched paper cache lines 30-37 and answer-key cache lines 20-25","hold_external_review_gptpro_v46_claude_v44"
"F0023","Q0093/Q0094","A line source-locked 2024海淀二模 Q5-Q6 from original paper, independent reference answer, and formal answer-table cache","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0093 trains探求因果联系求异法; Q0094 trains概念属性、外延关系 and换位推理边界","Codex matched paper cache lines 51-58 and answer/rubric cache lines 20-25/20-23","hold_external_review_gptpro_v47_claude_v45"
"F0024","Q0095/Q0096/Q0097","A line source-locked 2026门头沟一模 Q5/Q6/Q18(2) from original paper, answer key, and formal Q18(2) rubric","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0095 trains扬弃与逆向思维 as choice signal only; Q0096 trains类比推理 plus换位换质; Q0097 trains辩证思维+创新思维 under scientific-thinking prompt","Codex matched paper cache lines 96-113 and 274-280 plus rubric cache lines 20-52 and 121-126","hold_external_review_gptpro_v47_claude_v45"
"F0025","Q0098","A line source-locked 2024海淀二模 Q17(2) from original paper, independent reference answer, and formal rubric","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0098 trains认识发展历程: 感性具体 -> 思维抽象 -> 思维具体, with the relation between investigation and analysis stages not reversible","Codex matched paper cache lines 141-158, answer cache lines 31-33, and rubric cache lines 55-64","hold_external_review_gptpro_v48_claude_v46"
"F0026","Q0099","A line source-locked 2026门头沟一模 Q7 from original paper and formal answer key","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0099 trains辩证思维整体性 as a mixed choice signal while keeping实践第一 as a必修四 boundary and ②/③ as option traps","Codex matched paper cache lines 117-124 and answer-key cache lines 20-52","hold_external_review_gptpro_v49_claude_v47"
"F0027","Q0100","A line source-locked 2026延庆一模 Q18(2) from teacher-version paper and formal scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0100 trains virtual-digital-human governance through辩证思维,适度原则,创新思维 and辩证否定 under an explicit logic-and-thinking prompt","Codex matched paper cache lines 200-226 and rubric cache lines 98-106","hold_external_review_gptpro_v50_claude_v48"
"F0028","Q0101","A line source-locked 2026东城一模 Q19(4) from teacher-version paper and formal answer/scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0101 trains system-view whole-chain technology transfer plus innovation thinking,发散聚合,超前思维 and dynamic replacement boundary","Codex matched paper cache lines 264-270 and scoring source lines 31-58","hold_external_review_gptpro_v51_claude_v49"
"F0029","Q0102","A line source-locked 2026房山一模 Q18(1) from rendered paper page and formal scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0102 trains常态蓝天治理 through整体性/分析与综合,矛盾分析法/具体问题具体分析, and动态性/质量互变 under an explicit辩证思维方法 prompt","Codex matched rendered paper page page_009.png and rubric cache lines 61-68","hold_external_review_gptpro_v52_claude_v50"
"F0030","Q0103-Q0107","A line source-locked 2026石景山一模 Q2/Q5/Q6/Q7/Q17(2) from teacher-version paper, formal answer table, and Q17(2) scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0103 remains a B-choice-signal thinking row; Q0104-Q0106 train换质位边界,必要条件判断,不完全归纳推理; Q0107 trains创新思维建议 through发散聚合 and超前思维","Codex matched paper cache lines 38-46,67-99,207-212,303-306 and scoring source lines 23-25,53-57","hold_external_review_gptpro_v53_claude_v51"
"F0031","Q0108-Q0112","A line source/support-locked 2025丰台二模 Q12/Q13/Q14/Q16(2)/Q19(1) from teacher-version paper, embedded answer key, and Q16(2)/Q19(1) marking rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0108 and Q0110 are A-support thinking choice rows; Q0109 is an A-support reasoning choice row; Q0111 is A-formal syllogism construction; Q0112 is A-formal dual-registration for sufficient-condition judgment and辩证思维综合治理","Codex matched paper cache lines 177-198,214-232,313-347,368-412 and marking-rule sources e3e994 lines 20-78 / 0e0ec lines 20-78","hold_external_review_gptpro_v54_claude_v52"
"F0032","Q0113-Q0117","A line source/support-locked 2026丰台二模 Q8/Q9/Q21 and 2026东城二模 Q12/Q18 from teacher-version papers, answer tables, rendered Fengtai page check, and Q21/Q18 formal scoring sources","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0113/Q0114/Q0116 are A-support reasoning choice rows; Q0115 is an A-formal innovation-thinking main row; Q0117 is an A-formal dual row for analogy reasoning and超前治理","Codex matched Fengtai paper lines 101-144 and 373-391, Fengtai answer lines 15-21, Fengtai rubric lines 234-255, Dongcheng paper lines 71-76 and 105-107/140-141/155-158, and Dongcheng Q18 rubric lines 8-21","hold_external_review_gptpro_v55_claude_v53"
"F0033","Q0118-Q0121","A line source/support-locked 2026朝阳二模 Q5/Q6/Q7/Q19(1) from teacher-version paper, answer table, and Q19(1) formal scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0118/Q0120 are A-support thinking choice rows for形象思维 and创新思维; Q0119 is an A-support reasoning choice row for必要条件判断; Q0121 is an A-formal definition-method main row","Codex matched Chaoyang paper lines 31-46, 110-112, 139-142, 289-290 and scoring-rule lines 46-54","hold_external_review_gptpro_v56_claude_v54"
"F0034","Q0122-Q0128","A line source/support-locked 2026海淀二模 Q3/Q4/Q5/Q6/Q7/Q18(1)/Q20(1) from teacher-version paper, answer table, DOCX table recovery, and Q20(1) scoring standard","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0122-Q0123 are B-choice-signal traps; Q0124-Q0126 are A-support reasoning choice rows; Q0127 is an A-formal thinking main row; Q0128 is an A-formal syllogism-construction main row","Codex matched Haidian paper lines 17-44, 113-118, 139-143, 151-152, 158, 175-176, 188-192 and original DOCX table 1","hold_external_review_gptpro_v57_claude_v55"
"F0035","Q0129","A line source-locked 2026房山二模 Q18(2) from rendered original-paper page and formal marking rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0129 trains辩证否定观 through OPC appearance/development:否定分析,联系,发展,扬弃 and肯定保留/改造风险","Codex matched rendered page fangshan2026_ermo_page_007.png and scoring-rule lines 39-43","hold_external_review_gptpro_v58_claude_v56"
"F0036","Q0130-Q0132","A line source/support-locked 2026西城二模 Q5/Q6/Q18(4) from teacher-version paper, answer table, and rendered评标 page","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0130 is A-support reasoning choice on相容选言/必要条件; Q0131 is A-support thinking choice on联想 and创新思维; Q0132 is A-formal main-thinking row on科学思维客观性,辩证思维 and创新思维","Codex matched Xicheng paper lines 33-45, 129-130, 144-148, 157 and rendered pingbiao page_010.png","hold_external_review_gptpro_v59_claude_v57"
"F0037","Q0133-Q0135","A line source/support-locked 2026石景山二模 Q6/Q7/Q17(2) from teacher-version paper, answer table, and converted formal scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0133 is A-support thinking choice on形象思维/联想想象; Q0134 is A-support reasoning choice on同一律/概念确定性; Q0135 is A-formal main-thinking row on辩证分合 and分析综合","Codex matched Shijingshan paper lines 33-42, 95-100, 116-123 and normalized scoring-rule lines 12-13,34","hold_external_review_gptpro_v60_claude_v58"
"F0038","Q0136-Q0140","A line source/support-locked 2026顺义二模 Q5/Q6/Q7/Q18(1)/Q21 from rendered original PDF pages, answer table, and converted formal scoring rules","ClaudeCode B line has not independently rerun this delta","accepted_local_source_lock_pending_external_review","Q0136 is A-support thinking choice on定性/定量分析; Q0137-Q0138 are B-choice-signal trap/mixed rows; Q0139 is A-formal dual row on矛盾律 and科学思维客观性; Q0140 is A-formal comprehensive scientific-thinking sample with explicit选必3 scoring support","Codex matched Shunyi rendered pages 003,009,012 and normalized scoring-rule lines 5-7,55-57,101,119-125","hold_external_review_gptpro_v61_claude_v59"
