idx,module,node,title,paper_paths,rubric_paths,source_index_rows,path_mapping_status,current_prompt,current_answer,current_extra_labels
13,一、科学思维,结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,3 ; 13 ; 17,mapped_from_old_table_as_locator_only,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,我国依据人工智能技术和应用发展趋势，科学预判未来发展方向，不把人工智能只看成当下工具，而是把它放入长期科技竞争和教育变革中谋划；通过提出分阶段目标、提前布局 AI 教育，使发展规划能够顺应未来技术变革和教育实践需要，体现科学思维结果具有预见性。,
14,一、科学思维,结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025门头沟一模/细则/细则.doc,8 ; 14 ; 47 ; 64 ; 71 ; 85,mapped_from_old_table_as_locator_only,"（1）运用科学思维知识，说明门头沟区从""千年煤城""向""京西智谷""转型的智慧。（9分）",门头沟根据绿色发展、数字经济、人工智能和文旅融合趋势提前培育新动能，预判传统煤城向“京西智谷”转型的未来方向，把矿山退出后的生态涵养、算力布局、数字视听、生物医药和山地文旅联结起来，使产业转型从资源依赖走向高质量发展，体现科学思维结果具有预见性。【提示】原细则21(1)按3角度赋分(9分)：①辩证思维(辩证否定/整体性/动态性/分析与综合 四选一)1+材料1+1=3分；②创新思维(联想/发散/超前 四选二)1+材料1+1=3分；③科学思维客观性or预见性(二选一)1+材料1+1=3分。完整答案需写三个角度。,提示
15,一、科学思维,结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/丰台二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/丰台二模/细则/细则.docx,15 ; 40 ; 86,mapped_from_old_table_as_locator_only,（2）有同学认为，只要我们能够准确预测冰雪经济的发展前景，就能推动冰雪经济高质量发展。结合材料，运用科学思维对该观点进行评析。（6分）,准确预测冰雪经济发展前景，有助于依据政策支持、游客收入增长、雪博会交流平台和市场需求变化等信号把握产业趋势，体现科学思维结果具有预见性；但预测只能帮助看清方向，不能替代现实条件建设。推动高质量发展还要针对场地布局、产业链协同、标准体系、专业人才和核心技术等短板持续补强，把前景判断转化为产业发展能力。【提示】原细则核心采分点为充分条件假言判断的运用错误(前件不充分)+辩证思维(其他多种条件)=6分。,提示
16,一、科学思维,结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026顺义一模/细则/细则.pptx,1 ; 12 ; 16,mapped_from_old_table_as_locator_only,（2）结合材料二，运用《逻辑与思维》知识，说明该企业具身机器人的研发是如何体现科学思维特征的。（6分）,该企业通过多轮应用测试、打磨与迭代，以用户试用和实践效果不断优化、完善设计，确保产品能够切实解决老人居家生活的实际问题；如果功能不能经受真实使用检验，就需要被调整和完善，使研发设想、功能设计和服务效果不断接受实践检验与修正，体现科学思维结果具有可检验性。,
17,一、科学思维,结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025丰台一模/细则/细则.docx,3 ; 13 ; 17,mapped_from_old_table_as_locator_only,结合材料，分析我国在推动新一代人工智能发展的过程中是如何运用科学思维的。（5分）,我国在推进人工智能发展和 AI 教育战略布局过程中，不让规划停留在纸面目标，而是把阶段目标、重点任务和应用安排放到实践中接受检验；再根据发展成果、实践反馈和新问题不断完善相关政策部署，使科学判断能够在真实实践中被验证、修正和推进，体现科学思维结果具有可检验性。,
18,一、科学思维,结果具有可检验性,3. 2025石景山一模 第19题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025石景山一模/细则/细则.doc,6 ; 18 ; 57,mapped_from_old_table_as_locator_only,提出优秀的科学建议不仅要有公共参与意识，还要树立科学思维观念。结合材料，运用《逻辑与思维》所学，简析获奖同学的建议是如何体现科学思维的。（5分）,获奖建议能够从调研报告、模拟提案转化为惠及民生的具体措施，说明其问题判断和解决方案不是停在课堂设想中，而是在社会治理实践中接受群众需求、部门采纳、政策执行和治理效果的检验；能否解决真实问题、产生公共价值，成为判断建议是否科学的重要标准，体现科学思维结果具有可检验性。,
19,一、科学思维,结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/试卷/2026北京海淀高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026海淀二模/细则/26海淀高三政治二模讲评.pdf,11 ; 19 ; 33 ; 62,mapped_from_old_table_as_locator_only,（1）结合材料一，运用《逻辑与思维》知识，说明上述做法的合理性。（6分）,育种团队把试验田里种出的每一批花送到花市参与分级和拍卖，用市场数据完成对科研成果的最终确认；品种好不好不只由实验室判断，还要接受真实市场实践检验，使科研判断不断被验证和修正，体现科学思维结果具有可检验性。,
20,一、科学思维,结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,5 ; 20 ; 35,mapped_from_old_table_as_locator_only,运用《逻辑与思维》知识，指出上述调查问卷中的逻辑错误。（2分）为提高调研活动的科学性，提出具体可行的建议。（4分）,改进调研时，可先根据无障碍设施真实使用场景修订问卷选项，再通过实地测量、对比不同人群的回答，或与相关部门数据比对，检验结论是否可靠、能否经得起实践反复检验；也可比较老年人、残障人士、儿童、普通在职职工、离退休人员、相关行业从业者等不同群体反馈，用后续调查结果验证改进方案的有效性，体现科学思维结果具有可检验性。【提示】原细则赋分(6分)：逻辑错误(划分标准不一、选言判断遗漏)2分+建议(科学思维/逻辑思维规则/辩证思维 三角度任选两条，每条建议1分+知识1分)4分。,提示
21,二、辩证思维,整体性,1. 2025海淀二模 第20题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,21 ; 27 ; 29 ; 41 ; 44,mapped_from_old_table_as_locator_only,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,"推进共同富裕应坚持辩证思维的整体性，将共享主体、建设领域、合法权益和人人参与作为相互支撑的整体来安排，把人人共享、各方面建设成果共享、合法权益保障和共建共享放在同一共享发展格局中统筹；这样才能使发展成果共享、权益保障和共同建设相互促进，而不是就某一项孤立用力。【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在""分析与综合""""量变与质变""等节属于知识延伸，写入卷面只采前述三个角度计分。",官方判分提示
22,二、辩证思维,整体性,2. 2025东城一模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,22,mapped_from_old_table_as_locator_only,（1）结合材料一，说明“两重”实施是如何体现辩证思维的。（4分）,"""两重""实施坚持辩证思维的整体性，把硬投资、软建设、重点领域和安全能力建设作为相互联系的整体来推进，既用重大工程和重大项目夯实发展基础，又用政策、规划、体制机制和投入机制提供制度支撑，使资源投入、治理能力和战略目标相互配合，形成办成大事难事的整体合力。【提示】原细则赋分(4分)：第一层(整体性/动态性/实践观三选一+材料)2分+第二层(主要矛盾/两点论与重点论)2分。仅写整体性最多2分，必须补""抓主要矛盾，聚焦新质生产力发展等核心领域""。",提示
23,二、辩证思维,整体性,3. 2026东城一模 第19题第（4）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/分题细则/东城一模评标细则（勿传）/19（4）.pptx,23 ; 60,mapped_from_old_table_as_locator_only,（4）2035年，中关村将建成全球科技创新的主要引擎和关键枢纽。结合材料，运用系统观念与创新思维的知识，谈谈中关村应如何“把‘1’拉长、推进”。（5分）,中关村应坚持整体性，把基础研究、技术研发、成果转化、产业应用、人才平台和市场机制作为相互联系的整体统筹起来，打通原创成果从书架到货架的转化链。只有让科研突破、企业承接、市场应用和制度支持相互衔接，才能使“从 0 到 1”的突破继续推进为从有到强、从点到链的系统升级。,
24,二、辩证思维,整体性,4. 2026房山一模 第18题第（1）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026房山一模/细则/细则.docx,24,mapped_from_old_table_as_locator_only,（1）结合材料一，运用辩证思维方法，分析北京是如何通过科学治理实现“常态蓝天”的。（6分）,"北京运用辩证思维，坚持整体性，把产业、能源、交通、用地结构调整和多污染物协同控制联系起来统筹推进，不能把常态蓝天理解为某一个污染源的单点治理结果；同时在整体治理中兼顾重点区域、重点行业、重点时段和重点企业，使分区分类、一企一策等精准措施共同服务于空气质量持续改善和常态蓝天这一整体目标。【提示】原细则按 (1+1)×3=6 分赋分，要求""整体性 + 矛盾分析法（具体问题具体分析：重点区域/行业/时段精准施策）+ 动态性/量变质变（久久为功、日积月累）""三组路径都要写到，仅写整体性最多得 2 分。",提示
25,二、辩证思维,整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026门头沟一模/细则/细则.docx,25 ; 51,mapped_from_old_table_as_locator_only,（2）结合材料，运用《逻辑与思维》知识，说明法院在本案解决环境纠纷过程中运用的科学思维方法。（7分）,"法院坚持辩证思维的整体性，把赤泥库纠纷中的环境污染风险、地质灾害隐患、公共安全、文物保护、生态修复、产业转型和多方责任联系起来整体把握，不把案件简化为单一赔偿或单点污染处理；通过统筹企业治理、行政监管、社会组织参与和公共利益保护，形成兼顾生态、经济和社会效益的纠纷解决思路。【提示】原细则按辩证思维(3分)+创新思维(3分)+整体逻辑(1分)赋分(7分)，仅写整体性最多得3分，必须同时补""组织技术论证、引导多方协商、运用发散与聚合形成创新调解方案""等创新思维内容。",提示
26,二、辩证思维,整体性,6. 2025西城一模 第17题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,9 ; 26 ; 56,mapped_from_old_table_as_locator_only,结合材料，说明“温榆生态心”建设中蕴含的科学思维。（7分）,"温榆生态心建设坚持辩证思维的整体性，把清河与温榆河交汇形成的水系、生物栖息空间、河心岛、深潭浅滩、粮田保留和核心区封闭作为相互联系的整体来规划，使水、田、鸟兽、荒野空间和人为干预边界共同服务生态恢复，形成更稳定的生态系统和良好生态环境。【提示】原细则按""客观性+辩证思维(整体性、联系、发展)+创新思维""三个角度赋分(7分)，仅写整体性最多得3分，须三个角度同写才能拿到6-7分。",提示
27,二、辩证思维,整体性,7. 2026西城二模 第18题第（4）问（主观题）,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/试卷/2026北京西城高三二模政治（教师版）.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区二模/2026西城二模/细则/西城二模评标.pdf,10 ; 39 ; 55,mapped_from_old_table_as_locator_only,（4）运用《逻辑与思维》知识，说明我们应如何提升思维品质以适应人机协同的新常态。（7分）,适应人机协同新常态，应坚持辩证思维的整体性和全面观点，全面看待 AI 技术发展现状，既看到 AI 在信息处理和辅助学习中的作用，也警惕幻觉、偏见、错误和隐蔽价值立场；不盲目迷信、不全盘否定，在证据核验和独立判断中实现人与智能良性互动、协同共生。【提示】原细则按三个角度赋分(7分)：①科学思维特征(客观性)；②辩证思维(全面、发展观点)；③创新思维(三新或逆向思维)。仅写一个角度最多3分，三个角度+至少一点深入才能拿到6-7分。,提示
28,二、辩证思维,动态性,1. 2025海淀二模 第20题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,21 ; 27 ; 29 ; 41 ; 44,mapped_from_old_table_as_locator_only,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,"推进共同富裕要坚持动态性，看到它不是一次完成的静态结果，而是随共享主体扩大、共享领域拓展、合法权益保障和共建参与不断推进的渐进过程，会经历由低到高、由不均衡到均衡的变化；应根据不同发展阶段不断推进全民共享、全面共享、共建共享和渐进共享，使共享水平在发展中持续提升。【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。",官方判分提示
29,二、辩证思维,动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf ; /Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/补充材料/细则.docx,28,mapped_from_old_table_as_locator_only,（1）生生之宇宙观体现了辩证思维的 ① 特征。人效法天地之德体现的推理类型是 ② 推理。（4分）,"生生之宇宙观把宇宙理解为不断生成、变化、更新和展开的过程，说明事物总在运动变化中存在和发展。认识和处理问题时不能把对象看成静止不变的状态，而应从其发生、发展和转化过程中把握趋势与方向，用变化发展的眼光分析问题、指导行动，体现辩证思维的动态性。【提示】原细则赋分(4分=动态性2分+类比推理2分)：①动态性(可替换""用变化发展的观点看问题/矛盾运动的观点/创新"")给1分+判断空格""动态性""2分；②类比推理(无替换)2分。本条目仅展开动态性，整道题还须答类比推理。",提示
30,二、辩证思维,分析与综合,1. 2025海淀二模 第20题（主观题）,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/其他材料/2025届二模考试讲评0510.pdf ; /Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,21 ; 27 ; 29 ; 41 ; 44,mapped_from_old_table_as_locator_only,结合材料，运用辩证思维知识，谈谈如何更好地坚持共享发展理念推进共同富裕。（6分）,"推进共同富裕应运用分析与综合，先分别分析全民共享、全面共享、共建共享和渐进共享在共享主体、共享领域、合法权益、人人参与和推进过程上的不同要求，弄清各层次解决什么问题；再把这些要求综合为相互衔接的共享发展格局，使发展成果不是由某一群体单向获得，而是在全体人民共建共享、循序渐进中转化为共同富裕。【官方判分提示】该题(6分)官方采""整体性+动态性+辩证否定""三个角度，每个角度2分；本宝典将此题挂在多个节属于知识延伸，写入卷面只采前述三个角度计分。",官方判分提示
31,二、辩证思维,分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/石景山一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/石景山一模/细则/细则.pptx,30,mapped_from_old_table_as_locator_only,（3）中国企业在“走出去”的过程中，还缺乏相应经验，在适应投资国法律制度、技术标准、市场营销、人员管理、当地文化等方面还存在一定的冲突和问题。运用《逻辑与思维》知识，任用一种辩证思维方法，针对上述问题提出合理建议。（4分）,企业应运用分析与综合的方法，分别分析投资国法律制度、技术标准、市场营销、人员管理和当地文化等差异，明确各环节可能带来的经营风险和适应要求；再把合规建设、技术调整、营销策略、管理方式和文化沟通综合起来，形成适合当地条件的本土化经营方案。,
32,二、辩证思维,分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,31,mapped_from_old_table_as_locator_only,结合材料二，运用分析与综合的思维方法，说明京津冀协同发展是如何书写新篇章的。（6分）,京津冀三省市应从协同发展的战略大局出发，先科学分析各自功能定位、资源禀赋、产业基础和特色优势，明确各自在区域发展中的作用；再在分析基础上综合把握区域差异和共同需求，通过共商合作大计、推动优势互补和协同联动，把各自发展特质统一到京津冀协同发展整体格局中，服务区域高质量发展。,
