question_id,year,district,exam_stage,question_no,evidence_level,corpus_bucket,coverage_status,framework_run_status,sentence_bank_status,material_atoms_count,rubric_atoms_count,deliverable_section_status,pending_or_exclusion_note,source_locator
CC0150_2025_朝阳_二模_20,2025,朝阳,二模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,6,24,正文示范,none_in_patched_corpus,F0117:text | F0119:page 6 | F0119:page 9
CC0157_2025_朝阳_期末_20,2025,朝阳,期末,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,15,10,正文示范,none_in_patched_corpus,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20
CC0162_2025_海淀_一模_18,2025,海淀,一模,18,reference_only,open_reference_or_weak,covered_open_or_reference,OPEN_OR_REFERENCE,present,8,4,开放容器/弱证据或综合边界示范,none_in_patched_corpus,F0089:page 2 | F0090:page 5 | F0090:page 8 | F0305:text lines 358-360; no formal scoring source located in F0088/F0307
CC0180_2025_海淀_期末_20,2025,海淀,期末,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,4,6,正文示范,none_in_patched_corpus,F0139:text | F0138:slides 39-41; F0139:text Q20
CC0181_2025_海淀_期末_21,2025,海淀,期末,21,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,12,5,正文示范,none_in_patched_corpus,F0139:text | F0138:slides 46-47; F0139:text Q21
CC0189_2025_石景山_一模_20,2025,石景山,一模,20,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,18,4,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
CC0195_2025_西城_一模_20,2025,西城,一模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,3,1,正文示范,none_in_patched_corpus,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text
CC0200_2025_西城_二模_18,2025,西城,二模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,7,1,正文示范,none_in_patched_corpus,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
CC0206_2025_西城_期末_19,2025,西城,期末,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,10,1,正文示范,none_in_patched_corpus,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
CC0213_2025_门头沟_一模_20,2025,门头沟,一模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,14,9,正文示范,none_in_patched_corpus,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20
CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,4,5,正文示范,none_in_patched_corpus,F0095:text | F0313:text
CC0223_2025_顺义_一模_19,2025,顺义,一模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,24,6,正文示范,none_in_patched_corpus,F0098:page 16 | F0098:page 6 | F0097:text lines 46-55; F0314:text Q19
CC0229_2026_东城_一模_18,2026,东城,一模,18,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,10,8,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0153:page 7 | F0155:page 6 | F0155:page 9 | F0356:page 7
CC0238_2026_东城_二模_19,2026,东城,二模,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,8,6,正文示范,none_in_patched_corpus,F0186:text | F0184:pages 1-3; F0186:text around answer
CC0244_2026_东城_期中_18,2026,东城,期中,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,9,8,正文示范,none_in_patched_corpus,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
CC0245_2026_东城_期中_18_2,2026,东城,期中,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,15,4,正文示范,none_in_patched_corpus,F0205:slide 56
CC0251_2026_丰台_一模_20,2026,丰台,一模,20,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,24,16,正文示范,none_in_patched_corpus,F0156:slide 51
CC0254_2026_丰台_二模_18,2026,丰台,二模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,21,9,正文示范,none_in_patched_corpus,F0187:slide 29
CC0276_2026_房山_二模_17,2026,房山,二模,17,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,6,1,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0189:text | F0190:text | F0191:page 10
CC0277_2026_房山_二模_18,2026,房山,二模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,6,11,正文示范,none_in_patched_corpus,F0189:text | F0190:text | F0191:page 10
CC0283_2026_朝阳_一模_18,2026,朝阳,一模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,9,5,正文示范,none_in_patched_corpus,F0162:text | F0163:page 11 | F0163:page 6 | F0373:text
CC0289_2026_朝阳_二模_18,2026,朝阳,二模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,6,8,正文示范,none_in_patched_corpus,F0193:text | F0194:text
CC0311_2026_海淀_二模_18,2026,海淀,二模,18,reference_only,open_reference_or_weak,covered_open_or_reference,OPEN_OR_REFERENCE,present,12,5,开放容器/弱证据或综合边界示范,none_in_patched_corpus,F0197:text | F0197:text Q18 answer; F0196 lecture mostly watermark/OCR risk
CC0317_2026_海淀_期中_18,2026,海淀,期中,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,7,1,正文示范,none_in_patched_corpus,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
CC0318_2026_海淀_期中_18_2,2026,海淀,期中,18,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,4,1,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0216:page 2 | F0396:page 2
CC0319_2026_海淀_期中_19,2026,海淀,期中,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,3,1,正文示范,none_in_patched_corpus,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
CC0325_2026_石景山_一模_18,2026,石景山,一模,18,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,12,3,正文示范,none_in_patched_corpus,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
CC0332_2026_石景山_二模_19,2026,石景山,二模,19,formal,core_recovered,covered_recovered_core,PASS_RECOVERED,present,6,1,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0198:text | F0199:text
CC0340_2026_西城_一模_17,2026,西城,一模,17,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,7,1,正文示范,none_in_patched_corpus,F0169:text | F0171:text | F0379:text | F0380:text
CC0353_2026_西城_期中_17,2026,西城,期中,17,reference_only,open_reference_or_weak,covered_open_or_reference,OPEN_OR_REFERENCE,present,2,1,开放容器/弱证据或综合边界示范,none_in_patched_corpus,F0221:page 11
CC0364_2026_通州_期中_19_1,2026,通州,期中,19,formal,inherited_from_v1_or_original_merged,covered_v1_pass_or_retained,PASS,present,16,8,正文示范,none_in_patched_corpus,F0223:slide 11 | F0403:slide 11
CC0305_2026_海淀_一模_18_3,2026,海淀,一模,18,formal,core_recovered_split,covered_recovered_core,PASS_RECOVERED,present,3,3,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0165:lines 87-96 | F0375:lines 87-96
CC0373_2026_顺义_一模_18,2026,顺义,一模,18,formal,core_recovered_split,covered_recovered_core,PASS_RECOVERED,present,3,7,正文示范（边界恢复/拆分恢复）,none_in_patched_corpus,F0177:lines 302-327 | F0176:lines 35-47
CC0380_2026_顺义_二模_18_2,2026,顺义,二模,18,formal,open_formal_split,covered_open_or_reference,OPEN_OR_REFERENCE,present,3,4,开放容器/弱证据或综合边界示范,none_in_patched_corpus,F0202:lines 53-55
