question_id,source_question_id,year,district,exam_stage,evidence_level,corpus_bucket,strict_core_status,open_container_status,origin,reason
CC0180_2025_海淀_期末_20,CC0180_2025_海淀_期末_20,2025,海淀,期末,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0181_2025_海淀_期末_21,CC0181_2025_海淀_期末_21,2025,海淀,期末,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0189_2025_石景山_一模_20,CC0189_2025_石景山_一模_20,2025,石景山,一模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复并可支撑既有核心：委托合同违约、反不正当竞争、创新保护。
CC0195_2025_西城_一模_20,CC0195_2025_西城_一模_20,2025,西城,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0200_2025_西城_二模_18,CC0200_2025_西城_二模_18,2025,西城,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0206_2025_西城_期末_19,CC0206_2025_西城_期末_19,2025,西城,期末,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0213_2025_门头沟_一模_20,CC0213_2025_门头沟_一模_20,2025,门头沟,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0214_2025_门头沟_一模_20_2,CC0214_2025_门头沟_一模_20_2,2025,门头沟,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0223_2025_顺义_一模_19,CC0223_2025_顺义_一模_19,2025,顺义,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0229_2026_东城_一模_18,CC0229_2026_东城_一模_18,2026,东城,一模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,已完成 CC0229 rubric_atom 边界补丁：从 F0153/F0146 替换为知识产权、诉讼调解、惩罚性赔偿、恶意诉讼等 8 条 formal 法律细则原子；可计入严格闭合核心，但最终宝典相关段落仍需重生成。
CC0238_2026_东城_二模_19,CC0238_2026_东城_二模_19,2026,东城,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0244_2026_东城_期中_18,CC0244_2026_东城_期中_18,2026,东城,期中,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0245_2026_东城_期中_18_2,CC0245_2026_东城_期中_18_2,2026,东城,期中,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0251_2026_丰台_一模_20,CC0251_2026_丰台_一模_20,2026,丰台,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0254_2026_丰台_二模_18,CC0254_2026_丰台_二模_18,2026,丰台,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0276_2026_房山_二模_17,CC0276_2026_房山_二模_17,2026,房山,二模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复为低频正式样本：涉外法律法规体系、调解仲裁诉讼衔接；注意必修三边界。
CC0277_2026_房山_二模_18,CC0277_2026_房山_二模_18,2026,房山,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0283_2026_朝阳_一模_18,CC0283_2026_朝阳_一模_18,2026,朝阳,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0289_2026_朝阳_二模_18,CC0289_2026_朝阳_二模_18,2026,朝阳,二模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0311_2026_海淀_二模_18,CC0311_2026_海淀_二模_18,2026,海淀,二模,reference_only,open_reference_or_weak,no,yes,original_merged_retained,弱示范：知识产权财产权、质押融资、作价出资、专利奖励；reference_only，不支撑核心。
CC0317_2026_海淀_期中_18,CC0317_2026_海淀_期中_18,2026,海淀,期中,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0318_2026_海淀_期中_18_2,CC0318_2026_海淀_期中_18_2,2026,海淀,期中,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复并可支撑既有核心：住房租赁示范合同、格式条款、诚信、合同纠纷、市场监管。
CC0319_2026_海淀_期中_19,CC0319_2026_海淀_期中_19,2026,海淀,期中,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0325_2026_石景山_一模_18,CC0325_2026_石景山_一模_18,2026,石景山,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0332_2026_石景山_二模_19,CC0332_2026_石景山_二模_19,2026,石景山,二模,formal,core_recovered,strict_core_recovered,no,original_merged_retained,恢复为低频正式样本：校园欺凌、人格权/财产权、父母教育惩戒义务，不扩主干。
CC0340_2026_西城_一模_17,CC0340_2026_西城_一模_17,2026,西城,一模,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0353_2026_西城_期中_17,CC0353_2026_西城_期中_17,2026,西城,期中,reference_only,open_reference_or_weak,no,yes,original_merged_retained,弱示范：不正当竞争与未成年人保护方向明确，但 reference_only。
CC0364_2026_通州_期中_19_1,CC0364_2026_通州_期中_19_1,2026,通州,期中,formal,inherited_from_v1_or_original_merged,inherited_or_to_be_checked_against_v1_pass,no,original_merged_retained,Retained from original merged corpus; no after-GPT boundary removal decision.
CC0305_2026_海淀_一模_18_3,CC0305_2026_海淀_一模_18,2026,海淀,一模,formal,core_recovered_split,strict_core_recovered,no,split_patch,拆分恢复：Q18(3) 是隐私权、消费者知情权、虚假宣传、欺诈赔偿 formal 法律小问。
CC0373_2026_顺义_一模_18,CC0373_2026_顺义_一模_17,2026,顺义,一模,formal,core_recovered_split,strict_core_recovered,no,split_patch,拆分恢复：Q18 劳动就业歧视与竞业限制有 formal 细则，应单独入库。
CC0380_2026_顺义_二模_18_2,CC0380_2026_顺义_二模_18,2026,顺义,二模,formal,open_formal_split,no,yes,split_patch,拆分为开放容器：有 formal 法律给分口径，但同时允许必修三角度，不单独支撑核心。
