ask_atom_id,question_id,ask_text,ask_function_plain,module_requirement,requires_material_connection,requires_value_discussion,requires_behavior_evaluation,requires_solution_or_measure,student_task_plain,source_locator
A_Q0013_2024_海淀_一模_18_01,Q0013_2024_海淀_一模_18,分析认识对象与有关现象之间的因果关系等方法。（1分，可替换：运用求同法、求异法、共变法等探求因果关系的具体方法）,说明,不确定,uncertain,uncertain,yes,no,分析认识对象与有关现象之间的因果关系等方法。（1分，可替换：运用求同法、求异法、共变法等探求因果关系的具体方法）,F0024:text | F0250:text
A_Q0014_2024_海淀_一模_19_01,Q0014_2024_海淀_一模_19,运用《法律与生活》知识，谈谈对本案判决的认识。,综合,法律与生活,uncertain,uncertain,yes,no,运用《法律与生活》知识，谈谈对本案判决的认识。,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
A_Q0015_2024_海淀_一模_20_01,Q0015_2024_海淀_一模_20,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0024:text | F0250:text
A_Q0016_2024_海淀_二模_19_01,Q0016_2024_海淀_二模_19,"请求判令：（1）确认某居委会与曹某签订的协议有效；（2）曹某名下的房屋、股权、现金、存款归某居委会所有。
【裁判结果】法院认为，案涉协议符合法律有关遗赠扶养协议的规定，属于有效的遗赠扶养协议；原告某居委会对被扶养人曹某已尽到扶养义务，判决被继承人曹某安置所得的房屋以及其生前遗留的股权、现金、银行存款本息归某居委会所有。
结合材料，运用《法律与生活》知识，分析本案判决的社会价值。",意义,法律与生活,yes,yes,uncertain,no,"请求判令：（1）确认某居委会与曹某签订的协议有效；（2）曹某名下的房屋、股权、现金、存款归某居委会所有。
【裁判结果】法院认为，案涉协议符合法律有关遗赠扶养协议的规定，属于有效的遗赠扶养协议；原告某居委会对被扶养人曹某已尽到扶养义务，判决被继承人曹某安置所得的房屋以及其生前遗留的股权、现金、银行存款本息归某居委会所有。
结合材料，运用《法律与生活》知识，分析本案判决的社会价值。",F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
A_Q0017_2024_海淀_二模_21_01,Q0017_2024_海淀_二模_21,"请复议，在香港特别行政区可以依据其法律规定提出上诉。
时间 | 阶段 | 主要任务
2024年2-4月 | 调查准备 | 选聘培训调查员，研发部署调查软件等
2024年5月至年底 | 调查组织实施 | 开展现场调查，审核、汇总并发布调查主要数据
2024年底至2025年 | 调查资料开发应用 | 编辑出版调查资料，开展研究分析等
因素 | 内容
产业基础 | “长株潭”（长沙、株洲、湘潭）、郑州、合肥、南昌等都市圈深入推进城市间合作，以基础设施互联互通、公共服务共建共享为重点，不断形成区域竞争新优势。",说明,不确定,uncertain,uncertain,uncertain,no,"请复议，在香港特别行政区可以依据其法律规定提出上诉。
时间 | 阶段 | 主要任务
2024年2-4月 | 调查准备 | 选聘培训调查员，研发部署调查软件等
2024年5月至年底 | 调查组织实施 | 开展现场调查，审核、汇总并发布调查主要数据
2024年底至2025年 | 调查资料开发应用 | 编辑出版调查资料，开展研究分析等
因素 | 内容
产业基础 | “长株潭”（长沙、株洲、湘潭）、郑州、合肥、南昌等都市圈深入推进城市间合作，以基础设施互联互通、公共服务共建共享为重点，不断形成区域竞争新优势。",F0053:text | F0274:text
A_Q0018_2024_海淀_期中_21_1_01,Q0018_2024_海淀_期中_21_1,(1)运用法治知识，对小海的观点进行评析。（6分）,评析,法治知识,uncertain,yes,yes,no,(1)运用法治知识，对小海的观点进行评析。（6分）,F0027:page 52
A_Q0019_2024_石景山_一模_17_01,Q0019_2024_石景山_一模_17,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,意义,不确定,uncertain,yes,uncertain,no,运用法律知识，结合案情，说明甲乙两公司合同成立的理由，并从民法基本原则角 度阐述该司法判决的意义。,F0056:text | F0276:text
A_Q0020_2024_石景山_一模_18_01,Q0020_2024_石景山_一模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0056:text | F0276:text
A_Q0021_2024_西城_一模_18_01,Q0021_2024_西城_一模_18,请回避的适当理由。,原因,不确定,uncertain,uncertain,uncertain,no,请回避的适当理由。,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text
A_Q0022_2024_西城_二模_16_01,Q0022_2024_西城_二模_16,"请求不应支持，故判决支持甲就首单购买饼干提出的惩罚性赔偿请求。
结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。",意义,法律与生活,yes,yes,yes,no,"请求不应支持，故判决支持甲就首单购买饼干提出的惩罚性赔偿请求。
结合材料，运用《法律与生活》的知识，分析人民法院判决的意义。",F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text
A_Q0023_2024_顺义_二模_17_01,Q0023_2024_顺义_二模_17,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0068:text | F0290:text
A_Q0024_2024_顺义_二模_19_01,Q0024_2024_顺义_二模_19,结合材料，综合运用所学，谈谈对实现中华民族伟大复兴需要“不断谱写马克思主义中国化时代化新篇章”的认识。,综合,不确定,yes,yes,yes,no,结合材料，综合运用所学，谈谈对实现中华民族伟大复兴需要“不断谱写马克思主义中国化时代化新篇章”的认识。,F0069:text | F0289:text
A_Q0025_2025_东城_一模_19_01,Q0025_2025_东城_一模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
A_Q0026_2025_东城_二模_19_01,Q0026_2025_东城_二模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
A_Q0027_2025_东城_期末_18_2_01,Q0027_2025_东城_期末_18_2,"结合材料，中
国式现代化，
民生为大是价
值取向，更是
实践要求。",综合,不确定,yes,yes,uncertain,no,"结合材料，中
国式现代化，
民生为大是价
值取向，更是
实践要求。",F0128:page 9 | F0338:page 9
A_Q0028_2025_东城_期末_19_01,Q0028_2025_东城_期末_19,运用《法律与生活》和《政治与法治》知识，完成下列任务。,综合,法律与生活,uncertain,yes,uncertain,no,运用《法律与生活》和《政治与法治》知识，完成下列任务。,F0130:page 18 | F0130:page 5
A_Q0029_2025_东城_期末_19_1_01,Q0029_2025_东城_期末_19_1,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0129:slide 11
A_Q0030_2025_东城_期末_19_3_01,Q0030_2025_东城_期末_19_3,结合材料，综合运用所学，谈谈你对这句话的理解。,综合,不确定,yes,yes,uncertain,no,结合材料，综合运用所学，谈谈你对这句话的理解。,F0129:slide 14
A_Q0031_2025_东城_期末_21_01,Q0031_2025_东城_期末_21,"结合材料，综合运用所学，谈谈你对这句话的理
解。",综合,不确定,yes,yes,uncertain,no,"结合材料，综合运用所学，谈谈你对这句话的理
解。",F0130:page 6
A_Q0032_2025_丰台_一模_19_01,Q0032_2025_丰台_一模_19,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,意义,法治知识,yes,yes,uncertain,no,结合材料，运用法治相关知识，分析本案作为人民法院保护科技创新典型案例的意义。,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
A_Q0034_2025_丰台_二模_17_01,Q0034_2025_丰台_二模_17,"结合材料，运用《法律与生活》知识，谈谈在中华优秀传统文化传承与创新中，法律规定著作权并对其加以限制的意义.
【答案】①法律对知识产权的限制在著作权上包括合理使用和法定许可使用。",意义,法律与生活,yes,yes,uncertain,no,"结合材料，运用《法律与生活》知识，谈谈在中华优秀传统文化传承与创新中，法律规定著作权并对其加以限制的意义.
【答案】①法律对知识产权的限制在著作权上包括合理使用和法定许可使用。",F0111:text | F0323:text
A_Q0035_2025_丰台_二模_18_01,Q0035_2025_丰台_二模_18,"4.拓展延伸方面:关注经济热点,定期引入如消费新业态发展、促消费政策实施等经济热点案例，组织学生讨论分析，将所学知识与现实经济现象紧密结合，增强知识运用能力和对经济问题的敏感度。",说明,不确定,uncertain,yes,uncertain,no,"4.拓展延伸方面:关注经济热点,定期引入如消费新业态发展、促消费政策实施等经济热点案例，组织学生讨论分析，将所学知识与现实经济现象紧密结合，增强知识运用能力和对经济问题的敏感度。",F0109:text | F0321:text
A_Q0036_2025_丰台_二模_19_01,Q0036_2025_丰台_二模_19,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0114:page 10
A_Q0037_2025_丰台_二模_20_01,Q0037_2025_丰台_二模_20,"请求开发这款AI 产品的互联网企业承担侵权责
任。

调研
法院在深入调研后，发现 AI 产品拥有千亿级参数规模的通用大模型，生成的具体内
容具有高度的不可预测性。该互联网企业已经从语料输入、模型运行到内容输出等各
个环节进行了定期跟踪和核查，尽到了相应的义务。

建议
法院遂开出具有前瞻性、可操作性的司法建议：给AI 装上“版权雷达”,提前扫描
问 题指令；在输出端部署“数字巡警”,实时扫描可疑链接；定期开展“安全体
检”,关 注 AI 健康。",建议,不确定,uncertain,uncertain,uncertain,yes,"请求开发这款AI 产品的互联网企业承担侵权责
任。

调研
法院在深入调研后，发现 AI 产品拥有千亿级参数规模的通用大模型，生成的具体内
容具有高度的不可预测性。该互联网企业已经从语料输入、模型运行到内容输出等各
个环节进行了定期跟踪和核查，尽到了相应的义务。

建议
法院遂开出具有前瞻性、可操作性的司法建议：给AI 装上“版权雷达”,提前扫描
问 题指令；在输出端部署“数字巡警”,实时扫描可疑链接；定期开展“安全体
检”,关 注 AI 健康。",F0114:page 7
A_Q0038_2025_丰台_期末_18_2_01,Q0038_2025_丰台_期末_18_2,"结合材料和所学知识分析法院裁判的法理依据，学生会权利与义务角度分析尹某败诉和用人单位胜诉的原因，
部分学生在分析意义时能够从多角度论述，例如从劳动者、企业和社会三个方面。",意义,不确定,yes,yes,uncertain,no,"结合材料和所学知识分析法院裁判的法理依据，学生会权利与义务角度分析尹某败诉和用人单位胜诉的原因，
部分学生在分析意义时能够从多角度论述，例如从劳动者、企业和社会三个方面。",F0131:slide 31 | F0342:slide 31
A_Q0039_2025_丰台_期末_19_01,Q0039_2025_丰台_期末_19,请运用《法律与生活》相关知识阐释法院的裁判理由。,论证,法律与生活,uncertain,yes,uncertain,no,请运用《法律与生活》相关知识阐释法院的裁判理由。,F0132:page 16 | F0132:page 7
A_Q0040_2025_丰台_期末_21_01,Q0040_2025_丰台_期末_21,③：抽象思维以概念、判断和推理等反映认识对象，揭示事物的本质和规律。材料主要运用了形象思维，,综合,不确定,uncertain,yes,yes,no,③：抽象思维以概念、判断和推理等反映认识对象，揭示事物的本质和规律。材料主要运用了形象思维，,F0132:page 8
A_Q0041_2025_延庆_一模_17_01,Q0041_2025_延庆_一模_17,结合材料分析1分（落在护航）。,说明,不确定,yes,yes,uncertain,no,结合材料分析1分（落在护航）。,F0077:text | F0296:text
A_Q0042_2025_延庆_一模_19_01,Q0042_2025_延庆_一模_19,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0078:page 7 | F0078:page 9
A_Q0043_2025_房山_一模_19_01,Q0043_2025_房山_一模_19,"请了12 件实用新型专利，且B 集团在没有任何技术积累或合法技术来源的情况下，在短期内即推出
某系列型号电动汽车，涉嫌侵害A 集团技术秘密。A 集团决定向法院提起诉讼。
判决结果  法院经审理认为，B 集团以不正当手段侵害A 集团技术秘密，适用2 倍惩罚性赔偿，判决
赔偿共计6.4 亿余元。
结合材料，谈谈“真创新”受到“真保护”的法治价值。",意义,法治知识,yes,yes,uncertain,no,"请了12 件实用新型专利，且B 集团在没有任何技术积累或合法技术来源的情况下，在短期内即推出
某系列型号电动汽车，涉嫌侵害A 集团技术秘密。A 集团决定向法院提起诉讼。
判决结果  法院经审理认为，B 集团以不正当手段侵害A 集团技术秘密，适用2 倍惩罚性赔偿，判决
赔偿共计6.4 亿余元。
结合材料，谈谈“真创新”受到“真保护”的法治价值。",F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
A_Q0044_2025_房山_一模_20_01,Q0044_2025_房山_一模_20,结合材料，综合运用所学，谈谈你对“奋斗”的理解。,综合,不确定,yes,yes,uncertain,no,结合材料，综合运用所学，谈谈你对“奋斗”的理解。,F0081:page 6
A_Q0045_2025_昌平_二模_19_01,Q0045_2025_昌平_二模_19,"结合材料1分）
如果以上任何知识点都没写，写创新思维的定义也可得知识点1分。",综合,不确定,yes,uncertain,uncertain,no,"结合材料1分）
如果以上任何知识点都没写，写创新思维的定义也可得知识点1分。",F0115:slide 11 | F0328:slide 11
A_Q0046_2025_昌平_二模_20_01,Q0046_2025_昌平_二模_20,"请表中所列的
所有条款。后来小王使用该卡透支消费，却未依照合同约定
履行还款义务。银行屡次向小王催告，然而小王迄今仍未还
款。为维护自身的合法权益，银行将其诉至法院，恳请依法
判决小王偿还信用卡欠款2 万元及利息。
法院判决小王偿还
信用卡欠款本金2 万
元，并按合同约定支付
利息。
（2）
阅读材料，运用《法律与生活》知识，完成裁判理由。",原因,法律与生活,uncertain,uncertain,uncertain,no,"请表中所列的
所有条款。后来小王使用该卡透支消费，却未依照合同约定
履行还款义务。银行屡次向小王催告，然而小王迄今仍未还
款。为维护自身的合法权益，银行将其诉至法院，恳请依法
判决小王偿还信用卡欠款2 万元及利息。
法院判决小王偿还
信用卡欠款本金2 万
元，并按合同约定支付
利息。
（2）
阅读材料，运用《法律与生活》知识，完成裁判理由。",F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
A_Q0047_2025_朝阳_一模_19_01,Q0047_2025_朝阳_一模_19,"请求。
《中华人民共和国消费者权益保护法》（节选）
第五十五条 经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其
受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍；增加赔偿
的金额不足五百元的，为五百元。法律另有规定的，依照其规定。
结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。",原因,法律与生活,yes,uncertain,yes,no,"请求。
《中华人民共和国消费者权益保护法》（节选）
第五十五条 经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其
受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍；增加赔偿
的金额不足五百元的，为五百元。法律另有规定的，依照其规定。
结合材料，运用《法律与生活》知识，说明人民法院支持王某的诉讼请求的理由。",F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
A_Q0049_2025_朝阳_二模_20_01,Q0049_2025_朝阳_二模_20,"结合材料,运用《法律与生活》知识,分析上述案例。",说明,法律与生活,yes,uncertain,uncertain,no,"结合材料,运用《法律与生活》知识,分析上述案例。",F0117:text | F0119:page 6 | F0119:page 9
A_Q0050_2025_朝阳_期末_20_01,Q0050_2025_朝阳_期末_20,"请求判令乙
旅游公司赔偿医疗费等经济损失。
裁判理由： ③

裁判结果： ④",原因,不确定,uncertain,uncertain,uncertain,no,"请求判令乙
旅游公司赔偿医疗费等经济损失。
裁判理由： ③

裁判结果： ④",F0135:page 6
A_Q0051_2025_海淀_一模_18_01,Q0051_2025_海淀_一模_18,"请求。
运用《法律与生活》知识，谈谈对本案判决的认识。",综合,法律与生活,uncertain,uncertain,yes,no,"请求。
运用《法律与生活》知识，谈谈对本案判决的认识。",F0089:page 2 | F0090:page 5 | F0090:page 8
A_Q0052_2025_海淀_一模_20_01,Q0052_2025_海淀_一模_20,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0089:page 3
A_Q0053_2025_海淀_二模_18_01,Q0053_2025_海淀_二模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0120:page 25 | F0121:text | F0122:text | F0333:page 25 | F0334:text | F0335:text
A_Q0054_2025_海淀_二模_20_01,Q0054_2025_海淀_二模_20,结合材料，评价中国与国际组织在世界粮食安全领域的合作。,评析,不确定,yes,yes,uncertain,no,结合材料，评价中国与国际组织在世界粮食安全领域的合作。,F0120:page 43 | F0333:page 43
A_Q0055_2025_海淀_期中_16_01,Q0055_2025_海淀_期中_16,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,建议,不确定,yes,yes,uncertain,yes,结合材料三，从经济角度，为中国咖啡企业“出海”提出建议。,F0137:page 5
A_Q0058_2025_海淀_期末_19_01,Q0058_2025_海淀_期末_19,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0138:slide 57 | F0139:text
A_Q0059_2025_海淀_期末_20_01,Q0059_2025_海淀_期末_20,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0138:slide 38 | F0139:text
A_Q0060_2025_海淀_期末_21_01,Q0060_2025_海淀_期末_21,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,原因,法律与生活,yes,uncertain,uncertain,no,结合材料，运用《法律与生活》知识，说明法律规定“竞业限制”并对其加以限制的原因。,F0139:text
A_Q0061_2025_海淀_期末_22_01,Q0061_2025_海淀_期末_22,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0138:slide 61 | F0139:text
A_Q0062_2025_石景山_一模_20_01,Q0062_2025_石景山_一模_20,"请求法院判令被告停止不当行为并赔偿损失。法院经审理，判令被告停止侵权并赔偿原告损失共计
3.6 万元。
阅读材料，参考示例，完成下表。
案例
裁判理由
对发展新质生产力的保障作用
案例一
①
维护守约方合法权益，激励从业者秉持契
约精神和敬业态度，着力提升创新研发能
力，促进集成电路产业扩容提质，为新质
生产力发展提供重要支撑。",原因,不确定,uncertain,uncertain,uncertain,no,"请求法院判令被告停止不当行为并赔偿损失。法院经审理，判令被告停止侵权并赔偿原告损失共计
3.6 万元。
阅读材料，参考示例，完成下表。
案例
裁判理由
对发展新质生产力的保障作用
案例一
①
维护守约方合法权益，激励从业者秉持契
约精神和敬业态度，着力提升创新研发能
力，促进集成电路产业扩容提质，为新质
生产力发展提供重要支撑。",F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
A_Q0063_2025_西城_一模_20_01,Q0063_2025_西城_一模_20,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0093:text | F0094:page 10 | F0311:text
A_Q0064_2025_西城_二模_18_01,Q0064_2025_西城_二模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
A_Q0066_2025_西城_二模_20_01,Q0066_2025_西城_二模_20,结合材料，综合运用所学，谈谈你对“始终坚持文化建设着眼于人、落脚于人”的理解。,综合,不确定,yes,yes,uncertain,no,结合材料，综合运用所学，谈谈你对“始终坚持文化建设着眼于人、落脚于人”的理解。,F0125:page 7
A_Q0067_2025_西城_期末_19_01,Q0067_2025_西城_期末_19,请运用法律知识分析法院的判决。,说明,不确定,uncertain,uncertain,uncertain,no,请运用法律知识分析法院的判决。,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
A_Q0068_2025_门头沟_一模_20_01,Q0068_2025_门头沟_一模_20,"请求，B 公司、C 公
司应停止侵害，删除相关内容并赔偿A 公司经济损失。
裁判理由：根据《中华人民共和国著作权法》的规
定，著作权人对其作品享有广泛的权利。",原因,不确定,uncertain,yes,uncertain,no,"请求，B 公司、C 公
司应停止侵害，删除相关内容并赔偿A 公司经济损失。
裁判理由：根据《中华人民共和国著作权法》的规
定，著作权人对其作品享有广泛的权利。",F0096:page 10 | F0096:page 7
A_Q0069_2025_门头沟_一模_20_2_01,Q0069_2025_门头沟_一模_20_2,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0095:text | F0313:text
A_Q0070_2025_门头沟_一模_20_3_01,Q0070_2025_门头沟_一模_20_3,3.结合法律依据事实分析清楚得当,说明,不确定,uncertain,yes,uncertain,no,3.结合法律依据事实分析清楚得当,F0095:text | F0313:text
A_Q0071_2025_顺义_一模_18_01,Q0071_2025_顺义_一模_18,,不确定,不确定,uncertain,yes,uncertain,no,从材料和法律证据中判断作答任务,F0097:text | F0315:text
A_Q0072_2025_顺义_一模_19_01,Q0072_2025_顺义_一模_19,本题是分析说明类主观题，明确本题考查的范围是运用法治知识，设问指向是阐释定分止争的价值，运用,论证,法治知识,uncertain,yes,uncertain,no,本题是分析说明类主观题，明确本题考查的范围是运用法治知识，设问指向是阐释定分止争的价值，运用,F0098:page 16 | F0098:page 6
A_Q0073_2025_顺义_一模_21_01,Q0073_2025_顺义_一模_21,"结合材料，综合运用所学，谈谈你对这句话的理
解。",综合,不确定,yes,yes,uncertain,no,"结合材料，综合运用所学，谈谈你对这句话的理
解。",F0098:page 17 | F0098:page 7
A_Q0074_2026_东城_一模_18_01,Q0074_2026_东城_一模_18,"请求反复无
常、缺乏依据等情形，依法驳回其全部诉讼请求，并明确谴责丙公司的恶意诉讼行为。
结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。",综合,法律与生活,yes,uncertain,yes,no,"请求反复无
常、缺乏依据等情形，依法驳回其全部诉讼请求，并明确谴责丙公司的恶意诉讼行为。
结合材料，运用《法律与生活》知识，谈谈法院是如何以司法之力守护“向新力”的。",F0146:text | F0153:page 7 | F0155:page 6 | F0155:page 9 | F0356:page 7 | F0360:text
A_Q0075_2026_东城_二模_19_01,Q0075_2026_东城_二模_19,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0184:text | F0186:text
A_Q0076_2026_东城_二模_21_01,Q0076_2026_东城_二模_21,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0186:text
A_Q0077_2026_东城_期中_18_01,Q0077_2026_东城_期中_18,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,说明,法律与生活,uncertain,uncertain,uncertain,no,运用《法律与生活》知识，分析本案涉及的法律责任及法律依据。,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
A_Q0078_2026_东城_期中_18_2_01,Q0078_2026_东城_期中_18_2,,不确定,不确定,uncertain,uncertain,uncertain,no,从材料和法律证据中判断作答任务,F0205:slide 56
A_Q0080_2026_丰台_一模_20_01,Q0080_2026_丰台_一模_20,结合材料，综合运用所学，谈谈你对这句话的理解。,综合,不确定,yes,yes,uncertain,no,结合材料，综合运用所学，谈谈你对这句话的理解。,F0156:slide 51
A_Q0081_2026_丰台_二模_18_01,Q0081_2026_丰台_二模_18,运用《法律与生活》知识，谈谈你对这句话的理解。,综合,法律与生活,uncertain,yes,uncertain,no,运用《法律与生活》知识，谈谈你对这句话的理解。,F0187:slide 29
A_Q0082_2026_丰台_二模_20_26_01,Q0082_2026_丰台_二模_20_26,!!综合运用所学$ 谈谈对(建设社会主义现代化强国$ 关键在科技自立自强) 的,综合,不确定,uncertain,yes,uncertain,no,!!综合运用所学$ 谈谈对(建设社会主义现代化强国$ 关键在科技自立自强) 的,F0188:text
