sentence_id,所属框架节点,适用材料信号,适用设问类型,句式模板,必写关键词,可替换词,必须带入的材料信息,对应 question_id,对应 rubric_atom_id,证据等级,禁止乱用场景,容易写空的版本,推荐考场版本
V8_S011,V8_N4 定关系定责,平台派单、签到、奖惩、工作指令,劳动关系/裁决理由,劳动者受平台【派单/纪律/奖惩】管理，说明具有【人格从属性】。,派单；纪律；奖惩；人格从属性,管理=控制；奖惩=扣费/奖励,签到、派单、跑单时长、奖惩制度,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_09|R_CC0025_2024_朝阳_二模_17_10,formal / PASS,只接平台订单但无管理控制事实，不直接认定,平台管理劳动者。,王某每日在平台签到并接受派单，还受公司奖惩制度约束，说明其对甲公司具有人格从属性。
V8_S012,V8_N4 定关系定责,平台掌握订单数据、客户结算、单方确定报酬,劳动关系/裁决理由,平台掌握【重要数据/生产资料】并单方确定【费用结算】，说明具有【经济从属性】。,数据信息；结算标准；经济从属性,生产资料=订单数据/客户资源；费用=报酬/服务费,平台数据、客户结算、服务费标准,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_11|R_CC0025_2024_朝阳_二模_17_12,formal / PASS,劳动者可自主定价且平台不掌握关键资源时慎用,劳动者依赖平台。,甲公司掌握王某提供运输服务所需的数据并单方确定结算标准，说明双方具有经济从属性。
V8_S013,V8_N4 定关系定责,劳动者以平台名义对外服务，服务属于平台业务组成部分,劳动关系/裁决理由,劳动者提供的【服务】属于平台业务组成部分，并以平台名义对外服务，说明具有【组织从属性】。,业务组成部分；平台名义；组织从属性；事实劳动关系,服务=运输/配送/网约服务,服务内容、平台名义、业务组成,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_13|R_CC0025_2024_朝阳_二模_17_14,formal / PASS,临时合作且未纳入组织体系时不套,王某是平台员工。,王某的运输服务属于甲公司业务组成部分，并以平台名义对外服务，具有组织从属性；三者结合，双方存在事实劳动关系。
V8_S014,V8_N5 路径三件套,标的额小、双方争议可协商、设问要求法官调解,如何调解,本案【标的/争议】较小，可本着【以和为贵】原则组织调解。,标的较小；以和为贵；调解,组织调解=促成协商,标的额、争议性质、法官身份,CC0125_2025_延庆_一模_19,R_CC0125_2025_延庆_一模_19_M17_01,formal / PASS,设问不是调解且争议不适合协商时不套,应该调解解决纠纷。,本案标的较小，可以本着以和为贵原则组织双方调解。
V8_S015,V8_N5 路径三件套,消费者未协商仅退款、已退款、商品无法退回,消费调解/合同解除,消费者维权也应遵循【诚信原则】；收到退款后合同已解除，应【返还货物/合理补偿】。,诚信原则；合同解除；退还货物；合理补偿,合理补偿=适当赔偿/承担损失,未协商退款、商品已丢弃、退款成功,CC0125_2025_延庆_一模_19,R_CC0125_2025_延庆_一模_19_M17_02|R_CC0125_2025_延庆_一模_19_M17_03,formal / PASS,商品尚可退回且商家明显违约时，方案要调整,消费者不能恶意退款。,杨某收到退款后买卖合同已解除，原则上应退还货物；现已丢弃商品，应对商家损失作适当补偿。
V8_S016,V8_N5 路径三件套,主张质量问题但丢弃商品，无法举证,消费调解/证据意识,主张【质量问题/侵权事实】的一方应保留证据；材料中【证据缺失事实】说明其证据意识不足。,证据意识；商品质量；保留证据,证据意识=举证意识,主张质量问题、商品已丢弃,CC0125_2025_延庆_一模_19,R_CC0125_2025_延庆_一模_19_M17_04,formal / PASS,不是证据争议时不硬写证据意识,杨某也有错。,杨某主张商品质量不合格却已丢弃商品，缺乏证据意识。
V8_S017,V8_N6 价值从规则长出来,知识产权侵权、惩罚性赔偿、典型案例,典型案例意义,本案通过【裁判做法】保护【权利人知识产权】、严惩【侵权行为】，有利于【秩序/创新】。,权利人/原告方知识产权；严惩侵权；市场竞争秩序；鼓励创新,权利人=原告方；市场竞争秩序=公平市场环境,侵权事实、惩罚性赔偿或停止侵害,CC0103_2025_丰台_一模_19,R_CC0103_2025_丰台_一模_19_01,formal / PASS,不要写维护双方权益、不要裸写法治中国,该案有利于维护公平正义，推动法治中国建设。,本案判决保护原告方知识产权，严惩侵权行为，有利于规范市场竞争秩序、营造公平市场环境、鼓励创新。
V8_S018,V8_N6 价值从规则长出来,案例有开创性探索、入选典型案例,典型案例意义/司法价值,本案作为典型案例，为【同类案件】提供【范例/参考】，有利于提高【审判质量和效率】，增强【司法公信力】。,同类案件；范例；审判质量和效率；司法公信力,范例=借鉴/参考；公信力=司法权威,典型案例、责任方式探索、迟延履行金等裁判创新,CC0103_2025_丰台_一模_19,R_CC0103_2025_丰台_一模_19_01,formal / PASS,普通个案未体现典型示范时慎用,对司法有积极意义。,该案作为典型案例，为同类案件提供范例和参考，有利于提高审判质量和效率，增强司法公信力。
V8_S019,V8_N6 价值从规则长出来,民法典好意同乘条文、法院酌情减轻赔偿责任,法理依据/现实意义,法院应以事实为依据、以法律为准绳，依据【具体规则】结合【案件事实】作出【责任结论】。,以事实为依据；以法律为准绳；好意同乘；减轻赔偿责任,责任结论=酌情减责/合理赔偿,民法典条文、无偿搭乘、事故事实,CC0002_2024_丰台_一模_17,R_CC0002_2024_丰台_一模_17_M17_01|R_CC0002_2024_丰台_一模_17_M17_03,formal / PASS,没有具体规则和事实，不写空泛法理依据,法院判决体现公平正义。,法院应以事实为依据、以法律为准绳，依据民法典好意同乘减责规则，结合本案无偿搭乘和事故事实酌情减轻乙某责任。
V8_S020,V8_N6 价值从规则长出来,好意同乘、双方争议、酌情减责,现实意义,该判决既维护【一方】的合理权益，也避免【另一方】承担过重责任，有利于【公正司法/社会价值】。,双方合法权益；公正司法；社会主义核心价值观；社会和谐,社会和谐=友善互助,好意同乘、合理赔偿、减轻责任,CC0002_2024_丰台_一模_17,R_CC0002_2024_丰台_一模_17_M17_04|R_CC0002_2024_丰台_一模_17_M17_05|R_CC0002_2024_丰台_一模_17_M17_06,formal / PASS,必须先写法理依据，再写意义；不要只写价值,有利于弘扬社会主义核心价值观。,该判决既维护甲某获得合理赔偿的权益，也避免乙某因善意帮助承担过重责任，有利于公正司法，弘扬互助友善价值，促进社会和谐。
V8_S021,V8_N6 价值从规则长出来,平台用工典型案例、仲裁或法院裁判,案例意义/劳动权益,该案例有利于指导【仲裁机构/法院】适应【新情况】，坚持以事实为依据、以法律为准绳，保护【劳动者权益】。,仲裁机构/人民法院；以事实为依据；劳动者权益；和谐劳动关系,新情况=平台经济新问题；劳动者=新就业形态劳动者,典型案例、平台经济、事实劳动关系,CC0025_2024_朝阳_二模_17,R_CC0025_2024_朝阳_二模_17_15|R_CC0025_2024_朝阳_二模_17_16,formal / PASS,不要只写平台经济发展，不写劳动者权益,促进平台经济发展。,该案例有利于指导仲裁机构和人民法院适应平台经济新问题，以事实为依据、以法律为准绳，保障新就业形态劳动者合法权益，发展和谐稳定劳动关系。
V8_S022,V8_N4 定关系定责,在线消费中已经出票/成交，但经营者隐藏费用、强制搭售、诱导付款,说明法院支持诉求理由/消费者合同欺诈,【合同成立】不等于当然有效；经营者以【隐藏费用/强制搭售】使消费者违背真实意思表示订立合同，构成欺诈，消费者可请求【撤销/赔偿】。,合同成立；不等于生效；欺诈故意；欺诈行为；违背真实意思表示；撤销合同；三倍赔偿,隐藏费用=费用不透明；搭售=附加收费,已出票/成交、费用隐藏、无法拒绝额外费用、诉讼请求,CC0143_2025_朝阳_一模_19,R_CC0143_2025_朝阳_一模_19_02|R_CC0143_2025_朝阳_一模_19_03|R_CC0143_2025_朝阳_一模_19_04|R_CC0143_2025_朝阳_一模_19_05,formal / PASS,没有欺诈故意和误导事实，不写可撤销和三倍赔偿,平台欺骗消费者，应赔偿。,王某支付机票款且已出票，合同成立，但 A 公司通过技术手段擅自搭售费用，使王某不能清楚知悉费用并无法拒绝额外支付，构成欺诈，王某可请求撤销合同并主张三倍赔偿。
V8_S023,V8_N4 定关系定责,限制民事行为能力人大额消费，平台审查不完善，监护人监管不足，本人规避监管,分析法院判决结果/多方过错,【未成年人】为限制民事行为能力人，其【大额交易】未经监护人追认无效；平台、监护人、本人均有过错，法院可按【过错程度和公平原则】分担责任。,限制民事行为能力人；大额打赏；不追认；交易无效；合理审查义务；监护职责；公平原则,大额交易=充值/打赏/消费；分担责任=承担相应责任,年龄、金额、监护人态度、平台审核、本人规避监管,CC0200_2025_西城_二模_18,R_CC0200_2025_西城_二模_18_01,formal / PASS,成年人真实意思表示消费，不套限制民事行为能力人模板,平台应保护未成年人，所以要退款。,小刘为限制民事行为能力人，其大额打赏未经父母追认，交易行为无效；平台审核不完善、父母监管不足、小刘规避监管均有过错，法院按过错程度和公平原则判定相应责任。
V8S024,定关系定责,商业秘密、高管或核心技术人员、离职进入竞争企业,说明原因/评析行为,当材料出现负有保密义务的劳动者离职进入竞争企业时，先写竞业限制保护商业秘密和知识产权，再结合岗位、技术信息和协议判断责任。,竞业限制；商业秘密；知识产权；劳动权利；适度限制,保密义务；高级管理人员；竞争企业,劳动者身份、岗位、掌握的信息、离职去向,CC0181_2025_海淀_期末_21,R_CC0181_2025_海淀_期末_21_01,formal,普通员工、普通技能不能乱套竞业限制。,只写公司利益需要保护。,竞业限制能保护企业商业秘密和知识产权，但适用对象和范围必须合法适度，不能不当限制劳动者就业权。
V8S025,定关系定责,抢注、混淆、虚假宣传、商业诋毁,分析判决/评析行为,当材料出现抢注或混淆时，先写有一定影响的标识受保护，再写行为构成不正当竞争，最后写责任和市场价值。,有一定影响；混淆；虚假宣传；不正当竞争；诚信原则,商标抢注；商业诋毁；误导宣传,原标识影响力、抢注或宣传行为、损害后果,CC0206_2025_西城_期末_19,R_CC0206_2025_西城_期末_19_01,formal,不能把所有商标争议都写成著作权。,只写保护创新。,陈某明知“小爱同学”已具有一定影响仍抢先注册并宣传使用，容易造成混淆，构成不正当竞争，应承担责任。
V8S026,定关系定责,未成年人、大额打赏、平台审核、监护人疏于监管,分析判决,当材料出现未成年人大额消费时，先写限制民事行为能力和追认，再写平台、监护人、本人多方过错，最后写公平分担。,限制民事行为能力；追认；平台审核；监护职责；公平原则,网络打赏；游戏充值；高额消费,年龄、金额、是否追认、平台审核、监护情况,CC0200_2025_西城_二模_18,R_CC0200_2025_西城_二模_18_01,formal,不能只让平台或家长一方承担全部责任。,只写保护未成年人。,小刘的大额打赏未经监护人同意和追认，交易行为无效；平台、监护人和小刘本人均有过错，法院综合分担责任符合公平原则。
V8S027,路径三件套,生命健康、隐私、相邻关系、举证责任,任选权利保护/补表,当材料要求保护某项权利时，先写权利名，再写不得侵害或应当便利，最后写救济路径。,权利名；民法典；不得侵害；救济方式,人格权；隐私权；相邻关系；举证责任,选定的权利、侵害或妨碍行为、救济方式,CC0289_2026_朝阳_二模_18,R_CC0289_2026_朝阳_二模_18_01,formal,不能把个人信息错写进本题不奖励项。,只写权利受法律保护。,民法典保护人格权益和相邻权利，权利受到侵害时，权利人可以请求停止侵害、排除妨碍、赔礼道歉或赔偿损失。
V8S028,价值从规则长出来,好意同乘、无偿搭载、非故意重大过失,法理依据和意义,当材料出现好意同乘时，先写无偿搭载和减责规则，再写双方事实，最后写鼓励善意互助和公平。,好意同乘；无偿搭载；减轻责任；公平,善意搭乘；友情帮助,是否无偿、是否故意重大过失、乘客自身行为,CC0002_2024_丰台_一模_17,R_CC0002_2024_丰台_一模_17_M17_01,formal,不能一看到交通事故就只写全额侵权赔偿。,只写维护公平正义。,本案属于好意同乘，乙某无故意或重大过失，法院依法减轻责任，有利于平衡权益并鼓励善意互助。
V8S029,价值从规则长出来,绿色原则、生态环境、污染破坏、环保技术,意义/作用,当材料问生态保护作用时，先写绿色原则，再写知识产权鼓励环保创新和污染侵权责任，最后写生态价值。,绿色原则；知识产权；侵权责任；生态环境,生态保护；环保技术；污染责任,环保技术、污染行为、民法典规则,CC0011_2024_丰台_二模_17,R_CC0011_2024_丰台_二模_17_01,formal,不能写成必修三生态文明大作文。,只写保护环境。,民法典绿色原则提供基本遵循，知识产权保护鼓励环保技术创新，污染者承担侵权责任，有助于维护良好生态环境。
V8S030,定关系定责,隐蔽搭售、无法知悉、无法拒绝、票款赔偿,说明判决理由,当材料出现隐蔽搭售时，先写合同成立不等于当然有效，再写欺诈和可撤销，最后写消费者权益保护。,合同成立；可撤销；欺诈；消费者权益保护法；惩罚性赔偿,机票平台；在线消费；搭售,出票、费用细节、无法拒绝、额外费用,CC0143_2025_朝阳_一模_19,R_CC0143_2025_朝阳_一模_19_01,formal,不能只写合同成立就结束。,只写平台侵犯消费者权益。,王某购票出票说明合同成立，但 A 公司隐蔽搭售使其无法知悉和拒绝，构成欺诈，法院支持退还票款和惩罚性赔偿。
