qid,year,suite,qnum,type,category,legal_keyword_count,anti_keyword_count,legal_keywords,source_file,body_length
2024__西城二模__Q9,2024,西城二模,9,choice,xuanbier_choice,13,5,"夫妻共同,夫妻共同财产,夫妻共同债务,离婚,继承,遗嘱,经营者,惩罚性赔偿,AIGC,诉讼",西城二模__试卷__试卷.docx.txt,4200
2024__顺义思政二模__Q8,2024,顺义思政二模,8,choice,xuanbier_choice,9,3,"合同,违约,侵权,遗产,知识产权,经营者,诉讼,调解,仲裁",顺义思政二模__试卷__试卷.docx.txt,1747
2025__2025丰台一模__Q10,2025,2025丰台一模,10,main,xuanbier_main,3,0,"合同,工伤,诉讼",2025各区一模__2025丰台一模__试卷__试卷.pdf.txt,275
2025__2025丰台一模__Q19,2025,2025丰台一模,19,main,xuanbier_main,6,0,"侵权,知识产权,专利,不正当竞争,惩罚性赔偿,诉讼",2025各区一模__2025丰台一模__试卷__试卷.pdf.txt,328
2025__2025丰台一模__Q19,2025,2025丰台一模,19,main,xuanbier_main,2,0,"侵权,知识产权",2025各区一模__2025丰台一模__试卷__试卷.pdf.txt,132
2025__2025丰台二模__Q6,2025,2025丰台二模,6,choice,xuanbier_choice_uncertain,1,0,遗产,2025各区二模__2025丰台二模__试卷__试卷.pdf.txt,193
2025__2025丰台二模__Q9,2025,2025丰台二模,9,choice,xuanbier_choice_uncertain,1,0,调解,2025各区二模__2025丰台二模__试卷__试卷.pdf.txt,299
2025__2025丰台二模__Q10,2025,2025丰台二模,10,choice,xuanbier_choice,3,1,"违约,诉讼,调解",2025各区二模__2025丰台二模__试卷__试卷.pdf.txt,340
2025__2025丰台二模__Q11,2025,2025丰台二模,11,choice,xuanbier_choice,2,0,"物权,用益物权",2025各区二模__2025丰台二模__试卷__试卷.pdf.txt,214
2025__2025丰台期末__Q11,2025,2025丰台期末,11,choice,xuanbier_choice,4,0,"侵权,诉讼,肖像权,名誉权",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,288
2025__2025丰台期末__Q11,2025,2025丰台期末,11,main,xuanbier_main_uncertain,1,0,肖像权,2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,244
2025__2025丰台期末__Q12,2025,2025丰台期末,12,choice,xuanbier_choice,5,0,"民事行为,合同,违约,侵权,侵权责任",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,237
2025__2025丰台期末__Q12,2025,2025丰台期末,12,main,xuanbier_main,6,0,"民事行为,合同,违约,侵权,侵权责任,经营者",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,505
2025__2025丰台期末__Q19,2025,2025丰台期末,19,main,xuanbier_main,7,0,"合同,违约,劳动合同,劳动报酬,试用期,诉讼,仲裁",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,544
2025__2025丰台期末__Q19,2025,2025丰台期末,19,main,xuanbier_main,3,1,"合同,劳动合同,诉讼",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,746
2025__2025丰台期末__Q20,2025,2025丰台期末,20,main,xuanbier_main,4,2,"合同,劳动合同,劳动报酬,试用期",2025各区期末__2025丰台期末__试卷__试卷.pdf.txt,873
2025__2025延庆一模__Q10,2025,2025延庆一模,10,choice,xuanbier_choice,4,1,"违约,侵权,商标,不正当竞争",2025各区一模__2025延庆一模__试卷__试卷.pdf.txt,250
2025__2025延庆一模__Q11,2025,2025延庆一模,11,choice,xuanbier_choice,2,0,"合同,劳动合同",2025各区一模__2025延庆一模__试卷__试卷.pdf.txt,223
2025__2025房山一模__Q8,2025,2025房山一模,8,choice,xuanbier_choice_uncertain,1,0,调解,2025各区一模__2025房山一模__试卷__试卷.pdf.txt,237
2025__2025房山一模__Q8,2025,2025房山一模,8,main,xuanbier_main_uncertain,1,0,调解,2025各区一模__2025房山一模__试卷__试卷.pdf.txt,272
2025__2025房山一模__Q10,2025,2025房山一模,10,choice,xuanbier_choice,2,0,"违约,著作权",2025各区一模__2025房山一模__试卷__试卷.pdf.txt,245
2025__2025房山一模__Q10,2025,2025房山一模,10,main,xuanbier_main,4,0,"违约,侵权,侵权责任,著作权",2025各区一模__2025房山一模__试卷__试卷.pdf.txt,202
2025__2025房山一模__Q11,2025,2025房山一模,11,choice,xuanbier_choice_uncertain,1,0,调解,2025各区一模__2025房山一模__试卷__试卷.pdf.txt,313
2025__2025房山一模__Q11,2025,2025房山一模,11,main,xuanbier_main_uncertain,1,0,调解,2025各区一模__2025房山一模__试卷__试卷.pdf.txt,316
2025__2025房山一模__Q19,2025,2025房山一模,19,main,xuanbier_main,5,0,"侵权,知识产权,专利,惩罚性赔偿,诉讼",2025各区一模__2025房山一模__试卷__试卷.pdf.txt,363
2025__2025房山一模__Q19,2025,2025房山一模,19,main,xuanbier_main,4,2,"侵权,知识产权,惩罚性赔偿,诉讼",2025各区一模__2025房山一模__试卷__试卷.pdf.txt,785
2025__2025昌平二模__Q15,2025,2025昌平二模,15,main,xuanbier_main,4,0,"合同,劳动合同,诉讼,仲裁",2025各区二模__2025昌平二模__试卷__试卷.pdf.txt,713
2025__2025昌平二模__Q20,2025,2025昌平二模,20,main,xuanbier_main,4,0,"违约,侵权,侵权责任,著作权",2025各区二模__2025昌平二模__试卷__试卷.pdf.txt,268
2025__2025朝阳一模__Q11,2025,2025朝阳一模,11,choice,xuanbier_choice_uncertain,1,0,诉讼,2025各区一模__2025朝阳一模__试卷__试卷.pdf.txt,269
2025__2025朝阳一模__Q19,2025,2025朝阳一模,19,main,xuanbier_main,4,2,"消费者权益保护法,经营者,三倍赔偿,诉讼",2025各区一模__2025朝阳一模__试卷__试卷.pdf.txt,3028
2025__2025朝阳一模__Q19,2025,2025朝阳一模,19,main,xuanbier_main,4,1,"消费者权益保护法,经营者,平台经营者,诉讼",2025各区一模__2025朝阳一模__试卷__试卷.pdf.txt,246
2025__2025朝阳期末__Q20,2025,2025朝阳期末,20,main,xuanbier_main,3,0,"侵权,侵权责任,过错责任",2025各区期末__2025朝阳期末__试卷__试卷.pdf.txt,240
2025__2025海淀期中__Q10,2025,2025海淀期中,10,choice,xuanbier_choice_uncertain,1,0,诉讼,2025各区期末__2025海淀期中__试卷__试卷.pdf.txt,439
2025__2025海淀期末__Q2,2025,2025海淀期末,2,choice,xuanbier_choice_uncertain,1,0,遗产,2025各区期末__2025海淀期末__试卷__试卷.docx.txt,272
2025__2025海淀期末__Q8,2025,2025海淀期末,8,choice,xuanbier_choice,3,0,"侵权,侵权责任,饲养动物",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,279
2025__2025海淀期末__Q9,2025,2025海淀期末,9,choice,xuanbier_choice,4,0,"民法典,物权,所有权,用益物权",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,295
2025__2025海淀期末__Q10,2025,2025海淀期末,10,choice,xuanbier_choice,2,0,"民法典,合同",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,405
2025__2025海淀期末__Q11,2025,2025海淀期末,11,choice,xuanbier_choice,2,0,"民法典,诉讼",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,297
2025__2025海淀期末__Q12,2025,2025海淀期末,12,choice,xuanbier_choice,7,0,"民法典,赡养,继承,法定继承,遗嘱,遗产,仲裁",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,383
2025__2025海淀期末__Q14,2025,2025海淀期末,14,choice,xuanbier_choice,4,0,"侵权,著作权,诉讼,调解",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,248
2025__2025海淀期末__Q15,2025,2025海淀期末,15,choice,xuanbier_choice,3,0,"不正当竞争,经营者,诉讼",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,265
2025__2025海淀期末__Q20,2025,2025海淀期末,20,main,xuanbier_main,5,0,"民法典,侵权,侵权责任,监护,监护人",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,447
2025__2025海淀期末__Q21,2025,2025海淀期末,21,main,xuanbier_main,4,0,"合同,违约,劳动合同,经济补偿",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,675
2025__2025海淀期末__Q22,2025,2025海淀期末,22,main,xuanbier_main,12,5,"民法典,违约,侵权,侵权责任,无过错责任,过错责任,产品责任,物权,用益物权,土地承包",2025各区期末__2025海淀期末__试卷__试卷.docx.txt,2522
2025__2025石景山一模__Q20,2025,2025石景山一模,20,main,xuanbier_main,6,1,"合同,违约,侵权,侵权责任,不正当竞争,经营者",2025各区一模__2025石景山一模__试卷__试卷.pdf.txt,814
2025__2025石景山一模__Q20,2025,2025石景山一模,20,main,xuanbier_main,4,1,"民法典,合同,违约,不正当竞争",2025各区一模__2025石景山一模__试卷__试卷.pdf.txt,181
2025__2025石景山一模__Q21,2025,2025石景山一模,21,main,xuanbier_main,4,2,"侵权,侵权责任,不正当竞争,经营者",2025各区一模__2025石景山一模__试卷__试卷.pdf.txt,822
2025__2025西城一模__Q9,2025,2025西城一模,9,choice,xuanbier_choice,9,0,"民事行为,合同,违约,侵权,所有权,著作权,专利,肖像权,隐私权",2025各区一模__2025西城一模__试卷__试卷.pdf.txt,917
2025__2025西城期末__Q1,2025,2025西城期末,1,choice,xuanbier_choice,12,9,"民事行为,合同,侵权,侵权责任,所有权,土地承包,商标,不正当竞争,经营者,诉讼",2025各区期末__2025西城期末__试卷__试卷.pdf.txt,8709
2025__2025门头沟一模__Q3,2025,2025门头沟一模,3,choice,xuanbier_choice,3,1,"侵权,监护,监护人",2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt,422
2025__2025门头沟一模__Q12,2025,2025门头沟一模,12,choice,xuanbier_choice,4,0,"侵权,侵权责任,诉讼,民事诉讼",2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt,247
2025__2025门头沟一模__Q13,2025,2025门头沟一模,13,choice,xuanbier_choice,4,1,"诉讼,调解,人民调解,仲裁",2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt,487
2025__2025门头沟一模__Q16,2025,2025门头沟一模,16,main,xuanbier_main_uncertain,1,0,遗产,2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt,195
2025__2025门头沟一模__Q20,2025,2025门头沟一模,20,main,xuanbier_main,6,1,"合同,侵权,侵权责任,著作权,劳动合同,诉讼",2025各区一模__2025门头沟一模__试卷__试卷.pdf.txt,1658
2026__2026东城期末__Q10,2026,2026东城期末,10,choice,xuanbier_choice,5,0,"侵权,侵权责任,物权,担保物权,专利",2026各区期末和期中__2026东城期末__试卷__试卷.pdf.txt,602
2026__2026东城期末__Q11,2026,2026东城期末,11,choice,xuanbier_choice,4,0,"合同,劳动合同,经济补偿,解雇",2026各区期末和期中__2026东城期末__试卷__试卷.pdf.txt,231
2026__2026东城期末__Q18,2026,2026东城期末,18,main,xuanbier_main,4,0,"合同,违约,侵权,侵权责任",2026各区期末和期中__2026东城期末__试卷__试卷.pdf.txt,158
2026__2026丰台一模__Q20,2026,2026丰台一模,20,main,xuanbier_main,5,2,"民法典,侵权,侵权责任,经营者,诉讼",2026各区一模__2026丰台一模__试卷__试卷.pdf.txt,986
2026__2026丰台期末__Q18,2026,2026丰台期末,18,main,xuanbier_main_uncertain,1,0,诉讼,2026各区期末和期中__2026丰台期末__试卷__试卷.pdf.txt,521
2026__2026房山一模__Q8,2026,2026房山一模,8,choice,xuanbier_choice,5,2,"违约,物权,用益物权,著作权,诉讼",2026各区一模__2026房山一模__试卷__试卷.pdf.txt,2569
2026__2026朝阳一模__Q10,2026,2026朝阳一模,10,choice,xuanbier_choice,3,1,"抵押,质押,专利",2026各区一模__2026朝阳一模__试卷__试卷.pdf.txt,235
2026__2026朝阳一模__Q18,2026,2026朝阳一模,18,main,xuanbier_main,3,1,"侵权,知识产权,诉讼",2026各区一模__2026朝阳一模__试卷__试卷.pdf.txt,469
2026__2026朝阳一模__Q18,2026,2026朝阳一模,18,main,xuanbier_main,7,1,"侵权,侵权责任,知识产权,专利,惩罚性赔偿,诉讼,调解",2026各区一模__2026朝阳一模__试卷__试卷.pdf.txt,605
2026__2026朝阳期末__Q17,2026,2026朝阳期末,17,main,xuanbier_main,5,1,"民法典,合同,侵权,侵权责任,经营者",2026各区期末和期中__2026朝阳期末__试卷__试卷.pdf.txt,1397
2026__2026海淀一模__Q3,2026,2026海淀一模,3,choice,xuanbier_choice,12,8,"合同,侵权,土地承包,婚姻家庭,离婚,继承,遗产,著作权,商标,经营者",2026各区一模__2026海淀一模__试卷__试卷.pdf.txt,6647
2026__2026石景山一模__Q18,2026,2026石景山一模,18,main,xuanbier_main,5,2,"侵权,侵权责任,过错责任,诉讼,民事诉讼",2026各区一模__2026石景山一模__试卷__试卷.pdf.txt,984
2026__2026西城一模__Q17,2026,2026西城一模,17,main,xuanbier_main,3,1,"民事主体,物权,用益物权",2026各区一模__2026西城一模__试卷__补充材料__2026北京西城高三一模政治.pdf.txt,241
2026__2026通州期末__Q12,2026,2026通州期末,12,choice,xuanbier_choice,5,0,"合同,所有权,继承,遗嘱,遗赠",2026各区期末和期中__2026通州期末__试卷__试卷.pdf.txt,234
2026__2026通州期末__Q13,2026,2026通州期末,13,choice,xuanbier_choice,2,0,"侵权,著作权",2026各区期末和期中__2026通州期末__试卷__试卷.pdf.txt,288
