risk_id,question_id,risk_type,risk_description,affected_files_or_atoms,current_evidence_level,recommended_action,blocks_reasoner,source_locator
RK_0031,CC0245_2026_东城_期末_18_2,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0205:slide 56,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0205:slide 56
RK_0032,CC0317_2026_海淀_期末_18,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
RK_0033,CC0318_2026_海淀_期末_18_2,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0216:page 2 | F0396:page 2,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0216:page 2 | F0396:page 2
RK_0034,CC0319_2026_海淀_期末_19,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
RK_0035,CC0353_2026_西城_期末_17,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0221:page 11,reference_only,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0221:page 11
RK_0036,CC0364_2026_通州_期末_19_1,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0223:slide 11 | F0403:slide 11,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0223:slide 11 | F0403:slide 11
RK_0037,RECOVER_2026_朝阳_期末_18_1,stage_corrected_locator,阶段已修正期中→期末；需确认 paper_page/rubric_page 引用文件确属期末套卷,F0213/F0392 rendered page_005; F0212/F0393 rendered page_002,formal,逐 source_locator 核对 F-id 是否属于期末文件夹,no,F0213/F0392 rendered page_005; F0212/F0393 rendered page_002
RK_0038,CC0040_2024_海淀_一模_19,reference_only_evidence_gate,evidence_level=reference_only；不可单独支撑核心框架,F0025:text | F0026:page 7 | F0249:text | F0251:page 7,reference_only,保留作为弱观察输入；GPT-5.5 Pro / Claude Opus 不得据此推出 formal 框架结论,no,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
RK_0039,CC0162_2025_海淀_一模_18,reference_only_evidence_gate,evidence_level=reference_only；不可单独支撑核心框架,F0089:page 2 | F0090:page 5 | F0090:page 8 | F0305:text lines 358-360; no formal scoring source located in F0088/F0307,reference_only,保留作为弱观察输入；GPT-5.5 Pro / Claude Opus 不得据此推出 formal 框架结论,no,F0089:page 2 | F0090:page 5 | F0090:page 8 | F0305:text lines 358-360; no formal scoring source located in F0088/F0307
RK_0040,CC0311_2026_海淀_二模_18_2,reference_only_evidence_gate,evidence_level=reference_only；不可单独支撑核心框架,F0197:text Q18(2),reference_only,保留作为弱观察输入；GPT-5.5 Pro / Claude Opus 不得据此推出 formal 框架结论,no,F0197:text Q18(2)
RK_0041,CC0353_2026_西城_期末_17,reference_only_evidence_gate,evidence_level=reference_only；不可单独支撑核心框架,F0221:page 11,reference_only,保留作为弱观察输入；GPT-5.5 Pro / Claude Opus 不得据此推出 formal 框架结论,no,F0221:page 11
RK_0042,CC0011_2024_丰台_二模_17,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0047:text | F0270:text,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0047:text | F0270:text
RK_0043,CC0019_2024_朝阳_一模_19,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0014:text | F0239:text,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0014:text | F0239:text
RK_0044,CC0092_2025_东城_期末_19_1,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
RK_0045,CC0214_2025_门头沟_一模_20_2,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0095:text | F0313:text,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0095:text | F0313:text
RK_0046,CC0245_2026_东城_期末_18_2,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0205:slide 56,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0205:slide 56
RK_0047,CC0251_2026_丰台_一模_20,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0156:slide 51,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0156:slide 51
RK_0048,CC0254_2026_丰台_二模_18,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0187:slide 29,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0187:slide 29
RK_0049,CC0318_2026_海淀_期末_18_2,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0216:page 2 | F0396:page 2,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0216:page 2 | F0396:page 2
RK_0050,CC0353_2026_西城_期末_17,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0221:page 11,reference_only,逐条 locator 复核 paper_page/rubric_page/sub_no,no,F0221:page 11
RK_0051,CC0364_2026_通州_期末_19_1,pending_locator_check,merge_status=pending_locator_check (10 条之一),F0223:slide 11 | F0403:slide 11,formal,逐条 locator 复核 paper_page/rubric_page/sub_no,yes,F0223:slide 11 | F0403:slide 11
RK_0052,CC0002_2024_丰台_一模_17,heuristic_split_material_atoms,该题 8 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text lines 16-26; F0045:pages 4/8
RK_0053,CC0011_2024_丰台_二模_17,heuristic_split_material_atoms,该题 10 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0047:text | F0270:text
RK_0054,CC0019_2024_朝阳_一模_19,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0014:text | F0239:text
RK_0055,CC0025_2024_朝阳_二模_17,heuristic_split_material_atoms,该题 15 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0016:page 2 | F0017:text | F0018:page 6 | F0241:page 6 | F0242:text | F0243:page 2
RK_0056,CC0040_2024_海淀_一模_19,heuristic_split_material_atoms,该题 9 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,reference_only,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0025:text | F0026:page 7 | F0249:text | F0251:page 7
RK_0057,CC0045_2024_海淀_二模_19,heuristic_split_material_atoms,该题 9 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0051:text | F0052:text | F0053:text | F0054:page 7 | F0272:text | F0273:text | F0274:text | F0275:page 7
RK_0058,CC0054_2024_石景山_一模_17,heuristic_split_material_atoms,该题 9 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0056:text | F0276:text | F0055:slides/extracted lines 308-309; F0056:text lines 98-131
RK_0059,CC0061_2024_西城_一模_18,heuristic_split_material_atoms,该题 12 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0058:text | F0059:text | F0061:text | F0278:text | F0279:text | F0280:text
RK_0060,CC0063_2024_西城_二模_16,heuristic_split_material_atoms,该题 8 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0064:text | F0065:text | F0067:text | F0286:text | F0287:text | F0288:text
RK_0061,CC0077_2025_东城_一模_19,heuristic_split_material_atoms,该题 15 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0073:page 4 | F0074:page 5 | F0074:page 8 | F0292:page 4
RK_0062,CC0084_2025_东城_二模_19,heuristic_split_material_atoms,该题 13 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0100:page 3 | F0101:page 5 | F0101:page 7 | F0317:page 3
RK_0063,CC0092_2025_东城_期末_19_1,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11
RK_0064,CC0103_2025_丰台_一模_19,heuristic_split_material_atoms,该题 4 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0075:text | F0076:page 10 | F0076:page 7 | F0294:text
RK_0065,CC0119_2025_丰台_期末_19,heuristic_split_material_atoms,该题 13 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0132:page 16 | F0132:page 7 | F0131:slides 45-47
RK_0066,CC0125_2025_延庆_一模_19,heuristic_split_material_atoms,该题 10 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0078:page 7 | F0078:page 9 | F0296:text around Q19; F0295:page 10
RK_0067,CC0131_2025_房山_一模_19,heuristic_split_material_atoms,该题 14 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3
RK_0068,CC0137_2025_昌平_二模_20,heuristic_split_material_atoms,该题 24 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0115:slide 12 | F0116:page 10 | F0116:page 6 | F0328:slide 12
RK_0069,CC0143_2025_朝阳_一模_19,heuristic_split_material_atoms,该题 11 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0086:text | F0087:page 6 | F0087:page 9 | F0301:text
RK_0070,CC0150_2025_朝阳_二模_20,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0117:text | F0119:page 6 | F0119:page 9
RK_0071,CC0157_2025_朝阳_期末_20,heuristic_split_material_atoms,该题 15 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0135:page 6 | F0135:page 9 | F0133:slides around Q20; F0343:teacher answer Q20
RK_0072,CC0162_2025_海淀_一模_18,heuristic_split_material_atoms,该题 8 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,reference_only,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0089:page 2 | F0090:page 5 | F0090:page 8 | F0305:text lines 358-360; no formal scoring source located in F0088/F0307
RK_0073,CC0180_2025_海淀_期末_20,heuristic_split_material_atoms,该题 4 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0139:text | F0138:slides 39-41; F0139:text Q20
RK_0074,CC0181_2025_海淀_期末_21,heuristic_split_material_atoms,该题 12 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0139:text | F0138:slides 46-47; F0139:text Q21
RK_0075,CC0189_2025_石景山_一模_20,heuristic_split_material_atoms,该题 18 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0091:text | F0092:page 11 | F0092:page 8 | F0309:text
RK_0076,CC0195_2025_西城_一模_20,heuristic_split_material_atoms,该题 3 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0093:text | F0094:page 10 | F0094:page 7 | F0311:text
RK_0077,CC0200_2025_西城_二模_18,heuristic_split_material_atoms,该题 7 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0124:text | F0125:page 6 | F0125:page 9 | F0337:text
RK_0078,CC0206_2025_西城_期末_19,heuristic_split_material_atoms,该题 10 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0140:page 3 | F0141:page 6 | F0141:page 9 | F0351:page 3
RK_0079,CC0213_2025_门头沟_一模_20,heuristic_split_material_atoms,该题 14 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0096:page 10 | F0096:page 7 | F0095:text lines 38-55; F0096:text Q20
RK_0080,CC0214_2025_门头沟_一模_20_2,heuristic_split_material_atoms,该题 4 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0095:text | F0313:text
RK_0081,CC0223_2025_顺义_一模_19,heuristic_split_material_atoms,该题 24 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0098:page 16 | F0098:page 6 | F0097:text lines 46-55; F0314:text Q19
RK_0082,CC0229_2026_东城_一模_18,heuristic_split_material_atoms,该题 10 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0153:page 7 | F0155:page 6 | F0155:page 9 | F0356:page 7
RK_0083,CC0238_2026_东城_二模_19,heuristic_split_material_atoms,该题 8 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0186:text | F0184:pages 1-3; F0186:text around answer
RK_0084,CC0244_2026_东城_期末_18,heuristic_split_material_atoms,该题 9 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8
RK_0085,CC0245_2026_东城_期末_18_2,heuristic_split_material_atoms,该题 15 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0205:slide 56
RK_0086,CC0251_2026_丰台_一模_20,heuristic_split_material_atoms,该题 24 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0156:slide 51
RK_0087,CC0254_2026_丰台_二模_18,heuristic_split_material_atoms,该题 21 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0187:slide 29
RK_0088,CC0276_2026_房山_二模_17,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0189:text | F0190:text | F0191:page 10
RK_0089,CC0277_2026_房山_二模_18,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0189:text | F0190:text | F0191:page 10
RK_0090,CC0283_2026_朝阳_一模_18,heuristic_split_material_atoms,该题 9 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0162:text | F0163:page 11 | F0163:page 6 | F0373:text
RK_0091,CC0289_2026_朝阳_二模_18,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0193:text | F0194:text
RK_0092,CC0317_2026_海淀_期末_18,heuristic_split_material_atoms,该题 7 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2
RK_0093,CC0318_2026_海淀_期末_18_2,heuristic_split_material_atoms,该题 4 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0216:page 2 | F0396:page 2
RK_0094,CC0319_2026_海淀_期末_19,heuristic_split_material_atoms,该题 3 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3
RK_0095,CC0325_2026_石景山_一模_18,heuristic_split_material_atoms,该题 12 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0167:text | F0168:page 6 | F0168:page 9 | F0377:text
RK_0096,CC0332_2026_石景山_二模_19,heuristic_split_material_atoms,该题 6 个 material atoms 标注为 heuristic 拆分（未经 OCR 回源核对）,material atoms,formal,在 reasoner 收敛阶段重抽并降低对单个 atom 的细粒度引用权重,no,F0198:text | F0199:text
