patch_id,target_file,target_id,question_id,patch_type,current_value,suggested_value,reason,evidence_level_impact,source_locator,must_fix_before_reasoner
QP_0026,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0319_2026_海淀_期末_19,CC0319_2026_海淀_期末_19,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",downgrade_to_reference_only_if_no_source,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,yes
QP_0027,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0353_2026_西城_期末_17,CC0353_2026_西城_期末_17,source_check_needed,material_text==rubric_text(==answer_text),OCR 回源 paper 文件并以真实案件材料替换 material_text；不可使用细则/答案文本作为材料,"material_text 被细则/答案污染，material atoms 实际是细则句，破坏 reasoner 学习""材料→细则""映射",keep_reference_only,F0221:page 11,yes
QP_0028,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0131_2025_房山_一模_19,CC0131_2025_房山_一模_19,source_check_needed,"material_text 以""【答案】""或答案分点开头",重抽材料：将 material_text 替换为试卷题面案例描述；当前提取自答案/教师版,material atom 非真实材料事实，仅是答案语段,no_level_change_if_re-extracted,F0080:page 3 | F0081:page 14 | F0081:page 6 | F0298:page 3,yes
QP_0029,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0180_2025_海淀_期末_20,CC0180_2025_海淀_期末_20,source_check_needed,"material_text 以""【答案】""或答案分点开头",重抽材料：将 material_text 替换为试卷题面案例描述；当前提取自答案/教师版,material atom 非真实材料事实，仅是答案语段,no_level_change_if_re-extracted,F0139:text | F0138:slides 39-41; F0139:text Q20,yes
QP_0030,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0364_2026_通州_期末_19_1,CC0364_2026_通州_期末_19_1,update,根据材料，判断推理①和②的逻辑正误，并结合《逻辑与思维》知识说明理由。,运用《法律与生活》知识，结合材料分析法院判决的法律依据（细则一/法理依据 + 事实分析部分）。需 OCR/源回核取出本小问真实设问。,ask_text 指向《逻辑与思维》，但 question_id _19_1 与细则一(民法典/相邻关系/法理依据3分+事实分析2分) 对应；当前 ask_text 是 19(2) 的设问，模块不一致,risk_of_module_misclassification,F0223:slide 11 | F0403:slide 11,yes
QP_0031,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0002_2024_丰台_一模_17,CC0002_2024_丰台_一模_17,update,"material_text contains ""酌情""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text lines 16-26; F0045:pages 4/8,no
QP_0032,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0011_2024_丰台_二模_17,CC0011_2024_丰台_二模_17,update,"material_text contains ""参考答案""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0047:text | F0270:text,no
QP_0033,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,no_action,"material_text contains ""评分细则""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,no
QP_0034,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0251_2026_丰台_一模_20,CC0251_2026_丰台_一模_20,update,"material_text contains ""参考答案""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0156:slide 51,no
QP_0035,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0254_2026_丰台_二模_18,CC0254_2026_丰台_二模_18,update,"material_text contains ""参考答案""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0187:slide 29,no
QP_0036,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0289_2026_朝阳_二模_18,CC0289_2026_朝阳_二模_18,update,"material_text contains ""答出""","清除 material_text 中残留的""评分/答出/参考答案""等细则关键词；如属于材料原文叙述则保留并注明",材料文本残留细则修饰词，可能误导 material atom 抽取,no_level_change,F0193:text | F0194:text,no
QP_0037,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0011_2024_丰台_二模_17,CC0011_2024_丰台_二模_17,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0047:text | F0270:text,yes
QP_0038,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0019_2024_朝阳_一模_19,CC0019_2024_朝阳_一模_19,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0014:text | F0239:text,no
QP_0039,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,no
QP_0040,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0214_2025_门头沟_一模_20_2,CC0214_2025_门头沟_一模_20_2,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0095:text | F0313:text,no
QP_0041,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0245_2026_东城_期末_18_2,CC0245_2026_东城_期末_18_2,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0205:slide 56,no
QP_0042,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0251_2026_丰台_一模_20,CC0251_2026_丰台_一模_20,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0156:slide 51,yes
QP_0043,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0254_2026_丰台_二模_18,CC0254_2026_丰台_二模_18,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0187:slide 29,yes
QP_0044,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0318_2026_海淀_期末_18_2,CC0318_2026_海淀_期末_18_2,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0216:page 2 | F0396:page 2,no
QP_0045,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0353_2026_西城_期末_17,CC0353_2026_西城_期末_17,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0221:page 11,no
QP_0046,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0364_2026_通州_期末_19_1,CC0364_2026_通州_期末_19_1,source_check_needed,merge_status=pending_locator_check,回源核对 paper_page/rubric_page；如 paper_file 缺失则补回,尚未通过 locator 复核；reasoner 阶段需明确 source 锁定,no_level_change,F0223:slide 11 | F0403:slide 11,yes
QP_0047,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0002_2024_丰台_一模_17,CC0002_2024_丰台_一模_17,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0045:page 4 | F0045:page 8 | F0267:page 4 | F0267:page 8 | F0268:text lines 16-26; F0045:pages 4/8,no
QP_0048,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0011_2024_丰台_二模_17,CC0011_2024_丰台_二模_17,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0047:text | F0270:text,no
QP_0049,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0019_2024_朝阳_一模_19,CC0019_2024_朝阳_一模_19,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0014:text | F0239:text,no
QP_0050,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0092_2025_东城_期末_19_1,CC0092_2025_东城_期末_19_1,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0128:page 11 | F0129:slide 11 | F0129:slide 12 | F0338:page 11,no
QP_0051,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0214_2025_门头沟_一模_20_2,CC0214_2025_门头沟_一模_20_2,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0095:text | F0313:text,no
QP_0052,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0245_2026_东城_期末_18_2,CC0245_2026_东城_期末_18_2,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0205:slide 56,no
QP_0053,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0251_2026_丰台_一模_20,CC0251_2026_丰台_一模_20,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0156:slide 51,no
QP_0054,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0254_2026_丰台_二模_18,CC0254_2026_丰台_二模_18,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0187:slide 29,no
QP_0055,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0318_2026_海淀_期末_18_2,CC0318_2026_海淀_期末_18_2,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0216:page 2 | F0396:page 2,no
QP_0056,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0353_2026_西城_期末_17,CC0353_2026_西城_期末_17,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0221:page 11,no
QP_0057,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0364_2026_通州_期末_19_1,CC0364_2026_通州_期末_19_1,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0223:slide 11 | F0403:slide 11,no
QP_0058,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0305_2026_海淀_一模_18_3,CC0305_2026_海淀_一模_18_3,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0165:lines 87-96 | F0375:lines 87-96,no
QP_0059,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0373_2026_顺义_一模_18,CC0373_2026_顺义_一模_18,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0177:lines 302-327 | F0176:lines 35-47,no
QP_0060,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0380_2026_顺义_二模_18_2,CC0380_2026_顺义_二模_18_2,update,(empty paper_file),将 source_paper_file 字段补齐：若为子问，按父问继承；若 OCR-blocked，写入 OCR_blocked 标记,便于下游溯源；当前 14 条记录 paper_file 字段空,no_level_change,F0202:lines 53-55,no
QP_0061,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0162_2025_海淀_一模_18,CC0162_2025_海淀_一模_18,keep,merge_status=weak_reference_only level=reference_only,保持 reference_only；不得在 reasoner 阶段升 formal；只能进入弱观察输入,weak_reference_only 状态明确：reference_only 不支撑核心框架,must_remain_reference_only,F0089:page 2 | F0090:page 5 | F0090:page 8 | F0305:text lines 358-360; no formal scoring source located in F0088/F0307,no
QP_0062,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0311_2026_海淀_二模_18_2,CC0311_2026_海淀_二模_18_2,keep,merge_status=weak_reference_only level=reference_only,保持 reference_only；不得在 reasoner 阶段升 formal；只能进入弱观察输入,weak_reference_only 状态明确：reference_only 不支撑核心框架,must_remain_reference_only,F0197:text Q18(2),no
QP_0063,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0244_2026_东城_期末_18,CC0244_2026_东城_期末_18,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0205:slide 49 | F0205:slide 55 | F0206:page 6 | F0206:page 8,no
QP_0064,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0245_2026_东城_期末_18_2,CC0245_2026_东城_期末_18_2,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0205:slide 56,no
QP_0065,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0317_2026_海淀_期末_18,CC0317_2026_海淀_期末_18,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0215:text | F0216:page 2 | F0217:page 10 | F0396:page 2,no
QP_0066,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0318_2026_海淀_期末_18_2,CC0318_2026_海淀_期末_18_2,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0216:page 2 | F0396:page 2,no
QP_0067,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0319_2026_海淀_期末_19,CC0319_2026_海淀_期末_19,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0215:text | F0216:page 3 | F0217:page 10 | F0396:page 3,no
QP_0068,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0353_2026_西城_期末_17,CC0353_2026_西城_期末_17,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0221:page 11,no
QP_0069,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0364_2026_通州_期末_19_1,CC0364_2026_通州_期末_19_1,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0223:slide 11 | F0403:slide 11,no
QP_0070,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,RECOVER_2026_朝阳_期末_18_1,RECOVER_2026_朝阳_期末_18_1,no_action,期末,期末,stage 已正确修正为期末,no_level_change,F0213/F0392 rendered page_005; F0212/F0393 rendered page_002,no
QP_0071,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,CC0051_2024_海淀_期中_21_1,CC0051_2024_海淀_期中_21_1,no_action,absent_from_core,keep_in_boundary_only,ClaudeCode audit downgrade 已生效；本轮核心不含,no_level_change,boundary_mixed_or_blocked_cases,no
QP_0072,merged_subjective_law_questions_for_reasoners_claudecode_corrected.csv,RECOVER_2024_顺义_二模_17,RECOVER_2024_顺义_二模_17,no_action,absent_from_core,keep_in_boundary_only,ClaudeCode audit downgrade 已生效；本轮核心不含,no_level_change,boundary_mixed_or_blocked_cases,no
