line,source,trigger,v3_audit_id,v3_final_grade,v3_final_status,retained_grade,tag,recommended_action
114,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`）,主观能动性 / 意识的能动作用,V3-FW-0021,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
118,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则）,主观能动性 / 意识依赖于物质,V3-FW-0022,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
122,2026北京海淀高三（上）期末 第16题（评分标准）,意识的能动作用 / 主观能动性,V3-FW-0023,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
126,2025北京东城高三（上）期末 第16题（`2025。1东城讲评 修改.pdf`答案细则，缓存核验）,主观能动性 / 意识的能动作用,V3-FW-0024,E,E_user_supplement_not_in_workspace,A,【证据：A讲评PDF答案细则缓存核验，V3原E已补强】,needs-user-supplement-or-downgrade
130,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,主观能动性 / 意识的能动作用,V3-FW-0025,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
134,2025北京丰台高三（上）期末 第16题（`丰台期末细则.pptx`）,主观能动性 / 意识的能动作用,V3-FW-0026,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
138,2024北京顺义高三二模 第2题③④（由“2024门头沟一模与顺义二模选择题正确项补充（补证转正）”已证映射反向拆回）,主观能动性 / 意识的能动作用,V3-FW-0237,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
143,2026北京西城高三一模 第1题（由“2026西城一模选择题正确项补充（答案源支持）”已证映射反向拆回）,主观能动性 / 意识的能动作用,V3-FW-0261,E,E_choice_key_or_stem_not_confirmed,C,【证据：C选择题正确项；答案源为PDF第10页“答案及评分参考”，经督工视觉核验】,needs-choice-answer-key
148,2026北京西城高三一模 第5题（由“2026西城一模选择题正确项补充（答案源支持）”已证映射反向拆回）,主观能动性 / 意识的能动作用,V3-FW-0262,E,E_choice_key_or_stem_not_confirmed,C,【证据：C选择题正确项；答案源为PDF第10页“答案及评分参考”，经督工视觉核验】,needs-choice-answer-key
153,2026北京西城高三一模 第7题（由“2026西城一模选择题正确项补充（答案源支持）”已证映射反向拆回）,主观能动性 / 意识的能动作用,V3-FW-0264,E,E_choice_key_or_stem_not_confirmed,C,【证据：C选择题正确项；答案源为PDF第10页“答案及评分参考”，经督工视觉核验】,needs-choice-answer-key
159,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`）,尊重客观规律与发挥主观能动性相结合,V3-FW-0033,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
163,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,尊重客观规律与发挥主观能动性相结合,V3-FW-0034,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
167,2024北京朝阳高三二模 第16题（2）（`2024年朝阳二模主观题阅卷总结.pdf`）,尊重客观规律与发挥主观能动性相结合,V3-FW-0036,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
171,2025北京西城高三二模 第16题第（1）问（`讨论定稿-答案细则 -25.5西城高三政治二模-1.docx`）,尊重客观规律与发挥主观能动性相结合,V3-FW-0037,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
175,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`）,尊重客观规律与发挥主观能动性相结合,V3-FW-0038,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
179,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`）,按客观规律办事和发挥主观能动性,V3-FW-0039,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
183,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`）,尊重客观规律与发挥主观能动性相结合,V3-FW-0040,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
188,2024北京顺义高三二模 第16（1）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0243,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
193,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0247,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
198,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0248,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
203,2026北京房山高三一模 第16（2）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0250,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
208,2026北京西城高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0255,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
213,2026北京门头沟高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0258,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
218,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,尊重客观规律与发挥主观能动性相结合,V3-FW-0149,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
224,2025北京丰台高三（上）期末 第16题（`丰台期末细则.pptx`）,规律的客观性,V3-FW-0041,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
228,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,规律的客观性,V3-FW-0042,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
235,2025北京顺义高三一模 第16题（教师版 + 评分细则）,联系的观点,V3-FW-0045,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
239,2025北京门头沟高三一模 第16题（教师版 + 门头沟一模细则）,联系的观点,V3-FW-0046,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
243,2025北京东城高三（上）期末 第16题（`2025。1东城讲评 修改.pdf`答案细则，缓存核验）,联系的观点,V3-FW-0048,E,E_user_supplement_not_in_workspace,A,【证据：A讲评PDF答案细则缓存核验，V3原E已补强】,needs-user-supplement-or-downgrade
247,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,联系的观点,V3-FW-0049,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
251,2026北京海淀高三（上）期末 第16题（评分标准）,联系的观点,V3-FW-0050,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
255,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,联系的观点,V3-FW-0051,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
259,2025北京朝阳高三（上）期末 第22题（`朝阳期末评标.pdf`扫描页读图核定）,联系的观点,V3-FW-0052,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
263,2024北京西城高三二模 第18题第（4）问（`高三模拟测试思想政治答案细则.docx`）,联系的观点 / 整体与部分 / 系统优化,V3-FW-0061,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
267,2024北京丰台高三二模 第20题（`丰台政治二模阅卷评标.docx`）,联系的观点 / 系统观念,V3-FW-0062,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
275,2025北京丰台高三（上）期末 第16题（`丰台期末细则.pptx`）,整体与部分 / 系统观念,V3-FW-0071,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
279,2025北京朝阳高三（上）期末 第22题（`朝阳期末评标.pdf`扫描页读图核定）,整体与部分 / 系统观念,V3-FW-0072,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
283,2025北京朝阳高三（上）期末 第2题（教师版答案源）,整体与部分 / 系统观念,V3-FW-0075,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
287,2025北京朝阳高三（上）期末 第9题（教师版答案源）,整体与部分 / 系统观念,V3-FW-0076,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
291,2025北京海淀高三二模 第16题（`2025届二模考试讲评0510.pdf`）,联系的观点 / 整体与部分 / 系统优化,V3-FW-0078,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
295,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`）,联系的观点 / 整体与部分 / 系统优化,V3-FW-0079,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
299,2024北京丰台高三二模 第21题（`丰台政治二模阅卷评标.docx`）,整体与部分 / 个人与国家的联系,V3-FW-0080,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
304,2026北京东城高三一模 第16题（由“2026一模已处理映射（细则支持）”已证映射反向拆回）,联系观点,V3-FW-0242,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
309,2026北京朝阳高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 整体与部分 / 系统优化,V3-FW-0247,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
314,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 整体与部分 / 系统观念,V3-FW-0248,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
319,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点,V3-FW-0249,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
324,2026北京房山高三一模 第16（2）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 整体与部分 / 系统观念,V3-FW-0250,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
329,2026北京房山高三一模 第18（1）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 整体与部分 / 系统优化,V3-FW-0251,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
334,2026北京石景山高三一模 第17（1）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 整体与部分 / 系统优化,V3-FW-0253,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
339,2026北京西城高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点,V3-FW-0254,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
344,2026北京门头沟高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点,V3-FW-0256,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
349,2026北京门头沟高三一模 第18（2）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点,V3-FW-0257,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
354,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,联系观点 / 系统优化,V3-FW-0259,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
359,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,整体与部分 / 系统优化,V3-FW-0260,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
364,2026北京西城高三一模 第6题（由“2026西城一模选择题正确项补充（答案源支持）”已证映射反向拆回）,联系观点 / 系统观念,V3-FW-0263,E,E_choice_key_or_stem_not_confirmed,C,【证据：C选择题正确项；答案源为PDF第10页“答案及评分参考”，经督工视觉核验】,needs-choice-answer-key
371,2025北京东城高三二模 第16题（`东城区25届高三政治二模统测阅卷报告 5.9.pdf`）,发展的观点,V3-FW-0081,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
375,2025北京东城高三（上）期末 第16题（`2025。1东城讲评 修改.pdf`答案细则，缓存核验）,发展的观点,V3-FW-0083,E,E_user_supplement_not_in_workspace,A,【证据：A讲评PDF答案细则缓存核验，V3原E已补强】,needs-user-supplement-or-downgrade
379,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,发展的观点,V3-FW-0084,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
383,2025北京西城高三（上）期末 第18题（用户确认答案解析可用）,新事物发展 / 发展的观点,V3-FW-0085,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
387,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,发展的观点,V3-FW-0086,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
391,2025北京朝阳高三（上）期末 第22题（`朝阳期末评标.pdf`扫描页读图核定）,发展的观点,V3-FW-0087,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
395,2025北京西城高三（上）期末 第4题（答案及评分参考）,发展的观点 / 用长远眼光看问题,V3-FW-0089,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
399,2026北京西城高三（上）期末 第21题（`西城高三期末评标.pptx`）,发展的观点,V3-FW-0090,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
403,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`）,发展的观点,V3-FW-0091,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
408,2025北京海淀高三（上）期末 第17题（2）（用户确认PPT给分口径）,量变与质变,V3-FW-0095,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
412,2025北京丰台高三（上）期末 第16题（`丰台期末细则.pptx`）,量变与质变 / 适度原则,V3-FW-0096,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
416,2025北京朝阳高三一模 第1题（教师版答案表）,量变与质变 / 发展的阶段性,V3-FW-0098,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
420,2024北京丰台高三二模 第21题（`丰台政治二模阅卷评标.docx`）,量变与质变,V3-FW-0100,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
426,2025北京海淀高三（上）期末 第17题（2）（用户确认PPT给分口径）,事物发展是前进性与曲折性的统一,V3-FW-0101,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
432,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则）,辩证否定观,V3-FW-0103,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
436,2025北京海淀高三（上）期末 第16题（用户确认PPT给分口径）,辩证否定,V3-FW-0104,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
440,2025北京朝阳高三（上）期末 第16题（`朝阳期末评标.pdf`扫描页读图核定）,辩证否定,V3-FW-0105,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
444,2025北京朝阳高三（上）期末 第22题（`朝阳期末评标.pdf`扫描页读图核定）,辩证否定 / 守正创新,V3-FW-0106,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
448,2024北京东城高三二模 第16题（`阅卷总结/16题/16题二模阅卷总结.docx`、`16题评分细则.pptx`）,辩证否定 / 守正创新,V3-FW-0107,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
452,2025北京东城高三一模 第16题（教师版 + 东城阅卷报告）,辩证否定,V3-FW-0108,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
456,2024北京朝阳高三期中 第17题（`2024.11期中政治朝阳评标docx.docx`、`阅卷细则总.rtf`）,辩证否定 / 守正创新,V3-FW-0115,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
461,2026北京丰台高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,辩证否定,V3-FW-0248,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
466,2026北京延庆高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点 / 辩证否定,V3-FW-0249,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
471,2026北京房山高三一模 第18（1）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点 / 量变质变,V3-FW-0251,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
476,2026北京海淀高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点,V3-FW-0252,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
481,2026北京石景山高三一模 第17（1）题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点,V3-FW-0253,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
486,2026北京西城高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点,V3-FW-0254,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
491,2026北京西城高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点,V3-FW-0255,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
496,2026北京门头沟高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,发展观点 / 辩证否定,V3-FW-0256,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
501,2026北京顺义高三一模 第16题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,量变质变 / 适度原则,V3-FW-0259,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
506,2026北京顺义高三一模 第21题（由“2026-04-25 夜间监管补丁”已证映射反向拆回）,量变质变,V3-FW-0260,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
513,2026北京朝阳高三（上）期中 第18题（用户提供正式阅卷细则）,矛盾就是对立统一 / 一分为二 / 全面观点,V3-FW-0116,A,A_verified_scoring_source,A,【证据：A细则/阅卷/评分标准直接支持】,keep-formal-chain
517,2026北京海淀高三（上）期末 第16题（评分标准）,矛盾就是对立统一 / 一分为二,V3-FW-0118,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
521,2025北京西城高三（上）期末 第18题（用户确认答案解析可用）,矛盾就是对立统一 / 一分为二看问题,V3-FW-0119,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
525,2025北京西城高三（上）期末 第7题（答案及评分参考）,矛盾就是对立统一 / 全面观点,V3-FW-0121,C,C_verified_choice_source,C,【证据：C选择题正确项；有可靠答案源】,keep-choice-source
529,2026北京西城高三（上）期末 第16题第（2）问（`西城高三期末评标.pptx`）,矛盾就是对立统一 / 全面观点,V3-FW-0123,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
533,2025北京延庆高三一模 第16题（教师版 + 答案细则合并文件）,矛盾就是对立统一 / 一分为二看问题,V3-FW-0124,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
537,2025北京房山高三一模 第16题第（1）问（教师版 + 参考答案细则）,矛盾就是对立统一 / 一分为二看问题,V3-FW-0125,B,B_angle_or_scoring_source,B,【证据：B评标/讲评角度清单；材料链为整理者解释】,keep-as-angle-list-or-organizer-chain
541,2025北京海淀高三一模 第16题（教师版 + 评分标准）,矛盾就是对立统一 / 一分为二看问题,V3-FW-0126,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
545,2026北京东城高三（上）期末 第16题（`2026东城期末细则.txt`缓存核验）,矛盾就是对立统一,V3-FW-0127,E,E_user_supplement_not_in_workspace,A,【证据：A期末细则缓存核验，V3原E已补强】,needs-user-supplement-or-downgrade
549,2024北京丰台高三二模 第20题（`丰台政治二模阅卷评标.docx`）,矛盾就是对立统一 / 全面观点,V3-FW-0130,A,A_scoring_source_trigger_not_text_matched,A,【证据：A细则/阅卷来源；触发词非逐字命中，材料链按题面人工保留】,keep-source-but-chain-needs-human-check
