suite_id,year,district,exam_type,exam_paper_path,scoring_rule_path,scoring_rule_type,evidence_level,lane_b_status,notes
2026海淀一模,2026,海淀,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026海淀一模/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先；待Codex A核查
2026东城一模,2026,东城,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026东城一模/细则/细则.pdf,pdf+分题细则pptx,P0_presumed,in_scope,有分题细则PPT；非优先
2026丰台一模,2026,丰台,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026丰台一模/细则/细则.pptx,pptx_细则,P0_presumed,uncertain,非优先；待Codex A核查
2026西城一模,2026,西城,一模,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2026模拟题/2026各区一模/2026西城一模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先；待Codex A核查
2026石景山期末,2026,石景山,期末,N/A,N/A,N/A,N/A,excluded,用户逐题确认无可用细则；全模块排除
2025海淀期中,2025,海淀,期中,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期中/细则/细则.docx,docx_参考答案,P1_reference_answer,in_scope,Q16(2)和Q21(2)为优先；图片表格形式细则未找到（见missing_blockers.md）
2025海淀期末,2025,海淀,期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/试卷/试卷.docx,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025海淀期末/细则/细则.pptx,pptx_教师研修PPT,P2_teaching_lecture,in_scope,Q22选必一内容（人类命运共同体等）在幻灯片61/62；正式评标未找到
2025东城期末,2025,东城,期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025东城期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先；待Codex A核查
2025丰台期末,2025,丰台,期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025丰台期末/细则/细则.pptx,pptx_细则,P0_presumed,in_scope,非优先
2025朝阳期末,2025,朝阳,期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025朝阳期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2025西城期末,2025,西城,期末,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区期末/2025西城期末/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2025海淀二模,2025,海淀,二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025海淀二模/细则/细则.docx,docx_正式评分细则+评标实录,P0_verified+评标实录,in_scope,Q21双重确认（细则.docx+2025年海淀二模评标实录.docx）
2025东城二模,2025,东城,二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025东城二模/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2025丰台二模,2025,丰台,二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025丰台二模/试卷/试卷.pdf,分题细则docx,docx_分题细则,P0_presumed,in_scope,非优先
2025朝阳二模,2025,朝阳,二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025朝阳二模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2025西城二模,2025,西城,二模,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区二模/2025西城二模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2025海淀一模,2025,海淀,一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025海淀一模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2025东城一模,2025,东城,一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025东城一模/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2025朝阳一模,2025,朝阳,一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025朝阳一模/细则/细则.pdf,pdf_细则+阅卷总结,P0_presumed,in_scope,非优先
2025西城一模,2025,西城,一模,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2025模拟题/2025各区一模/2025西城一模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2024东城一模,2024,东城,一模,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024东城一模/细则/细则.pptx,pptx_试题分析（含阅卷细则幻灯片）,P2_teaching_with_rubric_slides,in_scope,Q16 slide26含"16题阅卷细则"；Q20 slide64含选必一评分项；文件标题为"试题分析"非正式评标
2024朝阳一模,2024,朝阳,一模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳一模/细则/细则.pptx,pptx_细则,P0_presumed,in_scope,非优先
2024朝阳二模,2024,朝阳,二模,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳二模/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2024朝阳期中,2024,朝阳,期中,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024朝阳期中/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2024海淀一模,2024,海淀,一模,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀一模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2024海淀期中,2024,海淀,期中,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/2024海淀期中/细则/细则.pdf,pdf_细则,P0_presumed,in_scope,非优先
2024东城二模,2024,东城,二模,/Users/wanglifei/Desktop/2024模拟题/东城二模/试卷/试卷.pdf,分题细则pptx+docx,pptx+docx_阅卷总结,P0_presumed,in_scope,非优先
2024海淀二模,2024,海淀,二模,/Users/wanglifei/Desktop/2024模拟题/海淀二模/试卷/试卷.pdf,/Users/wanglifei/Desktop/2024模拟题/海淀二模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2024西城一模,2024,西城,一模,/Users/wanglifei/Desktop/2024模拟题/西城一模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城一模/细则/细则.docx,docx_细则+阅卷细则调整,P0_presumed,in_scope,非优先
2024西城二模,2024,西城,二模,/Users/wanglifei/Desktop/2024模拟题/西城二模/试卷/试卷.docx,/Users/wanglifei/Desktop/2024模拟题/西城二模/细则/细则.docx,docx_细则,P0_presumed,in_scope,非优先
2024各区一模分类汇编选必一,2024,各区,一模汇编,/Users/wanglifei/Desktop/2024模拟题/202404各区一模试题分类（按模块）/2024届各区一模试题分类汇编选必1.docx,same_file,docx_汇编,P1_compiled,in_scope,选必一内容汇编；待核查各区原始细则
