条目#,思维方法（章节）,题目（年份·区县·题号）,设问/题号/分值,分类·同题组·角度,阐释质量,优先级
16,科学思维>结果具有预见性,2. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
17,科学思维>结果具有预见性,3. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
18,科学思维>结果具有预见性,4. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,⚠️ 与#102高度重复：2024丰台二模18(2)同一采分点，#18(预见性)与#102(超前思维)材料触发点/答案落点几乎雷同，建议合并或互注“同一采分点的两种表述”。,好,中
19,科学思维>结果具有可检验性,1. 2026顺义一模 第19题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
20,科学思维>结果具有可检验性,2. 2025丰台一模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,差　可检验性层为空泛套话、与材料脱节，可原样套到任何政策题。,高
21,科学思维>结果具有可检验性,3. 2025石景山一模 第19题（主观题）,✅ 一致,⚠️ 同题采分合并：与#6(客观性)在细则中合为同一2分点，宜加注。,好,中
22,科学思维>结果具有可检验性,4. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,⚠️ 延伸条目宜标注：2026海淀二模18(1)“可检验性”非细则得分点，属延伸训练，建议明确标“延伸/非细则必答”。,好,中
23,科学思维>结果具有可检验性,5. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。,✅ 合理,中　推理停在“有距离→需检验”，与#43触发信号重叠，方法边界未分。,中
24,辩证思维>整体性,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：2025海淀二模20题细则为3组(1+1+1)结构；本条(整体性)与#37(分析综合)同属第1组、择一得分；缺“本条只训练单一角度、勿当满分答案”提示。,好,中
25,辩证思维>整体性,2. 2025东城一模 第18题第（1）问（主观题）,⚠️ 设问漏标分值“（4分）”。,⚠️ 答案落点未覆盖细则第二层(抓主要矛盾/两点论重点论，约2分)。,好,中
26,辩证思维>整体性,3. 2026东城一模 第19题第（4）问（主观题）,✅ 一致,✅ 合理,好,—
27,辩证思维>整体性,4. 2026房山一模 第18题第（1）问（主观题）,✅ 一致,⚠️ 同题漏角度：2026房山一模18(1)6分含整体性/矛盾分析法/动态性三路径(各2分)，本条仅收整体性，漏4分两路径。,好,中
28,辩证思维>整体性,5. 2026门头沟一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
29,辩证思维>整体性,6. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,中　先给结论再补材料依据，推理顺序倒置(倒推)。,中
30,辩证思维>整体性,7. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,⚠️ 方法名实不符：标“整体性”，但答案落点用的是矛盾“两分法/全面”语言(“既看作用也警惕风险”)，与整体性(多要素相互联系成整体)实质不符；细则用语为“全面、发展的观点”。,差　落点是矛盾两分法套路，与所标“整体性”方法不符。,高
31,辩证思维>整体性,8. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　仅凭“列了多个要素”就跳到整体性，缺“相互依存”论证，收束语套话。,中
32,辩证思维>整体性,9. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—
33,辩证思维>动态性,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#55(量变质变)同属细则第2组、择一得分。,好,中
34,辩证思维>动态性,2. 2024朝阳二模 第19题第（1）问（主观题）,✅ 一致,⚠️ 白话提示张冠李戴：本条(动态性)“白话提示”写“山一程、水一程…思乡”，与本题(生生之宇宙观)无关，疑误植他题提示，建议更正。,好,中
35,辩证思维>动态性,3. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　方法混淆，“不能静止肯定否定”滑向两分法表达。,中
36,辩证思维>动态性,4. 2026西城期末 第21题（综合题讲评复练题）,✅ 一致,⚠️ 复练题宜区隔：2026西城期末21细则无“动态性”明文(已自注复练题)，建议与正式考点条目明确区分，防被当正式考点。,好,中
37,辩证思维>分析与综合,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#24(整体性)同属细则第1组、择一得分。,好,中
38,辩证思维>分析与综合,2. 2024石景山一模 第19题第（3）问（主观题）,✅ 一致,⚠️ 同题漏角度：2024石景山一模19(3)“任选一种辩证思维方法”，本条仅收分析与综合，漏“辩证否定观”(亦为合法答案)。,好,中
39,辩证思维>分析与综合,3. 2024海淀一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　“分析”信号过于概括，未交代三地各自特质，分析流于形式。,中
40,辩证思维>分析与综合,4. 2025丰台二模 第19题第（1）问（主观题）,✅ 一致,❌ 分类错误：2025丰台二模19(1)核心考“充分条件假言判断”(形式逻辑)，细则无“分析与综合”；宜移入姊妹篇/逻辑规则线或改注。,好,高
41,辩证思维>分析与综合,5. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
42,辩证思维>分析与综合,6. 2026石景山二模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
43,辩证思维>分析与综合,7. 2026海淀一模 第17题第（2）问（主观题）,⚠️ 题号“第（2）问”同#5问题（海淀一模建议部分）。,✅ 合理,好,低
44,辩证思维>分析与综合,8. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　与#23/#31触发信号雷同，方法边界混乱。,中
45,辩证思维>分析与综合,9. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—
46,辩证思维>分析与综合,10. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,中　以“看参考答案第二层”作触发依据，属逻辑跳跃(教看答案而非看材料)。,中
47,辩证思维>分析与综合,11. 2026石景山期末 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
48,辩证思维>矛盾分析法,1. 2026朝阳期中(2025-11) 第20题（主观题）,✅ 一致,⚠️ 分类偏窄：2026朝阳期中20题为辩证思维综合(矛盾分析+分析综合+量变质变+动态性)，仅标“矛盾分析法”，易致学生漏答其他角度。,好,中
49,辩证思维>矛盾分析法,2. 2025延庆一模 第18题（主观题）,✅ 一致,✅ 合理,好,—
50,辩证思维>矛盾分析法,3. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
51,辩证思维>矛盾分析法,4. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
52,辩证思维>矛盾分析法,5. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　仅凭“有积极有挑战”识别矛盾分析法；落点为对偶万能套语。,中
53,辩证思维>矛盾分析法,6. 2025丰台期末评标讲评 “界”复练题（讲评复练迁移题）,✅ 一致,✅ 合理,中　开放迁移题，落点“守底线中推动联系发展”高度通用。,中
54,辩证思维>矛盾分析法,7. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—
55,辩证思维>量变与质变,1. 2025海淀二模 第20题（主观题）,✅ 一致,⚠️ 同题组缺说明：与#33(动态性)同属细则第2组、择一得分。,好,中
56,辩证思维>量变与质变,2. 2025延庆一模 第18题（主观题）,✅ 一致,✅ 合理,好,—
57,辩证思维>适度原则,1. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
58,辩证思维>适度原则,2. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,差　通州AI题：万能套话，答案结构可与#63对调，未体现“适度原则”特性。,高
59,辩证思维>辩证否定,1. 2025海淀二模 第20题（主观题）,✅ 一致,✅ 合理,好,—
60,辩证思维>辩证否定,2. 2024东城一模 第18题第（3）问（主观题）,✅ 一致,✅ 合理,好,—
61,辩证思维>辩证否定,3. 2026房山二模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
62,辩证思维>辩证否定,4. 2025门头沟一模 第21题第（1）问（主观题）,⚠️ 设问漏标小问编号“（1）”及分值“（9分）”（同题组其余条目均已标注）。,✅ 合理,好,低
63,辩证思维>辩证否定,5. 2026通州一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,差　通州AI题：标准辩证否定句型，无本题材料填充，换任何利弊题可套。,高
64,辩证思维>认识发展历程,1. 2024海淀二模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
65,创新思维>特点与三新,1. 2025昌平二模 第19题（主观题）,✅ 一致,✅ 合理,好,—
66,创新思维>特点与三新,2. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
67,创新思维>特点与三新,3. 2026门头沟一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
68,创新思维>特点与三新,4. 2026延庆一模 第18题第（2）问（主观题）,✅ 一致,✅ 合理,中　三新触发未从材料提取；套话可套任何“新技术+监管”题。,中
69,创新思维>特点与三新,5. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,中　一次列举联想/发散/超前三法，未与材料具体对应，建议泛化。,中
70,创新思维>特点与三新,6. 2026丰台二模 第21题（主观题）,✅ 一致,✅ 合理,好,—
71,创新思维>特点与三新,7. 2026西城二模 第18题第（4）问（主观题）,✅ 一致,✅ 合理,差　创新/逆向思维定义拼凑复述，除“AI”外无本题材料痕迹。,高
72,创新思维>特点与三新,8. 2025西城一模 第17题（主观题）,✅ 一致,✅ 合理,好,—
73,创新思维>特点与三新,9. 2025石景山一模 第19题（主观题）,✅ 一致,✅ 合理,中　落点只是重复题意换说法，未揭示思维方法层面机制。,中
74,创新思维>联想思维,1. 2025海淀期末 第18题（主观题）,✅ 一致,✅ 合理,好,—
75,创新思维>联想思维,2. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
76,创新思维>联想思维,3. 2026朝阳一模 第17题第（1）问后半（主观题）,✅ 一致,✅ 合理,好,—
77,创新思维>联想思维,4. 2026海淀二模 第18题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
78,创新思维>联想思维,5. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,中　与#83(发散聚合)内容高度重叠，两法区分理由未说清。,中
79,创新思维>联想思维,6. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,中　联想与发散混用无区分；迁移对象模糊，通用套话。,中
80,创新思维>发散思维与聚合思维,1. 2026东城一模 第19题第（4）问（主观题）,✅ 一致,⚠️ 同题漏角度：2026东城一模19(4)细则另含“超前思维”角度，本条(发散聚合)未覆盖。,好,中
81,创新思维>发散思维与聚合思维,2. 2025东城期末 第18题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
82,创新思维>发散思维与聚合思维,3. 2026丰台二模 第21题（主观题）,✅ 一致,✅ 合理,好,—
83,创新思维>发散思维与聚合思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”。,✅ 合理,好,低
84,创新思维>发散思维与聚合思维,5. 2026海淀一模 第17题（建议部分）（主观题）,✅ 一致,✅ 合理,中　触发动作未从材料提取；聚合落点空洞(未说明聚焦到什么核心)。,中
85,创新思维>发散思维与聚合思维,6. 2024丰台一模 第19题第（2）问（主观题）,✅ 一致,⚠️(高) 分类误导：设问要求“科学思维知识”，细则明写“写超前/发散/联想思维不得分，须写具体方法”；本条归入“创新思维>发散聚合”易误导学生直接写发散思维(0分)。建议改以#7为主归类并加警示注。,中　理由部分为发散聚合定义复述，未结合垃圾分类标识具体情境。,高
86,创新思维>发散思维与聚合思维,7. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,好,—
87,创新思维>发散思维与聚合思维,8. 2024各区一模分类汇编·模拟政协题（参考答案讲评复练题）,✅ 一致,✅ 合理,好,—
88,创新思维>逆向思维,1. 2025房山一模 第16题第（3）问（主观题）,✅ 一致,✅ 合理,好,—
89,创新思维>逆向思维,2. 2025昌平二模 第19题（主观题）,✅ 一致,✅ 合理,好,—
90,创新思维>逆向思维,3. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
91,创新思维>超前思维,1. 2024西城一模 第19题第（5）问（主观题）,⚠️ 设问漏标小问编号“（5）”。,✅ 合理,差　把“矛盾分析法”错嵌入超前思维答点(知识点错位)；触发为万能套话。,高
92,创新思维>超前思维,2. 2024东城一模 第18题第（3）问（主观题）,✅ 一致,✅ 合理,中　超前思维落点仅贴标签，未展开具体“预判了什么”。,中
93,创新思维>超前思维,3. 2026顺义二模 第21题（主观题）,⚠️ 设问漏标分值“（10分）”。,⚠️ 2026顺义二模21为综合开放题，超前思维仅为可选角度之一，宜加注。,好,中
94,创新思维>超前思维,4. 2026朝阳期中(2025-11) 第21题第（2）问（主观题）,✅ 一致,✅ 合理,中　“了解优势→预测趋势→转变理念”可套任何城市转型题。,中
95,创新思维>超前思维,5. 2026海淀期末 第20题第（2）问（主观题）,⚠️ 设问漏标分值“（6分）”。,⚠️ 同大题第(1)问为形式逻辑(4分)，本条未作姊妹篇标注/互注。,好,中
96,创新思维>超前思维,6. 2025东城期末 第18题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”及分值“（4分）”（同题#81已标全）。,✅ 合理,好,低
97,创新思维>超前思维,7. 2025海淀期末 第18题（主观题）,✅ 一致,❌ 角度无官方依据：2025海淀期末18题官方参考答案仅列“逆向思维+联想思维”，“超前思维”不在答案内。建议删改或注明“官方答案未列此点”。,差　超前思维落点空洞贴标签，且官方答案未列此角度(见分类列)。,高
98,创新思维>超前思维,8. 2024朝阳期中 第19题（主观题）,✅ 一致,✅ 合理,好,—
99,创新思维>超前思维,9. 2024顺义二模 第16题第（2）问（主观题）,⚠️ 设问漏标小问编号“（2）”。,✅ 合理,中　把“矛盾分析法”归入超前思维答点，知识点边界错位。,中
100,创新思维>超前思维,10. 2026石景山一模 第17题第（2）问（主观题）,✅ 一致,✅ 合理,好,—
101,创新思维>超前思维,11. 2025门头沟一模 第21题第（1）问（主观题）,✅ 一致,✅ 合理,好,—
102,创新思维>超前思维,12. 2024丰台二模 第18题第（2）问（主观题）,✅ 一致,⚠️ 与#18高度重复：同一采分点(2024丰台二模18(2))。,好,中
103,创新思维>超前思维,13. 2026丰台期末 第20题（主观题）,✅ 一致,✅ 合理,中　触发未说明“为何超前而非系统思维”，落点通用。,中
104,创新思维>超前思维,14. 2026东城二模 第18题（主观题）,✅ 一致,✅ 合理,好,—
105,创新思维>超前思维,15. 2026西城一模 第16题（综合题讲评复练题）,✅ 一致,✅ 合理,好,—
106,创新思维>超前思维,16. 2024各区一模分类汇编·房山未来产业题（讲评复练迁移题）,✅ 一致,✅ 合理,差　关键词罗列无推理，超前思维通用框架堆砌，与本题材料脱节。,高
