题目,题目键,共同子原理,Claude独有子原理,Codex独有子原理,初判处理,需人工审
2025海淀二模第16题,2025_海淀_二模_Q16,整体与部分 / 系统观念 / 系统优化；辩证否定 / 守正创新；量变与质变,主观能动性 / 意识的能动作用；联系的普遍性；适度原则,,,是
2025海淀期末第16题,2025_海淀_期末_Q16,主观能动性 / 意识的能动作用；联系；辩证否定 / 守正创新,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,发展的观点 / 发展的普遍性,,是
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,前进性与曲折性；实践与认识 / 认识对实践的反作用；真理观；认识发展原理；量变与质变,人民群众,,,是
2025石景山一模第16题,2025_石景山_一模_Q16,,发展的观点 / 发展的普遍性；联系的普遍性,矛盾普遍性和特殊性；矛盾的普遍性,,是
2025西城一模第16题,2025_西城_一模_Q16,实践与认识 / 认识对实践的反作用,前进性与曲折性；认识发展原理,,,是
2025西城期末第18题,2025_西城_期末_Q18,价值判断与价值选择；价值观的导向作用；对立统一；认识发展原理,发展,发展的观点 / 发展的普遍性；矛盾的普遍性,,是
2025西城期末第4题,2025_西城_期末_Q4,,两点论和重点论,发展的观点 / 发展的普遍性,,是
2025西城期末第7题,2025_西城_期末_Q7,对立统一,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用,,,是
2025门头沟一模第16题,2025_门头沟_一模_Q16,,人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；联系的普遍性,联系,,是
2025门头沟一模第21(2)题,2025_门头沟_一模_Q21-2,一切从实际出发 / 实事求是,主观能动性 / 意识的能动作用；价值判断与价值选择；社会基本矛盾 / 社会发展规律,,,是
2025顺义一模第16题,2025_顺义_一模_Q16,,前进性与曲折性；发展的观点 / 发展的普遍性；矛盾的特殊性 / 具体问题具体分析；联系的客观性,联系,,是
2026东城一模第16题,2026_东城_一模_Q16,人民群众；价值判断与价值选择；社会存在与社会意识,矛盾,价值观的导向作用；矛盾的主要方面和次要方面,,是
2026东城一模第20题,2026_东城_一模_Q20,实践与认识 / 认识对实践的反作用；真理观；认识发展原理,前进性与曲折性；量变与质变,人民群众；社会基本矛盾 / 社会发展规律,,是
2026东城期末第16题,2026_东城_期末_Q16,对立统一,价值观的导向作用；整体与部分 / 系统观念 / 系统优化,,,是
2026延庆一模第16题,2026_延庆_一模_Q16,人民群众；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新,对立统一；社会存在与社会意识,,,是
2026朝阳一模第16题,2026_朝阳_一模_Q16,主观能动性 / 意识的能动作用；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化,矛盾的特殊性 / 具体问题具体分析；联系的普遍性,实践与认识 / 认识对实践的反作用；对立统一,,是
2026朝阳期中第18题,2026_朝阳_期中_Q18,主观能动性 / 意识的能动作用；价值判断与价值选择；价值观的导向作用；对立统一；辩证否定 / 守正创新,一切从实际出发 / 实事求是；矛盾的普遍性,实践与认识 / 认识对实践的反作用；矛盾的特殊性 / 具体问题具体分析,,是
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,价值观的导向作用；对立统一；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,发展的观点 / 发展的普遍性；联系的普遍性,发展,,是
2026西城一模第16题,2026_西城_一模_Q16,价值观的导向作用,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化；联系的普遍性,,,是
2026西城一模第21题,2026_西城_一模_Q21,主观能动性 / 意识的能动作用；实践与认识 / 认识对实践的反作用；尊重客观规律与发挥主观能动性相结合,前进性与曲折性；改革 / 改革的实质；真理观；矛盾的特殊性 / 具体问题具体分析；社会基本矛盾 / 社会发展规律；量变与质变,发展；矛盾,,是
2026门头沟一模第16题,2026_门头沟_一模_Q16,对立统一；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性,,,是
2026顺义一模第21题,2026_顺义_一模_Q21,主观能动性 / 意识的能动作用；人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合,两点论和重点论；主要矛盾和次要矛盾；对立统一；矛盾的主要方面和次要方面；规律的客观性,内因和外因；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；社会存在与社会意识；量变与质变,,是
