题目,题目键,共同原理方法论,Claude知识点,Codex触发知识,Claude行,Codex行
2025门头沟一模第21(2)题,2025_门头沟_一模_Q21-2,一切从实际出发 / 实事求是,做事情要坚持一切从实际出发、实事求是，使主观符合客观，做到主观与客观、认识与实践的具体的历史的统一,主观与客观、认识与实践具体的历史的统一,75,94
2025顺义一模第16题,2025_顺义_一模_Q16,联系,联系是普遍的、客观的，要用联系的观点看问题,联系的观点,638,235
2026东城一模第16题,2026_东城_一模_Q16,人民群众,人民群众是社会历史的主体，文艺要坚持以人民为中心,人民群众,2061,937
2026东城一模第16题,2026_东城_一模_Q16,价值判断与价值选择,作出符合社会发展规律和人民立场的价值判断与价值选择，坚持正确价值导向,价值判断与价值选择,2300,1069
2026东城一模第16题,2026_东城_一模_Q16,社会存在与社会意识,社会意识的相对独立性与反作用——先进文艺意识促进社会发展,社会存在与社会意识,1874,855
2026东城一模第20题,2026_东城_一模_Q20,实践与认识 / 认识对实践的反作用,实践决定认识；在实践中检验和发展真理；认识具有上升性,实践是认识的基础 / 实践检验认识,1628,765
2026东城期末第16题,2026_东城_期末_Q16,对立统一,"矛盾对立统一(虚实相成、以""无""显""有"")",矛盾就是对立统一,1548,545
2026延庆一模第16题,2026_延庆_一模_Q16,人民群众,群众观点/以人民为中心,人民群众,2067,942
2026延庆一模第16题,2026_延庆_一模_Q16,辩证否定 / 守正创新,辩证否定观/扬弃,发展观点 / 辩证否定,1106,466
2026朝阳一模第16题,2026_朝阳_一模_Q16,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性的辩证统一,尊重客观规律与发挥主观能动性相结合,399,193
2026朝阳期中第18题,2026_朝阳_期中_Q18,主观能动性 / 意识的能动作用,主观能动性、意识依赖于物质（人脑）,主观能动性 / 意识依赖于物质,246,118
2026朝阳期中第18题,2026_朝阳_期中_Q18,价值判断与价值选择,正确价值观的导向作用、价值判断与价值选择,价值判断与价值选择,2320,1044
2026朝阳期中第18题,2026_朝阳_期中_Q18,对立统一,矛盾的普遍性、对立统一、一分为二、全面的观点,矛盾就是对立统一 / 一分为二 / 全面观点,1561,513
2026朝阳期中第18题,2026_朝阳_期中_Q18,辩证否定 / 守正创新,辩证否定观（扬弃）,辩证否定观,1162,432
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,价值观的导向作用,人民至上的价值观、价值观的导向作用,价值观的导向作用,2159,1028
2026石景山一模第17(1)题,2026_石景山_一模_Q17-1,对立统一,对立统一观点（矛盾的同一性与斗争性）,矛盾对立统一 / 具体问题具体分析,1514,670
2026西城一模第16题,2026_西城_一模_Q16,价值观的导向作用,正确价值观对人们认识和改造世界的导向作用,价值观的导向作用,2166,1033
2026西城一模第21题,2026_西城_一模_Q21,实践与认识 / 认识对实践的反作用,实践是认识的来源、动力和检验认识真理性的唯一标准,实践与认识 / 实践观点,1729,731
2026西城一模第21题,2026_西城_一模_Q21,尊重客观规律与发挥主观能动性相结合,尊重客观规律是发挥主观能动性的前提，二者必须结合,尊重客观规律与发挥主观能动性相结合,406,208
2026门头沟一模第16题,2026_门头沟_一模_Q16,对立统一,"矛盾双方对立统一,在一定条件下相互转化",矛盾对立统一,1534,680
2026门头沟一模第16题,2026_门头沟_一模_Q16,辩证否定 / 守正创新,"辩证否定观:辩证否定是联系和发展的环节,实质是扬弃",发展观点 / 辩证否定,1155,496
2026门头沟一模第21题,2026_门头沟_一模_Q21,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合,尊重客观规律与发挥主观能动性相结合,413,213
2026顺义一模第21题,2026_顺义_一模_Q21,价值判断与价值选择,价值判断与价值选择要遵循社会发展规律，自觉站在最广大人民的根本立场上,价值判断与价值选择,2306,1084
2026顺义一模第21题,2026_顺义_一模_Q21,尊重客观规律与发挥主观能动性相结合,在尊重客观规律的基础上充分发挥主观能动性，把对客观大势的把握转化为正确的战略和决策,尊重客观规律与发挥主观能动性相结合,420,218
