题目,题目键,共同子原理/方法论,Claude节点集,Codex节点集
2024朝阳二模第16(2)题,2024_朝阳_二模_Q16-2,物质决定意识，意识对物质具有能动作用,人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用；社会存在与社会意识；联系的普遍性,尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用
2024朝阳期中第16题,2024_朝阳_期中_Q16,人民群众,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识
2024朝阳期中第16题,2024_朝阳_期中_Q16,改革 / 改革的实质,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识
2024朝阳期中第16题,2024_朝阳_期中_Q16,社会基本矛盾 / 社会发展规律,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识
2024朝阳期中第16题,2024_朝阳_期中_Q16,社会存在与社会意识,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识,人民群众；改革 / 改革的实质；社会基本矛盾 / 社会发展规律；社会存在与社会意识
2024朝阳期中第17题,2024_朝阳_期中_Q17,价值判断与价值选择,价值判断与价值选择；对立统一；辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024朝阳期中第17题,2024_朝阳_期中_Q17,价值观的导向作用,价值判断与价值选择；对立统一；辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024朝阳期中第17题,2024_朝阳_期中_Q17,对立统一,价值判断与价值选择；对立统一；辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024朝阳期中第17题,2024_朝阳_期中_Q17,矛盾的特殊性 / 具体问题具体分析,价值判断与价值选择；对立统一；辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024朝阳期中第17题,2024_朝阳_期中_Q17,辩证否定 / 守正创新,价值判断与价值选择；对立统一；辩证否定 / 守正创新,价值判断与价值选择；价值观的导向作用；对立统一；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；辩证否定 / 守正创新
2024西城二模第17题,2024_西城_二模_Q17,改革 / 改革的实质,社会基本矛盾 / 社会发展规律,改革 / 改革的实质；社会基本矛盾 / 社会发展规律
2024西城二模第17题,2024_西城_二模_Q17,社会基本矛盾 / 社会发展规律,社会基本矛盾 / 社会发展规律,改革 / 改革的实质；社会基本矛盾 / 社会发展规律
2024西城二模第18(4)题,2024_西城_二模_Q18-4,主观能动性 / 意识的能动作用,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024西城二模第18(4)题,2024_西城_二模_Q18-4,人民群众,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024西城二模第18(4)题,2024_西城_二模_Q18-4,价值判断与价值选择,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024西城二模第18(4)题,2024_西城_二模_Q18-4,尊重客观规律与发挥主观能动性相结合,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024西城二模第18(4)题,2024_西城_二模_Q18-4,整体与部分 / 系统观念 / 系统优化,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024西城二模第18(4)题,2024_西城_二模_Q18-4,矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,人民群众；价值判断与价值选择；尊重客观规律与发挥主观能动性相结合；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析
2024顺义二模第2题,2024_顺义_二模_Q2,主观能动性 / 意识的能动作用,主观能动性 / 意识的能动作用,主观能动性 / 意识的能动作用；文化功能 / 文化载体 / 文化传承与交流
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,价值观的导向作用,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用
2024顺义二模第20(2)题,2024_顺义_二模_Q20-2,实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；价值观的导向作用；实践与认识 / 认识对实践的反作用
2025东城一模第16题,2025_东城_一模_Q16,辩证否定 / 守正创新,价值观的导向作用；矛盾；辩证否定 / 守正创新,辩证否定 / 守正创新
2025东城二模第16题,2025_东城_二模_Q16,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；联系；认识发展原理,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用
2025东城二模第16题,2025_东城_二模_Q16,物质决定意识，意识对物质具有能动作用,一切从实际出发 / 实事求是；人民群众；价值观的导向作用；发展；实践与认识 / 认识对实践的反作用；对立统一；联系；认识发展原理,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；物质决定意识，意识对物质具有能动作用
2025东城期末第16题,2025_东城_期末_Q16,主观能动性 / 意识的能动作用,主观能动性 / 意识的能动作用,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；联系
2025丰台期末第16题,2025_丰台_期末_Q16,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第16题,2025_丰台_期末_Q16,实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第16题,2025_丰台_期末_Q16,整体与部分 / 系统观念 / 系统优化,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第16题,2025_丰台_期末_Q16,矛盾的特殊性 / 具体问题具体分析,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第16题,2025_丰台_期末_Q16,适度原则,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第16题,2025_丰台_期末_Q16,量变与质变,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；量变与质变,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值观的导向作用；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析；规律的客观性；量变与质变
2025丰台期末第17题,2025_丰台_期末_Q17,人民群众,人民群众,人民群众
2025丰台期末第4题,2025_丰台_期末_Q4,实现人生价值,实现人生价值,实现人生价值
2025丰台期末第7题,2025_丰台_期末_Q7,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是
2025房山一模第16(1)题,2025_房山_一模_Q16-1,对立统一,价值判断与价值选择；对立统一,对立统一
2025朝阳期末第16题,2025_朝阳_期末_Q16,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,主观能动性 / 意识的能动作用,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,人民群众,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,价值判断与价值选择,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,发展的观点 / 发展的普遍性,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,尊重客观规律与发挥主观能动性相结合,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第16题,2025_朝阳_期末_Q16,辩证否定 / 守正创新,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；发展的观点 / 发展的普遍性；对立统一；尊重客观规律与发挥主观能动性相结合；联系,一切从实际出发 / 实事求是；人民群众；价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；尊重客观规律与发挥主观能动性相结合；矛盾的普遍性；联系；规律的客观性；辩证否定 / 守正创新
2025朝阳期末第2题,2025_朝阳_期末_Q2,整体与部分 / 系统观念 / 系统优化,联系,整体与部分 / 系统观念 / 系统优化
2025朝阳期末第22题,2025_朝阳_期末_Q22,实践与认识 / 认识对实践的反作用,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化,人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；真理观；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；联系；认识发展原理；辩证否定 / 守正创新
2025朝阳期末第22题,2025_朝阳_期末_Q22,整体与部分 / 系统观念 / 系统优化,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化,人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；真理观；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；联系；认识发展原理；辩证否定 / 守正创新
2025朝阳期末第22题,2025_朝阳_期末_Q22,矛盾的特殊性 / 具体问题具体分析,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化,人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；真理观；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；联系；认识发展原理；辩证否定 / 守正创新
2025朝阳期末第22题,2025_朝阳_期末_Q22,辩证否定 / 守正创新,一切从实际出发 / 实事求是；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化,人民群众；价值观的导向作用；发展的观点 / 发展的普遍性；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；真理观；矛盾的特殊性 / 具体问题具体分析；社会存在与社会意识；联系；认识发展原理；辩证否定 / 守正创新
2025朝阳期末第9题,2025_朝阳_期末_Q9,整体与部分 / 系统观念 / 系统优化,联系,整体与部分 / 系统观念 / 系统优化
2025海淀一模第16题,2025_海淀_一模_Q16,对立统一,价值判断与价值选择；对立统一；认识发展原理,对立统一
2025海淀二模第16题,2025_海淀_二模_Q16,整体与部分 / 系统观念 / 系统优化,联系的普遍性；认识是主体对客体的能动反映；量变与质变,整体与部分 / 系统观念 / 系统优化
2025海淀二模第16题,2025_海淀_二模_Q16,辩证否定 / 守正创新,联系的普遍性；认识是主体对客体的能动反映；量变与质变,整体与部分 / 系统观念 / 系统优化
2025海淀二模第16题,2025_海淀_二模_Q16,量变与质变,联系的普遍性；认识是主体对客体的能动反映；量变与质变,整体与部分 / 系统观念 / 系统优化
2025海淀期末第16题,2025_海淀_期末_Q16,主观能动性 / 意识的能动作用,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；联系；辩证否定 / 守正创新
2025海淀期末第16题,2025_海淀_期末_Q16,联系,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；联系；辩证否定 / 守正创新
2025海淀期末第16题,2025_海淀_期末_Q16,辩证否定 / 守正创新,尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析；联系；辩证否定 / 守正创新,主观能动性 / 意识的能动作用；发展的观点 / 发展的普遍性；联系；辩证否定 / 守正创新
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,前进性与曲折性,人民群众；前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变,前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,实践与认识 / 认识对实践的反作用,人民群众；前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变,前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,真理观,人民群众；前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变,前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,认识发展原理,人民群众；前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变,前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变
2025海淀期末第17(2)题,2025_海淀_期末_Q17-2,量变与质变,人民群众；前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变,前进性与曲折性；实践与认识 / 认识对实践的反作用；认识发展原理；量变与质变
2025石景山一模第21题,2025_石景山_一模_Q21,改革 / 改革的实质,改革 / 改革的实质；社会基本矛盾 / 社会发展规律,改革 / 改革的实质
2025石景山一模第21题,2025_石景山_一模_Q21,社会基本矛盾 / 社会发展规律,改革 / 改革的实质；社会基本矛盾 / 社会发展规律,改革 / 改革的实质
2025西城一模第16题,2025_西城_一模_Q16,实践与认识 / 认识对实践的反作用,实践与认识 / 认识对实践的反作用；认识发展原理,实践与认识 / 认识对实践的反作用
2025西城二模第16(1)题,2025_西城_二模_Q16-1,主观能动性 / 意识的能动作用,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析
2025西城二模第16(1)题,2025_西城_二模_Q16-1,价值观的导向作用,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析
2025西城二模第16(1)题,2025_西城_二模_Q16-1,尊重客观规律与发挥主观能动性相结合,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析
2025西城二模第16(1)题,2025_西城_二模_Q16-1,矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析,价值观的导向作用；尊重客观规律与发挥主观能动性相结合；矛盾的特殊性 / 具体问题具体分析
2025西城期末第18题,2025_西城_期末_Q18,价值判断与价值选择,价值判断与价值选择；发展；对立统一；认识发展原理,价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的普遍性；认识发展原理
2025西城期末第18题,2025_西城_期末_Q18,价值观的导向作用,价值判断与价值选择；发展；对立统一；认识发展原理,价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的普遍性；认识发展原理
2025西城期末第18题,2025_西城_期末_Q18,对立统一,价值判断与价值选择；发展；对立统一；认识发展原理,价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的普遍性；认识发展原理
2025西城期末第18题,2025_西城_期末_Q18,认识发展原理,价值判断与价值选择；发展；对立统一；认识发展原理,价值判断与价值选择；价值观的导向作用；发展的观点 / 发展的普遍性；对立统一；矛盾的普遍性；认识发展原理
2025西城期末第7题,2025_西城_期末_Q7,对立统一,一切从实际出发 / 实事求是,对立统一
2025门头沟一模第21(2)题,2025_门头沟_一模_Q21-2,一切从实际出发 / 实事求是,一切从实际出发 / 实事求是；主观能动性 / 意识的能动作用；价值判断与价值选择,一切从实际出发 / 实事求是
2026东城一模第16题,2026_东城_一模_Q16,人民群众,人民群众；价值判断与价值选择；矛盾；社会存在与社会意识,人民群众；价值判断与价值选择；价值观的导向作用；矛盾的主要方面和次要方面；社会存在与社会意识；联系
2026东城一模第16题,2026_东城_一模_Q16,价值判断与价值选择,人民群众；价值判断与价值选择；矛盾；社会存在与社会意识,人民群众；价值判断与价值选择；价值观的导向作用；矛盾的主要方面和次要方面；社会存在与社会意识；联系
2026东城一模第16题,2026_东城_一模_Q16,社会存在与社会意识,人民群众；价值判断与价值选择；矛盾；社会存在与社会意识,人民群众；价值判断与价值选择；价值观的导向作用；矛盾的主要方面和次要方面；社会存在与社会意识；联系
2026东城一模第20题,2026_东城_一模_Q20,实践与认识 / 认识对实践的反作用,实践与认识 / 认识对实践的反作用；量变与质变,人民群众；实践与认识 / 认识对实践的反作用；真理观；社会基本矛盾 / 社会发展规律；认识发展原理
2026东城一模第20题,2026_东城_一模_Q20,真理观,实践与认识 / 认识对实践的反作用；量变与质变,人民群众；实践与认识 / 认识对实践的反作用；真理观；社会基本矛盾 / 社会发展规律；认识发展原理
2026东城一模第20题,2026_东城_一模_Q20,认识发展原理,实践与认识 / 认识对实践的反作用；量变与质变,人民群众；实践与认识 / 认识对实践的反作用；真理观；社会基本矛盾 / 社会发展规律；认识发展原理
2026东城期末第16题,2026_东城_期末_Q16,对立统一,价值观的导向作用；对立统一；整体与部分 / 系统观念 / 系统优化,对立统一
