题目,题目键,Claude节点,Claude行,备注
2024西城二模第7题,2024_西城_二模_Q7,一切从实际出发 / 实事求是,142,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024西城二模第8题,2024_西城_二模_Q8,联系,809,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2024顺义二模第5题,2024_顺义_二模_Q5,认识是主体对客体的能动反映,1759,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城一模第18(1)题,2025_东城_一模_Q18-1,主要矛盾和次要矛盾,1355,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城一模第21题,2025_东城_一模_Q21,社会基本矛盾 / 社会发展规律,1920,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城一模第4题,2025_东城_一模_Q4,联系,814,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城一模第6题,2025_东城_一模_Q6,尊重客观规律与发挥主观能动性相结合,452,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城二模第21题,2025_东城_二模_Q21,一切从实际出发 / 实事求是；发展,1032；1410,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城二模第3题,2025_东城_二模_Q3,矛盾,1578,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城二模第4题,2025_东城_二模_Q4,联系,844,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城期末第21题,2025_东城_期末_Q21,价值判断与价值选择,2279,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城期末第4题,2025_东城_期末_Q4,尊重客观规律与发挥主观能动性相结合,492,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025东城期末第5题,2025_东城_期末_Q5,联系,874,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台一模第18(3)题,2025_丰台_一模_Q18-3,价值判断与价值选择；前进性与曲折性；对立统一；联系的普遍性,610；977；1362；2230,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台一模第2题,2025_丰台_一模_Q2,发展,1199,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台一模第4题,2025_丰台_一模_Q4,尊重客观规律与发挥主观能动性相结合,457,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台二模第16(1)题,2025_丰台_二模_Q16-1,人民群众；实践与认识 / 认识对实践的反作用；社会存在与社会意识；联系的普遍性；辩证否定 / 守正创新,652；1039；1688；1867；2020,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台二模第21题,2025_丰台_二模_Q21,主观能动性 / 意识的能动作用；尊重客观规律与发挥主观能动性相结合；规律的客观性,218；358；534,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025丰台二模第4题,2025_丰台_二模_Q4,联系,849,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025延庆一模第1题,2025_延庆_一模_Q1,发展,1204,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025延庆一模第2题,2025_延庆_一模_Q2,联系,819,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025延庆一模第21题,2025_延庆_一模_Q21,人民群众,2006,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025延庆一模第4题,2025_延庆_一模_Q4,尊重客观规律与发挥主观能动性相结合,462,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025延庆一模第8题,2025_延庆_一模_Q8,发展,1209,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025房山一模第2题,2025_房山_一模_Q2,联系,829,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025房山一模第20题,2025_房山_一模_Q20,主观能动性 / 意识的能动作用；价值判断与价值选择；前进性与曲折性；实现人生价值；量变与质变,204；984；991；2244；2339,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025房山一模第3题,2025_房山_一模_Q3,一切从实际出发 / 实事求是,147,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025房山一模第4题,2025_房山_一模_Q4,联系,824,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025房山一模第7题,2025_房山_一模_Q7,联系,834,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第16题,2025_昌平_二模_Q16,价值判断与价值选择；价值观的导向作用；实现人生价值；实践与认识 / 认识对实践的反作用；联系的普遍性,659；1821；2145；2272；2353,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第2题,2025_昌平_二模_Q2,联系,854,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第22题,2025_昌平_二模_Q22,尊重客观规律与发挥主观能动性相结合,365,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第3题,2025_昌平_二模_Q3,主观能动性 / 意识的能动作用,300,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第4题,2025_昌平_二模_Q4,尊重客观规律与发挥主观能动性相结合,482,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025昌平二模第6题,2025_昌平_二模_Q6,联系,859,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳一模第16题,2025_朝阳_一模_Q16,实现人生价值；实践与认识 / 认识对实践的反作用；社会存在与社会意识,1667；1860；2346,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳一模第3题,2025_朝阳_一模_Q3,主观能动性 / 意识的能动作用,285,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳一模第4题,2025_朝阳_一模_Q4,发展,1214,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳二模第16题,2025_朝阳_二模_Q16,主观能动性 / 意识的能动作用；实践与认识 / 认识对实践的反作用；对立统一；联系,225；666；1417；1695,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳二模第2题,2025_朝阳_二模_Q2,尊重客观规律与发挥主观能动性相结合,487,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳二模第22题,2025_朝阳_二模_Q22,人民群众；实践与认识 / 认识对实践的反作用；对立统一；整体与部分 / 系统观念 / 系统优化；物质决定意识，意识对物质具有能动作用；矛盾,36；673；1424；1431；1702,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025朝阳二模第3题,2025_朝阳_二模_Q3,联系,864,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀一模第2题,2025_海淀_一模_Q2,主观能动性 / 意识的能动作用,290,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀一模第22题,2025_海淀_一模_Q22,联系的普遍性,617,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀一模第4题,2025_海淀_一模_Q4,尊重客观规律与发挥主观能动性相结合,467,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀一模第5题,2025_海淀_一模_Q5,发展,1219,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀期末第22题,2025_海淀_期末_Q22,量变与质变,1086,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀期末第4题,2025_海淀_期末_Q4,主观能动性 / 意识的能动作用,305,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀期末第5题,2025_海淀_期末_Q5,主观能动性 / 意识的能动作用,309,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀期末第6题,2025_海淀_期末_Q6,发展,1249,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025海淀期末第7题,2025_海淀_期末_Q7,联系,889,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025石景山一模第3题,2025_石景山_一模_Q3,尊重客观规律与发挥主观能动性相结合,472,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025石景山一模第4题,2025_石景山_一模_Q4,一切从实际出发 / 实事求是,152,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第1题,2025_西城_一模_Q1,发展,1234,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第17题,2025_西城_一模_Q17,一切从实际出发 / 实事求是,68,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第22题,2025_西城_一模_Q22,价值观的导向作用；真理观；量变与质变,1005；1833；2131,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第3题,2025_西城_一模_Q3,发展,1224,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第4题,2025_西城_一模_Q4,发展,1229,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城一模第5题,2025_西城_一模_Q5,尊重客观规律与发挥主观能动性相结合,477,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城二模第16(3)题,2025_西城_二模_Q16-3,联系的多样性,687,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城二模第2题,2025_西城_二模_Q2,联系,869,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城二模第20题,2025_西城_二模_Q20,人民群众,2034,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城二模第4题,2025_西城_二模_Q4,发展,1244,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城二模第5题,2025_西城_二模_Q5,价值观的导向作用,2200,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城期末第1题,2025_西城_期末_Q1,发展,1253,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城期末第21题,2025_西城_期末_Q21,改革 / 改革的实质,1960,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025西城期末第3题,2025_西城_期末_Q3,联系,894,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025门头沟一模第6题,2025_门头沟_一模_Q6,发展,1239,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025门头沟一模第7题,2025_门头沟_一模_Q7,主观能动性 / 意识的能动作用,295,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025顺义一模第3题,2025_顺义_一模_Q3,联系,839,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2025顺义一模第4题,2025_顺义_一模_Q4,一切从实际出发 / 实事求是,157,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城一模第1题,2026_东城_一模_Q1,一切从实际出发 / 实事求是,172,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城一模第19(1)题,2026_东城_一模_Q19-1,实践与认识 / 认识对实践的反作用,1722,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城一模第2题,2026_东城_一模_Q2,发展,1258,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城一模第5题,2026_东城_一模_Q5,尊重客观规律与发挥主观能动性相结合,497,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第2题,2026_东城_期末_Q2,矛盾,1588,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第21题,2026_东城_期末_Q21,价值判断与价值选择；整体与部分 / 系统观念 / 系统优化；矛盾,755；1554；2313,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第3题,2026_东城_期末_Q3,发展,1273,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第4题,2026_东城_期末_Q4,尊重客观规律与发挥主观能动性相结合,502,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第5题,2026_东城_期末_Q5,尊重客观规律与发挥主观能动性相结合,507,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026东城期末第8题,2026_东城_期末_Q8,发展,1278,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026延庆一模第2题,2026_延庆_一模_Q2,主观能动性 / 意识的能动作用,313,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026延庆一模第20题,2026_延庆_一模_Q20,对立统一；尊重客观规律与发挥主观能动性相结合；规律的客观性；量变与质变,392；541；1113；1500,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026延庆一模第3题,2026_延庆_一模_Q3,主观能动性 / 意识的能动作用,318,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026延庆一模第4题,2026_延庆_一模_Q4,发展,1263,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳一模第1题,2026_朝阳_一模_Q1,一切从实际出发 / 实事求是,177,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳一模第2题,2026_朝阳_一模_Q2,实践与认识 / 认识对实践的反作用,1739,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳一模第21题,2026_朝阳_一模_Q21,社会基本矛盾 / 社会发展规律,1934,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳一模第3题,2026_朝阳_一模_Q3,发展,1268,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳期中第14题,2026_朝阳_期中_Q14,尊重客观规律与发挥主观能动性相结合,512,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳期中第19题,2026_朝阳_期中_Q19,价值观的导向作用；实践与认识 / 认识对实践的反作用；社会存在与社会意识,1635；1887；2180,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳期中第4题,2026_朝阳_期中_Q4,联系,909,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026朝阳期中第7题,2026_朝阳_期中_Q7,一切从实际出发 / 实事求是,187,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026石景山一模第1题,2026_石景山_一模_Q1,人民群众,2084,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026石景山一模第2题,2026_石景山_一模_Q2,主观能动性 / 意识的能动作用,323,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026石景山一模第21题,2026_石景山_一模_Q21,发展的观点 / 发展的普遍性；整体与部分 / 系统观念 / 系统优化,728；1127,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026石景山一模第3题,2026_石景山_一模_Q3,主观能动性 / 意识的能动作用,328,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026通州期末第16题,2026_通州_期末_Q16,一切从实际出发 / 实事求是；人民群众；尊重客观规律与发挥主观能动性相结合；联系的普遍性；辩证否定 / 守正创新,117；427；762；1169；2074,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026通州期末第21题,2026_通州_期末_Q21,价值判断与价值选择；实践与认识 / 认识对实践的反作用；整体与部分 / 系统观念 / 系统优化；矛盾的特殊性 / 具体问题具体分析,769；1568；1642；2327,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026通州期末第5题,2026_通州_期末_Q5,联系,914,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026通州期末第7题,2026_通州_期末_Q7,发展,1283,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026通州期末第8题,2026_通州_期末_Q8,联系,919,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026门头沟一模第4题,2026_门头沟_一模_Q4,一切从实际出发 / 实事求是,182,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026门头沟一模第5题,2026_门头沟_一模_Q5,联系,899,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
2026门头沟一模第7题,2026_门头沟_一模_Q7,联系,904,Codex-V3未出现，优先检查是否为ClaudeCode新增补漏或Codex漏收
