audit_id,line,batch,source,year,district,stage,question,question_nature,module,wrong_statement,error_type,bundle_path,bundle_state,choice_answer_key_state,final_status,recommended_action,support_path
V3-WO-0021,36,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第13题③,2024,门头沟,一模,第13题,choice,法律与生活：劳动争议解决,劳动合同纠纷要向劳动保障监察部门申请仲裁后才能起诉,机构混淆,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0022,37,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第14题③,2024,门头沟,一模,第14题,choice,逻辑与思维：形象思维/抽象思维,形象设计具有思维表达的情感性、严谨性特征,概念混搭,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0023,38,2024门头沟一模选择题补充（补证转正）,2024门头沟一模第15题②,2024,门头沟,一模,第15题,choice,哲学与文化：历史观/大历史观,坚持大历史观，就能从历史长河中把握历史发展轨迹,绝对化,,not-found,unknown,C_worker_report_source,keep-with-worker-report-boundary,reports/parallel_closure_2026-04-25/worker_2024_mentougou_yimo.md。证据为外部答案版 PDF、本地保存件、渲染页逐题读图核题和第1-15题答案表 1B 2C 3A 4C 5B 6C 7B 8D 9A 10D 11C 12C 13B 14C 15A。主观题只见参考答案/等级描述，不升格为细则。
V3-WO-0024,46,2024顺义二模选择题补充,2024顺义二模 Q1①,2024,顺义,二模,第1题,choice,必修一/科学社会主义与社会发展规律,科学社会主义发展的一般进程由各国地理环境、文化传统、外部因素等决定。,决定因素错误；地理环境决定论,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0025,47,2024顺义二模选择题补充,2024顺义二模 Q1②,2024,顺义,二模,第1题,choice,必修一/科学社会主义,科学社会主义的产生、发展与资本主义社会的生产方式没有本质的、内在的关系。,历史联系否认,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0026,48,2024顺义二模选择题补充,2024顺义二模 Q2①,2024,顺义,二模,第2题,choice,选必三/思维类型；必修四/意识能动性,新飞行器命名通过抽象思维尽显中国式浪漫。,形象思维与抽象思维混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0027,49,2024顺义二模选择题补充,2024顺义二模 Q2②,2024,顺义,二模,第2题,choice,必修四/联系观点,新飞行器与其名称之间存在必然的联系。,联系性质误判,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0028,50,2024顺义二模选择题补充,2024顺义二模 Q3①,2024,顺义,二模,第3题,choice,必修二/文化消费与文旅发展,挖掘本地文旅资源潜力，能让各地人们过上美好生活。,作用夸大；结果绝对化,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0029,51,2024顺义二模选择题补充,2024顺义二模 Q3④,2024,顺义,二模,第3题,choice,选必三/逆向思维,网友喊话家乡文旅局“抄作业”“亮家底”是运用逆向思维。,思维方法硬套,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0030,52,2024顺义二模选择题补充,2024顺义二模 Q4②,2024,顺义,二模,第4题,choice,当代国际政治/国家利益,各国以共同利益为对外活动的出发点。,出发点错位,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0031,53,2024顺义二模选择题补充,2024顺义二模 Q4④,2024,顺义,二模,第4题,choice,必修四/文化多样性与交流互鉴,多文明乐器同舟演奏主要表现“坚守中华文化立场、彰显中国特色”。,材料主旨偏移,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0032,54,2024顺义二模选择题补充,2024顺义二模 Q5A,2024,顺义,二模,第5题,choice,必修四/实践观点,短视频作为塑造城市形象的直接现实性活动。,实践属性错置,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0033,55,2024顺义二模选择题补充,2024顺义二模 Q5C,2024,顺义,二模,第5题,choice,选必三/发散思维与聚合思维,创作者从不同角度、不同方向进行散点式叙事是聚合思维。,发散与聚合混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0034,56,2024顺义二模选择题补充,2024顺义二模 Q5D,2024,顺义,二模,第5题,choice,必修四/社会存在与意识；实践观点,短视频内容源于创作者对生活的感悟和体验，并决定城市形象的维度和容量。,来源错位；意识决定论,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0035,57,2024顺义二模选择题补充,2024顺义二模 Q6A,2024,顺义,二模,第6题,choice,选必三/概念外延划分,法定继承第一顺位继承人中的子女包括婚生子女、非婚生子女、养子女和有扶养关系的继子女，犯“多出子项”错误。,逻辑错误类型误判,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0036,58,2024顺义二模选择题补充,2024顺义二模 Q6B,2024,顺义,二模,第6题,choice,选必三/充分必要条件,若a=b，则ac=bc；a=b是ac=bc的充分必要条件。,必要条件误写成充要条件,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0037,59,2024顺义二模选择题补充,2024顺义二模 Q6D,2024,顺义,二模,第6题,choice,选必三/逻辑基本规律,“手指浸到汤里去了”“没有关系，汤不烫，我不痛”的回答违反排中律。,逻辑规律误判,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0038,60,2024顺义二模选择题补充,2024顺义二模 Q7A,2024,顺义,二模,第7题,choice,选必三/定义,“数字劳动是数字经济发展的重要因素”是用“种差加属概念”的方法下定义。,定义与性质判断混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0039,61,2024顺义二模选择题补充,2024顺义二模 Q7B,2024,顺义,二模,第7题,choice,选必三/概念关系,数字劳动和非物质劳动是交叉关系。,概念关系误判,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0040,62,2024顺义二模选择题补充,2024顺义二模 Q7D,2024,顺义,二模,第7题,choice,选必三/假言判断,假言判断的真假取决于前后件本身的真假。,假言判断真值规则错误,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0041,63,2024顺义二模选择题补充,2024顺义二模 Q8A,2024,顺义,二模,第8题,choice,选必二/公益诉讼；必修三/法治,“禄米仓”保护是司法救助的体现。,法律制度混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0042,64,2024顺义二模选择题补充,2024顺义二模 Q8C,2024,顺义,二模,第8题,choice,选必二/公益诉讼,人民检察院对行政机关提起公诉保护社会公共利益。,诉讼类型混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0043,65,2024顺义二模选择题补充,2024顺义二模 Q8D,2024,顺义,二模,第8题,choice,选必二/纠纷解决；文化保护,通过诉讼调解促进文物活化利用。,程序外推；材料外推,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0044,66,2024顺义二模选择题补充,2024顺义二模 Q9③,2024,顺义,二模,第9题,choice,必修三/国家安全；法治,保密法要求减少信息公开数量，强化精准保护国家秘密。,法条误读,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0045,67,2024顺义二模选择题补充,2024顺义二模 Q9④,2024,顺义,二模,第9题,choice,必修三/公民义务；国家安全,保守国家秘密是公民的权利。,权利义务混淆,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0046,68,2024顺义二模选择题补充,2024顺义二模 Q10A,2024,顺义,二模,第10题,choice,选必二/合同,订立合同就能规范市场主体交易行为，维护民事权利。,条件绝对化,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0047,69,2024顺义二模选择题补充,2024顺义二模 Q10C,2024,顺义,二模,第10题,choice,选必二/商事仲裁,对仲裁不服可提起诉讼解决合同纠纷。,程序规则错误,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0048,70,2024顺义二模选择题补充,2024顺义二模 Q10D,2024,顺义,二模,第10题,choice,选必二/违约责任,传媒公司履行合同不符合约定，应向吴某公开道歉。,责任方式错配,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0049,71,2024顺义二模选择题补充,2024顺义二模 Q11②,2024,顺义,二模,第11题,choice,选必二/诉讼程序,一审判决为终审判决，E公司不得提起上诉。,审级制度错误,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0050,72,2024顺义二模选择题补充,2024顺义二模 Q11④,2024,顺义,二模,第11题,choice,选必二/举证责任,该案件适用举证责任倒置原则，故小卫需承担举证责任。,举证责任错位,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0051,73,2024顺义二模选择题补充,2024顺义二模 Q12②,2024,顺义,二模,第12题,choice,必修二/市场监管,政府制定统一的电视收费价格，保障公平竞争。,政府职能越位；市场机制替代,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0052,74,2024顺义二模选择题补充,2024顺义二模 Q12④,2024,顺义,二模,第12题,choice,必修二/市场监管；消费者权益,消费者协会处罚违法行为，建立统一市场。,主体职权错位,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0053,75,2024顺义二模选择题补充,2024顺义二模 Q13②,2024,顺义,二模,第13题,choice,必修二/共同富裕,就业人数持续增加，带动居民收入持续性增长，实现了共同富裕。,结论夸大；完成时错误,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
V3-WO-0054,76,2024顺义二模选择题补充,2024顺义二模 Q13④,2024,顺义,二模,第13题,choice,必修二/开放发展；贸易强国,服务业快速发展推动服务贸易创新，建成贸易强国。,材料外推；结果终结化,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md,found,answer-key-present,C_verified_choice_source,keep-source,data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区二模__2024顺义思政二模.md
