line,year,district,stage,question_range,question_type,file_source,answer_key_state_old,rubric_state_old,old_closed_state,v3_suite_verdict,recommended_action,framework_entry_count,wrong_option_entry_count,framework_statuses,wrong_option_statuses,old_notes
31,2024,顺义,二模,1-15（已完成必修四选择题筛查）；16（1）（三条哲学链已补）；16（2）-20/21（边界已审结）,选择+主观,试题docx + 细则docx + 并行验收报告,有,有；第16（1）三条哲学链已入框架，其余题号按模块边界或开放等级口径处理,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,8,35,B_angle_or_scoring_source:4;C_verified_choice_source:4,C_verified_choice_source:35,2026-04-25 已核答案表 1D 2D 3C 4B 5B 6C 7C 8B 9A 10B 11A 12A 13B 14D 15A，错肢库新增35条；第2、3、4、5、20（2）稳定/候选正确项已回填；第16（2）逻辑/超前思维，第17法律，第18政治/国政经，第19经济/政治，第20（1）填表，第21未找到。
32,2025,东城,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 阅卷报告PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,3,27,A_verified_scoring_source:1;C_verified_choice_source:2,C_verified_choice_source:27,选择题已入错肢库与框架，套卷级验收待 STEP_02 统一复核；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
33,2025,丰台,一模,1-15（已完成必修四选择题筛查）；16（纯文化主观题）,选择+主观,教师版PDF + 阅卷细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,2,32,C_verified_choice_source:2,C_verified_choice_source:32,2026-04-24 已补齐选择题错肢线与选择题框架线；第16题按阅卷细则复核后确认为纯文化题，不并入哲学主表
34,2025,延庆,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 答案docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,3,31,B_angle_or_scoring_source:1;C_verified_choice_source:2,C_verified_choice_source:31,用户已确认可直接使用；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
35,2025,房山,一模,1-15（已完成必修四选择题筛查）；16（1）（主观）,选择+主观,教师版PDF + 参考答案细则PDF,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,6,37,B_angle_or_scoring_source:1;C_verified_choice_source:5,C_verified_choice_source:37,2026-04-24 已补齐选择题错肢线与选择题框架线；第16（1）主观题原有细则链保持有效
36,2025,朝阳,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 细则PDF + 阅卷总结doc,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,4,30,C_verified_choice_source:3;E_user_supplement_not_in_workspace:1,C_verified_choice_source:30,第16题细则已校正；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
37,2025,海淀,一模,1-15（已完成必修四选择题筛查）；16、22（主观）,选择+主观,教师版PDF + 评分细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,7,32,A_scoring_source_trigger_not_text_matched:2;A_verified_scoring_source:1;C_verified_choice_source:4,C_verified_choice_source:32,2026-04-24 已补齐选择题错肢线与选择题框架线，并补入第22题系统观念细则链
38,2025,石景山,一模,1-15（已完成必修四选择题筛查）；16、21（主观）,选择+主观,教师版PDF + 评分细则doc,有,有,已闭环,source-reviewed,keep-source-reviewed,8,32,A_scoring_source_trigger_not_text_matched:1;A_verified_scoring_source:3;C_verified_choice_source:4,C_verified_choice_source:32,2026-04-24 已补齐选择题错肢线与选择题框架线，并补入第21题破立关系细则链
39,2025,西城,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,4,33,B_angle_or_scoring_source:1;C_verified_choice_source:3,C_verified_choice_source:33,选择题已补框架，套卷级闭环待总审；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
40,2025,门头沟,一模,1-15（已完成必修四选择题筛查）；16、21（主观）,选择+主观,教师版PDF + 细则doc,有,有,已闭环,source-reviewed,keep-source-reviewed,14,33,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:8;C_verified_choice_source:3,C_verified_choice_source:33,2026-04-24 已补齐选择题错肢线与选择题框架线，并补入第16题扩展细则链、第21题高质量发展哲学链
41,2025,顺义,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 评分细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,10,31,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:3;C_verified_choice_source:4,C_verified_choice_source:31,2026-04-24 已补齐选择题错肢线与选择题框架线，并补入第16题评分细则链；第21题无本地评分细则，未作为主观题闭环对象
42,2025,东城,二模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 阅卷报告PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,8,4,A_scoring_source_trigger_not_text_matched:3;A_verified_scoring_source:2;C_verified_choice_source:3,C_verified_choice_source:4,第16题“本题标准和变通”已确认可用；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
43,2025,丰台,二模,1-15（已完成必修四选择题筛查）；16（1）、21（主观）；16（2）逻辑题；17-20非必修四哲学,选择+主观,教师版PDF + 分题评标细则doc/docx,有,有,已闭环,source-reviewed,keep-source-reviewed,10,7,A_scoring_source_trigger_not_text_matched:4;A_verified_scoring_source:4;C_verified_choice_source:2,C_verified_choice_source:7,2026-04-24 已补入第16（1）大思政课实践育人链、第21题“势”的智慧综合哲学链；第16（2）三段论、17法治、18经济、19逻辑/法律、20国政经不并入必修四哲学
44,2025,昌平,二模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 评标PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,8,7,B_angle_or_scoring_source:2;C_verified_choice_source:6,C_verified_choice_source:7,已存在稳定主观题链；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
45,2025,朝阳,二模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 朝阳.docx + 扫描PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,3,5,A_verified_scoring_source:1;C_verified_choice_source:2,C_verified_choice_source:5,用户确认 朝阳.docx 可作评分口径；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
46,2025,海淀,二模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,试题PDF + 讲评PDF + 评标docx,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,7,28,A_verified_scoring_source:4;E_choice_key_or_stem_not_confirmed:3,E_choice_key_not_detected:28,选择题已完成 OCR 核题；本轮复查补入第16题联系/整体与部分/系统优化；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
47,2025,西城,二模,1-15（已完成必修四选择题筛查）；16（1）-16（3）（主观）,选择+主观,教师版PDF + 答案细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,9,6,B_angle_or_scoring_source:6;C_verified_choice_source:3,C_verified_choice_source:6,本轮复查补入第16（1）尊重规律与发挥主观能动性、具体问题具体分析、价值观导向；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
48,2025,东城,期末,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 讲评PDF + 期末PPT,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,9,29,A_scoring_source_trigger_not_text_matched:2;A_verified_scoring_source:2;C_verified_choice_source:2;E_user_supplement_not_in_workspace:3,C_verified_choice_source:29,governor 已记录三线闭环
49,2025,丰台,期末,1-15（已完成必修四选择题筛查）；16、17（主观）,选择+主观,教师版PDF + 细则PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,13,31,B_angle_or_scoring_source:11;C_verified_choice_source:2,C_verified_choice_source:31,第16、17题已迁入主表
50,2025,朝阳,期末,1-15（已完成必修四选择题筛查）；16、22（主观）,选择+主观,教师版PDF + 评标PDF + 期末PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,25,34,B_angle_or_scoring_source:22;C_verified_choice_source:3,C_verified_choice_source:34,第16、22题均有稳定细则链
51,2025,海淀,期中,1-15（已核查无稳定哲学选择触发）；16-21（按细则模块边界排除必修四主观框架）,选择+主观,试卷PDF + 细则docx,有,有,明确排除,confirmed-excluded,keep-exclusion,0,0,,,2026-04-25 已重开 2025海淀期中细则.docx：主观题为经济、政治与法治、法律与生活、当代国际政治与经济等模块，不产生必修四哲学主观链。旧结论“无可用细则”作废，当前排除理由改为模块边界
52,2025,海淀,期末,1-15（已完成必修四选择题筛查）；16、17（2）（主观）,选择+主观,教师版docx + 评分PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,15,33,B_angle_or_scoring_source:10;C_verified_choice_source:5,C_verified_choice_source:33,用户确认 PPT 给分口径可用
53,2025,西城,期末,1-15（已完成必修四选择题筛查）；18（主观）,选择+主观,教师版PDF + 答案解析PDF,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,12,29,B_angle_or_scoring_source:9;C_verified_choice_source:3,C_verified_choice_source:29,用户已确认答案解析可作评分参考
54,2026,东城,一模,1-15（已完成必修四选择题筛查）；16、20（主观）,选择+主观,教师版PDF + 原卷扫描 + 细则PDF/PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,7,11,B_angle_or_scoring_source:4;C_verified_choice_source:3,C_verified_choice_source:11,主客观均已处理，待验收清单总审；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
55,2026,丰台,一模,1-15（已完成必修四选择题筛查）；16（主观哲学/文化链已完成）,选择+主观,试卷PDF + 细则PPTX + 外部答案版 PDF 补源,有（外部补源）,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,4,30,B_angle_or_scoring_source:1;C_verified_choice_source:3,C_verified_choice_source:30,2026-04-25 补证答案表 1B 2A 3D 4A 5A 6D 7B 8C 9D 10C 11D 12B 13A 14A 15C 后，已按扫描题面渲染页逐题核题，新增30条可复用错肢；第4、5、6题稳定必修四/文化正确项已回填，既有第16、21题主观细则链保持有效，ledger 与 governor 套卷级 PASS 已同步
56,2026,延庆,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 评标docx,有,有,已闭环,source-reviewed,keep-source-reviewed,4,32,A_verified_scoring_source:1;C_verified_choice_source:3,C_verified_choice_source:32,主观题已入主表；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
57,2026,房山,一模,1-15（已完成必修四选择题筛查）；16（2）、18（1）、20（主观哲学链已完成）,选择+主观,试卷PDF + 细则docx + 外部答案版 PDF 补源,有（外部补源）,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,5,34,B_angle_or_scoring_source:2;C_verified_choice_source:3,C_verified_choice_source:34,2026-04-25 补证答案表 1C 2D 3B 4A 5C 6D 7B 8A 9D 10B 11D 12C 13B 14C 15A 后，已按扫描题面渲染页逐题核题，新增34条可复用错肢；第2、4、6题稳定必修四正确项已回填，既有第16（2）、18（1）、20题主观细则链保持有效，ledger 与 governor 套卷级 PASS 已同步
58,2026,朝阳,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 阅卷细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,5,34,A_verified_scoring_source:1;C_verified_choice_source:4,C_verified_choice_source:34,第16题细则曾漏判，现已纠正；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
59,2026,海淀,一模,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,扫描试卷PDF + 评分标准PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,7,32,A_verified_scoring_source:1;C_verified_choice_source:6,C_verified_choice_source:32,选择题已通过渲染读图核题；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
60,2026,石景山,一模,1-15（已完成必修四选择题筛查）；17（1）（主观）,选择+主观,教师版PDF + 评分细则doc,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,4,27,B_angle_or_scoring_source:1;C_verified_choice_source:3,C_verified_choice_source:27,老版 .doc 已转换校读；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
61,2026,西城,一模,1-15（已完成必修四选择题筛查）；16、21（主观哲学链已完成）,选择+主观,试卷PDF/docx + PDF第10页答案及评分参考 + 阅卷细则docx,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,6,34,A_verified_scoring_source:2;E_choice_key_or_stem_not_confirmed:4,E_choice_key_not_detected:34,2026-04-24 PDF第10页“思想政治答案及评分参考”经督工视觉核验，答案表为 1B 2C 3B 4D 5C 6D 7B 8C 9A 10D 11D 12B 13A 14A 15D；本轮补齐第1-15题错肢线并回填第1、5、6、7题稳定必修四选择题正确项，第2-4、8-15题按模块边界不强行迁入主表
62,2026,门头沟,一模,1-15（已完成必修四选择题筛查）；16、18（2）、21（主观）,选择+主观,试卷PDF + 参考答案及评标细则docx,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,6,29,B_angle_or_scoring_source:3;C_verified_choice_source:3,C_verified_choice_source:29,已有多道主观题稳定链；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
63,2026,顺义,一模,1-15（已完成必修四选择题筛查）；16、21（主观）,选择+主观,试卷PDF + 细则PPT,有,有,已闭环,closed-with-angle-boundary,keep-but-mark-B-boundary,4,32,B_angle_or_scoring_source:3;C_verified_choice_source:1,C_verified_choice_source:32,选择题与主观题均已有本地证据；2026-04-25 并行验收报告确认：现有错肢库、哲学框架、ledger 与 governor 证据可支撑套卷级已闭环；原状态为套卷级验收收口滞后。
64,2026,东城,期末,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 期末PPT + 用户补充评分页,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,3,35,C_verified_choice_source:2;E_user_supplement_not_in_workspace:1,C_verified_choice_source:35,governor 已记录三线闭环
65,2026,丰台,期末,1-15（已完成必修四选择题筛查）；16、22（主观哲学链已完成）,选择+主观,扫描试卷PDF + 细则PDF + 外部答案版 PDF 补源,有（外部补源）,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,11,32,B_angle_or_scoring_source:7;E_choice_key_or_stem_not_confirmed:4,E_choice_key_not_detected:32,2026-04-25 补证答案表 1B 2C 3A 4B 5C 6A 7B 8D 9C 10D 11D 12A 13C 14B 15D 后，已按扫描题面渲染页逐题核题，新增32条可复用错肢；第1、2、4、6题稳定必修四/文化正确项已回填，第16题“留白”和第22题“五年规划”主观链保持有效，ledger 与 governor 套卷级 PASS 已同步
66,2026,朝阳,期中,1-15（已完成必修四选择题筛查）；18、20（主观）,选择+主观,教师版PDF + 两份阅卷细则docx,有,有,已闭环,source-reviewed,keep-source-reviewed,17,34,A_scoring_source_trigger_not_text_matched:1;A_verified_scoring_source:13;C_verified_choice_source:3,C_verified_choice_source:34,第18、20题均有正式细则支持
67,2026,朝阳,期末,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,试卷PDF + 细则PDF + 高考直通车公开答案页/自动汇编答案PDF,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,12,32,E_choice_key_or_stem_not_confirmed:6;E_ocr_needed_or_unsynced_render:6,E_choice_key_not_detected:32,2026-04-24 已补齐选择题错肢线与选择题框架线；第16题既有细则链保持有效
68,2026,海淀,期中,1-15（已完成选择题筛查）；22（2）（主观哲学链已完成）,选择+主观,教师版docx + 扫描讲评PDF,有,有,已闭环,closed-with-reference-boundary,downgrade-closed-wording,4,31,D_reference_only:4,C_verified_choice_source:31,2026-04-24 已补齐第1-15题选择题错肢线并新增 31 条可复用错肢；复核后未见稳定必修四选择题正确项需另行迁入，既有第22（2）评分细则链保持有效
69,2026,海淀,期末,1-15（已完成必修四选择题筛查）；16（主观）,选择+主观,教师版PDF + 评分标准PDF,有,有,已闭环,source-reviewed,keep-source-reviewed,15,36,A_scoring_source_trigger_not_text_matched:5;A_verified_scoring_source:5;C_verified_choice_source:5,C_verified_choice_source:36,governor 已记录三线闭环；本轮复查补入第16题价值判断与价值选择
70,2026,石景山,期末,1-15（已完成选择题筛查）；18（1）、20（主观哲学链已完成）,选择+主观,试卷PDF（含答案及评分参考；细则文件夹为空）,有,无评标细则（仅答案及评分参考）,已闭环,closed-with-reference-boundary,downgrade-closed-wording,13,34,C_verified_choice_source:5;D_reference_only:8,C_verified_choice_source:34,用户 2026-04-25 明确：这是唯一没有细则的例外。2026-04-24 已渲染扫描题面并补齐第1-15题选择题错肢线；第1、2、6、8、9题哲学/文化正确项和第18（1）非遗漫游、第20永定河治理主观链已入主表，但后续不得称其为详细评标细则支持
71,2026,西城,期末,1-15（已完成必修四选择题筛查）；16（2）、21（主观哲学链已完成）,选择+主观,教师版PDF + 细则PDF + 评标PPT,有,有,已闭环,old-closed-needs-boundary-or-evidence,do-not-call-unqualified-closed,10,32,B_angle_or_scoring_source:6;C_verified_choice_source:3;E_user_supplement_not_in_workspace:1,C_verified_choice_source:32,2026-04-24 已补齐选择题错肢线与选择题框架线；第16（2）追求真理/矛盾/群众/价值观补漏，第21题实事求是/发展观点补入
