clean_order,visible_title,question_id,phase12_decision,source_pool,review_line
24,2026 顺义一模第19题第(1)问,Q-2026顺义一模-19-1,body_now,phase11D_combined29,490
25,2026 顺义一模第19题第(2)问,Q-2026顺义一模-19-2,body_now,phase11D_combined29,515
26,2026 通州期末第19题第(2)问,Q-2026通州期末-19-2,body_now,phase11D_combined29,539
27,2025 顺义一模第17题第(1)问,Q-2025顺义一模-17-1,body_after_repair,phase12_batch_repair,564
28,2025 海淀二模第12题,Q-2025海淀二模-12,body_after_repair,phase12_batch_repair,584
29,2025 海淀二模第13题,Q-2025海淀二模-13,body_after_repair,phase12_batch_repair,604
30,2025 海淀期末第2题,Q-2025海淀期末-2,body_after_repair,phase12_batch_repair,620
31,2025 海淀期末第8题,Q-2025海淀期末-8,body_after_repair,phase12_batch_repair,640
32,2024 海淀二模第6题,Q-2024海淀二模-6,body_after_repair,phase12_batch_repair,656
33,2025 西城二模第6题,Q-2025西城二模-6,body_after_362_repair,phase12_362_rescan_repair,672
34,2025 西城二模第7题,Q-2025西城二模-7,body_after_repair,phase12_batch_repair,688
35,2024 西城一模第11题,Q-2024西城一模-11,body_after_repair,phase12_batch_repair,708
36,2024 西城一模第13题,Q-2024西城一模-13,body_after_repair,phase12_batch_repair,728
37,2026 东城一模第6题,Q-2026东城一模-6,body_after_repair,phase12_batch_repair,744
38,2026 东城期末第6题,Q-2026东城期末-6,body_after_repair,phase12_batch_repair,760
39,2026 东城期末第7题,Q-2026东城期末-7,body_after_repair,phase12_batch_repair,776
40,2025 东城期末第5题,Q-2025东城期末-5,body_after_repair,phase12_batch_repair,792
41,2025 东城期末第13题,Q-2025东城期末-13,body_now,phase11D_combined29,812
42,2025 东城期末第14题,Q-2025东城期末-14,body_after_repair,phase12_batch_repair,866
43,2025 东城期末第15题,Q-2025东城期末-15,body_after_repair,phase12_batch_repair,882
44,2026 朝阳期中第11题,Q-2026朝阳期中-11,body_after_repair,phase12_batch_repair,898
45,2026 朝阳期中第12题,Q-2026朝阳期中-12,body_after_repair,phase12_batch_repair,914
46,2026 朝阳期中第13题,Q-2026朝阳期中-13,body_after_repair,phase12_batch_repair,930
47,2026 朝阳期中第14题,Q-2026朝阳期中-14,body_after_repair,phase12_batch_repair,950
48,2026 朝阳期中第15题,Q-2026朝阳期中-15,body_after_repair,phase12_batch_repair,970
49,2024 朝阳一模第6题,Q-2024朝阳一模-6,body_after_362_repair,phase12_362_rescan_repair,986
50,2024 朝阳一模第7题,Q-2024朝阳一模-7,body_now,phase11D_combined29,1002
51,2024 朝阳一模第9题,Q-2024朝阳一模-9,body_now,phase11D_combined29,1046
52,2024 朝阳二模第6题,Q-2024朝阳二模-6,body_after_repair,phase12_batch_repair,1100
53,2024 朝阳二模第7题,Q-2024朝阳二模-7,body_after_repair,phase12_batch_repair,1120
54,2024 朝阳期中第7题,Q-2024朝阳期中-7,body_now,phase11D_combined29,1136
55,2024 朝阳期中第8题,Q-2024朝阳期中-8,body_after_repair,phase12_batch_repair,1192
56,2024 朝阳期中第9题,Q-2024朝阳期中-9,body_now,phase11D_combined29,1212
57,2024 朝阳期中第11题,Q-2024朝阳期中-11,body_after_repair,phase12_batch_repair,1254
58,2026 丰台一模第4题,Q-2026丰台一模-4,body_after_repair,phase12_batch_repair,1274
59,2026 丰台一模第7题,Q-2026丰台一模-7,body_after_repair,phase12_batch_repair,1294
60,2026 丰台一模第8题,Q-2026丰台一模-8,body_after_repair,phase12_batch_repair,1314
61,2026 丰台一模第9题,Q-2026丰台一模-9,body_after_repair,phase12_batch_repair,1334
62,2025 丰台期末第7题,Q-2025丰台期末-7,body_now,phase11D_combined29,1350
63,2025 丰台期末第8题,Q-2025丰台期末-8,body_now,phase11D_combined29,1392
64,2025 丰台期末第9题,Q-2025丰台期末-9,body_after_repair,phase12_batch_repair,1436
65,2025 丰台期末第10题,Q-2025丰台期末-10,body_after_repair,phase12_batch_repair,1452
66,2026 通州期末第10题,Q-2026通州期末-10,body_after_362_repair,phase12_362_rescan_repair,1472
67,2026 顺义一模第3题,Q-2026顺义一模-3,body_after_repair,phase12_batch_repair,1492
68,2026 顺义一模第4题,Q-2026顺义一模-4,body_after_repair,phase12_batch_repair,1512
69,2026 顺义一模第5题,Q-2026顺义一模-5,body_after_repair,phase12_batch_repair,1528
70,2026 顺义一模第6题,Q-2026顺义一模-6,body_after_repair,phase12_batch_repair,1544
71,2026 通州期末第5题,Q-2026通州期末-5,body_after_repair,phase12_batch_repair,1560
72,2026 通州期末第8题,Q-2026通州期末-8,body_after_repair,phase12_batch_repair,1580
73,2026 通州期末第9题,Q-2026通州期末-9,body_after_repair,phase12_batch_repair,1600
74,2026 通州期末第11题,Q-2026通州期末-11,body_after_repair,phase12_batch_repair,1616
75,2025 顺义一模第5题,Q-2025顺义一模-5,body_after_repair,phase12_batch_repair,1632
76,2025 顺义一模第6题,Q-2025顺义一模-6,body_after_repair,phase12_batch_repair,1648
77,2025 顺义一模第7题,Q-2025顺义一模-7,body_now,phase11D_combined29,1668
