sample_rank,matrix_row_id,题源,题号,是否进宝典,宝典节点,证据等级,formal_signal,objective_choice_boundary,weak_signal,source_pointer_exists,source_artifact,support_excerpt
11,M1399,2026西城期末,Q16(2),是：已进入当前DOCX/PDF正文,物质决定意识,正式评分标准,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\54715a1e650d940e_2026西城期末细则.md; raw rubric PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf; raw teacher PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf; marking PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\西城高三期末评标.pptx; rubric OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_TRANSCRIPTION_20260525.md; rubric lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_LINES_20260525.md; teacher OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_TRANSCRIPTION_20260525.md; teacher lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_LINES_20260525.md; marking PPT extract: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_PINGBIAO_PPTX_TRANSCRIPTION_20260525.md; source render manifest: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_SOURCE_RENDER_MANIFEST.json; formal answer key: 1C,2B,3A,4D,5C,6C,7D,8B,9D,10B,11A,12C,13D,14C,15A.",正式评分细则page_002 Q16(2)唯物论角度写明“世界统一于物质（物质决定意识）”。
12,M1347,2026海淀期末,Q16,是：已进入当前DOCX/PDF正文,主观能动性 / 意识的能动作用,正式评分标准,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026海淀期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\7832041a93d37e1f_2026海淀期末细则.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\ac3124113aec7062_2026北京海淀高三_上_期末政治_教师版.md; rubric OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH32_2026_HAIDIAN_FINAL_RUBRIC_OCR_TRANSCRIPTION_20260525.md; rubric lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH32_2026_HAIDIAN_FINAL_RUBRIC_OCR_LINES_20260525.md; teacher OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH32_2026_HAIDIAN_FINAL_TEACHER_OCR_TRANSCRIPTION_20260525.md; teacher lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH32_2026_HAIDIAN_FINAL_TEACHER_OCR_LINES_20260525.md; source render manifest: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH32_2026_HAIDIAN_FINAL_SOURCE_RENDER_MANIFEST.json; teacher PDF text page 9 answer key: 1B,2A,3A,4C,5D,6C,7D,8A,9D,10B,11B,12C,13C,14B,15D; rubric OCR pages 1-2 formal Q16-Q17 scoring; rubric OCR page 6 formal Q21 scoring.",正式评分标准page_001 Q16列明“意识的能动作用”，并在行动角度列出主观能动性。
13,M0452,2025石景山一模,Q3,是：当前DOCX已有选择题链条覆盖,选择题链条：实践检验/主客观相符合/法宝话语辨析,选择题官方答案键+题干正确项；选择题边界已明示,true,true,true,true,data/preprocessed_corpus/gpt_suite_bundles/2025各区模拟题__2025各区一模__2025石景山一模.md:466-470; CURRENT_DOCX_2025_SHIJINGSHAN_YIMO_CONTEXT_20260525.md,教师版答案键Q3=A；当前DOCX已有“法宝”选择题链条，作为选择题正确项/错误项辨析，不冒充主观题评分细则。
14,M0072,2026房山一模,Q16(2),是：已由当前DOCX覆盖并登记ledger/accepted,尊重客观规律与发挥主观能动性相结合,评分细则原文明示,true,false,false,true,2026各区模拟题/2026各区一模/2026房山一模/26 房山一模评标 全.docx:paras13-21; 2026各区模拟题/2026各区一模/2026房山一模/细则/2026房山一模细则.docx:paras13-21; preprocessed_corpus/renders/e37482eff39f3618/page_007.png,房山一模评标/细则paras13-21明示：矛盾普遍性和特殊性的统一、一切从实际出发、尊重客观规律、发挥主观能动性、联系；高档要求融入大局中找定位/系统/整体。
15,M0357,2025丰台一模,Q4,是：已由当前DOCX覆盖,规律的客观性,选择题官方答案键+题干正确项链条+现有DOCX正文覆盖；选择题边界已明示,true,true,false,true,01_source_inventory/suite_source_bundles/2025丰台一模.md:214-226;468-504,Q4官方答案A，正确项②明确尊重自然规律，实现生态环境与基础设施和谐统一；当前DOCX已有Q4规律客观性条目。 边界：本行为选择题官方答案键/正确项链条，只用于选择题知识触发与错项辨析，不作为主观题稳定评分触发或评分细则证据。
16,M1118,2025海淀期末,Q7,是：客观选择题挂点，已在当前DOCX正文登记,价值判断与价值选择,教师版客观题答案,true,false,true,true,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期末.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\4b22b6c78aaddb3e_2025海淀期末细则.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.md; current DOCX verified: existing unregistered 2025海淀期末 headings were present before Batch25,教师版答案第7题A；正确项①支持人民利益最高价值标准
17,M1426,2026通州期末,Q7,是：客观选择题挂点，已在当前DOCX正文登记,量变与质变 / 适度原则,正式答案键+试卷原题（客观选择题）,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026通州期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\44537714bd68a7c1_2026通州期末细则.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\7f3083ea306ea1e9_2026北京通州高三_上_期末政治_教师版.md; raw formal rubric PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\细则\2026通州期末细则.pptx; raw teacher PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\试卷\2026北京通州高三（上）期末政治（教师版）.pdf; lecture/marking PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026通州期末\2026通州期末试卷讲评.pptx; formal answer key: 1A,2D,3B,4D,5C,6A,7B,8D,9D,10B,11C,12A,13C,14A,15B.",正式答案键7B；正确选项④对应“量变是质变的必要准备，要重视量的积累”，仅作客观选择题挂点。
18,M1108,2025海淀期末,Q17(2),是：已进入当前DOCX/PDF正文,量变与质变 / 适度原则,强细则/PPT评标细则,true,false,true,true,C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025海淀期末.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\4b22b6c78aaddb3e_2025海淀期末细则.md; C:\Users\Administrator\Desktop\beijing_politics_research\data\preprocessed_corpus\gpt_sources\b960993a71bd93ca_2025北京海淀高三_上_期末政治_教师版.md; current DOCX verified: existing unregistered 2025海淀期末 headings were present before Batch25,PPT细则第69-130行明列“量变是质变的前提和必要准备”
19,M1388,2026西城期末,Q21,是：已进入当前DOCX/PDF正文,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,正式评分标准,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\54715a1e650d940e_2026西城期末细则.md; raw rubric PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf; raw teacher PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf; marking PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\西城高三期末评标.pptx; rubric OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_TRANSCRIPTION_20260525.md; rubric lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_LINES_20260525.md; teacher OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_TRANSCRIPTION_20260525.md; teacher lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_LINES_20260525.md; marking PPT extract: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_PINGBIAO_PPTX_TRANSCRIPTION_20260525.md; source render manifest: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_SOURCE_RENDER_MANIFEST.json; formal answer key: 1C,2B,3A,4D,5C,6C,7D,8B,9D,10B,11A,12C,13D,14C,15A.",正式评分细则page_005 Q21角度3列出“实事求是”。
20,M0239,2026朝阳二模,Q16,是：已在最终DOCX覆盖（无需新增）,矛盾就是对立统一；辩证否定 / 守正创新；矛盾的特殊性 / 具体问题具体分析；价值观的导向作用,强细则,true,false,false,true,03_claudecode_lane\claudecode_b_full_coverage_rerun_20260524.csv:44,"2026朝阳二模第16题评分标准：围绕“如何传承”、“如何创新”、“辩证处理传承与创新关系”、“社会主义核心价值观”四个维度，明确支持对立统一、辩证否定/守正创新、具体问题具体分析和价值观导向作用；source bundle lines 123-148, 505-524."
21,M0108,2025丰台一模,Q18(3),是：已由当前DOCX覆盖,发展的观点 / 发展的普遍性,正式评分标准-角度提示+现有DOCX正文覆盖（非逐点细则）,true,false,false,true,01_source_inventory/suite_source_bundles/2025丰台一模.md:88-97;417-420;546-559,Q18(3)评分标准明确可从发展观等角度阐述人与人工智能的关系；当前DOCX已有发展观Q18(3)条目。
22,M0685,2026丰台二模,Q16,是：已由当前DOCX覆盖,矛盾特殊性/规律与能动性/系统优化/发展观/价值观,正式阅卷PPT+当前DOCX正文覆盖,true,false,false,true,C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\2026丰台区二模主观题阅卷细则(1).pptx; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\试卷\2026北京丰台高三二模政治（教师版）.pdf; C:\Users\Administrator\Desktop\2026各区模拟题\2026各区二模\2026丰台二模\细则\高三政治答案.docx,丰台二模Q16正式阅卷PPT第2-4页已列哲学角度，当前DOCX已有5处Q16正文条目（M0013-M0017）覆盖。
23,M1392,2026西城期末,Q16(1),是：已进入当前DOCX/PDF正文,人民群众,正式评分标准宽角度/术语支持,true,false,true,true,"C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区期末和期中__2026西城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\54715a1e650d940e_2026西城期末细则.md; raw rubric PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\细则\2026西城期末细则.pdf; raw teacher PDF: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\试卷\2026北京西城高三（上）期末政治（教师版）.pdf; marking PPTX: C:\Users\Administrator\Desktop\2026各区模拟题\2026各区期末和期中\2026西城期末\西城高三期末评标.pptx; rubric OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_TRANSCRIPTION_20260525.md; rubric lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_RUBRIC_OCR_LINES_20260525.md; teacher OCR: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_TRANSCRIPTION_20260525.md; teacher lines: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_TEACHER_OCR_LINES_20260525.md; marking PPT extract: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_PINGBIAO_PPTX_TRANSCRIPTION_20260525.md; source render manifest: C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\reports\bixiu4_thread_recovery_opus47_2026-05-24\BATCH33_2026_XICHENG_FINAL_SOURCE_RENDER_MANIFEST.json; formal answer key: 1C,2B,3A,4D,5C,6C,7D,8B,9D,10B,11A,12C,13D,14C,15A.",正式评分细则page_001 Q16(1)角度1变通写明“人民群众是精神财富的创造者，要坚持人民主体”。
24,M0538,2026东城一模,Q19(4),是：当前DOCX已覆盖,系统观念 / 系统优化,正式PPT评分细则+当前DOCX正文,true,false,false,true,preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026东城一模.md:1059-1091,正式PPT细则明确系统观念知识1分，要求立足整体、综合思维、结构优化、整体功能等；当前DOCX已有Q19(4)系统观念条目。创新思维部分属于选必三边界，不在必修四正文扩展。
25,M0202,2024西城一模,Q17,是：已进入当前DOCX/PDF正文,Q17多节点已由当前DOCX覆盖,正式评分细则,true,false,false,true,data\preprocessed_corpus\gpt_suite_bundles\2024各区模拟题__2024各区一模__2024西城一模.md:82-110,当前DOCX已有Q17在规律与能动性、系统观念、发展、矛盾、实践、价值观等节点的正文条目。
26,M1139,2025西城期末,Q18,是：已进入当前DOCX/PDF正文,事物发展是前进性与曲折性的统一,强细则/节点解释延展,true,false,true,true,C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区期末__2025西城期末.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\89d264a31e348be6_2025西城期末细则.md; C:\Users\Administrator\Desktop\02_代码项目与工具\mac-thread-restore\beijing-politics-sync-visible\data\preprocessed_corpus\gpt_sources\6662da1c2772cc38_2025北京西城高三_上_期末政治_教师版.md; current DOCX verified: 10 existing unregistered 2025西城期末 headings were present before Batch26,正式细则第106-108行支持新事物发展过程和技术恐惧的两面性；按新事物成长曲折性登记
27,M0924,2024朝阳期中,Q16,是：已进入当前DOCX/PDF正文,社会发展的两大基本规律和基本矛盾,正式阅卷细则+当前DOCX正文,true,false,false,true,BATCH19_2024_CHAOYANG_MIDTERM_SOURCE_TRANSCRIPTION_20260525.md; C:/Users/Administrator/Desktop/beijing_politics_research/data/preprocessed_corpus/gpt_suite_bundles/2024各区模拟题__2024各区期中__2024朝阳期中.md; C:/Users/Administrator/Desktop/2024各区模拟题/2024各区期中/2024朝阳期中/细则/2024朝阳期中细则.rtf; current DOCX text verified,正式评分细则：社会存在决定社会意识、人民群众是社会历史主体和创造者、生产关系适应生产力/上层建筑适应经济基础、改革是社会主义社会发展的直接动力等。
28,M0552,2026延庆一模,Q4,是：已进入当前DOCX/PDF正文,价值判断与价值选择,官方答案键+题干正确项链条（选择题，非主观题评分细则）,true,true,false,true,preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md:199-207; preprocessed_corpus\gpt_suite_bundles\2026各区模拟题__2026各区一模__2026延庆一模.md:440-442,官方答案A支持①②；正文补①，②作为选择题信息记录。
29,M0640,2026门头沟一模,Q4,是：已由当前DOCX覆盖并登记ledger/accepted,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,选择题官方答案键+正确选项④；选择题边界已明示,true,true,false,true,01_source_inventory/suite_source_bundles/2026门头沟一模.md:195-203;87-88;1012-1013,Q4官方答案B（①④），其中④明确坚持从实际出发；①为文化经济交融，不另入哲学节点。 边界：本行为选择题官方答案键/正确项链条，只用于选择题知识触发与错项辨析，不作为主观题稳定评分触发或评分细则证据。
30,M0099,2025房山一模,Q16(1),是：当前DOCX已覆盖,矛盾就是对立统一,强细则,true,false,false,true,preprocessed_corpus\gpt_suite_bundles\2025各区模拟题__2025各区一模__2025房山一模.md:29-45,正式细则哲学3分第②点：一分为二全面看问题2分，或矛盾/辩证看问题1分。
31,M0010,2026朝阳二模,Q16,是：已进入当前DOCX/PDF正文,价值观的导向作用,强阅卷版,true,false,false,true,04_fusion_audit\student_patch_entries.accepted.jsonl:10,正式阅卷细则：落实社会主义核心价值观维度列“价值观导向作用/社会意识作用”。
