matrix_row_id,题源,题号,宝典节点,证据等级,formal_signal,objective_choice_boundary,verdict,support_excerpt
M0163,2026海淀一模,Q16,物质决定意识；主观能动性 / 意识的能动作用；发展的观点；社会存在与社会意识；价值观的导向作用；价值判断与价值选择,正式评分标准-综合角度+当前DOCX覆盖（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,26海淀一模政治评分标准第1页第16题写明可从发展的观点、社会存在与社会意识、价值观、文化的功能等角度作答；源卷第5页第16题要求运用《哲学与文化》认识人工智能时代人文学科价值。当前DOCX已在物质决定意识、意识能动作用、发展观点、社会存在与社会意识、价值观导向、价值判断与价值选择六处覆盖。
M0168,2026延庆一模,Q16,Q16多节点正文覆盖,正式评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式细则存在，并非参考答案无细则；当前DOCX覆盖矛盾观、群众观点、辩证否定、社会意识等。
M0171,2026顺义一模,Q21,尊重客观规律与发挥主观能动性相结合；两点论与重点论；人民群众/价值判断价值选择,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0177,2025朝阳一模,Q16,实践与认识（总）/实践是认识的基础/社会存在与社会意识/实现人生价值/辩证否定/尊重客观规律与发挥主观能动性/整体与部分,正式评分细则原图证据+题干/答案区闭环,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2025朝阳一模细则第16题渲染页page_001显示“答案变通说明”：①作为文化载体1分；②重视文化资源/传递正确价值观2分；③借助现代科技推动文化创新、传统文化与现代传播方式结合2分；④立足时代之基、面向人民需求，衔接传统文化内涵与时代审美愿望2分；⑤把握社会客观条件、个人与社会统一，弘扬劳动精神/工匠精神/创新精神，实现人生价值，以局部推动整体1分。
M0192,2024丰台一模,Q21,唯物辩证法相关节点；价值判断与价值选择,正式答案/评分参考-角度提示+现有DOCX正文覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,21题为等级赋分角度提示，已由现有正文2处覆盖。
M0194,2024海淀一模,Q16,主观能动性/联系/发展/实践,细则角度简列,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2024海淀一模 source bundle lines 23-24 / 63: Q16可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 ????????/????????????????????
M0205,2025丰台一模,Q18(3),联系观/发展观/矛盾观/价值观,正式评分标准-角度提示+现有DOCX正文覆盖（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,原行题号误写为Q18(2)，实际对应Q18(3)人与人工智能关系；证据为正式评分标准角度提示。
M0209,2025朝阳一模,Q16,实践与认识（总）/实践是认识的基础/社会存在与社会意识/实现人生价值/辩证否定/尊重客观规律与发挥主观能动性/整体与部分,正式评分细则原图证据+题干/答案区闭环,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2025朝阳一模细则第16题渲染页page_001显示“答案变通说明”：①作为文化载体1分；②重视文化资源/传递正确价值观2分；③借助现代科技推动文化创新、传统文化与现代传播方式结合2分；④立足时代之基、面向人民需求，衔接传统文化内涵与时代审美愿望2分；⑤把握社会客观条件、个人与社会统一，弘扬劳动精神/工匠精神/创新精神，实现人生价值，以局部推动整体1分。
M0223,2026朝阳一模,Q16,规律主观能动/联系系统优化/矛盾普特/实践认识；文化自信走文化线,正式阅卷细则必答/选答角度,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q16正式阅卷细则与教师版答案示例支持；当前DOCX已有对应正文。
M0233,2026顺义一模,Q21,尊重客观规律与发挥主观能动性相结合；两点论与重点论；人民群众/价值判断价值选择,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0282,2024朝阳一模,Q18,系统观念 / 系统优化；矛盾就是对立统一,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q18(2)当前DOCX已保留系统优化和矛盾对立统一条目；参考答案和细则明确系统优化、两点论重点论等。
M0298,2024海淀一模,Q16,主观能动性/联系/发展/实践,细则角度简列,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2024海淀一模 source bundle lines 23-24 / 63: Q16可从发挥主观能动性、联系的观点、发展的观点、实践的观点、民族精神等角度作答。 ????????/????????????????????
M0305,2024石景山一模,Q2,实践是认识的基础,客观答案表+题面正确项；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q2教师版答案B（①③）：①明确“农业生产实践具有历史性，其形式和水平不断发展”；本条只取①进入实践社会历史性/实践基础节点，③作为经济与社会背景不单独入哲学节点。
M0306,2024石景山一模,Q3,社会存在与社会意识,客观答案表+题面正确项+当前DOCX；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q3教师版答案D（③④）：城市精神植根北京深厚历史并反映市民价值追求，体现社会存在决定社会意识；当前DOCX已有该题正文覆盖。
M0308,2024石景山一模,Q5,根据固有联系建立新的具体联系 / 把握本质和规律,客观答案表+题面正确项+当前DOCX；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q5教师版答案C（②④）：人能够把握自然天气现象背后的本质和规律，并从事物固有联系中构建防灾减灾预案；当前DOCX已有该题正文覆盖。
M0347,2025东城一模,Q16,价值观导向；价值判断与价值选择；社会存在与社会意识；辩证否定；发展；矛盾普遍性与特殊性,正式阅卷报告-哲学可用知识明示+现有DOCX正文覆盖,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q16正式阅卷报告哲学可用知识已逐项核定；发展节点本批补入。
M0396,2025房山一模,Q3,矛盾的特殊性 / 具体问题具体分析,正式答案键+冲突披露（选择题链，非主观题评分细则）,true,true,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式答案键为B；当前DOCX已放入“具体问题具体分析”选择题链。教师版详解处出现D项冲突，裁决以正式答案键为强来源。选择题边界已明示，非主观题评分细则。
M0424,2025朝阳一模,Q16,实践与认识（总）/实践是认识的基础/社会存在与社会意识/实现人生价值/辩证否定/尊重客观规律与发挥主观能动性/整体与部分,正式评分细则原图证据+题干/答案区闭环,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2025朝阳一模细则第16题渲染页page_001显示“答案变通说明”：①作为文化载体1分；②重视文化资源/传递正确价值观2分；③借助现代科技推动文化创新、传统文化与现代传播方式结合2分；④立足时代之基、面向人民需求，衔接传统文化内涵与时代审美愿望2分；⑤把握社会客观条件、个人与社会统一，弘扬劳动精神/工匠精神/创新精神，实现人生价值，以局部推动整体1分。
M0452,2025石景山一模,Q3,选择题链条：实践检验/主客观相符合/法宝话语辨析,选择题官方答案键+题干正确项；选择题边界已明示,true,true,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案键Q3=A；当前DOCX已有“法宝”选择题链条，作为选择题正确项/错误项辨析，不冒充主观题评分细则。
M0453,2025石景山一模,Q4,选择题链条：一切从实际出发/适度原则/政策弹性,选择题官方答案键+题干正确项；选择题边界已明示,true,true,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案键Q4=D；当前DOCX已有“自愿/自主/允许”选择题链条，作为选择题正确项/错误项辨析，不冒充主观题评分细则。
M0492,2025门头沟一模,Q6,认识受主客观因素影响 / 认识具有主体差异性,客观答案键+题干；非主观细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案键Q6=C；题干呈现支持者与反对者对AI著作权的不同看法，体现认识主体差异性。选择题只按客观答案链入宝典，非主观题细则。
M0493,2025门头沟一模,Q7,人生价值的创造和实现 / 个人与社会的统一 / 主观能动性,客观答案键+题干；非主观细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案键Q7=C；②③正确，材料对应充分发挥主观能动性和在个人与社会统一中创造价值。
M0585,2026朝阳一模,Q16,尊重客观规律与发挥主观能动性相结合；联系的普遍性；系统观念；矛盾的普遍性和特殊性；实践是认识的基础；认识对实践的反作用,正式阅卷细则必答/选答角度+教师版答案示例,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q16正式阅卷细则 lines 586-595 支持规律必答角度与哲学选答角度；教师版答案 lines 403-428 及 720-722 支持现有正文表达。
M0590,2026朝阳一模,Q21,社会存在与社会意识；社会发展的两大基本规律和基本矛盾；人民群众,正式阅卷细则综合哲学角度,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q21正式阅卷细则 lines 683-696 明确综合运用，可用社会存在决定社会意识、上层建筑适应经济基础、以人民为中心等角度；当前DOCX已有三条对应正文。
M0593,2026海淀一模,Q16,物质决定意识；主观能动性 / 意识的能动作用；发展的观点；社会存在与社会意识；价值观的导向作用；价值判断与价值选择,正式评分标准-综合角度+当前DOCX覆盖（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,26海淀一模政治评分标准第1页第16题写明可从发展的观点、社会存在与社会意识、价值观、文化的功能等角度作答；源卷第5页第16题要求运用《哲学与文化》认识人工智能时代人文学科价值。当前DOCX已在物质决定意识、意识能动作用、发展观点、社会存在与社会意识、价值观导向、价值判断与价值选择六处覆盖。
M0663,2026顺义一模,Q21,尊重客观规律与发挥主观能动性相结合；两点论与重点论；人民群众/价值判断价值选择,正式评分PPT-哲学角度+等级赋分（非逐点细则）,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,顺义一模第21题正式评分PPT第10-11页写明哲学角度：客观性2分可用主观能动性和客观规律相结合、社会存在和社会意识、实践和认识等；辩证性2分可用主次矛盾和矛盾主次方面辩证关系、两点论和重点论、矛盾对立统一、整体部分/系统优化、前进性曲折性、量变质变、内外因；价值性2分可用人民群众是历史创造者、群众观点路线、价值判断价值选择遵循社会发展规律并站在最广大人民立场。当前DOCX已在相应节点多处覆盖第21题。
M0666,2026东城二模,Q2,辩证否定 / 守正创新,教师版答案键+题干正确项链（选择题，非主观题评分细则）,true,true,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q2答案C，本轮新增辩证否定/守正创新选择题链，只处理正确项②；正确项③为文化线索。
M0668,2026东城二模,Q4,矛盾就是对立统一,教师版答案键+题干正确项链（选择题，非主观题评分细则）,true,true,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,Q4答案D，本轮新增矛盾对立统一选择题链。
M0716,2026朝阳二模,Q21,Q21：系统观念/量变质变,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,"source bundle lines 424-440 give Q21 system thinking, strategic persistence, quantity-quality and required leadership points."
M0913,2026丰台一模,Q21,尊重客观规律与发挥主观能动性相结合 / 系统观念 / 矛盾就是对立统一,正式PPT评分宽角度+等级描述+当前DOCX正文；非逐点细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,2026丰台一模Q21源包PPT第61-63页为正式评分材料：Q21（9分）可从党的领导、唯物辩证法、中国式现代化等角度作答；等级描述要求紧扣问题、综合运用所学、逻辑严密；典型示例写明“立足实际”“把握经济社会规律”“坚持系统思维、辩证思维”；第63页进一步列“系统思维（发展观）、辩证思维（矛盾观）、遵循规律”等角度。本行只登记正式PPT宽角度支持，不冒充逐点评分细则。
M0969,2025东城期末,Q4,矛盾就是对立统一,教师版客观答案/解析+题面正确项；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案A，正确项①为“在笔画的对立统一中彰显中华汉字之美”；本证据只用于客观题节点定位。
M0968,2025东城期末,Q16,主观能动性 / 意识的能动作用,正式讲评/评分细则+教师版解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,讲评细则第三层：正确发挥主观能动性，提高对器物价值的认识，做好搜集、保护、研究工作；教师版解析含意识能动作用。
M0993,2025丰台期末,Q4,实现人生价值,教师版客观答案/解析+题面正确项；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案A，正确项①③明确为“在为国尽责、为民服务的实践中实现个人价值、展现人生风采”和修身立德、服务他人社会。
M0994,2025丰台期末,Q7,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,教师版客观答案/解析+题面正确项；非主观评分细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版答案C，正确项为“从实际出发，从当下做起，生活才能少些迷茫”；漫画解析围绕把握当下现实处境。
M0995,2025丰台期末,Q16,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M0996,2025丰台期末,Q16,主观能动性 / 意识的能动作用,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M0997,2025丰台期末,Q16,价值观的导向作用,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第257行明列正确的价值观；数据使用方向由正确价值观导向。
M0998,2025丰台期末,Q16,发展的观点 / 发展的普遍性,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第208、257、260行明列发展/发展观；题干“看长远”支持发展过程视角。
M0999,2025丰台期末,Q16,实践与认识（总）,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1000,2025丰台期末,Q16,实践是认识的基础,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1001,2025丰台期末,Q16,整体与部分,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1002,2025丰台期末,Q16,矛盾的特殊性 / 具体问题具体分析,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1003,2025丰台期末,Q16,系统观念 / 系统优化,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第256-257行明列系统优化、整体部分；示例答案要求坚持系统观念。
M1004,2025丰台期末,Q16,联系的普遍性 / 联系的观点（总）,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1005,2025丰台期末,Q16,规律的客观性,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第255行列“规律”，材料强调数量界限和不按规律会犯错。
M1006,2025丰台期末,Q16,认识对实践的反作用,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第209、257行明列认识对实践的反作用；题干写做计划、定方案和国家治理。
M1007,2025丰台期末,Q16,量变与质变 / 适度原则,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT细则第205-263行支持实践、实际出发、联系观、量变质变、矛盾观等，当前DOCX已有正文条目。
M1008,2025丰台期末,Q17,人民群众,正式PPT评分细则+教师版题面/解析+当前DOCX正文,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,正式PPT评分细则第55、71行：人民性是马克思主义的本质属性/人民群众是历史的创造者；可替换群众观点。
M1028,2025朝阳期末,Q2,联系的普遍性 / 联系的观点（总）,客观题答案,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版客观题答案+正确项解析；非主观评分细则
M1029,2025朝阳期末,Q9,系统观念 / 系统优化,客观题答案,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,教师版客观题答案+正确项解析；非主观评分细则
M1030,2025朝阳期末,Q16,一切从实际出发 / 实事求是 / 主观与客观具体的历史的统一,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第131行明列“实际/一切从实际出发”
M1031,2025朝阳期末,Q16,主观能动性 / 意识的能动作用,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第132行明列“正确发挥主观能动性”
M1032,2025朝阳期末,Q16,人民群众,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第137行明列“尊重人民群众主体地位/群众观点群众路线”
M1033,2025朝阳期末,Q16,价值判断与价值选择,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第136行明列“正确的价值判断和价值选择/正确价值观”
M1034,2025朝阳期末,Q16,发展的观点 / 发展的普遍性,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第134行明列“发展”
M1035,2025朝阳期末,Q16,尊重客观规律与发挥主观能动性相结合,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第132行明列“尊重客观规律，正确发挥主观能动性”
M1036,2025朝阳期末,Q16,矛盾的普遍性和特殊性,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第135行明列“普遍性与特殊性的具体的历史的统一”
M1037,2025朝阳期末,Q16,联系的普遍性 / 联系的观点（总）,强细则,true,false,PASS_FORMAL_OR_CHOICE_BOUNDARY_PRESENT,PPT评分细则第133行明列“联系”
