matrix_row_id,matched_terms,题源,题号,是否进宝典,宝典节点,证据等级,当前处理,disposition,formal_signal,source_pointer_exists,support_excerpt
M0228,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,Q16,候选已核：由逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16母版覆盖口径已由本轮逐题矩阵核定。
M0229,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,Q21,候选已核：由逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q21母版覆盖口径已由本轮逐题矩阵核定。
M0230,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,Q19(3),候选已核：由逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,模块边界/套卷级承接,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q19(3)正式细则为形式逻辑判断，属于选必三逻辑与思维，边界排除。
M0234,SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026东城二模,Q16,候选已核：由Q16既有正文矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_EXISTING_Q16_BODY_ROWS,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16候选已由M0001-M0006及当前DOCX正文承接。
M0285,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2024朝阳一模,Qunknown,候选已核：逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,套卷抽取残留,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,抽取残留行，不是独立题号；逐题覆盖已承接。
M0523,SUPERSEDED_BY_ROW_LEVEL_REPAIR,2025顺义一模,Q16,否：占位行不进正文,-,SUPERSEDED_BY_ROW_LEVEL_REPAIR,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,逐题矩阵已显式覆盖Q1-Q21；该行不再作为风险。
M0598,SUITE_LEVEL_SUMMARY,2026海淀一模,Qunknown,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_HAIDIAN_2026_YIMO_REPAIR,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,2026海淀一模：Q16已由正式评分标准和当前DOCX六处正文覆盖；Q15/Q17/Q18/Q19/Q20分别按国政经、逻辑、经济/法律、政治法治、国政经边界排除。
M0617,SUITE_LEVEL_SUMMARY,2026石景山一模,Qunknown,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_SHIJINGSHAN_2026_YIMO_REPAIR_RENDER_PASS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,2026石景山一模：Q2/Q3哲学选择链条本批补入；Q17(1)和Q21已有当前DOCX正文覆盖；其余政治、法律、经济、逻辑、国际题边界排除。
M0627,SUPERSEDED_BY_ROW_LEVEL_REPAIR,2026西城一模,Q16,否：生产线候选已由逐题正文行承接,候选行已由逐题正文矩阵承接,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16正式细则已由M0058-M0061及新增联系细化行承接，生产线术语候选行不再作为待补风险。
M0631,SUPERSEDED_BY_ROW_LEVEL_REPAIR,2026西城一模,Q21,否：生产线候选已由逐题正文行承接,候选行已由逐题正文矩阵承接,强细则,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q21正式细则已由实践观、矛盾观、发展观、规律与主观能动性、改革等正文行承接；辩证思维、创新思维/超前思维仍排除。
M0632,SUPERSEDED_BY_ROW_LEVEL_REPAIR,2026西城一模,Qunknown,否：不进入当前哲学宝典正文,不进入当前哲学宝典正文,模块边界/题干边界,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,该行是试卷抽取残留片段，不是独立题号；逐题覆盖已由Q1-Q21行承接。
M0637,SUITE_LEVEL_SUMMARY,2026通州一模,Qunknown,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_TONGZHOU_2026_YIMO_REPAIR,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,2026通州一模：Q18已由正式评标细则和当前DOCX两处正文覆盖；Q1-Q3因缺第一部分官方答案键不入正文；Q17按经济与逻辑思维边界排除；Q16政治与法治、Q20法律、Q21哲学综合已有各自边界不由本行承接。
M0664,SUITE_LEVEL_SUMMARY,2026顺义一模,Qunknown,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_SHUNYI_2026_YIMO_REPAIR_RENDER_PASS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,顺义一模：Q2/Q5选择题链条本批补入；Q16/Q21已有当前DOCX正文覆盖并有正式评分PPT支持；Q1/Q3/Q17/Q20等风险行按模块边界关闭。该套卷级长摘录不替代逐题行。
M0674,SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026东城二模,Q16,候选已核：由Q16既有正文矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,强细则,SUPERSEDED_BY_EXISTING_Q16_BODY_ROWS,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,true,true,Q16问题显性候选已由M0001-M0006及当前DOCX正文承接。
M0679,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026东城二模,Qunknown,候选已核：逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,套卷级/候选承接,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,抽取残留行，不是独立题号；逐题覆盖已承接。
M0778,SUITE_LEVEL_SUMMARY,2026顺义二模,Qunknown,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_SHUNYI_2026_ERMO_REPAIR_RENDER_PASS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,顺义二模：Q16已由评标doc强证据覆盖并进入当前DOCX五个节点；Q21本批新增进入尊重客观规律与发挥主观能动性相结合节点；Q11/Q17/Q18/Q20按法律、政治、逻辑、国政经边界排除。
M0779,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2024东城一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0780,SUITE_LEVEL_SUMMARY,2024丰台一模,SUITE_LEVEL,套卷逐题已由Batch07闭合,SUITE_LEVEL_SUMMARY,Batch07逐题矩阵闭合,SUITE_CLOSED_BY_BATCH07,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,逐题回源已闭合：Q8新增两节点，Q9/Q18/Q21现有覆盖，其余模块边界排除。
M0781,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2024朝阳一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0782,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2024海淀一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0783,SUITE_LEVEL_SUMMARY,2024石景山一模,SUITE_LEVEL,套卷已完成Batch18逐题回源；有新增Q2正文和既有Q3/Q5/Q16覆盖,SUITE_LEVEL_SUMMARY,BATCH18_SUITE_SOURCE_REVIEW_CLOSED,BATCH18_SUITE_SOURCE_REVIEW_CLOSED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0784,COVERED_OR_PATCHED; COVERED_OR_PATCHED_WITH_ROW_REVIEW; SUITE_LEVEL_SUMMARY,2024西城一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED_WITH_ROW_REVIEW,SUITE_LEVEL_CLOSED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,当前DOCX已有2024西城一模正文提及，且本次补入Q2、移动Q9、逐题关闭旧候选。
M0785,SUITE_LEVEL_SUMMARY,2025东城一模,SUITE_LEVEL,套卷逐题已由Batch08闭合,SUITE_LEVEL_SUMMARY,Batch08逐题矩阵闭合,SUITE_CLOSED_BY_BATCH08,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,逐题回源已闭合：Q1/Q4/Q5/Q16新增，Q6/Q16/Q18/Q21现有覆盖，其余模块边界排除。
M0786,SUITE_LEVEL_SUMMARY,2025丰台一模,SUITE_LEVEL,套卷逐题已由Batch09闭合,SUITE_LEVEL_SUMMARY,Batch09逐题矩阵闭合,SUITE_CLOSED_BY_BATCH09,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,逐题回源已闭合：Q15/Q18(1)新增，Q2/Q4/Q16/Q18(3)现有覆盖，其余模块边界排除。
M0787,SUITE_LEVEL_SUMMARY,2025延庆一模,SUITE_LEVEL,套卷级索引：已拆为逐题处置,SUITE_LEVEL_SUMMARY,套卷索引+逐题裁决已完成,SUITE_LEVEL_INDEX_SUPERSEDED_BY_ROW_REVIEW_YANQING_2025,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,2025延庆一模已按Q1-Q21逐题裁决；套卷级行只作索引，不能替代逐题证据。
M0789,SUITE_LEVEL_SUMMARY,2025朝阳一模,SUITE_LEVEL,套卷逐题已由Batch14闭合,SUITE_LEVEL_SUMMARY,Batch14逐题矩阵闭合,SUITE_CLOSED_BY_BATCH14,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,2025朝阳一模Q1-Q21已逐题回源；Q4/Q16/Q21入正文或登记，其他题按答案键/细则模块边界排除。
M0790,SUITE_LEVEL_SUMMARY,2025海淀一模,SUITE_LEVEL,套卷逐题已由Batch10闭合,SUITE_LEVEL_SUMMARY,Batch10逐题矩阵闭合,SUITE_CLOSED_BY_BATCH10,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,逐题回源已闭合：Q2/Q5新增，Q16/Q22现有覆盖并重引源证，其余模块边界排除或另补边界行。
M0791,SUITE_LEVEL_SUMMARY,2025石景山一模,SUITE_LEVEL,套卷级索引：已拆为逐题处置,SUITE_LEVEL_SUMMARY,套卷索引+逐题裁决已完成,SUITE_LEVEL_INDEX_SUPERSEDED_BY_ROW_REVIEW_SHIJINGSHAN_2025,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,2025石景山一模已按Q1-Q21逐题裁决；套卷级行只作索引，不能替代逐题证据。
M0792,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2025西城一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0793,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2025门头沟一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,BATCH17_SUITE_SOURCE_REVIEW_CLOSED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0794,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2025顺义一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0795,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026东城一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0796,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026丰台一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0797,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026延庆一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0798,SUITE_LEVEL_SUMMARY,2026房山一模,SUITE_LEVEL,套卷级旧行已拆分为逐题行,SUITE_LEVEL_SUMMARY,Batch12逐题拆分,SUPERSEDED_BY_BATCH12_PER_QUESTION_ROWS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,当前有效状态见Q16-Q20回源行和新增Q1-Q15选择题答案键blocker行。
M0799,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026朝阳一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0800,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026海淀一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0801,SUITE_LEVEL_SUMMARY,2026石景山一模,SUITE_LEVEL,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_SHIJINGSHAN_2026_YIMO_REPAIR_RENDER_PASS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,2026石景山一模：Q2/Q3哲学选择链条本批补入；Q17(1)和Q21已有当前DOCX正文覆盖；其余政治、法律、经济、逻辑、国际题边界排除。
M0802,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2026西城一模,SUITE_LEVEL,套卷级行已被逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,模块边界/套卷级承接,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,套卷级覆盖口径已由2026-05-25逐题矩阵修复承接。
M0803,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026通州一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0804,SUITE_LEVEL_SUMMARY,2026门头沟一模,SUITE_LEVEL,套卷逐题已由Batch13闭合,SUITE_LEVEL_SUMMARY,Batch13逐题矩阵闭合,SUITE_CLOSED_BY_BATCH13,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,Q1-Q21已逐题回源；Q7新增，Q3/Q6/Q10补边界行，其余入正文/排除均有答案键或细则依据。
M0805,SUITE_LEVEL_SUMMARY,2026顺义一模,SUITE_LEVEL,套卷逐题风险已回源闭合,SUITE_LEVEL_SUMMARY,逐题回源闭合汇总,SUITE_LEVEL_CLOSED_BY_SHUNYI_2026_YIMO_REPAIR_RENDER_PASS,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,顺义一模本批完成Q2/Q5新增、Q16/Q21现有正文覆盖核验、非本模块行边界排除；套卷级记录只作为闭合摘要。
M0806,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026东城二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0807,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026丰台二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0808,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026房山二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0809,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026朝阳二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0810,COVERED_OR_PATCHED; COVERED_OR_PATCHED_WITH_ROW_REVIEW; SUITE_LEVEL_SUMMARY,2026海淀二模,SUITE_LEVEL,套卷已逐题回源闭合,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED_WITH_ROW_REVIEW,BATCH06_SUITE_CLOSED_WITH_ROW_REVIEW,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,Batch06完成Q1-Q21逐题裁决；DOCX现含Q2/Q3/Q4/Q16共5个海淀二模正文条目。
M0811,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026石景山二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0812,SUITE_LEVEL_SUMMARY,2026西城二模,SUITE_LEVEL,套卷逐题已由Batch11闭合,SUITE_LEVEL_SUMMARY,Batch11逐题矩阵闭合,SUITE_CLOSED_BY_BATCH11,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,逐题回源已闭合：Q3/Q4/Q16价值观/Q20新增，Q16原两条重引评标PNG证据，其余模块边界排除或补行。
M0813,COVERED_OR_PATCHED; SUITE_LEVEL_SUMMARY,2026顺义二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,COVERED_OR_PATCHED,COVERED_OR_PATCHED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,
M0814,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK; SUITE_LEVEL_SUMMARY,2024朝阳二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK,MATRIX_ONLY_CLOSED_20260525_SUITE_LEVEL_SUMMARY_DOWNGRADED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,套卷级记录仅作覆盖摘要，不替代逐题细则核验，也不单独支持新增正文条目。当前风险审计中该套卷无需要再由套卷级行触发的正文补厚项；若后续重开，必须回到具体题号和正式评分来源。
M0815,SUPERSEDED_BY_ROW_LEVEL_REPAIR; SUPERSEDED_BY_ROW_LEVEL_MATRIX,2024朝阳一模,SUITE_LEVEL,套卷级行已被逐题矩阵承接,SUPERSEDED_BY_ROW_LEVEL_MATRIX,套卷级承接,SUPERSEDED_BY_ROW_LEVEL_REPAIR,NON_BODY_SUPERSEDED_OR_CANDIDATE_ONLY,false,true,套卷级覆盖口径已由2026-05-25逐题矩阵修复承接。
M0816,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK; SUITE_LEVEL_SUMMARY,2024东城二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK,MATRIX_ONLY_CLOSED_20260525_SUITE_LEVEL_SUMMARY_DOWNGRADED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,套卷级记录仅作覆盖摘要，不替代逐题细则核验，也不单独支持新增正文条目。当前风险审计中该套卷无需要再由套卷级行触发的正文补厚项；若后续重开，必须回到具体题号和正式评分来源。
M0817,SUITE_LEVEL_SUMMARY,2024东城一模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY_CLOSED,SUITE_LEVEL_RECHECKED_SOURCE_RENDER_AND_DOCX,MATRIX_ONLY_CLOSED_20260525_DONGCHENG_YIMO_SUITE_LEVEL_RECHECKED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,套卷级记录不替代逐题细则核验。本轮已完成Q1/Q2/Q4选择题边界裁决，Q16/Q21当前DOCX正文覆盖核定。
M0818,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK; SUITE_LEVEL_SUMMARY,2024丰台二模,SUITE_LEVEL,套卷有最终DOCX提及或闭合记录,SUITE_LEVEL_SUMMARY,SUITE_LEVEL_SUMMARY_RECHECKED_NO_OPEN_ROW_RISK,MATRIX_ONLY_CLOSED_20260525_SUITE_LEVEL_SUMMARY_DOWNGRADED,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,true,true,套卷级记录仅作覆盖摘要，不替代逐题细则核验，也不单独支持新增正文条目。当前风险审计中该套卷无需要再由套卷级行触发的正文补厚项；若后续重开，必须回到具体题号和正式评分来源。
M0819,SUITE_LEVEL_SUMMARY,2024丰台一模,SUITE_LEVEL,套卷逐题已由Batch07闭合,SUITE_LEVEL_SUMMARY,Batch07逐题矩阵闭合,SUITE_CLOSED_BY_BATCH07,NON_BODY_SUITE_LEVEL_SUMMARY_NOT_ROW_EVIDENCE,false,true,逐题回源已闭合：Q8新增两节点，Q9/Q18/Q21现有覆盖，其余模块边界排除。
